ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VCC,2024,3,0.8752389675,232800000000,24000000,39.5899004767,0.2097055151,5.602741235,57.92662908333333,11082.6875398333,15.9424506941,0.0947819862335266,0.005799507751767029,0.0206592556,0.0367405164,0.004362045,0.0203111735563001,33713035352.0,4868928332,0.0773195876,1.2192711624,0.0330134786,0.7625691316,-1.3016335872161346,4.74579028648671,0.8788837995,39.1872586596,173.78950506264115,156.9698700166,93.0273669312,423.7867420104412,2.3252870118,1.2857881898999999,3.7457902865,0.09325661854674491,1.1082687539833334
VCC,2024,2,0.8707671829,230400000000,24000000,31.4724262748,0.1961731521,-4.9962809901,11.206409125,11024.76091075,16.2163242979,0.10382446840612247,0.0010168767482086807,0.0250043825,0.0379524615,0.0047211783,0.012061950828957438,34448271973.0,3190266417,0.078125,1.2170095069,0.0137165719,0.7790144156,-0.6546721684756917,4.717515681877815,0.93398996,38.1260377957,160.06071251397077,151.4366265464,87.0563050025,398.5536440628708,2.4102491473,1.3104677766000001,3.7175156819,0.10334232828402987,1.102476091075
VCC,2024,1,0.8988923602,237600000000,24000000,21.44985148,0.200239817,22.6840901166,30.253258541666668,11013.554501625,14.538568133,0.09713737168286886,0.003670112961893995,0.0365389807,0.0456495871,0.0060136483,0.02246778184583359,38196878693.0,4444922236,0.0757575758,1.2205739545,0.0053982822,0.7661932647,-1.0063204154042003,4.7668758361991275,0.9386355712,37.3293527026,154.45852436965166,154.54716986,84.3565070648,393.36220129445167,2.3617384927,1.2391510612,3.7668758362,0.1101467983561539,1.1013554501625
VCC,2023,4,0.9794145379,266400000000,24000000,18.0169343948,0.2224063696,-1.3108472985,130.18657445833333,11333.3012430833,16.2494239243,0.07067242327943746,0.007656420683212057,0.0391692117,0.0501125668,0.0067046152,0.023683413040723682,38743445514.0,9664868354,0.0315315315,1.2249895329,0.037933941,0.8163084228,-1.6459244544948972,4.7149423269758115,0.9670446729,34.9760244275,168.70094666223775,131.3683508106,94.2131579059,394.2824553787378,2.7784469984,1.0171013667,3.7243345968,0.11788970051168203,1.1328395446083332
VCC,2023,3,1.1155835147,300000000000,24000000,15.8700722098,0.2578250282,1.9484551367,75.7196715,11204.8984549583,15.5916834649,0.08119552507239948,0.005976665393446157,0.0737223118,0.0582150042,0.0088248528,0.018773078947576335,42532845920.0,5708165115,0.12,1.1170931773,0.0078467495,0.6526368521,-1.1435182569298492,8.325253313018193,0.9396620919,34.1676001017,155.67894345123557,156.3573536661,85.8973924425,397.9336895598356,2.3343961217,2.6621078477,7.325253313,0.23307931731248802,0.6204898454958333
VCC,2023,2,0.9524512281,254400000000,24000000,12.1991100328,0.2283268388,1.7799064569,80.597167125,11129.1787834583,12.9125818412,0.09148834454285933,0.00699338216501698,0.0740188382,0.0664216516,0.0091045279,0.025296223473199948,43312990316.0,6996799784,0.141509434,1.1069911685,0.0241639378,0.6654516648,-1.096112505848312,8.66698834964505,0.9290086563,31.6587336732,164.6754955663842,151.7712038045,88.9669066742,405.4136060450842,2.4049357905,2.3886007350000003,7.6669883496,0.2125802035080835,0.6129178783458333
VCC,2023,1,1.1259497866,163200000000,12000000,17.6670160048,0.15165037,2.012782058,109.22456991666667,12078.6913960833,11.8478434847,0.09335942454078174,0.006269299047269334,0.0629191176,0.0601940369,0.0081703434,0.022987916326817872,40300805317.0,4805982784,0.1102941176,1.1282746903,0.0160336935,0.7019427812,-1.0099217263855311,8.59332143737639,0.9518314185,28.9467513939,171.72003974645025,140.2290662539,86.0412880318,397.9903940321502,2.6028840507,2.5527931437,7.5933214374,0.23318622955270188,0.6039345698041667
VCC,2022,4,1.0892328927,165600000000,12000000,19.7841547522,0.1643229397,1.4701401753,488.7900853333333,12669.4668261667,13.3554911265,0.09063570162471336,0.01568904606484145,0.0553058198,0.0687112174,0.0076504135,0.03420144333519709,38211548183.0,12786495498,0.0507246377,1.1411435721,0.0263340883,0.7619727738,-2.327092924205003,7.850673863375466,0.9210945573,25.3228210139,196.04882854709027,130.7785088725,104.1184988872,430.9458363067903,2.7909784501,1.7756030903,6.8419385977,0.23981682061491538,0.633140007975
VCC,2022,3,1.0924912924,159600000000,12000000,26.6280278677,0.1598399867,-3.512969822,150.73899241666666,12174.0100741667,15.9418471631,0.08809700288140392,0.007102689257293644,0.0410329937,0.0372267962,0.0059551114,0.028313471744736095,31635856719.0,7210695636,0.1127819549,1.1638949135,0.0500945907,0.7530248514,-1.5210782867152943,7.419706666568514,0.9920726069,24.5174238606,179.25384201083804,125.0712883023,85.6315086558,389.9566389689381,2.9183356544,3.028367039,6.4197066666,0.2687740079124239,0.6087005037083333
VCC,2022,2,1.2392634166,178800000000,12000000,41.8829709735,0.2076582794,14.6617254502,21.04245125,12023.27108175,14.6925341691,0.09399686935338836,0.0010584647374251854,0.0291700093,0.0392059171,0.0044099364,0.016197561859787147,30909591483.0,3864121992,0.1006711409,1.1571408307,0.0252708244,0.7828637432,-0.7627158965706955,6.931403281410784,0.8894479926,20.2141926158,207.24929979474103,134.218223818,96.5836206002,438.05114421294104,2.7194518719,2.2962233654,5.9314032814,0.2717239259421641,0.6011635540875
VCC,2022,1,1.2407975941,177600000000,12000000,24.4266355875,0.2067493741,9.3766484573,30.2897085,11927.8116515,12.7827404868,0.10547508324909989,0.002583754045337616,0.0494401181,0.0496088692,0.0077024017,0.017340438575207298,36611526285.0,2439412516,0.1013513514,1.137237685,0.0173056211,0.7473782528,-0.6468268082129365,6.608150809268894,0.9100088503,19.416562206,205.5771240803569,125.6788759036,100.7056514863,431.96165147025687,2.9042271215,2.2431233774,5.6081508093,0.28841969461213257,0.596390582575
