ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VGG,2024,2,0.9951211367,1911999600000.0,44100000.0,7.8394286247,0.203120324,55.2472050294,2276.6382720408164,43568.5650714739,8.7353746585,0.09340240941777016,0.03238901380210829,0.1287989193,0.0852937105,0.0454670964,0.03189390233498025,246803992356.0,98864996948,0.0,1.2340461601,0.0336476634,0.7259228139,-66.00556231457846,2.8166152009390952,1.7548025208,14.3398030704,58.91344491535173,69.0183069495,88.7622736379,216.69402550275174,5.2884519504,0.1314979383,1.8166152009,0.3082827220135547,4.611441118120181
VGG,2024,1,0.8646480269,1664334000000.0,44100000.0,8.2899229654,0.1939105038,11.0421597263,850.5149784580499,43647.8183353288,8.27710461,0.10466941925857902,0.02047585175020126,0.1077444242,0.0650653022,0.0385468063,0.017204324846083044,176034070028.0,31514920327,0.0,1.2487049999,0.134563638,0.6827568184,0.0,2.700633166671857,1.6479254532,12.6706519419,61.19672474369997,73.1357693495,94.3450502422,228.67754433539994,4.9907179927,0.0767068798,1.7006331667,0.31746665504571886,4.61344824270068
VGG,2023,4,0.8524172459,1614236400000.0,44100000.0,8.4422832612,0.1875720939,-138.7846594133,1226.414312675737,42941.4118209751,4.1490776922,0.09686243926018764,0.02439089117404125,0.1021424817,0.0680432826,0.0359019748,0.013534597198824445,252523968172.0,30011898330,0.0546388373,1.2754794122,0.1695421146,0.8804472586,0.0,2.484619970578116,1.6158834419,12.203304282,66.16509125552606,67.3816476634,98.9187092888,232.46544820772607,5.4169052354,0.0152385867,1.4764327975,0.3340189976477834,4.524833917263039
VGG,2023,3,0.8379165767,1543500000000.0,44100000.0,9.3116501948,0.1708350099,254.428658962,1176.937538095238,41770.2680373243,5.8549793415,0.09251055099953501,0.022924256120542406,0.0901298825,0.0691880407,0.0309448333,0.015365107764300669,166867397151.0,34788232413,0.0571428571,1.2251848787,0.2145491436,0.7917042168,0.0,2.706425505793975,1.6867003038,12.6359569485,54.4507794876969,74.0387497919,97.5274122034,226.0169414829969,4.9298509365,0.024996265400000002,1.7064255058,0.35206739363601114,4.420824092238095
VGG,2023,2,0.9068209344,1632582000000.0,44100000.0,9.4507832239,0.1877148659,-5.9275613438,1298.6483337641723,40823.9362313379,6.7962027479,0.09849389393864288,0.025232896871025357,0.0941305895,0.085988118,0.0318448739,0.020004750429120973,224313734228.0,45404215583,0.0540248514,1.2153322104,0.0848206551,0.6931105362,-581.7400176307234,2.673788415613108,1.6032773875,12.6997588652,52.86092069686513,80.3192480581,106.0186342031,239.19880295806513,4.5443652527,0.0357768666,1.6737884156,0.3723005330055553,4.329089748793651
VGG,2023,1,0.903895469,1685678400000.0,44100000.0,10.1372943041,0.1915443088,-9.2773243673,432.5912611791383,42288.0756790703,5.7307939803,0.09262124560447355,0.010285613168326253,0.0908579649,0.0836482432,0.0307906402,0.010033696732035276,230998890091.0,18610031785,0.0523231478,1.2304988271,0.1765519128,0.6830063064,-32.58345077595858,2.699076316508262,1.6295643742,13.4792739334,49.26888834802082,74.1436699218,104.0231109823,227.43566925212082,4.9228747428,0.066029938,1.6990763165,0.3640437087473003,4.478851324004535
VGG,2022,4,0.8289723028,1533798000000.0,44100000.0,8.8114490483,0.1811989421,-9.3060014361,850.5551289795918,41955.5633920862,4.1452074858,0.11087283194810961,0.014173228000911925,0.0905810652,0.0928260846,0.0342157819,0.014429541544493312,297476227559.0,38187815583,0.0431282346,1.1944582738,0.1020340188,0.7326562731,0.0,2.916713023548639,1.663865226,12.422317668,52.540043252178506,59.3566428434,93.1999434712,205.09662956677852,6.1492696102,0.0249803449,1.9033245191,0.37969829998675475,4.442593776537415
VGG,2022,3,0.8277871356,1511748000000.0,44100000.0,8.3690525191,0.2032676982,18.6035482494,1335.3409380498865,41411.6123865533,5.3509486973,0.12723652544717534,0.0305722268920555,0.0948770655,0.0837165052,0.0354753532,0.034420886378669406,226324480729.0,66301862539,0.0437572929,1.2200883688,0.1417758702,0.7538201267,0.0,2.866113656362832,1.460611284,12.5973526611,51.38717681543602,71.820910554,110.5551381841,233.76322555353602,5.0820853869,0.061228007099999995,1.8661136564,0.29217130288103543,4.389607032886621
VGG,2022,2,0.9066206099,1614060000000.0,44100000.0,17.5250318321,0.2543711328,5.5086095656,1152.1440506802721,40369.697754059,7.8201752506,0.09641986503785303,0.021411561545594756,0.0489393776,0.0377147563,0.0193444645,0.02172235916317245,132632602881.0,51547074178,0.0409836066,1.2353082195,0.14501208,0.8421045271,0.0,2.651585470161175,1.3327469693,10.9419178201,52.49386865027263,71.7075214101,109.140536782,233.34192684237263,5.0901215496,0.0832393847,1.6515854702,0.3086763405916869,4.282901395961451
VGG,2022,1,1.0036891213,1803293100000.0,44100000.0,17.1249106238,0.296853043,-30.0473972878,581.8690925623583,40740.7026052834,8.5232472955,0.10326881966707228,0.016892866703683663,0.0560539132,0.0349568207,0.0225896702,0.016493941495305323,177233265190.0,25054455754,0.0366828887,1.2052144861,0.1465500239,0.7317120429,0.0,2.7959852012068236,1.3031568742,10.6931163654,53.91436205693925,73.4702011319,107.4565904201,234.84115360893924,4.968000555,0.0507214696,1.7959852012,0.3119208205097081,4.3182203059546485
VGG,2021,4,1.0785773012,1915351200000.0,44100000.0,23.8925836233,0.3187834809,16.87864766,1026.6890397052155,40267.8602178458,9.8217978902,0.10419906596392031,0.02796583039195318,0.0422356069,0.023054599,0.0173895942,0.016719455567511875,156454159240.0,27068982252,0.0345367471,1.2544234236,0.2030921058,0.9647606909,0.0,2.378007819294728,1.303337085,10.159271355,62.89871841608247,55.3146448385,93.9698539806,212.1832172351825,6.5986141837,0.0373009662,1.3809048693,0.3280490407160451,4.278115313072562
VGG,2021,3,1.1559763088,2014399800000.0,44100000.0,17.8033439452,0.3176826591,10.4217112425,-672.2608978911564,39514.6506483447,9.5147444251,0.06204916931579545,-0.03553573136341289,0.0599000766,0.0439472621,0.0246845915,-0.03283077179944347,171913154790.0,-27390015309,0.0437847541,1.3049428767,0.2062588207,0.9013058952,0.0,2.2863587537035457,1.3833561882,11.6899158693,50.511289950058256,66.3473330562,95.6293291118,212.48795211805827,5.5013514965,0.0,1.2863587537,0.28339262930002984,4.19038167293424
VGG,2021,2,1.1509534694,2033627400000.0,44100000.0,11.2233663534,0.2732914384,-5.1413775584,1451.5108481405896,40065.9116346939,8.3382047913,0.08360430409072445,0.030446925893674055,0.0933840796,0.0697445234,0.03765543,0.02150522016174265,217189110035.0,45212582923,0.0433707768,1.2674365083,0.1211244205,0.8402259452,0.0,2.458144251285207,1.546410265,13.660838247,50.660571644972514,61.1073636493,89.6807920413,201.44872733557253,5.9730935554,3.01512e-05,1.4699528802,0.2856774075987349,4.252650327063492
VGG,2021,1,1.0148776021,1839102300000.0,44100000.0,10.872327321,0.2590531757,-17.5591991647,90.33779671201815,41091.6547122449,5.7544744981,0.08714659533647622,0.002741279745149182,0.08554061502218246,0.06224925443530083,0.034061674028635025,0.00023116014188312212,202335993856.0,335944611,0.0479581805,1.2717106342315674,0.27434438467025757,0.8485694527626038,0.0,2.501619514375557,1.4295507669448853,12.918905258178711,52.256189930439355,68.57770538330078,99.42021179199219,220.25410710573232,5.322429180145264,4.8228201194433495e-05,1.5016194581985474,0.28482901535869515,4.349448029786848
VGG,2020,4,1.1053303506,1998612000000.0,44100000.0,14.1051608563,0.280666145,5.9069925036,1696.1100309750566,41001.3169155329,7.2963475825,0.12431916043802464,0.038339678416822696,0.07249379,0.0522343639,0.0291579136,0.032319888107481355,211524509885.0,63054196355,0.0441306267,1.2632483596,0.2187326093,0.935144586,0.0,2.4559810379348463,1.4653604259,12.2631947908,63.25436224831106,56.872566475,86.2213369849,206.34826570821107,6.41785702,0.0052272507,1.4759240735,0.29458541386956166,4.340705244283447
VGG,2020,3,0.9739039,1890831600000.0,44100000.0,10.1318762339,0.2428021305,-20.3901231935,900.26851430839,44024.8776100454,5.6618860703,0.07988620977233316,0.020524348957586303,0.094838167,0.0719340546,0.0368342098,0.011430416172754681,253550835978.0,22110741339,0.0,1.3252819518,0.1966930733,0.9079576862,0.0,2.4912191082951325,1.5370526386,13.803509161,50.95547743672507,64.4189932169,91.9787376765,207.35320833012509,5.6660308051,0.0131865689,1.4912191083,0.25931250836841263,4.659501310079365
