ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VGS,2024,2,2.1098466524,2125420788000,55932126,34.9237715523,0.2785248101,10.8015037322,216.5321695263291,18010.7876353565,25.8140546538,0.01772657834977129,0.006093152110406393,0.0617437747,0.0528363147,0.0257532818,0.007971146162546546,109844711985.0,15843915123,0.0,1.2133944396,0.0878021083,0.7232098797,-3.610070714277184,2.332443897516777,3.2291619952,61.160780306,34.606895895542735,24.84404991,23.5028835708,82.95382937634272,14.691646544,1.0059031299999999,1.3324438975,0.11996712029014601,1.801309955448502
VGS,2024,1,2.2586623299,2247980074000,53269670,38.4210935921,0.3113112007,22.8923777308,263.58235513754823,18683.6250119627,26.1244335453,0.022251524651621946,0.00785552004009747,0.0602392026,0.0542898316,0.0254789181,0.012373884071208655,117272977353.0,22117062363,0.0,1.1932453449,0.0720040432,0.6807118136,-3.9849055516716283,2.4363702025132383,3.1445315644,56.4817625761,38.15830930666559,25.0483413793,23.721714716,86.92836540196559,14.5718231188,1.1125272591,1.4363702025,0.12325527481790279,1.7796540262478133
VGS,2023,4,1.5037967347,1475569859000,53269670,25.411634335,0.1952924566,26.6524772503,482.61669694969015,18420.0426568252,17.9461274256,0.030018425916465634,0.012018487672081636,0.0608764093,0.0570088547,0.0251796265,0.016660973208824474,120258153933.0,35639605907,0.0,1.1761154405,0.128949178,0.8364926431,-4.733030885357937,2.4937888600958695,3.2763961906,56.7006509903,39.62669823052647,21.3269105774,26.1260224099,87.07963121782647,17.1145276141,1.0969765991,1.4937888601,0.12839184630802875,1.754546773353475
VGS,2023,3,1.2000804485,1150624872000,53269670,23.0012149793,0.1481414348,9.241079178,168.91364767230584,17998.7933526526,17.3324586907,0.02612849523691702,0.0052410436712085045,0.0530058451,0.0530294652,0.0227959636,0.013054272358344996,105768212125.0,22411949635,0.0,1.2024586162,0.0709181821,0.8101856597,-2.428221551139239,2.3256670176322185,3.5394206874,57.5412240692,39.158375482195325,22.6644932451,25.2162195849,87.03908831219533,16.1044853751,1.0038509086,1.3256670176,0.1350686462629853,1.7144773708136893
VGS,2023,2,1.1328939017,1076047334000,53269670,23.3844216868,0.1347008968,5.8056394593,183.2422936729287,17830.442877232,18.5084994718,0.025279419655323022,0.006187127707709439,0.0493256657,0.0482703637,0.0211037883,0.014532873626932103,94186525654.0,22928103970,0.0,1.2687909902,0.0281678106,0.8216312133,-2.300729412848974,2.1925504394548696,3.663671865,57.7957041525,39.93398346324344,23.4411267081,26.2886333042,89.66374347554344,15.5709238956,0.8404485152,1.1925504395,0.14019216993413958,1.6984214142280234
VGS,2023,1,0.9427381597,886230954300,48427921,12.0975978324,0.1094258825,10.2742467254,280.80167684671,19411.5405348291,13.0411412577,0.01977168682993851,0.006408149572475909,0.0793659111,0.061812253,0.0319610758,0.01164857290503927,109106125020.0,24719267900,0.0,1.2481810232,0.0366026771,0.8164327084,-2.618363595535021,2.4609569720731073,3.5334624033,57.6151629043,41.24410081604728,27.5208654768,29.5714142922,98.33638058504728,13.2626642977,0.6239327849,1.4609569721,0.14556946712862473,1.6809651944340538
VGS,2022,4,0.6638530845,615034596700,48427921,6.1435961671,0.0724999861,10.9058464049,364.80305619561904,19130.738858003,8.3566729556,0.019720826510534892,0.007516177296188897,0.1137776353,0.0750556681,0.0471637033,0.00892608062925616,132737349162.0,20980608645,0.0,1.2130180806,0.1556360214,0.8625159842,-1.8901899307792482,2.3216501342834923,3.9966179639,58.9815317742,33.808278544674764,23.2193335936,23.7233472694,80.75095940767477,15.7196587287,0.6958638967,1.3364014362,0.15150390018271204,1.656442106936897
VGS,2022,3,0.6454645032,590820636200,48427921,5.1865196231,0.0743756227,2.6596403783,103.01932383180356,18901.1168537051,6.9050313341,0.014206347193563377,0.002574071903206952,0.1289912239,0.099613501,0.0487964632,0.005584122872871797,157135949562.0,10823028750,0.0,1.315363327,0.0160875985,0.8499920436,-1.2682174737774885,2.3748914370640146,3.4027790896,55.0691871453,44.570496350012846,30.385943746,31.8478514324,106.80429152841285,12.0121330787,0.5681643297000001,1.3748914371,0.15561854491485452,1.6367657741652804
VGS,2022,2,0.7713546531,702204854500,48427921,4.8304796008,0.0966958035,3.7029543299,764.072947401562,18798.0975298733,7.4350799539,0.03105255888323324,0.021918721820301225,0.1695630511,0.1048794809,0.0633060105,0.02242274221464865,189696356128.0,37853334966,0.0,1.2750554667,0.0311244618,0.7129885498,-3.8681249167658733,2.7779882416036807,3.1624784259,49.7894384192,42.86736548392885,38.1308965921,33.2820713007,114.28033337672885,9.5722899963,0.8367248577,1.7779882416,0.1565984577815406,1.6278458148113304
VGS,2022,1,0.843822682,736952807500,42111589,5.3029989836,0.097794332,2.5715429204,957.5641789722065,20738.9542529967,7.0956254564,0.026843577518447643,0.016088583545002786,0.168723071,0.1163786395,0.0619341858,0.0192684679582224,195065092796.0,48294635819,0.0,1.2495778679,0.0143392617,0.8855672448,-7.503736396990229,2.924062322698685,3.3584453996,50.7805488916,39.43000358730942,37.3884133467,31.3489607284,108.16737766240942,9.7623827097,0.7746247221,1.9240623227,0.16578583284513976,1.5616774694421591
