ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VIW,2024,2,1.1887553752,713628780000.0,58018600.0,334.4087582433,0.6319120253,13.7960473761,-9.19121840237441,10346.9563684577,14.1546142937,0.14757443965623196,-0.0030091563468258925,0.0035322107,0.0439869032,0.0010424654,0.04697765388070459,79406142318.0,8325050982,0.0,1.2616216107,0.0926721572,0.7351827764,-1.2703779294811,2.774824769801448,0.551674221,3.418040709,142.56182273814707,188.0420207444,169.1135496546,499.71739313714704,1.9410555075,0.7102144503,1.7748247698,0.45627564380648933,1.2249433909504883
VIW,2024,1,0.8900917865,533771120000.0,58018600.0,71.9522298694,0.3969018869,4.8408482333,18.40935515507096,10336.0126890687,9.5549928116,0.17431735859010317,0.007397147519487227,0.0122690021,0.0579913327,0.0035477837,0.06738985073241756,95154205415.0,9730519691,0.0,1.2617215574,0.113283606,0.8168729674,-1.304726833058179,2.781429578718832,0.6431588265,4.0102761112,130.20438233263056,152.4951991156,144.6922902928,427.39187174103057,2.3935179738,0.6896719849,1.7814295787,0.4571607066059024,1.2324218161744682
VIW,2023,4,1.061891656,638204600000.0,58018600.0,179.1204610134,0.4709536338,20.7357040316,-45.50425117117614,10358.8722427635,11.5599894869,0.07982320119521603,-0.006023195876317189,0.0059369052,0.0517399791,0.0016904058,0.026737777634083335,94649493765.0,11719728131,0.0,1.2636988282,0.1249203466,0.8528636557,-1.2477520281950956,2.9841433316727493,0.6429215901,3.9462866023,134.27847397221362,153.1948034601,145.8729567166,433.3462341489136,2.3825873447,0.8019790792,1.8893070291,0.4740046318587206,1.2083531525803795
VIW,2023,3,0.961975094,585987860000.0,58018600.0,109.9682242935,0.4348035021,7.1504860789,73.06744773227896,10499.2323225138,10.0354465306,0.10199666957560408,0.01147637126916952,0.0088461848,0.0607658287,0.0024758476,0.05171252896422226,103825017620.0,19102155239,0.0,1.2602162984,0.0896727585,0.8064604641,-1.4491193210143014,2.931579919402424,0.626178397,3.884607697,131.134307812743,165.30264873,148.3870595375,444.82401608024304,2.2080710914,0.7918963086999999,1.9315799194,0.4642133868135374,1.255436648347254
VIW,2023,2,0.9633103832,580186000000.0,58018600.0,142.9560119931,0.4610307432,11.0140836365,81.8900595843402,10380.8701476251,10.1458171226,0.0987044196883589,0.01209742470123268,0.0067563729,0.0570888894,0.0018673934,0.05904053800267038,100412779535.0,23187600582,0.0,1.2711981807,0.1280776756,0.8388430118,-2.5926009236399845,2.9971097543022513,0.5790397101,3.5683250067,139.18021260570765,185.6565369779,160.0667097176,484.9034593012077,1.9659959511,0.8875637109,1.9971097543,0.4801427774230247,1.2351393906247308
VIW,2023,1,1.1117983209,667213900000.0,58018600.0,-123.7101901404,0.610645179,-37.0268494065,14.816871623927499,10343.6025978048,13.3081124752,0.19333837069833576,0.005419305850128563,-0.0089737301,0.0449434596,-0.0024490155,0.0852883300695265,86792173576.0,13529125085,0.0,1.2864608647,0.11125738,0.78699997,-1.1546830950498619,2.8933017163972887,0.4961443804,3.0489072902,158.8980844716156,225.3013858102,185.4156099185,569.6150802003156,1.6200521745,0.8974152939000001,1.8933017164,0.4830013749476072,1.2513854674001097
VIW,2022,4,1.142422352,684619480000.0,58018600.0,-91.1894901404,0.6089907525,-15.8484679066,-77.92966593471749,10328.9295584864,14.3471340721,0.09112604826507717,-0.010589987177489072,-0.010325712,0.0392146904,-0.0034332081,0.0362197596438918,81248501758.0,15463941185,0.0,1.2687736592,0.1337319949,0.8106909766,-1.0650843149630593,3.057314230873223,0.5140841571,3.0814072275,148.67071031643025,201.3395769267,179.5593260125,529.5696132556303,1.8128576883,0.9022091481,2.0028459502,0.48752610404065194,1.2545689958065172
VIW,2022,3,0.991964983,597591580000.0,58018600.0,697.4557500312,0.5901256041,-6.4948201246,51.1743223552447,10383.4310448891,13.8649166691,0.12034596872183254,0.010598572578136588,0.0011697266,0.0379821734,0.0003884464,0.057152742762250616,77797456243.0,16010652971,0.0,1.268885373,0.1286793705,0.7556532241,-2.157674519173074,3.0365139167432122,0.4590957947,2.741766225,161.19140747700834,241.7632711053,189.13069439,592.0853729723084,1.5097413198,0.9543227720999999,2.0365139167,0.49397081110953206,1.2598977433822947
VIW,2022,2,1.6148462804,974712480000.0,58018600.0,884.3536052786,1.0288967953,-53.0733655946,-81.02072556042373,10403.4670073218,18.738870007,0.1179474538149987,-0.020714911744738343,0.0015012274,0.033752768,0.0005008075,0.04234236027241372,75735861036.0,9608494564,0.0,1.264405306,0.1388025362,0.7785527375,-0.9968335237628626,3.1262123841919207,0.4304522321,2.526481158,169.99788988512353,244.5837788655,194.1553713741,608.7370401247235,1.4923311828,0.9544518989999999,2.1262123842,0.5067096430658087,1.2478897954518033
VIW,2022,1,1.6800317725,1015325500000.0,58018600.0,-977.9742318632,1.1279186385,-40.0923176963,-1.4618064034637168,10416.4696683994,23.8380001802,0.1415819619715143,-0.000431075399302636,-0.0014140986,0.0229209619,-0.0004733256,0.06064769008744739,59131819632.0,11932134227,0.0,1.2975850137,0.2090368144,0.8171610793,-1.4881416624814827,2.885935079211262,0.4104021499,2.3977977913,183.3936661481262,240.6173650237,201.9064572653,625.9174884371262,1.5169312488,0.9456255438,1.8859350792,0.5068238556152627,1.2675470989872213
