ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VRE,2024,2,1.0897646516,43514897551500.0,2272318410.0,9.6953726038,4.1807182832,215.3126276466,449.52766984799456,17572.6015439887,7.9480669943,0.48794762200243846,0.412116043021095,0.1170487694,0.1014775761,0.0926815527,0.40097789153384295,5849025000000.0,993863000000,0.0,2.2508198619,0.1823435101,2.2092712239,-7.189038460147417,1.3104863975320349,0.2149348821,28.4911739003,51.89773099808858,39.6397087891,44.609804543,136.14724433018858,9.2079384826,0.1535101397,0.3104863975,0.005889325636101964,1.7146269468043238
VRE,2024,1,1.2118151616,47150607007500.0,2272318410.0,10.554533847,4.6671278971,11.9356145294,476.41958769325817,17123.0734340616,8.1013595205,0.5567284931583404,0.48015450783117325,0.1200346387,0.1057563598,0.0962940595,0.46479775290367475,5947838000000.0,1047953000000,0.0,1.7196982401,0.4409481158,1.6425985549,-7.4609705392359285,1.2597624713636872,0.2177653874,24.586857825,49.092362583393104,65.8496182579,47.9400333181,162.88201415939312,5.5429326647,0.1568975538,0.2597624714,0.0103763191298524,1.6707647463161373
VRE,2023,4,1.4516222705,54876489601500.0,2272318410.0,12.4476,5.6045972895,14.0997848052,469.78231365031274,16636.5593103653,8.3544152412,0.5412970568235516,0.4556739246151725,0.1238442067,0.1093319204,0.0975841698,0.42905561296860467,6019898000000.0,1005137000000,0.0,1.6071523735,0.6567875617,1.5046750418,-13.55929528254799,1.2597857664765293,0.2167307756,23.5546988705,48.01097398886506,74.6381873601,48.1529951973,170.80215654626505,4.8902580959,0.1607154578,0.2597857665,0.010927766050218347,1.6242937979865935
VRE,2023,3,1.4288562281,52490555271000.0,2272318410.0,12.7031490214,5.5061549718,8.5091375467,579.4394809308436,16166.776996715,8.0852822774,0.5101390522601243,0.39509296156708357,0.1181227024,0.114240352,0.0940082079,0.4226945651391123,5925185000000.0,1408655000000,0.0,2.9692738487,1.5427298687,2.7909454769,-18.562044565088485,1.216189582060811,0.2168846109,22.9500563636,44.62881431470819,100.2900327363,62.5383432291,207.4571902801082,3.6394444198,0.116929919,0.2161895821,0.011127266338791747,1.5784546722129356
VRE,2023,2,1.7450061118,61807060752000.0,2272318410.0,17.1266675756,7.5322060386,10.0835485599,440.3383766978326,15587.3379558633,10.3367820296,0.5473891846888869,0.4605009970881253,0.1063377264,0.1058831831,0.084385542,0.4931584520994999,5462862000000.0,1071548000000,0.0,2.3265027151,1.4304233544,2.0502224024,-13.39435,1.2469197923327366,0.1918751458,19.6326579928,48.05091274886263,120.6935217858,68.7644877175,237.50892225216262,3.0241888264,0.1209601965,0.2469197923,0.011778659157598757,1.5219159573717043
VRE,2023,1,1.8551528871,63852147321000.0,2272318410.0,18.8844408796,8.1005879448,11.0341220331,450.57329795607296,15146.9995791655,11.2629540178,0.6115199282037137,0.5268659727182345,0.1023859615,0.1018134973,0.0817006843,0.556085188105035,5307355000000.0,1080627000000,0.0,1.8919710028,1.1588997099,1.6652101571,-10.762359572942396,1.285026915930919,0.1904641687,18.7471079294,49.00164784616865,104.2547935546,66.7176038015,219.97404520226866,3.5010380584,0.1545722473,0.2850269159,0.012108104115503442,1.4789498336197024
VRE,2022,4,1.9462039088,64988306526000.0,2272318410.0,23.4102924544,8.828209292,12.8139527332,348.0955822560096,14695.2741539422,13.558934,0.5047994488597711,0.3794769349157506,0.0866495362,0.0894061546,0.0689065246,0.42468885620171887,4725210000000.0,885224000000,0.0,1.8102459026,1.2062374194,1.6077997298,-9.609048673526985,1.2778453729327446,0.1827235678,17.183920764,56.56980695476861,90.6624083159,64.4046510821,211.6368663527686,4.0259243801,0.15880389620000002,0.2775313099,0.01252140585354538,1.433490557127638
VRE,2022,3,1.9959495366,64988306526000.0,2272318410.0,31.4618580941,9.8598640772,22.1255918776,349.1592536100608,14329.0195848917,16.132095415,0.5181428648371531,0.3956725427339771,0.0655345817,0.0709019612,0.0535734631,0.4704796937556229,3971512000000.0,943404000000,0.0,1.82023691,1.0501639683,1.5953176875,-10.548723625507362,1.2256008924372757,0.1709476611,15.3567393708,58.36415619975842,68.8824808213,56.2864273862,183.53306440725845,5.2988800004,0.16234893420000002,0.2256008924,0.012864371419220134,1.3997430138831648
VRE,2022,2,1.8312220769,58171351296000.0,2272318410.0,44.8688913468,10.8258881965,32.2070009097,340.169316323939,13979.7353487974,18.3732605909,0.5737330166404347,0.4179291939415993,0.041818446,0.0468746189,0.0341127802,0.4989589252626747,3074006000000.0,922840000000,0.0,2.0617408239,1.4300745337,1.8996292866,-10.476579706196217,1.216033445149644,0.1413835619,12.3896402446,79.47356921827658,57.9581411859,60.1286271678,197.5603375719766,6.2976484844,0.1663153527,0.2160334451,0.013441446681141007,1.3655664118526099
VRE,2022,1,1.9245480346,59648358262500.0,2272318410.0,65.4746886436,11.8485917392,27.3561859703,166.10128155411107,13639.5660324734,22.0961657204,0.4464204869072481,0.27560863406014047,0.029695812,0.0354975031,0.0240907103,0.34244884845121437,2668438000000.0,468970000000,0.0,2.9517974092,1.6294550762,2.719378966,-5.239185807489498,1.2159981624591591,0.1331239863,11.5627540872,85.61130260577173,48.6938494901,58.3423541593,192.64750625517172,7.4958132048,0.2035230856,0.2159981625,0.013898287976322098,1.3323677735783617
VRE,2021,4,2.2637087463,69305711505000.0,2272318410.0,52.7236089493,11.7643953022,40.6409071851,53.60736394333046,13473.4647509193,21.4793246495,0.3393969319902561,0.08910907747565855,0.0438267551,0.0519741108,0.0338399113,0.1472322806709534,3249594000000.0,201268000000,0.0,2.3620926377,1.140829105,2.1603948159,-2.214802913924775,1.235643186029324,0.1516577955,13.253291309,61.48364892323721,57.5193503296,68.5630163565,187.56601560933723,6.3456905877,0.20540178539999998,0.235643186,0.014315273495539061,1.31615367125168
VRE,2021,3,2.414332503,73623116484000.0,2272318410.0,33.9731051451,9.4669512312,34.6676744258,10.673240111626786,13419.8582671343,17.2583471262,0.1655530224612786,0.03080313200525811,0.0719451043,0.0834334138,0.0558496317,0.05890100399438627,4294530000000.0,46376000000,0.0,2.0684077339,0.94108572,1.9704153172,-0.5249003984063745,1.236410639132239,0.2004220125,17.6571059134,54.29524813785394,29.3510792491,50.9008749076,134.54720229455393,12.4356585631,0.2055857724,0.2364106391,0.014324564521629892,1.310920416504265
