ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VSN,2024,2,1.1630475879,1440585527000.0,80904500.0,14.4667504538,0.4518862478,17.3640144571,330.00168223028385,15309.7776778053,4.6260066107,0.24889480649307488,0.03703487580725961,0.0780458314,0.0681315594,0.0492491317,0.04280001001749473,254806034048.0,30854734237,0.0280804223,2.2055089952,0.7305454575,1.7285961637,-16.081697966881485,1.5976938337443318,1.5766686894,8.8560182183,16.91352675214527,64.1702069653,31.7144306728,112.79816439024526,5.6879978616,0.2132306161,0.5976938337,0.2832839160283218,1.5309664139022139
VSN,2024,1,1.318617808,1723265850000.0,80904500.0,17.0891087408,0.5260095222,50.2998896347,357.0561790382488,16153.2779778751,8.7190793545,0.24085889798343485,0.03449945228608904,0.07894066,0.0632875241,0.0506804324,0.036164797382925516,163722434453.0,30281896266,0.0234741784,2.2915263825,0.762451483,1.726726756,-15.72295666761196,1.5704321303063729,1.6464930221,8.9679135927,16.70888509047438,67.3568663017,31.9220997747,115.98785116687438,5.4188981768,0.19625137239999998,0.5704321303,0.2744588980098278,1.6153158183612653
VSN,2023,4,1.266697771,1632248287500.0,80904500.0,15.2847018343,0.4895499586,-31.337251823,234.5472230222052,15927.2404689974,8.2709383457,0.24330638185355075,0.023525040415996675,0.0829335166,0.064949911,0.0501447533,0.02036294732842297,140089319321.0,16425297081,0.029739777,2.0419175272,0.8803975451,1.463953117,-13.49084957357551,1.6900880578142914,1.5655499028,8.8497310942,18.650817839847956,75.1500454494,44.5668856975,138.36774898674796,4.8569498237,0.23204177680000002,0.6900419117,0.28416388108332874,1.5926673798128919
VSN,2023,3,1.2949123207,1643979440000.0,80904500.0,12.8610821087,0.4616359155,268.9420122263,309.2172802007305,15692.1821468522,7.0310528198,0.22268599119423377,0.03039459930795662,0.1000688286,0.1003475257,0.0660081105,0.030014095022695662,166461738447.0,24703885448,0.0295275591,2.5341431769,0.8497540962,1.7540135737,-60.46945938023437,1.4798060285720755,1.8388412568,9.4729256472,16.570766736356724,66.649877617,32.3374667211,115.55811107445673,5.476379148,0.0203481561,0.4798060286,0.2868463644260269,1.569206577212067
VSN,2023,2,1.3454355047,1674723150000.0,80904500.0,12.5089246176,0.4548143322,24.1491642291,345.60507205408845,15385.3528673189,7.3529119255,0.23213051605990398,0.03455910035906475,0.1053004293,0.1108393289,0.0678952891,0.033804259236073275,177982562429.0,27350280255,0.0289855072,2.5004410488,0.6706602767,1.6510888318,-58.3992316998936,1.4863885419407965,1.8671625498,9.6052614913,17.19107009237637,67.1303215989,33.0472648503,117.36865654157637,5.437185333,0.021680441,0.4863885419,0.2990543207170205,1.538523876806283
VSN,2023,1,1.226393072,1604902566500.0,80904500.0,11.7803175777,0.4240480211,8.492152104,430.1854461865533,16175.0750653425,7.2269186053,0.24742315687966085,0.03886969008983333,0.107775364,0.1110131546,0.0673936903,0.03834089290070242,186261700026.0,34330453184,0.030246509,2.5334973873,0.6997775363,1.6974065648,-67.67561719264354,1.4794858160847684,1.8722386034,9.6818526581,17.247765549245347,67.0994922736,32.1417508959,116.48900871874535,5.4396834854,0.0225729715,0.4794858161,0.29035678117167507,1.6174955109430678
VSN,2022,4,1.502788861,1933837430000.0,80913700.0,14.0692059143,0.5044572998,13.0393244833,495.00899905702,15903.7644081657,7.6566828939,0.2401503116610716,0.03874914100644976,0.109878956,0.1165150068,0.0629161902,0.041379748808341076,192238730701.0,42772134689,0.0,2.1563545354,0.6858340579,1.4383418564,-81.75129180711191,1.6175082007882668,1.7547190521,9.4812755017,16.80538698074561,73.3265996158,43.2476105927,133.3795971892456,4.9777297994,0.025369905999999998,0.6176732995,0.300987258245343,1.5906723642675185
VSN,2022,3,1.4677135778,1828649620000.0,80913700.0,14.5138036521,0.492732527,14.337711791,384.08420462789366,15398.0996990868,7.8968286847,0.23184774055007223,0.032918286170071503,0.1025772896,0.1122082121,0.0593183326,0.03764182906413062,173072412417.0,35537102097,0.0,2.133473015,0.666828079,1.4146147773,-40.09160419226718,1.621656551032328,1.7472656771,9.1079121588,17.991568001213604,74.0491154905,33.4076977892,125.44838128091361,4.9291608358,0.034821794600000004,0.621656551,0.3161094862156969,1.5399736476711605
VSN,2022,2,1.6651601365,2022842500000.0,80913700.0,14.6466701102,0.5287186309,12.3192588459,374.48926059493016,15013.5710382049,9.7534124413,0.23191882531559677,0.03324028240175684,0.1138124611,0.11307943,0.0647447424,0.038242699920227816,170017746966.0,34861435771,0.0,2.0050689873,0.7092766009,1.3173435103,-11.705248963154917,1.6856954059699787,1.7935719085,9.211986899,18.140136934782774,71.1321331461,31.5865783574,120.85884843828278,5.1312955743,0.1762149266,0.685695406,0.3313008180998194,1.501516694144127
VSN,2022,1,1.6808426957,2079482090000.0,80913700.0,14.1627269796,0.5151219844,7.8047344612,446.43159018806455,15289.9495387184,9.0815860961,0.24924715784042212,0.03825936551192312,0.1228003918,0.1122727292,0.0688612036,0.041799306183603724,193031766809.0,39464653033,0.0,1.9453025238,0.7238687695,1.2726620395,-17.349290271420468,1.7300102408177853,1.8932650035,9.5441152821,18.799540316932408,64.9230611566,30.0751200721,113.79772154563241,5.62203928,0.2544748043,0.7300102408,0.333254082545032,1.529157482026473
