ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VTX,2024,2,1.111641998,167778568000,20972321,-1.6079600488,1.1803847602,-5.4066954372,-1173.8335185695469,7196.5614957925,-5.2732982827,-0.29641080256406505,-0.716632432088815,-0.5144320492,-0.289602772,-0.3285091799,-0.6005574436548531,-44868044180.0,-20630563877,0.0,1.0902773357,0.0914475951,0.5972293038,16.413952681572017,1.8644409441674556,0.4475063172,0.970471976,210.75012169735464,135.1695968325,60.0653191927,405.9850377225547,2.7003113759,0.674527953,0.8644409442,0.8679770725740598,0.7196561495792478
VTX,2024,1,1.0752180733,188750889000,20972321,-3.101299842,1.522156275,-3.5015049685,-673.8784964239294,8370.395014362,-3.1211672491,-0.2270233306922185,-0.6002701667472007,-0.2567806133,-0.4192921926,-0.1761659736,-0.537270961538834,-77122285298.0,-12649539146,0.0,1.2311438632,0.0985514006,0.7481538989,12.221980274450594,1.645207455750663,0.358927342,0.8064884239,260.4843092529084,140.8355291368,54.1237116863,455.4435500760084,2.5916755682,0.44402284160000005,0.6452074558,0.8407534230779085,0.8370395014362025
VTX,2023,4,0.8845376017,167778568000,20972321,-2.1496921503,1.2524783268,-9.5614247309,-1938.999786003657,9044.273510786,-1.9924189212,-0.08574883010241452,-0.9107714400327254,-0.3412048454,-0.4906097764,-0.2026666866,-0.3881726038548668,-91555070945.0,-17331643000,0.0,1.2834478181,0.1195102256,0.8144232227,21.91344379588598,1.5262686512198156,0.3478471252,0.8002872649,281.7790735173944,132.8709841883,64.565536014,479.2155937196944,2.7470256372,0.3120404176,0.6161779429,0.6895310842643925,1.0589704707027896
VTX,2023,3,0.7981671214,209723210000,20972321,459.6064017932,1.478508231,-95.0960347173,-1188.5361885315413,12528.7044930316,-4.6021178618,-0.20261159304867857,-0.6295626022096492,0.0016784371,-0.2300947505,0.0011030672,-0.40055485816091463,-48751619238.0,-15859225988,0.0,2.3865078445,0.4464735788,1.3199585479,17.451894578255057,1.3751125564263456,0.3428974674,0.8631977987,248.3065437591544,200.1151090835,64.1289858062,512.5506386488544,1.8239502338,0.2740120854,0.3751125564,0.5865602886277493,1.2528704493031553
VTX,2023,2,0.7290095896,209723210000,20972321,8.2180769703,1.2246574575,-27.101739545,899.405488071635,13717.2406815631,-7.8025181321,-2.768069772520005,1.1632259674117948,0.0938733018,-0.1581788973,0.0586379588,-3.3013541742598216,-31198715664.0,-53534044989,0.0,2.5190537262,0.2170564911,1.4132650428,43.07765588192593,1.3654685924682386,0.3934906498,0.9927463458,218.5448798418977,193.85475286,61.9744098591,474.3740425609977,1.8828529846,0.26272865700000003,0.3654685925,0.5567643096345362,1.3717240681563094
VTX,2023,1,1.1699113587,314584815000,20972321,44.7448232804,1.452509212,10.0865973077,52.09858899260602,12821.4841988161,30.2400683688,0.38533571870346167,0.03261673028754557,0.0264733863,-0.0211932467,0.0156891186,0.10425129979110447,13767232892.0,3492315839,0.0,1.5772550072,0.0841055903,0.7297449652,-1.282557059611482,1.6229460639600624,0.4833062903,1.2629979761,175.94108465182734,200.4662885683,70.9943197712,447.4016929913273,1.8207550138,0.5410172037000001,0.622946064,0.6541084550756635,1.2821484198816144
VTX,2022,4,1.409621461,377501778000,20972321,49.3285110313,1.2117699872,-24.2680228002,258.78985888114147,12769.3856098235,36.549924131,0.1333792003287048,0.10330098514112575,0.0289688948,-0.0190089867,0.0164870774,-0.10465355790261148,13529908986.0,-5498488037,0.25,1.4141572465,0.1161308426,0.7910598419,2.879780741559489,1.7310693532812076,0.6711529299,1.7892533752,137.71069792810502,137.3917189126,69.326939213,344.429356053705,2.6566375535,0.6285898785,0.7313131929,0.6233250676404638,1.2784968755389545
VTX,2022,3,1.436990494,377501778000,20972321,-32.1184743101,0.8590422201,85.2889864612,6.535747712425344,12526.1788965084,85.8003955688,0.1411885604367137,0.001986639674933144,-0.0449538305,-0.0372711794,-0.0256575837,0.028216766245074822,5763576539.0,1946838436,0.25,1.4814005789,0.1147863908,0.8471208115,-1.3322828379693124,1.7032785794630387,0.9593037731,2.6196758064,99.0049893865485,90.961518068,45.288326199,235.25483365354847,4.0126858891,0.661943502,0.7032785795,0.711130113944455,1.2526178896508402
VTX,2022,2,1.5815147257,415251955800,20972321,35.2583822516,0.6480112167,39.2498242298,17.810115342026283,12519.643148796,15.5593836515,0.019505231984365323,0.006068993894603869,0.0446370966,0.0343806234,0.0232510199,-0.1305649025490808,33016991009.0,-8035686346,0.2272727273,1.674929055,0.1382874701,0.9629379527,4.425616140459488,1.6928146804818849,1.265091294,3.9081787373,79.51521863848612,72.2587241181,39.9393784051,191.7133211616861,5.0512931754,0.6031350721,0.6928146805,0.5944734162884926,1.2519643148795978
VTX,2022,1,1.3577691564,356529457000,20972321,30.6104508289,0.505712197,39.0763369092,97.34795729094553,12520.5377659917,11.8386424642,0.10205140140933792,0.015894468372537114,0.0447237594,0.0590292803,0.0223820107,0.03046231362610964,38984094386.0,3912823137,0.2647058824,1.6940489297,0.089669466,1.0510403274,-2.6193163852395274,1.8123256748457113,1.3547694587,4.2884666901,76.23131360413194,64.8186884505,37.4044323511,178.45443440573194,5.6310920311,0.6471741517,0.8123256748,0.615034758976036,1.2520537765991662
VTX,2021,4,1.3281613059,346043296500,20972321,17.6425938873,0.5443361971,6.8319915277,-682.1189459669247,12423.1898087007,9.9370655903,0.048888842356084865,-0.07927498384729861,0.0782260076,0.0859612291,0.0501728914,-0.06977738890346193,44369104959.0,-12591722975,0.0,1.645588506,0.0478328255,0.9955236476,9.235151623436058,1.8007263161882918,1.6261640355,5.7060500268,76.02948776754045,53.8356693326,26.6116252804,156.47678238054044,6.7798915575,0.4711644749,0.7835379031,0.6457721243642798,1.2300369613120075
VTX,2021,3,1.4326991251,390085170600,20972321,6.8688391956,0.7363329693,-124.1393210716,1128.5294631433499,12982.488559087,226.1148062027,0.15180006212797556,0.08754188460677066,0.2248762157,0.1191125247,0.1222554624,0.11021691686587275,2144665307.0,29798318965,0.0,1.2895062789,0.0529457881,0.8725294461,-17.46425869992386,2.3551251873859527,1.1404529566,4.8062436099,100.21197523935126,77.1668231922,36.07256303,213.45136146155127,4.7300120039,0.5139075724,1.3551251874,0.6305808992436233,1.2982488559086998
VTX,2021,2,1.2892490859,320876511300,20972321,8.6108016421,1.0817399361,-21.1032654365,11.60740678153839,11867.3731607961,16.7568421956,0.11295006562299259,0.001936007234487656,0.1547972803,0.0330337827,0.0986317989,0.011440243721806034,23349601215.0,1438500449,0.0,1.5724023825,0.1529575067,1.1344985699,0.0,2.008524545139791,0.7851229556,3.5108685923,161.728856456733,103.2202265971,42.2635174138,307.212600467633,3.5361286449,0.5925846872,1.0085245451,0.6340447992206519,1.186737316079608
VTX,2021,1,1.1808600381,293612494000,20972321,9.6789439308,1.3051632481,-8.097742074,367.8125723900564,11855.7657540145,33.4905006531,0.3603567242709041,0.13039138514524137,0.1297868821,-0.0123264596,0.0933313211,0.17405480778629984,10689285073.0,10296987641,0.0,2.1703556473,0.0497304245,1.6850529593,-16.4937755985002,1.596329019114238,0.6921345857,3.3323135872,196.3993627654471,104.6597930332,39.2257238478,340.2848796464471,3.4874901758,0.2885413132,0.5963290191,0.22188606839363198,1.1855765754014542
VTX,2020,4,1.1229154399,270542940900,20972321,61.9285516032,1.3630525325,-5.9316904786,1199.9316814767426,11487.9531816245,-18.0862499804,0.4068185999444294,0.3377588263841886,0.0182898468,-0.1115689602,0.0141903989,0.05840663422052667,-15218115666.0,4351695405,0.0,3.2782695979,0.318982307,2.5846067381,-33.61206943281332,1.3315152068059741,0.6447226552,2.8242857223,249.97299707790518,72.9047719427,54.1303715991,377.00814061970516,5.0065309893,0.1305622994,0.3164508248,0.2339528477189488,1.1460980368124254
VTX,2020,3,1.0810996911,243278923600,20972321,-30.8722640699,1.166565222,-9.7133272921,197.4863895131111,10729.8152940726,5.0479347023,0.14228366198228434,0.11126760875663833,-0.0346193826,-0.0989990325,-0.0270390771,-0.12099222184583507,49123976733.0,-4503730177,0.0,3.0958053595,0.2406240263,2.5104798937,12.403472746951826,1.3082571172563175,0.7155686736,2.5826252866,201.22136955475435,56.6143839141,46.199767244,304.03552071285435,6.4471248253,0.0942076387,0.3082571173,0.30550290527363816,1.0729815294072602
VTX,2020,2,1.3387352529,295709726100,20972321,-43.1958433001,1.2467866481,-6.586993194,-318.7918479790577,10532.3289045595,545.0492713288,-0.06478185238077636,-0.1236448589449426,-0.0298098401,-0.0669498486,-0.0236742297,-0.2606527845997925,595301704.0,-14094186342,0.0,2.7266999987,0.1104159614,2.2562256381,50.789289472531735,1.3072171346392607,0.8202111558,2.7658180783,171.34153792905389,47.2726185989,46.2247547278,264.8389112557539,7.7211715961,0.1638194719,0.3072171346,0.40693222745424634,1.0532328904559491
