ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
WCS,2024,2,2.7052760988,641250000000,2500000,8.7107199226,4.2701072924,10.626128992,8021.2071768,94814.7215416,7.9300426602,0.6310215479842747,0.5075421942779372,0.3289475353,0.3150555543,0.2692473124,0.5319998225117955,75681780518.0,21019340079,0.007797271,7.1892027946,1.232677805,7.1864212617,0.0,1.157927917253126,0.549245667,5.4191056672,12.325300791746066,0.3505850775,7.2882236649,19.96410953414607,1041.1167599276,0.0,0.1579279173,0.14165721260181163,9.48147215416
WCS,2024,1,2.4781122294,550750000000,2500000,7.8826595379,3.7954506385,9.3282253727,7733.2442536,88898.3143648,7.6848128885,0.6162107583972727,0.49585357765625726,0.3196235396,0.3146598717,0.260119585,0.5105492594414605,70933849377.0,19906088736,0.0090785293,7.5324353958,0.1887745148,7.5320495839,0.0,1.1533769354911285,0.5402346976,5.7260655291,12.391658469279154,0.2240574425,4.2382988995,16.854014811279153,1629.0465337108,0.0,0.1533769355,0.12227752669632361,8.88983143648
WCS,2023,4,2.3187314413,470500000000,2500000,7.0771309163,3.3545196662,7.7127002579,6118.7524152,81165.0701112,6.3414806123,0.6211429117149266,0.4384562964970569,0.3376224965,0.3276510918,0.264970128,0.4190390479808764,70769023770.0,14619451285,0.0106269926,3.3180132952,0.5727985762,3.3167256528,0.0,1.4006270554001896,0.5590154393,5.484702177,11.802101383196959,0.3803357013,2.8014254508,14.983862535296959,959.6785122792,0.0,0.4006270554,0.1313031806687173,8.11650701112
WCS,2023,3,1.991611767,464000000000,2500000,7.1959646632,3.4548277947,6.4668143464,7573.271564,93190.8532932,6.5882040586,0.6293394464985046,0.514709216297009,0.305310154,0.2788233954,0.2614625447,0.5201926164116925,67132163523.0,19134881526,0.0107758621,6.0695804235,0.5243279154,6.0692614758,0.0,1.196037335575433,0.5445930578,5.6218405308,13.977327688301866,0.0985695801,1.5107601781,15.586657446501865,3702.9679893145,0.0,0.1960373356,0.10065160129491411,9.31908532932
WCS,2023,2,2.0115611185,435000000000,2500000,7.582632814,3.4929916325,6.7775853346,6522.1521704,86499.9817292,7.0726114028,0.5851912791562439,0.47335906724741794,0.2886374688,0.2656772384,0.2502524085,0.47237284604603796,60723076429.0,16271408938,0.0114942529,6.5931990717,0.1587119718,6.5928026131,0.0,1.1802042885280521,0.5432512655,5.198013847,14.398391857457987,0.107485531,1.4814073512,15.987284739657987,3395.8058984457,0.0,0.1802042885,0.11143735770693267,8.64999817292
WCS,2023,1,2.0559434161,420750000000,2500000,8.46506091,3.7341402974,7.9842795232,6378.5211208,81860.2295588,7.6065858268,0.5911444330268492,0.4670835241860732,0.2643737821,0.2427803961,0.2329652079,0.4820956142521193,54050034661.0,16458817848,0.0118835413,7.9861879465,0.3649504561,7.9856180727,0.0,1.1482543315528164,0.5281174561,4.6853640871,16.051183019967226,0.121711434,1.537220779,17.710115232967226,2998.8965545892,0.0,0.1482543316,0.11487480298409573,8.18602295588
WCS,2022,4,2.0179637156,385250000000,2500000,10.1093217329,4.0959854272,11.0517140378,5318.2885264,76364.108438,9.0330511924,0.6030398143108326,0.4595138299058654,0.2132312413,0.1914675766,0.1889573731,0.45255481852828183,40974677925.0,13094367037,0.0129785853,8.4545426168,0.5376459246,8.4538555048,0.0,1.1398055576523616,0.4663666197,3.709966269,20.581318440657597,0.1805485874,8.699533635,29.461400663057596,2021.616482047,0.0,0.1398055577,0.1283444791129508,7.6364108438
WCS,2022,3,2.2242674803,407500000000,2500000,19.1610769956,5.8680504299,14.6078808543,4728.2128996,73282.5532212,18.5373696801,0.5460264268101013,0.4375626158913636,0.1229316647,0.0976028834,0.1100723089,0.4304392025593434,21166776628.0,11628096849,0.0122699387,8.4432929833,0.6915169035,8.4425242673,0.0,1.1416118285927548,0.3594215849,2.7837385643,25.24500536555027,0.1801436825,4.2191519671,29.64430101515027,2026.1604238391,0.0,0.1416118286,0.12948797458731084,7.32825532212
WCS,2022,2,2.2509055462,390000000000,2500000,185.0242485284,9.0637062009,-199.9790447599,3456.7009032,69305.4403216,-178.4736653275,0.5169874520336132,0.38258884926958725,0.0123787435,-0.0147111593,0.0111798339,0.37648431427575435,-1455802154.0,8503865649,0.0128205128,11.5743522764,9.0558003538,11.5731410117,0.0,1.106280926273898,0.2282223546,1.6796837696,41.39486948561234,0.2282852083,7.8308833825,49.45403807641234,1598.8771359321,0.0,0.1062809263,0.14117206598210852,6.93054403216
WCS,2022,1,2.4674614827,417000000000,2500000,-3403.3676200177,10.270818999,214.3807591029,1740.1546508,67599.8394184,-64.027216174,0.3926415996944226,0.28032421501674304,-0.00071436,-0.032016612,-0.0006419157,0.21436758453851146,-4317688295.0,3326797412,0.0119904077,12.1239719797,10.6469687301,12.1226075357,0.0,1.1021176989441344,0.212707001,1.5492768207,43.960991003427644,0.248715822,10.6973032902,54.90701011562764,1467.5383218256,0.0,0.1021176989,0.15029650358658314,6.75998394184
