ticker,sector,exchange,volume of listed
A32,Hàng tiêu dùng và trang trí,UPCoM,6800000
AAA,Nguyên vật liệu,HOSE,296759974
AAH,Năng lượng,UPCoM,117900000
AAM,"Thực phẩm, đồ uống và thuốc lá",HOSE,12346411
AAS,Dịch vụ tài chính,UPCoM,229999521
AAT,Hàng tiêu dùng và trang trí,HOSE,34800000
AAV,Phát triển và quản lý bất động sản,HNX,68987661
ABB,Tổ chức tín dụng,UPCoM,1035036762
ABC,Dịch vụ viễn thông,UPCoM,20393000
ABI,Bảo hiểm,UPCoM,72391750
ABR,Dịch vụ viễn thông,HOSE,0
ABS,Nguyên vật liệu,HOSE,80000000
ABT,"Thực phẩm, đồ uống và thuốc lá",HOSE,0
ABW,Dịch vụ tài chính,UPCoM,101150000
ACB,Tổ chức tín dụng,HOSE,2701948075
ACC,Nguyên vật liệu,HOSE,30000000
ACE,Nguyên vật liệu,UPCoM,3050781
ACG,Nguyên vật liệu,HOSE,0
ACL,"Thực phẩm, đồ uống và thuốc lá",HOSE,50159019
ACM,Nguyên vật liệu,UPCoM,51000000
A32,Hàng tiêu dùng và trang trí,UPCoM,6800000
AAA,Nguyên vật liệu,HOSE,296759974
AAH,Năng lượng,UPCoM,117900000
AAM,"Thực phẩm, đồ uống và thuốc lá",HOSE,12346411
AAS,Dịch vụ tài chính,UPCoM,229999521
AAT,Hàng tiêu dùng và trang trí,HOSE,34800000
AAV,Phát triển và quản lý bất động sản,HNX,68987661
ABB,Tổ chức tín dụng,UPCoM,1035036762
ABC,Dịch vụ viễn thông,UPCoM,20393000
ABI,Bảo hiểm,UPCoM,72391750
ABR,Dịch vụ viễn thông,HOSE,0
ABS,Nguyên vật liệu,HOSE,80000000
ABT,"Thực phẩm, đồ uống và thuốc lá",HOSE,0
ABW,Dịch vụ tài chính,UPCoM,101150000
ACB,Tổ chức tín dụng,HOSE,2701948075
ACC,Nguyên vật liệu,HOSE,30000000
ACE,Nguyên vật liệu,UPCoM,3050781
ACG,Nguyên vật liệu,HOSE,0
ACL,"Thực phẩm, đồ uống và thuốc lá",HOSE,50159019
ACM,Nguyên vật liệu,UPCoM,51000000
ACS,Tư liệu sản xuất,UPCoM,4000000
ACV,Vận tải,UPCoM,2177173236
ADC,Truyền thông và giải trí,HNX,3977936
ADG,Truyền thông và giải trí,HOSE,18000333
ADP,Nguyên vật liệu,HOSE,23039850
ADS,Hàng tiêu dùng và trang trí,HOSE,58394727
AFX,"Thực phẩm, đồ uống và thuốc lá",UPCoM,35000000
AG1,Hàng tiêu dùng và trang trí,UPCoM,4863386
AGF,"Thực phẩm, đồ uống và thuốc lá",UPCoM,28109743
AGG,Phát triển và quản lý bất động sản,HOSE,82750577
AGM,"Thực phẩm, đồ uống và thuốc lá",HOSE,18200000
AGP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,23143941
AGR,Dịch vụ tài chính,HOSE,212000000
AGX,"Thực phẩm, đồ uống và thuốc lá",UPCoM,10800000
AIC,Bảo hiểm,UPCoM,100000000
ALT,Nguyên vật liệu,HNX,6172523
ALV,Nguyên vật liệu,UPCoM,5657936
AMC,Nguyên vật liệu,HNX,2850000
AMD,Phân phối và bán lẻ hàng lâu bền,UPCoM,163504874
AME,Tư liệu sản xuất,HNX,65200000
AMP,Phân phối và bán lẻ hàng lâu bền,UPCoM,13000000
AMS,Tư liệu sản xuất,UPCoM,60000000
AMV,Dịch vụ và thiết bị chăm sóc sức khỏe,HNX,131105650
ANT,"Thực phẩm, đồ uống và thuốc lá",UPCoM,18399823
ANV,"Thực phẩm, đồ uống và thuốc lá",HOSE,127539625
APC,Dịch vụ chuyên biệt và thương mại,UPCoM,20121395
APF,"Thực phẩm, đồ uống và thuốc lá",UPCoM,29770578
APG,Dịch vụ tài chính,HOSE,34028900
APH,Nguyên vật liệu,HOSE,195107442
API,Phát triển và quản lý bất động sản,HNX,84083976
APL,Phân phối và bán lẻ hàng lâu bền,UPCoM,1200000
APP,Năng lượng,UPCoM,4724632
APS,Dịch vụ tài chính,HNX,83000000
APT,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8800000
ARM,Vận tải,HNX,3111283
ART,Dịch vụ tài chính,UPCoM,96922509
ASA,Tư liệu sản xuất,UPCoM,10000000
ASG,Vận tải,HOSE,0
ASM,"Thực phẩm, đồ uống và thuốc lá",HOSE,258867849
ASP,Dịch vụ tiện ích,HOSE,37339929
AST,Vận tải,HOSE,45000000
ATA,"Thực phẩm, đồ uống và thuốc lá",UPCoM,11999998
ATB,Tư liệu sản xuất,UPCoM,13884000
ATG,Nguyên vật liệu,UPCoM,15220000
ATS,Dịch vụ tiêu dùng,HNX,3500000
AVC,Dịch vụ tiện ích,UPCoM,75052052
AVF,"Thực phẩm, đồ uống và thuốc lá",UPCoM,43338000
AVG,Nguyên vật liệu,UPCoM,13600000
BAB,Tổ chức tín dụng,HNX,895933642
BAF,"Thực phẩm, đồ uống và thuốc lá",HOSE,0
BAL,"Thực phẩm, đồ uống và thuốc lá",UPCoM,2000000
BAX,Phát triển và quản lý bất động sản,HNX,8200000
BBC,"Thực phẩm, đồ uống và thuốc lá",HOSE,0
BBH,Nguyên vật liệu,UPCoM,2047932
BBM,"Thực phẩm, đồ uống và thuốc lá",UPCoM,2000000
BBS,Nguyên vật liệu,HNX,6000000
BBT,Dịch vụ và thiết bị chăm sóc sức khỏe,UPCoM,9800000
BCA,Nguyên vật liệu,UPCoM,19000000
BCB,Năng lượng,UPCoM,5700000
BCC,Nguyên vật liệu,HNX,123209812
BCE,Phát triển và quản lý bất động sản,HOSE,35000000
BCF,"Thực phẩm, đồ uống và thuốc lá",HNX,33897213
BCG,Tư liệu sản xuất,HOSE,207537174
BCM,Phát triển và quản lý bất động sản,HOSE,1035000000
BCO,Tư liệu sản xuất,UPCoM,5631895
BCP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,6000000
BCR,Phát triển và quản lý bất động sản,UPCoM,473799913
BCV,Dịch vụ tiêu dùng,UPCoM,1800000
BDB,Truyền thông và giải trí,HNX,1126474
BDG,Hàng tiêu dùng và trang trí,UPCoM,24799920
BDT,Nguyên vật liệu,UPCoM,38600000
BDW,Dịch vụ tiện ích,UPCoM,12410800
BED,Truyền thông và giải trí,HNX,3000000
BEL,Công nghệ phần cứng và thiết bị,UPCoM,6000000
BFC,Nguyên vật liệu,HOSE,57167993
BGE,Dịch vụ tiện ích,UPCoM,730000000
BGW,Dịch vụ tiện ích,UPCoM,18149446
BHA,Dịch vụ tiện ích,UPCoM,66000000
BHC,Nguyên vật liệu,UPCoM,4500000
BHG,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8935643
BHI,Bảo hiểm,UPCoM,100000000
BHK,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3986000
BHN,"Thực phẩm, đồ uống và thuốc lá",HOSE,231800000
BHP,"Thực phẩm, đồ uống và thuốc lá",UPCoM,9179290
BIC,Bảo hiểm,HOSE,117276895
BID,Tổ chức tín dụng,HOSE,4022018040
BIG,Phân phối và bán lẻ hàng lâu bền,UPCoM,5000000
BII,Phát triển và quản lý bất động sản,UPCoM,57680000
BIO,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,8562000
BKC,Nguyên vật liệu,HNX,11737728
BKG,Nguyên vật liệu,HOSE,32000000
BLF,"Thực phẩm, đồ uống và thuốc lá",UPCoM,11500000
BLI,Bảo hiểm,UPCoM,60000000
BLN,Vận tải,UPCoM,5000000
BLT,"Thực phẩm, đồ uống và thuốc lá",UPCoM,4000000
BMC,Nguyên vật liệu,HOSE,12392630
BMD,Dịch vụ tiện ích,UPCoM,2753280
BMF,Phân phối và bán lẻ hàng lâu bền,UPCoM,15848063
BMG,Hàng tiêu dùng và trang trí,UPCoM,5292000
BMI,Bảo hiểm,HOSE,91354037
BMJ,Nguyên vật liệu,UPCoM,104999978
BMN,Tư liệu sản xuất,UPCoM,2750000
BMP,Nguyên vật liệu,HOSE,81860938
BMS,Dịch vụ tài chính,UPCoM,71111425
BMV,"Thực phẩm, đồ uống và thuốc lá",UPCoM,24200000
BNA,"Thực phẩm, đồ uống và thuốc lá",HNX,24999855
