time,open,high,low,close,volume,ticker
2010-07-15,11.15,11.59,10.5,10.65,174100,AAA
2010-07-16,10.83,10.83,10.17,10.17,109200,AAA
2010-07-19,10.83,10.83,10.13,10.13,104900,AAA
2010-07-20,10.5,10.5,9.73,9.88,328700,AAA
2010-07-21,9.88,9.93,9.62,9.86,75800,AAA
2010-07-22,9.86,10.5,9.84,9.86,147200,AAA
2010-07-23,10.39,10.39,10.02,10.06,115800,AAA
2010-07-26,10.08,10.23,9.84,9.86,131700,AAA
2010-07-27,10.17,10.28,9.93,10.08,112900,AAA
2010-07-28,10.26,10.26,9.84,9.84,64300,AAA
2010-07-29,10.04,10.72,9.8,10.72,509100,AAA
2010-07-30,10.83,11.07,10.41,11.04,346300,AAA
2010-08-02,11.26,11.37,10.67,10.67,682800,AAA
2010-08-03,11.11,11.13,10.67,10.76,405000,AAA
2010-08-04,10.83,10.93,10.04,10.93,245000,AAA
2010-08-05,10.93,10.93,10.5,10.5,169100,AAA
2010-08-06,10.72,10.78,10.72,10.72,150000,AAA
2010-08-09,10.72,10.78,10.21,10.28,173500,AAA
2010-08-10,10.69,10.69,9.75,9.86,122300,AAA
2010-08-11,9.27,9.71,9.27,9.71,168100,AAA
2010-08-12,9.56,9.56,9.1,9.18,81800,AAA
2010-08-13,9.4,9.73,9.4,9.73,53500,AAA
2010-08-16,10.21,10.21,10.19,10.21,31200,AAA
2010-08-17,10.06,10.65,10.06,10.32,89200,AAA
2010-08-18,10.28,10.28,9.6,9.73,80400,AAA
2010-08-19,9.32,10.43,9.32,10.43,225100,AAA
2010-08-20,10.39,11.0,10.39,11.0,449300,AAA
2010-08-23,10.91,11.66,10.89,11.66,423300,AAA
2010-08-24,12.01,12.42,11.61,12.42,242100,AAA
2010-08-25,12.9,13.06,12.18,12.2,271100,AAA
2010-08-26,11.94,13.71,11.92,12.79,717100,AAA
2010-08-27,13.62,14.56,13.62,13.65,587000,AAA
2010-08-30,15.31,15.48,15.31,15.48,591900,AAA
2010-08-31,16.38,16.55,16.18,16.53,620800,AAA
2010-09-01,16.84,17.5,16.73,17.5,803100,AAA
2010-09-06,18.04,18.19,18.04,18.19,839500,AAA
2010-09-07,19.24,19.46,19.24,19.46,858400,AAA
2010-09-08,19.46,20.56,18.15,18.59,869600,AAA
2010-09-09,19.73,19.9,18.81,19.9,810900,AAA
2010-09-10,19.88,20.01,19.49,19.75,367300,AAA
2010-09-13,19.81,20.05,19.51,20.05,602700,AAA
2010-09-14,19.7,20.12,19.24,19.9,704200,AAA
2010-09-15,19.81,20.12,19.75,20.08,515800,AAA
2010-09-16,20.01,20.18,19.94,19.99,472400,AAA
2010-09-17,19.99,20.01,19.75,19.77,504200,AAA
2010-09-20,19.68,19.68,18.46,18.46,73800,AAA
2010-09-21,17.21,17.21,17.21,17.21,171500,AAA
2010-09-22,16.01,16.01,16.01,16.01,76200,AAA
2010-09-23,14.89,14.89,14.89,14.89,20100,AAA
2010-09-24,13.86,13.86,13.86,13.86,28500,AAA
2010-09-27,12.9,12.9,12.9,12.9,7600,AAA
2010-09-28,12.01,12.99,12.01,12.01,4541300,AAA
2010-09-29,12.03,12.03,11.18,11.5,1741500,AAA
2010-09-30,11.98,11.98,11.98,11.98,114300,AAA
2010-10-01,12.82,12.82,11.18,11.59,608200,AAA
2010-10-04,10.91,10.91,10.91,10.91,78400,AAA
2010-10-05,10.17,10.45,10.17,10.19,1387500,AAA
2010-10-06,10.17,10.58,10.17,10.48,534000,AAA
2010-10-07,10.39,10.41,9.84,9.88,395700,AAA
2010-10-08,9.67,9.84,9.38,9.4,565400,AAA
2010-10-11,9.08,9.51,8.92,9.29,431000,AAA
2010-10-12,9.4,9.84,9.27,9.49,458600,AAA
2010-10-13,9.62,9.62,9.21,9.36,133500,AAA
2010-10-14,9.36,9.45,9.1,9.18,221600,AAA
2010-10-15,9.23,9.23,8.79,8.81,392000,AAA
2010-10-18,8.75,8.75,8.27,8.29,596300,AAA
2010-10-19,8.09,8.31,7.83,7.83,489100,AAA
2010-10-20,7.33,7.65,7.33,7.33,99600,AAA
2010-10-21,6.82,7.54,6.82,6.89,774200,AAA
2010-10-22,7.0,7.09,6.5,6.63,550800,AAA
2010-10-25,6.56,6.65,6.25,6.58,416500,AAA
2010-10-26,6.45,6.87,6.45,6.87,400500,AAA
2010-10-27,7.33,7.33,7.33,7.33,188300,AAA
2010-10-28,7.74,7.81,6.89,6.98,481600,AAA
2010-10-29,6.89,7.17,6.78,7.04,315600,AAA
2010-11-01,7.0,7.06,6.78,6.87,244200,AAA
2010-11-02,6.93,6.93,6.58,6.58,194400,AAA
2010-11-03,6.56,6.76,6.32,6.39,330400,AAA
2010-11-04,6.32,6.63,6.32,6.56,160400,AAA
2010-11-05,6.67,6.93,6.67,6.78,266000,AAA
2010-11-08,6.78,6.87,6.45,6.5,196700,AAA
2010-11-09,6.56,6.56,6.19,6.19,447100,AAA
2010-11-10,6.23,6.34,6.19,6.25,109000,AAA
2010-11-11,6.23,6.25,5.99,5.99,353900,AAA
2010-11-12,6.04,6.34,5.64,5.71,368600,AAA
2010-11-15,5.77,5.8,5.34,5.4,199500,AAA
2010-11-16,5.47,5.47,5.16,5.23,291900,AAA
2010-11-17,5.25,5.47,5.14,5.38,326100,AAA
2010-11-18,5.47,5.69,5.36,5.69,174700,AAA
2010-11-19,6.04,6.04,5.82,5.9,1098700,AAA
2010-11-22,5.75,6.17,5.58,6.08,655600,AAA
2010-11-23,5.97,6.36,5.9,6.36,310300,AAA
2010-11-24,6.45,6.71,6.23,6.71,812400,AAA
2010-11-25,6.89,7.13,6.67,7.13,290200,AAA
2010-11-26,7.48,7.57,7.22,7.54,1069100,AAA
2010-11-29,7.65,7.92,7.13,7.85,753100,AAA
2010-11-30,7.65,7.98,7.52,7.59,771400,AAA
2010-12-01,7.54,7.63,7.22,7.24,824200,AAA
2010-12-02,7.24,7.81,7.22,7.81,789200,AAA
2010-12-03,8.09,8.18,7.89,8.18,554300,AAA
2010-12-06,8.31,8.53,7.92,7.98,543900,AAA
2010-12-07,8.18,8.18,7.61,7.61,580900,AAA
2010-12-08,7.63,7.63,7.19,7.19,516400,AAA
2010-12-09,7.0,7.63,6.95,7.35,641800,AAA
2010-12-10,7.44,7.72,7.39,7.72,335200,AAA
2010-12-13,8.09,8.16,7.98,8.16,737200,AAA
2010-12-14,8.51,8.51,7.57,7.61,581300,AAA
2010-12-15,7.65,7.87,7.44,7.5,285900,AAA
2010-12-16,7.33,7.39,7.13,7.17,283500,AAA
2010-12-17,7.44,7.7,7.22,7.65,283700,AAA
2010-12-20,7.76,7.76,7.33,7.44,206100,AAA
2010-12-21,7.57,7.61,7.22,7.44,138200,AAA
2010-12-22,7.54,7.63,7.17,7.24,198300,AAA
2010-12-23,7.17,7.22,6.93,7.0,166300,AAA
2010-12-24,7.04,7.44,7.0,7.3,393400,AAA
2010-12-27,7.44,7.44,7.28,7.33,86200,AAA
2010-12-28,7.41,7.65,7.35,7.57,154400,AAA
2010-12-29,7.52,7.59,7.35,7.41,125600,AAA
2010-12-30,7.41,7.41,7.22,7.28,141300,AAA
2010-12-31,7.35,7.35,7.22,7.28,103100,AAA
2011-01-04,7.44,7.48,7.28,7.33,63200,AAA
2011-01-05,7.35,7.39,7.13,7.19,76200,AAA
2011-01-06,7.19,7.26,7.15,7.22,57900,AAA
2011-01-07,7.11,7.3,7.11,7.28,148900,AAA
2011-01-10,7.39,7.65,7.24,7.41,611500,AAA
2011-01-11,7.5,7.5,7.19,7.39,263400,AAA
2011-01-12,7.33,7.81,7.33,7.65,449300,AAA
2011-01-13,7.98,7.98,7.54,7.61,101600,AAA
2011-01-14,7.61,7.65,7.44,7.57,177300,AAA
2011-01-17,7.54,7.68,7.52,7.61,217200,AAA
2011-01-18,7.63,8.14,7.63,7.87,990900,AAA
2011-01-19,8.05,8.46,7.98,8.29,373800,AAA
2011-01-20,8.22,8.44,8.18,8.29,232700,AAA
2011-01-21,8.27,8.53,7.94,8.03,247600,AAA
2011-01-24,8.14,8.14,7.59,7.59,478900,AAA
2011-01-25,7.44,7.44,7.24,7.24,262400,AAA
2011-01-26,7.3,7.54,7.3,7.44,79800,AAA
2011-01-27,7.41,7.54,7.39,7.54,116400,AAA
2011-01-28,7.5,7.72,7.48,7.65,172700,AAA
2011-02-08,7.61,7.76,7.46,7.5,105000,AAA
2011-02-09,7.44,7.74,6.98,7.44,152100,AAA
