time,open,high,low,close,volume,ticker
2009-11-10,0.0,0.0,0.0,0.0,0,ACE
2009-11-11,6.97,6.97,6.97,6.97,10,ACE
2009-11-12,6.97,6.97,6.97,6.97,0,ACE
2009-11-13,6.97,6.97,6.97,6.97,145,ACE
2009-11-16,7.67,7.67,7.67,7.67,10,ACE
2009-11-17,7.39,7.67,7.67,7.67,0,ACE
2009-11-18,7.39,7.67,7.67,7.67,0,ACE
2009-11-23,6.67,6.67,6.67,6.67,0,ACE
2009-11-26,6.67,0.0,0.0,0.0,0,ACE
2009-11-30,5.86,5.86,5.86,5.86,11000,ACE
2009-12-02,5.86,5.86,5.86,5.86,0,ACE
2009-12-09,5.86,5.86,5.86,5.86,0,ACE
2009-12-15,5.86,5.86,5.86,5.86,0,ACE
2009-12-23,5.86,5.86,5.86,5.86,0,ACE
2010-01-05,5.27,5.27,5.27,5.27,4000,ACE
2010-01-11,4.8,4.8,4.18,4.18,1020,ACE
2010-01-13,4.63,4.63,4.21,4.21,25000,ACE
2010-01-14,4.32,4.32,4.32,4.32,618,ACE
2010-01-26,4.32,4.32,4.32,4.32,0,ACE
2010-01-27,4.32,4.32,4.32,4.32,0,ACE
2010-02-05,4.18,4.18,3.77,3.77,140,ACE
2010-03-01,4.46,4.6,4.46,4.6,4000,ACE
2010-03-02,4.24,4.24,4.24,4.24,550,ACE
2010-03-03,4.6,4.6,4.6,4.6,2000,ACE
2010-03-04,4.6,4.6,4.6,4.6,0,ACE
2010-03-05,4.74,4.74,4.74,4.74,3000,ACE
2010-03-08,5.13,5.13,5.13,5.13,20,ACE
2010-03-09,5.13,5.13,5.13,5.13,0,ACE
2010-03-10,4.88,4.88,4.88,4.88,3000,ACE
2010-03-11,4.74,4.74,4.74,4.74,3000,ACE
2010-03-12,5.16,5.16,5.16,5.16,10,ACE
2010-03-15,5.58,5.58,5.58,5.58,10,ACE
2010-03-16,5.02,5.02,5.02,5.02,3000,ACE
2010-03-17,5.3,5.3,5.16,5.16,132,ACE
2010-03-18,5.02,5.02,5.02,5.02,500,ACE
2010-03-19,5.02,5.02,5.02,5.02,0,ACE
2010-03-22,5.02,5.02,5.02,5.02,0,ACE
2010-03-23,5.52,5.52,5.52,5.52,100,ACE
2010-03-24,5.52,5.52,5.52,5.52,0,ACE
2010-03-26,6.0,6.0,6.0,6.0,10,ACE
2010-03-29,6.0,6.0,6.0,6.0,0,ACE
2010-03-30,5.41,5.41,5.41,0.0,100,ACE
2010-03-31,5.41,5.41,5.41,5.41,0,ACE
2010-04-01,4.88,4.88,4.88,4.88,10,ACE
2010-04-02,4.88,4.88,4.88,4.88,0,ACE
2010-04-05,4.41,4.66,4.41,4.66,2392,ACE
2010-04-06,4.1,4.1,4.1,4.1,40,ACE
2010-04-07,4.49,4.49,4.46,4.49,5990,ACE
2010-04-08,4.49,4.49,4.49,4.49,0,ACE
2010-04-09,4.49,4.49,4.49,4.49,1214,ACE
2010-04-12,4.49,4.49,4.49,4.49,0,ACE
2010-04-13,4.88,4.88,4.77,4.77,4000,ACE
2010-04-14,4.88,4.88,4.74,0.0,4457,ACE
2010-04-15,5.02,5.36,4.88,5.36,29205,ACE
2010-04-16,5.16,5.16,5.16,5.36,3600,ACE
2010-04-19,5.22,5.3,5.16,5.16,1610,ACE
2010-04-20,5.27,5.16,5.16,5.16,0,ACE
2010-04-21,5.27,5.16,5.16,5.16,0,ACE
2010-04-22,5.27,5.16,5.16,5.16,0,ACE
2010-04-26,5.27,5.16,5.16,5.16,0,ACE
2010-04-27,5.27,5.16,5.16,5.16,0,ACE
2010-04-28,5.16,5.16,5.16,5.16,590,ACE
2010-04-29,5.44,5.44,5.44,5.44,2000,ACE
2010-05-04,5.58,5.58,5.58,5.58,1302,ACE
2010-05-05,5.89,5.91,5.89,5.91,2000,ACE
2010-05-06,5.86,6.0,5.86,6.0,8160,ACE
2010-05-07,5.86,5.86,5.86,5.86,1632,ACE
2010-05-10,6.44,6.44,6.44,6.44,10,ACE
2010-05-11,5.8,5.86,5.8,5.8,5000,ACE
2010-05-12,5.24,5.24,5.24,5.24,500,ACE
2010-05-13,5.75,5.75,5.75,5.75,12,ACE
2010-05-14,5.75,5.75,5.75,5.75,0,ACE
2010-05-17,5.75,5.75,5.75,5.75,0,ACE
2010-05-18,5.75,0.0,0.0,0.0,0,ACE
2010-05-19,5.47,5.75,5.75,5.75,0,ACE
2010-05-20,5.47,5.75,5.75,5.75,0,ACE
2010-05-21,5.47,5.75,5.75,5.75,0,ACE
2010-05-25,5.47,5.75,5.75,5.75,0,ACE
2010-05-26,5.47,5.75,5.75,5.75,0,ACE
2010-05-27,5.47,5.75,5.75,5.75,0,ACE
2010-05-28,5.47,5.75,5.75,5.75,0,ACE
2010-05-31,5.47,5.75,5.75,5.75,0,ACE
2010-06-01,5.47,5.75,5.75,5.75,0,ACE
2010-06-02,5.16,5.16,5.16,5.16,200,ACE
2010-06-03,5.16,5.16,5.16,5.16,0,ACE
2010-06-07,5.16,5.16,5.16,5.16,0,ACE
2010-06-08,5.16,5.16,5.16,5.16,0,ACE
2010-06-10,5.58,5.66,5.66,5.66,0,ACE
2010-06-14,5.02,5.02,5.02,5.02,0,ACE
2010-06-15,5.02,5.02,5.02,5.02,10,ACE
2010-06-16,5.02,0.0,0.0,0.0,0,ACE
2010-06-17,5.02,5.02,5.02,5.02,3000,ACE
2010-06-18,5.02,5.02,5.02,5.02,0,ACE
2010-06-21,5.02,5.02,4.97,5.02,2500,ACE
2010-06-22,5.02,5.02,5.02,5.02,1000,ACE
2010-06-24,4.97,4.97,4.97,4.97,400,ACE
2010-06-25,4.97,4.97,4.97,4.97,0,ACE
2010-06-28,5.41,5.41,5.41,5.41,10,ACE
2010-06-29,5.41,5.41,5.41,5.41,0,ACE
2010-06-30,5.83,5.83,5.83,5.83,12,ACE
2010-07-01,5.27,6.39,5.27,6.39,20,ACE
2010-07-02,6.0,6.39,5.58,6.39,66752,ACE
2010-07-05,6.42,6.89,6.42,6.89,9940,ACE
2010-07-06,7.56,7.56,7.11,7.5,27750,ACE
2010-07-07,7.67,7.67,7.31,7.39,10649,ACE
2010-07-08,6.78,6.78,6.78,6.78,4000,ACE
