time,open,high,low,close,volume,ticker
2010-12-24,2.0,2.0,0.22,1.37,15300,ADC
2010-12-27,1.31,1.31,1.3,1.3,3200,ADC
2010-12-28,1.27,1.3,1.27,1.3,2400,ADC
2010-12-29,1.28,1.28,1.21,1.21,4200,ADC
2010-12-30,1.21,1.27,1.21,1.27,700,ADC
2010-12-31,1.26,1.26,1.16,1.25,1000,ADC
2011-01-04,1.21,1.21,1.21,1.21,2800,ADC
2011-01-05,1.21,1.21,1.21,1.21,1800,ADC
2011-01-06,1.21,1.21,1.2,1.21,1400,ADC
2011-01-07,1.27,1.3,1.27,1.3,3100,ADC
2011-01-10,1.37,1.37,1.3,1.37,15900,ADC
2011-01-11,1.44,1.44,1.28,1.3,1600,ADC
2011-01-12,1.32,1.32,1.32,1.32,100,ADC
2011-01-13,1.32,1.32,1.25,1.27,4300,ADC
2011-01-14,1.26,1.36,1.25,1.36,8000,ADC
2011-01-17,1.3,1.32,1.3,1.32,200,ADC
2011-01-18,1.33,1.36,1.3,1.32,3000,ADC
2011-01-19,1.33,1.34,1.27,1.27,15700,ADC
2011-01-20,1.36,1.36,1.27,1.27,2600,ADC
2011-01-21,1.27,1.33,1.27,1.33,200,ADC
2011-01-24,1.39,1.39,1.39,1.39,17400,ADC
2011-01-25,1.49,1.49,1.45,1.45,17300,ADC
2011-01-26,1.48,1.48,1.4,1.43,5800,ADC
2011-01-27,1.44,1.45,1.42,1.43,12400,ADC
2011-01-28,1.45,1.54,1.43,1.48,19300,ADC
2011-02-08,1.46,1.49,1.45,1.49,12700,ADC
2011-02-09,1.45,1.57,1.45,1.57,4500,ADC
2011-02-10,1.52,1.57,1.52,1.57,2500,ADC
2011-02-11,1.55,1.55,1.55,1.55,1000,ADC
2011-02-14,1.55,1.55,1.55,1.55,0,ADC
2011-02-15,1.45,1.46,1.45,1.45,700,ADC
2011-02-16,1.35,1.53,1.35,1.53,4100,ADC
2011-02-17,1.35,1.35,1.27,1.27,500,ADC
2011-02-18,1.38,1.38,1.38,1.38,100,ADC
2011-02-21,1.38,1.38,1.38,1.38,0,ADC
2011-02-22,1.38,1.38,1.38,1.38,0,ADC
2011-02-23,1.41,1.41,1.41,1.41,100,ADC
2011-02-24,1.41,1.41,1.41,1.41,0,ADC
2011-02-25,1.41,1.41,1.41,1.41,0,ADC
2011-02-28,1.41,1.41,1.41,1.41,0,ADC
2011-03-01,1.41,1.41,1.41,1.41,0,ADC
2011-03-02,1.31,1.31,1.31,1.31,100,ADC
2011-03-03,1.31,1.31,1.31,1.31,0,ADC
2011-03-04,1.31,1.31,1.31,1.31,0,ADC
2011-03-07,1.31,1.31,1.31,1.31,0,ADC
2011-03-08,1.3,1.3,1.3,1.3,100,ADC
2011-03-09,1.3,1.3,1.3,1.3,0,ADC
2011-03-10,1.21,1.3,1.21,1.28,3200,ADC
