time,open,high,low,close,volume,ticker
2021-01-08,14.5,14.5,14.5,14.5,23600,AIC
2021-01-11,16.6,16.6,16.6,16.6,100,AIC
2021-01-12,19.0,19.0,19.0,19.0,23700,AIC
2021-01-13,21.8,21.8,21.8,21.8,3000,AIC
2021-01-14,25.0,25.0,25.0,25.0,15150,AIC
2021-01-15,28.7,28.7,28.7,28.7,5900,AIC
2021-01-18,33.0,33.0,26.5,26.5,34960,AIC
2021-01-19,26.5,26.5,26.0,26.0,6700,AIC
2021-01-20,22.1,25.9,22.1,22.1,9291,AIC
2021-01-21,18.9,21.1,18.9,18.9,32000,AIC
2021-01-22,16.4,19.5,16.3,19.0,6295,AIC
2021-01-25,18.0,19.0,18.0,18.5,14300,AIC
2021-01-26,17.0,17.0,16.0,16.0,5700,AIC
2021-01-27,14.6,14.7,14.0,14.0,16912,AIC
2021-01-28,12.1,12.5,12.1,12.1,20006,AIC
2021-01-29,11.0,12.3,10.3,12.1,17559,AIC
2021-02-01,11.0,13.3,11.0,13.3,3230,AIC
2021-02-02,15.0,15.0,15.0,15.0,14339,AIC
2021-02-03,17.2,17.2,17.1,17.2,21854,AIC
2021-02-04,17.5,19.5,15.1,15.4,7322,AIC
2021-02-05,16.3,16.3,14.9,15.3,8754,AIC
2021-02-08,17.2,17.2,13.3,15.2,8000,AIC
2021-02-09,15.0,16.5,15.0,16.5,8508,AIC
2021-02-17,16.4,16.5,13.9,16.0,9010,AIC
2021-02-18,17.5,17.5,15.1,15.5,1914,AIC
2021-02-19,15.5,15.5,15.5,15.5,500,AIC
2021-02-22,15.6,15.6,15.0,15.0,5831,AIC
2021-02-23,14.9,15.1,14.9,15.0,8868,AIC
2021-02-24,15.9,15.9,15.0,15.2,3900,AIC
2021-02-25,15.2,15.3,14.5,15.0,12320,AIC
2021-02-26,14.4,14.5,14.4,14.4,1600,AIC
2021-03-01,14.5,15.3,14.5,15.3,4300,AIC
2021-03-02,15.0,15.2,15.0,15.0,11830,AIC
2021-03-03,15.1,15.1,15.0,15.0,8900,AIC
2021-03-04,15.1,15.2,14.9,14.9,12500,AIC
2021-03-05,15.0,15.0,14.5,14.9,11420,AIC
2021-03-08,15.0,15.4,15.0,15.1,5201,AIC
2021-03-09,15.1,15.1,15.0,15.0,1332,AIC
2021-03-10,15.0,15.4,15.0,15.1,9900,AIC
2021-03-11,15.2,15.2,14.9,15.1,6460,AIC
2021-03-12,15.1,15.1,15.0,15.1,5963,AIC
2021-03-15,15.1,15.4,15.0,15.4,8387,AIC
2021-03-16,15.2,15.5,15.1,15.4,5080,AIC
2021-03-17,15.2,16.0,15.2,16.0,11340,AIC
2021-03-18,16.0,17.8,16.0,17.7,26371,AIC
2021-03-19,17.5,18.9,17.5,18.6,24088,AIC
2021-03-22,18.6,18.7,17.9,18.1,13540,AIC
2021-03-23,18.0,18.0,16.5,17.9,13188,AIC
2021-03-24,17.2,17.2,16.8,17.0,9027,AIC
2021-03-25,17.3,17.3,16.5,17.3,6215,AIC
2021-03-26,16.8,16.8,16.0,16.5,5219,AIC
2021-03-29,15.5,16.0,15.5,16.0,11606,AIC
2021-03-30,15.9,15.9,15.8,15.8,8960,AIC
2021-03-31,15.5,16.0,15.5,16.0,4460,AIC
2021-04-01,16.0,16.1,16.0,16.0,6955,AIC
2021-04-02,16.0,16.0,15.5,15.8,6077,AIC
2021-04-05,15.8,16.3,15.7,16.3,15951,AIC
