time,open,high,low,close,volume,ticker
2010-09-17,21.96,21.96,17.99,19.88,117200,ALV
2010-09-20,20.8,20.86,20.8,20.86,53600,ALV
2010-09-21,22.27,22.27,20.86,21.35,39100,ALV
2010-09-22,21.78,21.96,20.01,20.01,17000,ALV
2010-09-23,19.21,20.07,19.21,19.21,76700,ALV
2010-09-24,19.58,19.58,19.46,19.46,5500,ALV
2010-09-27,20.19,20.19,18.17,18.17,75600,ALV
2010-09-28,18.91,18.91,17.07,17.13,20800,ALV
2010-09-29,18.29,18.29,17.44,17.44,400,ALV
2010-09-30,17.13,17.13,16.83,16.83,29400,ALV
2010-10-01,16.52,17.13,15.66,15.72,64600,ALV
2010-10-04,16.76,16.76,14.93,14.93,24800,ALV
2010-10-05,13.95,15.11,13.95,14.99,27400,ALV
2010-10-06,15.85,15.85,15.3,15.54,2200,ALV
2010-10-07,15.79,15.79,14.32,14.68,7200,ALV
2010-10-08,14.38,14.44,14.38,14.38,3700,ALV
2010-10-11,13.52,13.7,13.4,13.46,28100,ALV
2010-10-12,14.07,14.07,12.66,13.34,4400,ALV
2010-10-13,13.64,13.64,13.64,13.64,500,ALV
2010-10-14,14.13,14.13,12.85,12.91,19700,ALV
2010-10-15,13.4,13.4,12.85,13.4,2600,ALV
2010-10-18,13.58,13.58,12.18,13.09,6900,ALV
2010-10-19,11.93,11.93,11.93,11.93,9000,ALV
2010-10-20,11.14,12.18,11.14,11.14,2800,ALV
2010-10-21,10.58,12.05,10.58,11.14,2100,ALV
2010-10-22,11.93,12.18,10.89,10.89,34100,ALV
2010-10-25,11.44,11.44,10.34,10.34,18700,ALV
2010-10-26,10.89,11.14,10.89,11.14,29700,ALV
2010-10-27,11.38,11.44,10.71,10.71,15800,ALV
2010-10-28,10.46,10.46,10.46,10.46,8600,ALV
2010-10-29,11.14,11.14,9.79,9.79,12100,ALV
2010-11-01,10.89,10.89,9.54,9.54,18700,ALV
2010-11-02,9.06,9.67,8.99,9.18,31600,ALV
2010-11-03,9.06,9.06,8.44,8.99,21100,ALV
2010-11-04,9.12,9.18,9.06,9.18,18100,ALV
2010-11-05,9.67,9.73,9.67,9.73,24200,ALV
2010-11-08,10.22,10.22,9.06,9.3,10700,ALV
2010-11-09,9.3,9.3,8.63,8.69,42100,ALV
2010-11-10,8.99,9.12,8.87,8.87,3500,ALV
2010-11-11,8.57,8.87,8.32,8.32,20400,ALV
2010-11-12,8.69,8.69,7.89,7.95,10400,ALV
2010-11-15,8.44,8.44,7.46,7.95,4300,ALV
2010-11-16,7.77,8.2,7.65,8.2,1900,ALV
2010-11-17,8.26,8.32,7.83,7.95,8200,ALV
2010-11-18,8.2,8.32,8.08,8.2,12500,ALV
2010-11-19,8.38,8.38,7.71,7.83,21000,ALV
2010-11-22,7.83,7.95,7.34,7.4,5900,ALV
2010-11-23,7.89,7.95,7.89,7.95,5800,ALV
2010-11-24,7.53,7.83,7.46,7.83,9400,ALV
2010-11-25,7.95,8.08,7.71,8.08,29200,ALV
2010-11-26,8.01,8.38,7.65,8.01,17400,ALV
2010-11-29,8.5,8.57,8.5,8.57,27900,ALV
2010-11-30,8.87,9.12,8.87,9.12,23600,ALV
2010-12-01,9.73,9.73,9.18,9.18,46000,ALV
2010-12-02,9.73,10.1,8.99,9.73,15600,ALV
2010-12-03,10.52,10.52,9.36,9.48,40600,ALV
2010-12-06,9.61,10.22,9.61,10.1,40600,ALV
2010-12-07,10.1,10.4,9.42,9.42,13900,ALV
2010-12-08,8.93,8.93,8.93,8.93,10700,ALV
2010-12-09,8.32,9.24,8.32,9.06,28500,ALV
2010-12-10,9.06,9.06,9.06,9.06,16200,ALV
2010-12-13,9.67,9.67,9.42,9.61,38500,ALV
2010-12-14,9.18,9.79,9.12,9.12,20100,ALV
2010-12-15,9.3,9.3,8.75,9.3,9600,ALV
2010-12-16,8.32,8.38,8.32,8.32,25500,ALV
2010-12-17,7.77,8.38,7.77,8.38,17100,ALV
2010-12-20,8.5,8.5,8.2,8.5,20700,ALV
2010-12-21,8.99,8.99,8.93,8.99,10300,ALV
2010-12-22,9.61,9.61,9.61,9.61,36900,ALV
2010-12-23,10.16,10.16,9.18,9.18,42300,ALV
2010-12-24,9.67,9.67,8.87,8.93,13400,ALV
2010-12-27,9.48,9.48,8.32,8.57,48700,ALV
2010-12-28,8.57,9.12,8.57,9.12,4600,ALV
2010-12-29,9.61,9.61,8.57,8.57,3600,ALV
2010-12-30,9.24,9.24,9.24,9.24,300,ALV
2010-12-31,9.18,9.18,8.63,8.69,7400,ALV
2011-01-04,9.12,9.12,8.57,8.57,10300,ALV
2011-01-05,8.63,8.75,8.38,8.63,3100,ALV
2011-01-06,8.57,8.57,8.5,8.5,1900,ALV
2011-01-07,8.87,8.87,8.26,8.32,7900,ALV
2011-01-10,8.81,8.99,8.44,8.5,8500,ALV
2011-01-11,8.63,8.75,8.57,8.57,10600,ALV
2011-01-12,8.69,8.75,8.69,8.75,13000,ALV
2011-01-13,8.87,9.18,8.87,9.12,2700,ALV
2011-01-14,9.24,9.67,9.24,9.67,104400,ALV
2011-01-17,10.34,10.34,10.34,10.34,18200,ALV
2011-01-18,11.01,11.01,10.4,11.01,227400,ALV
2011-01-19,10.95,11.69,10.95,11.69,58800,ALV
2011-01-20,12.36,12.36,11.01,11.32,44500,ALV
2011-01-21,12.3,12.3,10.83,10.83,57000,ALV
2011-01-24,11.07,11.75,10.34,10.34,25300,ALV
2011-01-25,9.85,9.85,9.85,9.85,43900,ALV
2011-01-26,9.3,9.85,9.18,9.79,29200,ALV
2011-01-27,9.67,9.97,9.67,9.91,11300,ALV
2011-01-28,10.22,10.28,9.85,9.85,8800,ALV
2011-02-08,10.58,10.58,9.42,9.97,16300,ALV
2011-02-09,9.79,10.03,9.18,9.24,20300,ALV
2011-02-10,8.99,9.42,8.93,8.93,18100,ALV
2011-02-11,8.99,9.42,8.93,8.93,13800,ALV
2011-02-14,9.79,9.79,9.06,9.18,25300,ALV
2011-02-15,9.24,9.24,8.87,8.93,12100,ALV
2011-02-16,9.54,9.54,8.69,8.81,22200,ALV
2011-02-17,8.69,8.69,8.57,8.69,14800,ALV
2011-02-18,8.75,8.75,8.44,8.44,14200,ALV
2011-02-21,8.32,8.32,8.01,8.01,23100,ALV
2011-02-22,7.53,8.08,7.46,7.59,35100,ALV
2011-02-23,7.95,7.95,7.34,7.83,20100,ALV
2011-02-24,7.53,7.53,7.16,7.34,15800,ALV
2011-02-25,7.77,7.83,7.4,7.83,11500,ALV
2011-02-28,8.14,8.14,7.71,7.77,8200,ALV
2011-03-01,7.89,7.89,7.4,7.77,9500,ALV
2011-03-02,7.28,7.28,7.04,7.04,22800,ALV
2011-03-03,6.97,6.97,6.67,6.67,12700,ALV
2011-03-04,7.1,7.1,6.73,6.97,3200,ALV
2011-03-07,6.79,6.79,6.73,6.73,5100,ALV
2011-03-08,7.04,7.04,6.73,6.73,4900,ALV
2011-03-09,6.67,6.67,6.42,6.42,9300,ALV
2011-03-10,6.67,6.91,6.67,6.91,19600,ALV
2011-03-11,7.28,7.34,7.28,7.34,38200,ALV
2011-03-14,7.77,7.77,6.85,6.91,25800,ALV
2011-03-15,7.22,7.22,6.61,6.91,4000,ALV
2011-03-16,7.04,7.1,6.61,6.67,15700,ALV
2011-03-17,6.85,7.04,6.73,6.79,15000,ALV
2011-03-18,6.91,7.16,6.79,7.16,23700,ALV
2011-03-21,7.34,7.4,7.1,7.4,38900,ALV
2011-03-22,7.83,7.83,7.59,7.77,69600,ALV
2011-03-23,8.08,8.08,7.4,7.77,13900,ALV
2011-03-24,7.65,8.14,7.65,8.14,96500,ALV
2011-03-25,8.14,8.14,7.65,7.65,13300,ALV
2011-03-28,7.59,7.77,7.28,7.59,19400,ALV
2011-03-29,7.53,7.71,7.16,7.34,30900,ALV
2011-03-30,7.22,7.34,6.97,7.1,44900,ALV
2011-03-31,7.4,7.53,6.97,7.22,17300,ALV
2011-04-01,7.65,7.65,7.28,7.53,9100,ALV
2011-04-04,7.83,7.83,7.34,7.34,27800,ALV
2011-04-05,7.53,7.53,7.22,7.22,4600,ALV
2011-04-06,7.53,7.65,7.46,7.46,7700,ALV
2011-04-07,7.53,7.53,7.22,7.28,17100,ALV
2011-04-08,7.1,7.28,7.1,7.28,12800,ALV
2011-04-13,7.34,7.34,7.04,7.22,13800,ALV
2011-04-14,7.34,7.34,6.97,6.97,6100,ALV
2011-04-15,7.22,7.22,6.91,7.04,6800,ALV
2011-04-18,6.67,6.73,6.61,6.61,21600,ALV
2011-04-19,6.73,6.73,6.3,6.3,29800,ALV
2011-04-20,6.49,6.49,6.18,6.36,14300,ALV
2011-04-21,6.42,6.55,6.3,6.55,6100,ALV
2011-04-22,6.67,6.79,6.3,6.36,6500,ALV
2011-04-25,6.67,6.73,6.55,6.55,10300,ALV
2011-04-26,6.42,6.42,6.24,6.3,19400,ALV
2011-04-27,6.42,6.55,6.06,6.3,7700,ALV
2011-04-28,6.06,6.18,5.87,5.87,12900,ALV
2011-04-29,5.75,6.12,5.75,5.75,14600,ALV
2011-05-04,6.06,6.12,6.06,6.12,200,ALV
2011-05-05,5.81,5.81,5.69,5.69,5500,ALV
