time,open,high,low,close,volume,ticker
2017-06-08,20.12,20.12,16.59,16.59,10300,APF
2017-06-09,16.59,16.59,16.46,16.46,3200,APF
2017-06-12,16.54,16.54,16.54,16.54,0,APF
2017-06-13,15.68,15.68,14.89,14.89,6900,APF
2017-06-14,15.68,15.81,15.68,15.81,3900,APF
2017-06-15,15.41,15.68,15.41,15.68,1400,APF
2017-06-16,15.15,15.15,15.15,15.15,1000,APF
2017-06-19,15.15,15.15,15.15,15.15,0,APF
2017-06-20,14.37,14.89,14.37,14.89,600,APF
2017-06-21,14.89,15.68,14.89,15.68,10200,APF
2017-06-22,15.6,15.6,15.6,15.6,0,APF
2017-06-23,15.6,15.6,15.6,15.6,0,APF
2017-06-26,15.68,15.68,15.68,15.68,1000,APF
2017-06-27,15.68,15.68,15.68,15.68,0,APF
2017-06-28,15.55,15.55,15.41,15.41,6393,APF
2017-06-29,15.41,15.41,15.41,15.41,2700,APF
2017-06-30,15.41,15.41,15.41,15.41,0,APF
2017-07-03,15.62,15.62,15.62,15.62,500,APF
2017-07-04,15.68,15.68,15.68,15.68,1700,APF
2017-07-05,15.68,15.68,15.68,15.68,100,APF
2017-07-06,15.41,15.41,15.28,15.41,10000,APF
2017-07-07,15.36,15.36,15.36,15.36,0,APF
2017-07-10,15.36,15.36,15.36,15.36,0,APF
2017-07-11,15.44,15.44,15.36,15.44,3000,APF
2017-07-12,15.41,15.44,15.41,15.44,5500,APF
2017-07-13,15.44,15.44,15.44,15.44,0,APF
2017-07-14,15.44,15.44,15.44,15.44,0,APF
2017-07-17,15.55,15.57,15.55,15.55,16000,APF
2017-07-18,15.55,15.62,15.55,15.62,7000,APF
2017-07-19,15.62,15.62,15.62,15.62,0,APF
2017-07-20,15.68,15.68,15.68,15.68,7900,APF
2017-07-21,15.68,15.68,15.68,15.68,0,APF
2017-07-24,15.68,15.68,15.68,15.68,0,APF
2017-07-25,15.68,15.68,15.68,15.68,0,APF
2017-07-26,15.68,15.68,15.68,15.68,0,APF
2017-07-27,15.68,15.68,15.68,15.68,0,APF
2017-07-28,15.68,15.68,15.68,15.68,9000,APF
2017-07-31,15.41,15.41,15.41,15.41,1000,APF
2017-08-01,15.73,15.73,15.73,15.73,1000,APF
2017-08-02,15.68,15.68,15.68,15.68,2500,APF
2017-08-03,15.68,15.68,15.68,15.68,0,APF
2017-08-04,15.73,15.73,15.73,15.73,1000,APF
2017-08-07,15.73,15.73,15.73,15.73,0,APF
2017-08-08,15.68,15.68,15.68,15.68,2000,APF
2017-08-09,15.68,15.68,15.55,15.55,500,APF
2017-08-10,15.41,15.41,15.41,15.41,7000,APF
2017-08-11,15.41,15.41,15.41,15.41,9000,APF
2017-08-14,15.41,15.41,15.41,15.41,5027,APF
2017-08-15,15.41,15.55,15.41,15.41,6000,APF
2017-08-16,15.41,15.41,15.41,15.41,2500,APF
2017-08-17,15.41,15.41,15.41,15.41,4600,APF
2017-08-18,15.41,15.41,15.41,15.41,200,APF
2017-08-21,15.41,15.41,15.15,15.15,14300,APF
2017-08-22,15.15,15.15,15.15,15.15,6000,APF
2017-08-23,15.15,15.15,15.15,15.15,0,APF
2017-08-24,15.02,15.02,15.02,15.02,6227,APF
2017-08-25,15.05,15.05,15.05,15.05,2400,APF
2017-08-28,15.15,15.15,15.15,15.15,5000,APF
2017-08-29,15.15,15.15,15.15,15.15,4000,APF
2017-08-30,15.15,15.15,15.15,15.15,0,APF
2017-08-31,15.15,15.15,15.15,15.15,0,APF
2017-09-01,15.15,15.15,15.15,15.15,0,APF
2017-09-05,15.26,15.26,15.26,15.26,500,APF
2017-09-06,15.26,15.26,15.26,15.26,1,APF
2017-09-07,15.02,15.15,15.02,15.15,1500,APF
2017-09-08,15.15,15.15,15.15,15.15,6026,APF
2017-09-11,15.18,15.18,15.18,15.18,1000,APF
2017-09-12,15.15,15.15,15.02,15.02,11100,APF
2017-09-13,14.89,14.89,14.89,14.89,2200,APF
2017-09-14,14.89,14.89,14.89,14.89,200,APF
2017-09-15,14.89,14.89,14.76,14.76,4700,APF
2017-09-18,14.37,14.37,14.11,14.11,874,APF
2017-09-19,14.11,14.11,13.32,14.11,4400,APF
2017-09-20,14.11,14.11,14.11,14.11,1400,APF
2017-09-21,14.11,14.11,14.11,14.11,0,APF
2017-09-22,14.11,14.11,13.59,13.59,1900,APF
2017-09-25,14.89,14.89,13.59,13.59,900,APF
2017-09-26,14.37,14.37,14.37,14.37,100,APF
2017-09-27,14.37,14.37,14.37,14.37,0,APF
2017-09-28,13.32,13.32,13.32,13.32,100,APF
2017-09-29,13.85,13.85,13.85,13.85,2000,APF
2017-10-02,13.85,13.85,13.85,13.85,0,APF
2017-10-03,13.85,13.85,13.85,13.85,0,APF
