time,open,high,low,close,volume,ticker
2010-04-05,8.73,8.73,7.27,7.61,120600,APG
2010-04-06,7.8,7.8,7.27,7.27,63800,APG
2010-04-07,7.27,7.66,7.27,7.66,85500,APG
2010-04-08,7.8,7.95,7.8,7.95,105200,APG
2010-04-09,7.9,8.24,7.9,8.1,68900,APG
2010-04-12,8.05,8.1,7.8,7.8,24600,APG
2010-04-13,8.05,8.05,7.61,7.71,43100,APG
2010-04-14,7.47,7.76,7.32,7.51,19000,APG
2010-04-15,7.51,7.61,7.42,7.61,63700,APG
2010-04-16,7.56,7.76,7.51,7.66,152300,APG
2010-04-19,7.76,7.76,7.56,7.56,24600,APG
2010-04-20,7.76,7.76,7.51,7.51,46100,APG
2010-04-21,7.76,7.8,7.66,7.8,136900,APG
2010-04-22,8.0,8.24,8.0,8.24,144700,APG
2010-04-26,8.73,8.77,8.34,8.73,234000,APG
2010-04-27,8.73,8.82,8.58,8.77,76700,APG
2010-04-28,8.97,8.97,8.48,8.77,94400,APG
2010-04-29,8.97,9.26,8.73,9.26,167300,APG
2010-05-04,9.65,9.65,9.65,9.65,53500,APG
2010-05-05,10.18,10.28,9.79,10.28,325400,APG
2010-05-06,10.91,10.91,10.91,10.91,72100,APG
2010-05-07,11.63,11.63,11.2,11.63,363100,APG
2010-05-10,12.41,12.41,12.17,12.17,165100,APG
2010-05-11,12.26,12.85,11.49,11.49,192000,APG
2010-05-12,10.96,10.96,10.91,10.91,14100,APG
2010-05-13,10.18,10.91,10.18,10.18,284600,APG
2010-05-14,10.18,10.86,9.5,10.86,169100,APG
2010-05-17,11.1,11.1,9.79,10.08,164300,APG
2010-05-18,9.99,10.28,9.99,10.28,32200,APG
2010-05-19,10.18,10.18,9.45,9.45,144000,APG
2010-05-20,10.13,10.13,8.87,10.08,388100,APG
2010-05-21,9.7,9.7,8.97,8.97,50300,APG
2010-05-24,9.21,9.21,8.43,9.21,153000,APG
2010-05-25,8.43,9.11,8.43,8.68,61300,APG
2010-05-26,8.68,8.97,8.48,8.73,172200,APG
2010-05-27,8.39,9.31,8.39,9.06,135800,APG
2010-05-28,9.4,9.45,9.26,9.45,81400,APG
2010-05-31,9.7,10.08,9.7,9.94,67300,APG
2010-06-01,9.7,9.7,9.31,9.6,71000,APG
2010-06-02,9.36,9.4,9.16,9.36,61800,APG
2010-06-03,9.7,9.89,9.31,9.31,62600,APG
2010-06-04,9.21,9.6,9.21,9.31,143600,APG
2010-06-07,8.97,9.02,8.82,8.82,64100,APG
2010-06-08,8.73,8.97,8.73,8.97,26800,APG
2010-06-09,9.31,9.36,8.73,8.73,50500,APG
2010-06-10,9.06,9.06,8.92,8.97,45200,APG
2010-06-11,9.4,9.4,8.97,9.06,41100,APG
2010-06-14,8.97,9.21,8.48,8.97,54300,APG
2010-06-15,9.06,9.06,8.73,8.77,49500,APG
2010-06-16,9.02,9.45,8.97,9.45,151100,APG
2010-06-17,9.7,9.84,9.36,9.74,98500,APG
2010-06-18,9.6,9.94,9.45,9.45,34700,APG
2010-06-21,9.6,9.7,9.45,9.45,66300,APG
2010-06-22,9.45,9.45,9.11,9.21,87900,APG
2010-06-23,9.11,9.16,8.97,9.16,50700,APG
2010-06-24,9.02,9.11,9.02,9.11,20200,APG
2010-06-25,9.02,9.06,8.97,9.02,48000,APG
2010-06-28,9.02,9.02,8.97,9.02,1500,APG
2010-06-29,9.36,9.6,9.21,9.31,56400,APG
2010-06-30,9.21,9.26,8.97,9.06,94400,APG
2010-07-01,9.02,9.21,8.97,8.97,38800,APG
2010-07-02,9.21,9.21,8.92,8.97,19400,APG
2010-07-05,8.87,8.87,8.82,8.87,36300,APG
2010-07-06,9.21,9.21,8.73,8.73,39600,APG
2010-07-07,8.73,8.73,8.58,8.58,9200,APG
2010-07-08,9.11,9.11,8.58,8.58,25400,APG
2010-07-09,8.73,8.73,8.68,8.68,11500,APG
2010-07-12,8.48,8.73,8.24,8.39,53100,APG
2010-07-13,8.73,8.82,8.68,8.82,21200,APG
2010-07-14,9.31,9.31,8.97,9.16,138700,APG
2010-07-15,9.21,9.21,8.77,9.06,2500,APG
2010-07-16,8.73,8.87,8.63,8.73,42100,APG
2010-07-19,8.73,8.73,8.58,8.73,18900,APG
2010-07-20,8.73,8.73,8.53,8.58,59600,APG
2010-07-21,8.53,8.58,8.48,8.53,48000,APG
2010-07-22,8.48,8.63,8.43,8.48,17700,APG
2010-07-23,8.48,8.58,8.29,8.58,28700,APG
2010-07-26,8.48,8.48,8.29,8.29,8600,APG
2010-07-27,8.43,8.77,8.39,8.39,53900,APG
2010-07-28,8.53,8.53,8.24,8.29,15500,APG
2010-07-29,8.29,8.39,8.24,8.39,8000,APG
2010-07-30,8.43,8.43,8.39,8.43,1900,APG
2010-08-02,8.48,8.53,8.29,8.34,12000,APG
2010-08-03,8.29,8.43,8.24,8.24,18000,APG
2010-08-04,8.24,8.24,8.0,8.1,31000,APG
2010-08-05,8.39,8.43,7.95,8.1,12300,APG
2010-08-06,7.59,8.0,7.59,7.95,12800,APG
2010-08-09,7.8,8.2,7.44,7.85,7900,APG
2010-08-10,7.59,7.59,7.29,7.29,20500,APG
2010-08-11,6.83,7.44,6.83,7.39,13100,APG
2010-08-12,6.78,7.24,6.68,6.78,16600,APG
2010-08-13,6.73,6.83,6.28,6.48,33500,APG
2010-08-16,6.58,6.88,6.48,6.88,69400,APG
2010-08-17,6.68,6.83,6.38,6.83,14400,APG
2010-08-18,6.68,6.68,6.38,6.68,15700,APG
2010-08-19,6.83,6.83,6.53,6.53,22500,APG
2010-08-20,6.99,6.99,6.53,6.68,25900,APG
2010-08-23,6.78,6.78,6.48,6.63,36800,APG
2010-08-24,6.58,6.58,6.13,6.18,116000,APG
2010-08-25,6.13,6.38,5.72,5.77,40900,APG
2010-08-26,6.23,6.23,5.57,5.62,31400,APG
2010-08-27,5.52,6.07,5.37,6.07,144500,APG
2010-08-30,6.13,6.13,6.13,6.13,19500,APG
2010-08-31,6.53,6.53,6.43,6.53,107100,APG
2010-09-01,6.88,6.99,6.53,6.99,67200,APG
2010-09-06,7.34,7.34,7.24,7.34,210700,APG
2010-09-07,7.49,7.49,6.83,7.09,109700,APG
2010-09-08,6.94,7.09,6.73,6.88,68100,APG
2010-09-09,7.34,7.34,6.94,7.19,34100,APG
2010-09-10,7.09,7.09,6.68,6.68,89400,APG
2010-09-13,6.58,6.94,6.33,6.33,79900,APG
2010-09-14,6.68,6.68,6.43,6.48,13300,APG
2010-09-15,6.68,6.73,6.53,6.53,2600,APG
2010-09-16,6.58,6.78,6.58,6.63,2500,APG
2010-09-17,6.88,6.94,6.63,6.88,109400,APG
2010-09-20,6.99,7.04,6.58,6.99,106100,APG
2010-09-21,6.73,6.94,6.43,6.43,80200,APG
2010-09-22,6.58,6.73,6.43,6.43,46600,APG
2010-09-23,6.57,6.57,6.18,6.35,57700,APG
2010-09-24,6.18,6.51,6.18,6.4,9700,APG
2010-09-27,6.46,6.51,6.29,6.4,29600,APG
2010-09-28,6.57,6.57,6.29,6.35,23800,APG
2010-09-29,6.46,6.46,6.02,6.18,43800,APG
2010-09-30,6.02,6.35,6.02,6.35,2600,APG
2010-10-01,6.18,6.35,6.02,6.02,24100,APG
