time,open,high,low,close,volume,ticker
2020-07-28,30.17,30.17,30.17,30.17,275200,APH
2020-07-29,32.23,32.23,32.23,32.23,193780,APH
2020-07-30,34.47,34.47,34.47,34.47,370550,APH
2020-07-31,36.77,36.83,33.62,36.53,328950,APH
2020-08-03,33.98,36.89,33.98,34.53,290720,APH
2020-08-04,34.23,36.89,33.92,36.89,434910,APH
2020-08-05,36.89,39.37,36.77,39.37,520410,APH
2020-08-06,39.37,41.19,38.47,41.13,525700,APH
2020-08-07,41.07,41.68,40.77,41.49,504240,APH
2020-08-10,41.49,41.49,38.77,39.07,413640,APH
2020-08-11,38.77,39.68,38.04,39.43,403850,APH
2020-08-12,39.43,40.59,39.43,40.34,423970,APH
2020-08-13,41.62,41.8,40.46,41.62,524120,APH
2020-08-14,41.74,43.01,41.74,42.83,536830,APH
2020-08-17,42.83,43.01,41.19,41.19,315400,APH
2020-08-18,41.19,42.4,41.01,42.4,415720,APH
2020-08-19,42.4,44.83,42.34,43.92,530760,APH
2020-08-20,44.1,44.77,43.92,43.92,434060,APH
2020-08-21,44.1,45.43,43.92,45.19,481230,APH
2020-08-24,45.31,45.73,45.19,45.25,358550,APH
2020-08-25,45.25,45.43,44.16,45.13,323070,APH
2020-08-26,45.13,45.43,44.34,44.58,402650,APH
2020-08-27,43.92,45.13,43.74,44.83,393330,APH
2020-08-28,45.01,45.31,44.46,44.58,337940,APH
2020-08-31,44.46,45.13,44.28,44.4,314520,APH
2020-09-01,44.4,45.01,44.4,44.71,335240,APH
2020-09-03,44.83,45.25,44.71,44.83,252350,APH
2020-09-04,44.83,44.95,44.1,44.46,214910,APH
2020-09-07,44.58,44.77,44.4,44.58,242810,APH
2020-09-08,44.58,44.83,44.4,44.64,238060,APH
2020-09-09,44.64,44.64,44.1,44.22,208670,APH
2020-09-10,44.22,44.22,43.61,44.22,212090,APH
2020-09-11,43.92,45.43,43.92,44.89,284190,APH
2020-09-14,45.01,45.73,45.01,45.67,317130,APH
2020-09-15,45.67,45.92,45.25,45.49,204520,APH
2020-09-16,45.49,45.73,45.25,45.43,212890,APH
2020-09-17,45.31,45.43,44.71,45.43,232380,APH
2020-09-18,45.43,45.43,45.13,45.31,204480,APH
2020-09-21,45.43,45.73,45.37,45.37,215940,APH
2020-09-22,45.37,45.49,45.19,45.43,244710,APH
2020-09-23,45.43,46.04,45.43,45.55,288610,APH
2020-09-24,45.55,45.86,45.37,45.43,316050,APH
2020-09-25,45.43,45.55,45.13,45.19,246560,APH
2020-09-28,45.19,45.55,45.13,45.37,266240,APH
2020-09-29,45.37,45.49,44.83,44.95,340880,APH
2020-09-30,44.83,45.37,44.83,45.07,293790,APH
2020-10-01,45.07,45.43,45.01,45.25,264660,APH
2020-10-02,45.25,45.37,44.83,44.89,227290,APH
2020-10-05,44.89,45.07,44.77,44.95,358150,APH
2020-10-06,44.95,45.07,44.77,45.01,292970,APH
2020-10-07,45.01,45.01,44.64,44.83,242560,APH
2020-10-08,44.83,45.01,44.58,44.71,322770,APH
2020-10-09,44.71,45.01,44.16,44.52,266880,APH
2020-10-12,44.52,44.77,43.98,44.1,215630,APH
2020-10-13,44.1,44.34,43.68,43.74,334730,APH
2020-10-14,43.74,44.22,43.74,44.1,253810,APH
2020-10-15,44.1,44.22,43.37,43.61,282950,APH
2020-10-16,43.61,43.92,42.4,43.55,345160,APH
2020-10-19,43.55,44.22,43.55,44.1,405950,APH
2020-10-20,44.1,44.1,43.68,43.92,225660,APH
2020-10-21,43.92,44.16,43.61,43.68,357560,APH
2020-10-22,43.68,44.04,43.37,44.04,437230,APH
2020-10-23,44.04,44.71,44.04,44.52,461180,APH
2020-10-26,44.52,45.07,44.52,44.58,384310,APH
2020-10-27,44.46,44.46,43.8,43.98,338750,APH
2020-10-28,43.86,44.1,43.25,43.55,368740,APH
2020-10-29,43.43,43.86,42.77,42.77,308900,APH
2020-10-30,45.73,45.73,43.13,45.13,851700,APH
2020-11-02,45.13,45.55,45.07,45.55,463500,APH
2020-11-03,45.43,45.67,45.01,45.19,408710,APH
2020-11-04,45.07,45.61,44.89,44.89,468240,APH
2020-11-05,44.89,45.31,44.64,44.83,368900,APH
2020-11-06,44.83,45.43,44.58,44.95,389310,APH
2020-11-09,44.95,45.67,44.89,45.49,407990,APH
2020-11-10,45.49,45.67,45.25,45.43,304120,APH
2020-11-11,45.73,48.58,45.73,48.58,566220,APH
2020-11-12,48.76,49.79,48.7,49.55,475780,APH
2020-11-13,49.61,50.28,49.19,49.37,369970,APH
2020-11-16,49.25,49.73,48.52,49.13,420030,APH
2020-11-17,49.13,49.37,48.52,48.7,384540,APH
2020-11-18,48.7,49.37,48.52,49.25,3001870,APH
2020-11-19,49.19,52.46,49.13,52.46,3318800,APH
2020-11-20,52.46,52.46,52.1,52.22,3587180,APH
2020-11-23,52.1,52.22,51.43,52.22,3525450,APH
2020-11-24,52.22,52.34,51.61,51.67,3713010,APH
2020-11-25,51.67,52.64,51.67,52.58,4008790,APH
2020-11-26,52.58,52.64,52.16,52.64,3912340,APH
2020-11-27,52.7,56.28,52.28,55.97,4130530,APH
2020-11-30,55.97,55.97,54.7,54.88,978710,APH
2020-12-01,53.49,54.7,52.88,53.97,2013750,APH
2020-12-02,53.79,54.7,52.58,54.64,1913650,APH
2020-12-03,54.64,54.88,53.91,54.4,1809640,APH
2020-12-04,54.4,54.76,54.09,54.46,1272320,APH
2020-12-07,54.64,55.0,54.52,54.58,727390,APH
2020-12-08,54.58,54.88,54.22,54.46,603600,APH
2020-12-09,54.46,54.7,54.28,54.4,566410,APH
2020-12-10,54.76,54.82,53.91,53.91,643420,APH
2020-12-11,53.85,53.85,52.7,53.31,553190,APH
2020-12-14,53.49,54.15,53.43,54.15,632320,APH
2020-12-15,54.34,54.34,53.67,53.79,527030,APH
2020-12-16,53.91,53.91,51.19,51.67,564380,APH
2020-12-17,51.49,51.61,49.07,49.61,530780,APH
2020-12-18,49.55,49.55,46.16,46.16,570900,APH
2020-12-21,46.34,48.58,46.34,48.28,658500,APH
2020-12-22,48.28,48.46,46.89,47.07,510100,APH
2020-12-23,47.07,47.13,45.43,45.67,447710,APH
2020-12-24,45.73,45.86,44.04,44.71,430610,APH
2020-12-25,44.83,46.22,44.83,46.22,508980,APH
2020-12-28,46.22,46.58,45.73,45.98,477120,APH
2020-12-29,45.98,45.98,44.83,45.13,502260,APH
2020-12-30,45.19,45.8,45.07,45.07,546080,APH
2020-12-31,45.19,45.49,45.07,45.31,478190,APH
2021-01-04,45.31,45.49,44.22,44.4,521800,APH
2021-01-05,44.46,44.46,43.61,43.92,476200,APH
2021-01-06,44.16,44.16,43.31,43.8,436100,APH
2021-01-07,43.92,44.22,43.43,43.92,601300,APH
2021-01-08,44.04,44.04,43.01,43.01,365100,APH
2021-01-11,43.07,43.13,40.77,41.31,529000,APH
2021-01-12,41.25,42.1,40.83,42.04,462700,APH
2021-01-13,42.04,42.77,42.04,42.65,466600,APH
2021-01-14,42.71,42.83,41.8,42.58,597300,APH
2021-01-15,42.71,42.71,42.1,42.22,400000,APH
2021-01-18,42.04,42.22,41.07,41.37,413800,APH
2021-01-19,41.19,41.19,38.71,39.37,351600,APH
2021-01-20,39.13,39.5,37.68,38.16,459500,APH
2021-01-21,38.28,39.68,38.16,39.68,503500,APH
2021-01-22,40.04,40.59,39.68,39.68,463000,APH
2021-01-25,39.74,39.8,39.43,39.5,434300,APH
2021-01-26,39.43,39.43,37.74,38.71,363800,APH
2021-01-27,38.22,38.47,36.47,36.53,305800,APH
2021-01-28,34.89,34.89,33.98,33.98,202400,APH
2021-01-29,32.17,34.53,32.17,34.41,517600,APH
2021-02-01,34.47,34.77,33.5,33.74,346300,APH
2021-02-02,33.8,34.77,33.62,34.71,437000,APH
2021-02-03,34.83,36.53,34.83,36.53,426200,APH
2021-02-04,36.59,38.04,36.47,37.86,561900,APH
2021-02-05,38.04,38.47,37.92,37.92,371400,APH
2021-02-08,37.74,38.47,37.19,37.98,889000,APH
2021-02-09,38.04,40.46,37.74,40.46,1030200,APH
2021-02-17,40.59,41.25,40.46,41.19,1087500,APH
2021-02-18,41.37,41.43,40.77,41.07,1010400,APH
2021-02-19,40.95,41.25,40.16,40.59,1043300,APH
2021-02-22,40.59,40.59,39.98,40.34,1422400,APH
2021-02-23,40.34,42.28,40.16,42.16,1526700,APH
2021-02-24,42.28,42.34,41.25,41.56,1428700,APH
2021-02-25,41.56,41.68,40.95,41.49,1502000,APH
2021-02-26,41.19,41.56,40.71,41.49,1724700,APH
2021-03-01,41.56,41.8,41.01,41.07,1039700,APH
2021-03-02,41.07,41.25,39.98,40.34,731200,APH
2021-03-03,43.12,43.12,40.96,41.92,768300,APH
2021-03-04,42.0,42.16,39.68,40.16,588300,APH
2021-03-05,40.16,40.64,39.6,40.0,535200,APH
2021-03-08,40.08,40.72,39.84,40.08,720600,APH
2021-03-09,40.08,40.16,39.2,39.52,518300,APH
2021-03-10,39.6,40.48,39.36,40.32,564900,APH
2021-03-11,40.64,41.04,40.32,40.4,706900,APH
2021-03-12,40.4,40.48,39.6,39.92,477600,APH
2021-03-15,40.16,40.16,39.28,39.44,561100,APH
2021-03-16,39.6,39.6,38.56,39.44,680500,APH
2021-03-17,39.2,39.6,38.8,39.6,726200,APH
2021-03-18,39.92,40.08,39.44,39.6,528200,APH
2021-03-19,39.44,39.44,38.32,39.44,682300,APH
2021-03-22,39.36,39.44,38.56,39.28,585200,APH
2021-03-23,39.28,39.28,38.6,39.12,694500,APH
