time,open,high,low,close,volume,ticker
2018-01-04,38.21,38.21,38.21,38.21,12000,AST
2018-01-05,40.83,40.83,40.83,40.83,8700,AST
2018-01-08,43.66,43.66,43.66,43.66,150720,AST
2018-01-09,46.7,46.7,46.7,46.7,223230,AST
2018-01-10,49.96,49.96,49.96,49.96,173190,AST
2018-01-11,48.12,49.96,46.49,46.49,203460,AST
2018-01-12,48.82,48.82,45.99,46.7,234850,AST
2018-01-15,46.7,47.06,45.22,45.5,63550,AST
2018-01-16,44.65,45.36,44.15,45.36,126190,AST
2018-01-17,46.7,47.41,45.99,46.14,106720,AST
2018-01-18,45.99,45.99,43.73,45.78,118340,AST
2018-01-19,45.78,46.21,44.58,45.92,159450,AST
2018-01-22,45.92,47.06,45.92,46.84,295680,AST
2018-01-23,46.84,46.84,46.84,46.84,0,AST
2018-01-24,46.84,46.84,46.84,46.84,0,AST
2018-01-25,47.41,47.41,45.99,47.06,278640,AST
2018-01-26,47.2,47.27,46.7,46.98,163520,AST
2018-01-29,44.58,46.91,44.44,46.56,269020,AST
2018-01-30,45.29,46.56,44.93,46.06,354390,AST
2018-01-31,47.41,47.41,46.49,46.63,116870,AST
2018-02-01,47.06,48.68,46.7,48.68,471760,AST
2018-02-02,49.53,49.53,48.68,49.32,322370,AST
2018-02-05,49.04,49.04,48.26,48.54,193730,AST
2018-02-06,45.99,47.27,45.14,45.5,280640,AST
2018-02-07,46.91,47.06,46.06,47.06,252300,AST
2018-02-08,47.06,47.76,46.35,47.41,186020,AST
2018-02-09,45.99,46.56,45.29,46.42,175110,AST
2018-02-12,47.06,49.46,46.98,47.48,135440,AST
2018-02-13,48.82,48.82,47.62,48.05,122540,AST
2018-02-21,48.47,50.95,48.47,50.38,179470,AST
2018-02-22,50.95,50.95,49.53,50.45,161180,AST
2018-02-23,50.95,50.95,50.59,50.95,172900,AST
2018-02-26,50.95,52.08,50.24,50.95,145310,AST
2018-02-27,51.09,51.09,50.31,50.66,159690,AST
2018-02-28,50.66,50.66,50.38,50.66,198250,AST
2018-03-01,50.95,51.09,50.66,50.95,422090,AST
2018-03-02,50.81,54.49,50.66,54.34,377660,AST
2018-03-05,55.19,56.61,55.19,55.9,186220,AST
2018-03-06,55.9,55.9,54.7,55.69,123950,AST
2018-03-07,55.69,58.02,55.05,55.48,166610,AST
2018-03-08,55.9,57.32,55.48,57.32,187690,AST
2018-03-09,57.67,60.36,57.67,60.08,219610,AST
2018-03-12,60.64,60.85,58.87,58.87,125910,AST
2018-03-13,58.73,59.3,57.32,58.66,155190,AST
2018-03-14,59.23,59.58,58.66,59.08,138290,AST
2018-03-15,59.44,59.44,54.98,54.98,321820,AST
2018-03-16,54.98,58.02,54.84,58.02,228160,AST
2018-03-19,58.66,58.66,56.82,57.6,124120,AST
2018-03-20,57.95,58.31,56.68,58.02,152330,AST
2018-03-21,56.82,58.38,54.13,54.13,245380,AST
2018-03-22,55.9,55.9,52.79,54.49,173020,AST
2018-03-23,51.65,54.49,51.65,54.34,116420,AST
2018-03-26,54.34,54.98,54.27,54.91,128920,AST
2018-03-27,56.25,58.02,55.9,58.02,154960,AST
2018-03-28,58.38,58.38,55.9,57.1,143580,AST
2018-03-29,57.32,57.53,55.9,56.61,118090,AST
2018-03-30,56.82,56.89,55.19,56.61,112340,AST
2018-04-02,56.61,56.61,55.97,56.47,139790,AST
2018-04-03,56.61,57.95,56.61,56.96,185980,AST
2018-04-04,57.81,57.81,56.61,57.24,175870,AST
2018-04-05,57.95,57.95,56.61,57.24,146820,AST
2018-04-06,57.6,57.67,57.24,57.6,160160,AST
2018-04-09,57.95,58.02,56.61,57.17,135170,AST
2018-04-10,57.32,57.32,56.61,56.68,115720,AST
2018-04-11,57.1,57.1,54.84,55.12,228580,AST
2018-04-12,55.12,55.12,54.49,54.77,138310,AST
2018-04-13,53.99,55.9,53.99,55.41,353340,AST
2018-04-16,56.04,56.25,55.55,55.9,104460,AST
2018-04-17,56.54,56.96,56.47,56.61,257250,AST
2018-04-18,56.96,57.6,56.68,57.46,225770,AST
2018-04-19,57.67,59.72,57.46,58.02,238130,AST
2018-04-20,59.08,59.08,58.24,58.38,106250,AST
2018-04-23,58.73,59.08,56.61,58.02,164650,AST
2018-04-24,58.02,58.38,57.32,58.38,149860,AST
2018-04-26,59.08,59.23,57.67,57.95,122900,AST
2018-04-27,57.67,58.02,56.96,58.02,140120,AST
2018-05-02,58.73,58.73,56.96,57.67,101420,AST
2018-05-03,58.02,58.02,56.68,57.67,103170,AST
2018-05-04,58.02,58.52,57.32,57.6,83030,AST
2018-05-07,57.6,57.67,55.19,56.25,85350,AST
2018-05-08,55.9,55.9,53.42,53.42,118110,AST
2018-05-09,53.07,53.07,51.3,52.01,140310,AST
2018-05-10,51.02,51.94,50.24,50.24,111260,AST
2018-05-11,50.24,50.24,48.12,49.53,72350,AST
2018-05-14,49.53,50.59,49.39,50.24,75220,AST
2018-05-15,49.53,50.38,49.53,49.6,90040,AST
2018-05-16,49.04,49.53,48.82,48.9,91730,AST
2018-05-17,49.53,49.74,49.25,49.32,43170,AST
2018-05-18,49.53,49.6,49.25,49.53,53280,AST
2018-05-21,48.47,49.67,48.47,49.18,65640,AST
2018-05-22,49.18,49.18,47.76,47.76,70850,AST
2018-05-23,47.41,47.41,46.7,47.34,57130,AST
2018-05-24,46.35,47.06,46.35,46.7,60480,AST
2018-05-25,46.35,46.35,45.5,46.14,84480,AST
2018-05-28,45.29,45.43,44.58,44.58,93020,AST
2018-05-29,44.58,44.65,41.75,41.75,171350,AST
2018-05-30,41.96,44.65,41.96,44.65,62050,AST
2018-05-31,44.65,46.98,44.65,45.85,52930,AST
2018-06-01,43.73,49.04,43.73,49.04,91370,AST
2018-06-04,49.46,49.46,48.12,49.18,80290,AST
2018-06-05,48.47,49.04,48.26,48.61,140830,AST
2018-06-06,48.82,48.82,47.76,48.47,80910,AST
2018-06-07,48.82,49.46,48.12,48.54,68740,AST
2018-06-08,48.54,48.54,47.34,47.55,96500,AST
2018-06-11,48.26,48.26,46.7,47.2,73340,AST
2018-06-12,46.77,47.06,46.06,46.7,81340,AST
2018-06-13,48.12,48.12,46.42,47.34,71040,AST
2018-06-14,47.62,47.9,46.7,47.34,116820,AST
2018-06-15,47.76,47.98,47.06,47.41,51190,AST
2018-06-18,48.87,48.87,45.22,47.41,59800,AST
2018-06-19,47.41,47.41,44.49,44.71,57360,AST
2018-06-20,45.22,46.68,44.86,46.32,60870,AST
2018-06-21,46.83,47.05,44.49,46.61,90220,AST
2018-06-22,46.68,46.68,45.22,46.54,57950,AST
2018-06-25,46.68,46.68,45.73,46.1,53540,AST
2018-06-26,46.68,46.68,45.3,45.95,62820,AST
2018-06-27,46.32,46.32,45.95,46.1,63680,AST
2018-06-28,46.32,46.32,45.52,45.88,58360,AST
2018-06-29,46.32,46.32,45.44,45.88,60000,AST
2018-07-02,46.1,46.1,45.08,45.59,71800,AST
2018-07-03,45.59,45.59,44.49,45.22,92360,AST
2018-07-04,45.22,45.66,44.57,45.52,68840,AST
2018-07-05,45.08,45.59,45.08,45.52,59910,AST
2018-07-06,45.37,45.52,45.08,45.52,68930,AST
2018-07-09,45.52,46.32,45.22,45.88,68460,AST
2018-07-10,45.95,46.24,45.88,45.95,60290,AST
2018-07-11,45.44,45.95,45.08,45.37,54950,AST
2018-07-12,46.24,46.24,43.04,44.49,126380,AST
2018-07-13,44.49,45.95,41.58,44.64,55100,AST
2018-07-16,45.08,45.22,44.64,44.64,51320,AST
2018-07-17,44.64,44.86,44.49,44.71,55530,AST
2018-07-18,44.79,45.59,44.64,44.86,51800,AST
2018-07-19,45.15,45.15,44.13,44.35,54330,AST
2018-07-20,45.08,45.08,44.13,44.35,64000,AST
2018-07-23,44.49,45.08,44.2,44.64,50120,AST
2018-07-24,44.42,44.86,44.42,44.86,51990,AST
2018-07-25,44.86,45.44,44.86,45.44,61350,AST
2018-07-26,45.59,46.1,45.59,45.88,57380,AST
2018-07-27,45.95,46.1,45.59,45.95,70940,AST
2018-07-30,45.95,45.95,45.37,45.95,54550,AST
2018-07-31,45.59,45.88,45.3,45.73,53490,AST
2018-08-01,45.44,45.88,45.15,45.88,70310,AST
2018-08-02,45.59,46.1,45.52,45.73,52300,AST
2018-08-03,45.95,45.95,45.22,45.73,51420,AST
2018-08-06,45.22,45.95,44.86,45.81,80250,AST
2018-08-07,45.95,48.87,45.95,48.8,255960,AST
2018-08-08,48.8,49.38,47.12,47.41,109180,AST
2018-08-09,47.41,48.14,47.19,47.41,102890,AST
2018-08-10,47.27,47.41,45.95,46.9,102800,AST
2018-08-13,46.97,47.27,45.66,45.81,88960,AST
2018-08-14,45.81,46.68,45.44,46.61,80880,AST
2018-08-15,46.9,46.9,45.59,46.24,86700,AST
2018-08-16,47.05,47.05,45.59,46.1,69790,AST
2018-08-17,46.68,46.68,45.73,46.17,74260,AST
2018-08-20,46.61,46.61,46.17,46.24,71810,AST
2018-08-21,46.61,46.61,45.59,46.32,69390,AST
2018-08-22,45.95,46.39,45.22,46.32,96360,AST
2018-08-23,45.95,46.03,44.79,45.0,61540,AST
2018-08-24,45.0,45.22,44.86,45.22,56790,AST
2018-08-27,45.22,45.59,45.0,45.37,58630,AST
2018-08-28,45.73,45.81,45.0,45.59,71390,AST
2018-08-29,45.88,45.88,45.0,45.44,62260,AST
2018-08-30,45.52,45.95,45.3,45.73,61290,AST
2018-08-31,45.81,45.81,45.15,45.59,59620,AST
2018-09-04,45.95,45.95,44.86,44.86,54940,AST
2018-09-05,44.86,45.52,44.86,45.37,50880,AST
2018-09-06,45.59,45.59,45.22,45.37,50070,AST
2018-09-07,45.44,45.52,44.86,45.37,56310,AST
2018-09-10,45.52,45.52,44.71,45.52,51430,AST
2018-09-11,45.44,45.52,45.15,45.44,52210,AST
2018-09-12,45.52,45.52,45.3,45.52,59970,AST
2018-09-13,45.52,45.52,44.86,45.0,55440,AST
2018-09-14,45.59,45.59,44.79,44.79,59050,AST
2018-09-17,44.79,44.93,44.28,44.64,51540,AST
2018-09-18,44.64,45.15,44.28,44.71,55030,AST
2018-09-19,44.35,45.22,44.13,44.79,52700,AST
2018-09-20,44.79,45.52,44.35,45.44,60390,AST
2018-09-21,45.44,45.66,45.44,45.59,51010,AST
2018-09-24,45.59,45.81,45.59,45.73,56980,AST
2018-09-25,45.88,45.88,45.66,45.88,55090,AST
2018-09-26,45.95,46.03,45.52,45.88,55210,AST
2018-09-27,45.95,46.17,45.81,46.1,69340,AST
2018-09-28,46.68,47.85,46.54,47.41,139230,AST
2018-10-01,48.51,49.02,47.78,48.14,120530,AST
2018-10-02,48.14,48.8,48.14,48.58,130840,AST
2018-10-03,49.02,49.16,48.8,49.16,111510,AST
2018-10-04,49.53,49.6,48.51,48.51,130840,AST
2018-10-05,48.87,48.87,48.29,48.51,108540,AST
2018-10-08,48.72,48.72,47.78,47.78,120990,AST
2018-10-09,47.78,47.85,47.41,47.41,100400,AST
2018-10-10,47.56,48.58,47.41,48.58,133520,AST
2018-10-11,48.14,48.14,47.27,48.14,92130,AST
2018-10-12,47.56,48.51,47.27,48.51,104070,AST
2018-10-15,48.51,49.38,48.43,49.31,108220,AST
2018-10-16,49.45,50.18,49.45,50.18,121880,AST
2018-10-17,50.18,50.99,50.18,50.91,115570,AST
2018-10-18,50.91,50.99,50.55,50.84,91670,AST
2018-10-19,50.55,50.69,49.75,50.69,106900,AST
2018-10-22,50.84,51.72,50.33,51.42,123180,AST
2018-10-23,51.5,51.5,49.24,49.89,87950,AST
2018-10-24,49.96,50.26,49.89,50.26,104150,AST
2018-10-25,48.14,49.6,47.92,49.6,110770,AST
2018-10-26,49.82,50.04,49.24,49.53,90400,AST
2018-10-29,49.53,49.53,48.14,48.14,113860,AST
2018-10-30,48.14,48.65,47.05,47.78,131100,AST
2018-10-31,47.78,48.14,47.41,47.92,98390,AST
2018-11-01,47.92,48.43,47.41,47.85,92050,AST
2018-11-02,47.85,48.07,47.48,48.0,97960,AST
2018-11-05,48.0,48.58,48.0,48.36,108180,AST
2018-11-06,48.72,49.02,47.41,47.41,118370,AST
