time,open,high,low,close,volume,ticker
2015-10-07,8.89,10.75,8.89,9.52,150100,BFC
2015-10-08,9.63,9.63,9.26,9.41,30370,BFC
2015-10-09,9.41,9.41,9.19,9.38,40730,BFC
2015-10-12,9.19,9.19,8.75,8.75,119300,BFC
2015-10-13,8.15,8.52,8.15,8.3,215830,BFC
2015-10-14,8.45,8.78,8.45,8.78,8450,BFC
2015-10-15,8.71,8.89,8.6,8.86,43830,BFC
2015-10-16,8.89,8.93,8.89,8.89,54700,BFC
2015-10-19,8.89,8.93,8.89,8.89,24740,BFC
2015-10-20,8.89,9.08,8.89,9.08,25700,BFC
2015-10-21,9.0,9.04,8.93,8.93,11660,BFC
2015-10-22,8.93,9.0,8.93,8.97,19700,BFC
2015-10-23,8.97,9.3,8.97,9.3,116390,BFC
2015-10-26,9.26,9.38,9.23,9.23,21810,BFC
2015-10-27,9.26,9.56,9.26,9.56,84070,BFC
2015-10-28,9.56,10.01,9.56,9.93,126370,BFC
2015-10-29,10.08,10.6,10.08,10.6,289240,BFC
2015-10-30,11.12,11.12,10.6,10.6,105240,BFC
2015-11-02,10.82,10.82,9.89,10.01,33880,BFC
2015-11-03,10.04,10.23,9.63,10.23,16800,BFC
2015-11-04,10.23,10.23,9.71,9.78,40300,BFC
2015-11-05,9.71,9.93,9.71,9.78,46210,BFC
2015-11-06,9.86,10.19,9.86,10.01,91190,BFC
2015-11-09,10.12,10.12,9.82,9.82,33090,BFC
2015-11-10,9.78,9.89,9.75,9.75,57090,BFC
2015-11-11,9.82,9.82,9.71,9.71,15240,BFC
2015-11-12,9.67,9.82,9.63,9.71,65860,BFC
2015-11-13,9.71,10.04,9.71,10.04,58580,BFC
2015-11-16,10.01,10.04,9.82,10.04,25360,BFC
2015-11-17,10.08,10.08,10.01,10.01,49190,BFC
2015-11-18,10.04,10.04,9.78,9.82,8730,BFC
2015-11-19,9.82,9.82,9.63,9.82,21590,BFC
2015-11-20,9.82,10.15,9.82,9.86,49640,BFC
2015-11-23,9.97,9.97,9.93,9.93,39390,BFC
2015-11-24,9.82,9.97,9.82,9.82,42570,BFC
2015-11-25,9.82,10.49,9.82,10.45,164360,BFC
2015-11-26,10.52,10.52,10.3,10.3,45620,BFC
2015-11-27,10.49,10.49,9.93,9.93,18040,BFC
2015-11-30,10.23,10.23,9.82,9.86,36360,BFC
2015-12-01,9.82,10.01,9.82,9.97,11880,BFC
2015-12-02,10.01,10.01,9.97,9.97,3210,BFC
2015-12-03,10.01,10.04,9.89,9.89,28660,BFC
2015-12-04,9.86,9.97,9.82,9.93,27530,BFC
2015-12-07,9.86,9.97,9.75,9.93,52450,BFC
2015-12-08,9.82,9.93,9.82,9.93,56770,BFC
2015-12-09,9.93,10.01,9.82,10.01,26740,BFC
2015-12-10,9.82,9.86,9.78,9.86,7040,BFC
2015-12-11,9.86,9.86,9.82,9.82,28820,BFC
2015-12-14,9.78,9.82,9.78,9.78,5700,BFC
2015-12-15,9.86,9.86,9.78,9.82,11650,BFC
2015-12-16,9.82,9.86,9.78,9.78,8670,BFC
2015-12-17,9.89,9.89,9.78,9.78,31280,BFC
2015-12-18,9.75,9.78,9.75,9.78,9320,BFC
2015-12-21,9.75,9.86,9.75,9.82,25980,BFC
