time,open,high,low,close,volume,ticker
2020-10-12,10.26,10.26,10.26,10.26,168800,BNA
2020-10-13,11.29,11.29,11.29,11.29,128000,BNA
2020-10-14,12.4,12.4,11.05,11.05,202600,BNA
2020-10-15,10.46,10.46,10.07,10.26,130700,BNA
2020-10-16,10.22,10.26,9.59,9.79,99900,BNA
2020-10-19,9.79,9.83,9.4,9.4,90800,BNA
2020-10-20,9.4,9.4,9.12,9.32,145900,BNA
2020-10-21,9.32,9.51,9.28,9.43,132800,BNA
2020-10-22,9.43,9.55,9.36,9.43,97500,BNA
2020-10-23,9.43,9.59,9.4,9.55,129900,BNA
2020-10-26,9.55,9.67,9.55,9.67,99900,BNA
2020-10-27,9.67,9.79,9.55,9.75,123600,BNA
2020-10-28,9.67,9.71,9.47,9.47,119900,BNA
2020-10-29,9.47,9.47,9.24,9.32,99900,BNA
2020-10-30,9.28,9.36,9.2,9.32,89900,BNA
2020-11-02,9.36,9.43,9.24,9.28,98800,BNA
2020-11-03,9.28,9.4,9.08,9.36,145100,BNA
2020-11-04,9.32,9.87,9.12,9.87,204800,BNA
2020-11-05,9.95,10.42,9.83,10.38,249900,BNA
2020-11-06,10.42,11.01,10.42,10.94,270600,BNA
2020-11-09,11.05,11.05,10.78,10.9,210100,BNA
2020-11-10,11.05,11.45,10.9,11.45,190100,BNA
2020-11-11,11.57,11.57,11.29,11.33,161100,BNA
2020-11-12,11.41,11.45,11.21,11.33,204600,BNA
2020-11-13,11.41,11.72,11.29,11.69,228800,BNA
2020-11-16,11.72,12.08,11.65,12.0,252400,BNA
2020-11-17,12.16,12.4,12.0,12.36,199900,BNA
2020-11-18,12.44,12.59,12.32,12.47,207700,BNA
2020-11-19,12.47,12.51,12.36,12.36,168800,BNA
2020-11-20,12.4,12.44,12.28,12.4,235000,BNA
2020-11-23,12.44,12.47,12.24,12.28,222300,BNA
2020-11-24,12.24,12.36,12.12,12.16,166600,BNA
2020-11-25,12.08,12.24,12.08,12.2,143800,BNA
2020-11-26,12.08,12.24,11.96,12.0,119900,BNA
2020-11-27,12.0,12.4,11.88,12.36,266300,BNA
2020-11-30,12.4,12.55,12.36,12.51,240900,BNA
2020-12-01,12.51,12.71,12.4,12.71,211200,BNA
2020-12-02,12.71,12.79,12.71,12.79,184700,BNA
2020-12-03,12.79,13.03,12.44,13.03,228500,BNA
2020-12-04,13.03,13.11,12.95,12.95,231700,BNA
2020-12-07,12.95,13.22,12.87,13.19,258900,BNA
2020-12-08,13.19,13.22,13.07,13.07,90300,BNA
2020-12-09,13.07,13.19,12.99,13.15,100800,BNA
2020-12-10,13.15,13.19,13.07,13.15,107700,BNA
2020-12-11,13.15,14.27,13.15,13.43,333315,BNA
2020-12-14,13.43,13.47,13.39,13.43,66634,BNA
2020-12-15,13.43,13.51,13.39,13.39,69900,BNA
2020-12-16,13.35,13.43,13.31,13.43,51500,BNA
2020-12-17,13.43,13.51,13.39,13.47,79000,BNA
2020-12-18,13.47,13.71,13.47,13.71,107205,BNA
2020-12-21,13.71,13.79,13.55,13.79,132700,BNA
2020-12-22,13.79,13.83,13.47,13.47,200000,BNA
2020-12-23,13.47,13.59,13.47,13.55,107220,BNA
2020-12-24,13.51,13.55,13.43,13.47,104000,BNA
2020-12-25,13.47,13.59,13.47,13.59,59200,BNA
2020-12-28,13.59,13.59,13.51,13.55,31105,BNA
2020-12-29,13.55,13.63,13.55,13.55,51000,BNA
