time,open,high,low,close,volume,ticker
2009-06-08,4.45,4.45,4.45,4.45,2500,BPC
2009-06-09,4.73,4.73,4.73,4.73,62900,BPC
2009-06-10,5.05,5.05,5.05,5.05,66000,BPC
2009-06-11,5.39,5.39,5.39,5.39,46700,BPC
2009-06-15,6.05,6.11,5.39,5.39,118600,BPC
2009-06-16,5.14,5.27,5.14,5.14,31000,BPC
2009-06-17,4.8,5.11,4.8,5.11,55900,BPC
2009-06-18,4.8,5.11,4.8,5.08,35100,BPC
2009-06-19,5.02,5.02,4.7,4.86,29500,BPC
2009-06-22,4.76,4.8,4.45,4.48,32800,BPC
2009-06-23,4.2,4.33,4.2,4.23,48900,BPC
2009-06-24,4.39,4.51,4.39,4.51,19400,BPC
2009-06-25,4.7,4.8,4.39,4.51,16500,BPC
2009-06-26,4.7,4.7,4.58,4.7,4600,BPC
2009-06-29,4.73,4.76,4.51,4.55,7900,BPC
2009-06-30,4.64,4.67,4.45,4.45,15800,BPC
2009-07-01,4.39,4.42,4.26,4.26,13100,BPC
2009-07-02,4.36,4.51,4.36,4.39,2900,BPC
2009-07-03,4.39,4.42,4.29,4.29,22100,BPC
2009-07-06,4.45,4.61,4.45,4.61,13400,BPC
2009-07-07,4.51,4.55,4.51,4.55,4000,BPC
2009-07-08,4.7,4.7,4.7,4.7,100,BPC
2009-07-09,4.67,4.67,4.45,4.48,6000,BPC
2009-07-10,4.51,4.51,4.42,4.42,7300,BPC
2009-07-13,4.39,4.39,4.33,4.39,11900,BPC
2009-07-14,4.39,4.39,4.36,4.39,6500,BPC
2009-07-15,4.39,4.48,4.39,4.42,7600,BPC
2009-07-16,4.58,4.58,4.45,4.45,9400,BPC
2009-07-17,4.45,4.45,4.45,4.45,3000,BPC
2009-07-20,4.45,4.45,4.45,4.45,0,BPC
2009-07-21,4.48,4.48,4.42,4.45,7800,BPC
2009-07-22,4.42,4.42,4.42,4.42,1200,BPC
2009-07-23,4.55,4.64,4.48,4.64,9400,BPC
2009-07-24,4.58,4.89,4.58,4.89,26000,BPC
2009-07-27,4.89,4.89,4.7,4.83,16000,BPC
2009-07-28,4.83,4.83,4.51,4.51,6900,BPC
2009-07-29,4.67,4.83,4.64,4.7,23500,BPC
2009-07-30,4.86,4.86,4.64,4.67,10100,BPC
2009-07-31,4.86,4.86,4.76,4.83,24100,BPC
2009-08-03,4.73,4.83,4.7,4.8,7400,BPC
2009-08-04,4.95,4.95,4.73,4.8,13300,BPC
2009-08-05,4.7,4.89,4.7,4.83,4500,BPC
2009-08-06,4.89,4.89,4.7,4.7,16000,BPC
2009-08-07,4.55,4.86,4.55,4.7,54100,BPC
2009-08-10,4.67,4.7,4.67,4.7,12700,BPC
2009-08-11,4.89,4.89,4.7,4.86,28500,BPC
2009-08-12,4.89,4.89,4.86,4.89,11200,BPC
2009-08-13,4.89,4.89,4.76,4.8,19000,BPC
2009-08-14,4.86,4.86,4.76,4.83,7800,BPC
2009-08-17,4.76,4.86,4.73,4.8,35000,BPC
2009-08-18,4.76,4.8,4.7,4.8,14200,BPC
2009-08-19,4.76,4.89,4.76,4.89,22000,BPC
2009-08-20,4.86,4.95,4.8,4.95,29600,BPC
2009-08-21,5.14,5.14,4.83,4.92,9900,BPC
2009-08-24,4.86,5.11,4.86,5.11,34300,BPC
2009-08-25,5.02,5.02,4.89,4.98,15700,BPC
2009-08-26,5.02,5.08,5.02,5.02,22700,BPC
2009-08-27,5.08,5.11,5.02,5.08,19500,BPC
2009-08-28,5.14,5.2,5.08,5.2,20500,BPC
2009-08-31,5.27,5.42,5.2,5.33,25500,BPC
2009-09-01,5.27,5.36,5.24,5.3,43100,BPC
2009-09-03,5.3,5.3,5.11,5.24,35800,BPC
2009-09-04,5.27,5.33,5.11,5.17,35700,BPC
2009-09-07,5.2,5.2,5.02,5.11,10800,BPC
2009-09-08,5.17,5.24,5.11,5.11,27300,BPC
2009-09-09,5.14,5.36,5.14,5.36,53400,BPC
2009-09-10,5.33,5.64,5.33,5.64,102400,BPC
2009-09-11,5.83,5.96,5.71,5.77,40300,BPC
2009-09-14,5.96,5.96,5.77,5.92,48400,BPC
2009-09-15,5.96,5.96,5.8,5.96,38600,BPC
2009-09-16,5.92,5.92,5.64,5.71,27200,BPC
2009-09-17,5.77,5.86,5.58,5.64,19500,BPC
2009-09-18,5.8,5.8,5.64,5.71,14100,BPC
2009-09-21,5.8,5.8,5.67,5.71,19700,BPC
2009-09-22,5.61,5.71,5.58,5.71,72400,BPC
2009-09-23,5.58,5.74,5.58,5.64,40500,BPC
2009-09-24,5.61,5.67,5.55,5.64,23900,BPC
2009-09-25,5.58,5.64,5.55,5.58,30400,BPC
2009-09-28,5.64,5.67,5.61,5.67,39400,BPC
2009-09-29,5.64,5.77,5.64,5.74,84000,BPC
2009-09-30,5.83,6.08,5.83,6.08,48500,BPC
2009-10-01,6.39,6.46,6.11,6.27,82100,BPC
2009-10-02,6.11,6.11,5.89,6.05,46200,BPC
2009-10-05,5.89,5.96,5.8,5.8,42500,BPC
2009-10-06,5.96,6.05,5.8,6.05,41200,BPC
2009-10-07,6.27,6.27,5.96,5.99,12800,BPC
2009-10-08,6.27,6.27,6.05,6.11,15000,BPC
2009-10-09,6.27,6.43,6.14,6.14,24500,BPC
2009-10-12,6.3,6.65,6.27,6.65,59500,BPC
2009-10-13,6.93,6.93,6.9,6.93,110400,BPC
2009-10-14,7.4,7.4,6.93,7.4,142900,BPC
2009-10-15,7.9,7.9,7.84,7.9,77600,BPC
2009-10-16,8.43,8.43,7.37,7.52,60400,BPC
2009-10-19,7.52,7.99,7.52,7.62,112800,BPC
2009-10-20,7.99,8.21,7.9,8.21,172400,BPC
2009-10-21,8.31,8.31,8.12,8.24,66800,BPC
2009-10-22,8.09,8.46,8.09,8.46,86300,BPC
2009-10-23,8.78,8.81,8.21,8.46,161400,BPC
2009-10-26,8.46,8.78,8.31,8.78,124900,BPC
2009-10-27,8.15,9.12,8.15,9.12,146500,BPC
2009-10-28,9.53,9.53,9.44,9.53,38700,BPC
2009-10-29,10.03,10.19,9.09,9.78,189000,BPC
2009-10-30,10.34,10.56,10.19,10.28,167700,BPC
2009-11-02,9.87,11.16,9.72,9.72,110000,BPC
2009-11-03,10.13,10.13,9.75,9.75,400,BPC
2009-11-04,9.34,9.34,9.34,9.34,63300,BPC
2009-11-05,8.71,8.75,8.71,8.71,55400,BPC
2009-11-06,9.31,9.31,8.62,8.78,24400,BPC
2009-11-09,8.37,8.4,8.31,8.31,23300,BPC
2009-11-10,8.15,8.75,7.77,7.84,57100,BPC
2009-11-11,8.12,8.31,8.12,8.31,7200,BPC
2009-11-12,8.75,8.75,8.46,8.46,2600,BPC
2009-11-13,8.9,8.9,8.68,8.68,1600,BPC
2009-11-16,8.78,9.31,8.31,8.34,24600,BPC
2009-11-17,8.4,8.4,7.87,8.37,12800,BPC
2009-11-18,8.15,8.5,7.84,8.24,10900,BPC
2009-11-19,8.03,8.31,7.99,8.24,10600,BPC
2009-11-20,8.15,8.15,7.84,7.99,26200,BPC
2009-11-23,8.31,8.31,7.84,7.84,5600,BPC
2009-11-24,8.24,8.24,7.68,7.68,1400,BPC
2009-11-25,8.4,8.4,7.49,7.49,10500,BPC
2009-11-26,7.15,7.15,7.15,7.15,3000,BPC
2009-11-27,6.68,7.21,6.68,6.9,44700,BPC
2009-11-30,7.02,7.05,6.43,7.05,14600,BPC
2009-12-01,7.05,7.18,7.05,7.18,47300,BPC
2009-12-02,7.12,7.12,6.83,6.83,6300,BPC
2009-12-03,6.65,6.74,6.65,6.74,6100,BPC
2009-12-04,7.02,7.02,6.9,6.9,500,BPC
2009-12-07,6.58,6.61,6.52,6.58,4100,BPC
2009-12-08,6.61,6.61,6.3,6.52,11500,BPC
2009-12-09,6.14,6.14,5.96,5.96,39600,BPC
2009-12-10,6.27,6.27,5.64,5.64,28500,BPC
2009-12-11,5.8,5.83,5.8,5.8,7000,BPC
2009-12-14,6.11,6.14,5.83,6.11,14700,BPC
2009-12-15,6.11,6.11,6.11,6.11,100,BPC
2009-12-16,6.11,6.43,6.05,6.05,15400,BPC
2009-12-17,6.33,6.43,5.92,5.92,17300,BPC
2009-12-18,6.18,6.18,6.11,6.18,29900,BPC
2009-12-21,6.39,6.55,6.39,6.55,17300,BPC
2009-12-22,6.65,6.68,5.99,5.99,20400,BPC
2009-12-23,6.27,6.27,5.96,6.27,31500,BPC
2009-12-24,6.18,6.27,6.18,6.27,4800,BPC
2009-12-25,6.3,6.58,6.3,6.43,24900,BPC
2009-12-28,6.74,6.74,6.21,6.21,9300,BPC
2009-12-29,6.08,6.9,6.08,6.18,6400,BPC
2009-12-30,6.9,7.05,6.43,6.55,13400,BPC
2009-12-31,6.36,6.93,6.27,6.39,16800,BPC
2010-01-04,6.77,6.9,6.77,6.9,38400,BPC
2010-01-05,7.37,7.37,7.37,7.37,44300,BPC
2010-01-06,7.52,7.52,7.24,7.37,11900,BPC
2010-01-07,7.84,7.84,7.21,7.24,10000,BPC
2010-01-08,7.52,7.52,6.9,7.05,17200,BPC
2010-01-11,7.21,7.21,6.74,6.74,6500,BPC
2010-01-12,6.58,6.9,6.33,6.33,19500,BPC
2010-01-13,6.65,6.9,6.46,6.9,29800,BPC
2010-01-14,7.24,7.24,6.9,7.24,32400,BPC
2010-01-15,7.21,7.21,6.77,6.77,7400,BPC
2010-01-18,6.58,6.58,6.46,6.46,12300,BPC
2010-01-19,6.27,6.58,6.27,6.55,8900,BPC
2010-01-20,6.33,6.36,6.33,6.33,3200,BPC
2010-01-21,6.71,6.71,5.96,6.11,35400,BPC
2010-01-22,6.27,6.27,5.83,6.08,10500,BPC
2010-01-25,6.27,6.3,6.27,6.3,5800,BPC
2010-01-26,6.58,6.74,6.58,6.74,19900,BPC
2010-01-27,6.74,6.74,6.33,6.33,5300,BPC
2010-01-28,6.21,6.21,6.21,6.21,100,BPC
2010-01-29,6.55,6.55,6.46,6.46,400,BPC
2010-02-01,6.39,6.55,6.39,6.55,5100,BPC
2010-02-02,6.36,6.74,6.27,6.27,11200,BPC
2010-02-03,6.43,6.43,6.33,6.33,5300,BPC
2010-02-04,5.99,6.58,5.99,6.52,1600,BPC
2010-02-05,6.58,6.58,6.58,6.58,2000,BPC
2010-02-08,6.8,6.8,6.8,6.8,1000,BPC
2010-02-09,6.43,6.43,6.33,6.33,15300,BPC
2010-02-10,6.39,6.39,6.33,6.33,1000,BPC
2010-02-11,6.33,6.43,6.33,6.43,1900,BPC
2010-02-12,6.49,6.49,6.49,6.49,100,BPC
2010-02-22,6.3,6.36,6.3,6.33,7800,BPC
2010-02-23,6.27,6.39,6.27,6.39,11200,BPC
2010-02-24,6.39,6.43,6.33,6.43,5800,BPC
2010-02-25,6.11,6.11,6.11,6.11,3000,BPC
2010-02-26,6.39,6.39,6.27,6.27,1800,BPC
2010-03-01,6.3,6.43,6.27,6.43,1700,BPC
2010-03-02,6.36,6.36,6.3,6.3,2100,BPC
2010-03-03,6.05,6.49,6.05,6.46,7600,BPC
2010-03-04,6.46,6.55,6.43,6.49,6100,BPC
2010-03-05,6.46,6.68,6.46,6.68,16200,BPC
2010-03-08,6.74,6.99,6.58,6.58,23800,BPC
2010-03-09,6.9,6.99,6.87,6.99,12200,BPC
2010-03-10,7.15,7.15,6.68,7.02,1400,BPC
2010-03-11,6.96,6.96,6.68,6.68,11900,BPC
2010-03-12,7.02,7.02,6.77,6.87,7400,BPC
2010-03-15,7.02,7.12,6.87,6.87,14800,BPC
2010-03-16,6.9,6.9,6.58,6.58,6200,BPC
2010-03-17,6.96,7.05,6.74,6.77,27700,BPC
2010-03-18,6.93,7.05,6.87,6.9,38100,BPC
2010-03-19,7.05,7.21,6.9,7.21,65600,BPC
2010-03-22,6.99,7.12,6.9,7.12,51400,BPC
