time,open,high,low,close,volume,ticker
2017-03-02,13.8,13.8,11.15,11.31,20000,BTD
2017-03-03,14.34,14.34,14.34,14.34,100,BTD
2017-03-06,16.46,16.46,16.46,16.46,700,BTD
2017-03-07,14.02,14.02,14.02,14.02,1000,BTD
2017-03-08,11.95,11.95,11.95,11.95,100,BTD
2017-03-09,10.19,10.19,10.19,10.19,5100,BTD
2017-03-10,11.68,11.68,11.68,11.68,100,BTD
2017-03-13,11.95,12.21,11.95,12.21,900,BTD
2017-03-14,12.21,12.21,12.21,12.21,0,BTD
2017-03-15,10.35,10.35,10.35,10.35,1000,BTD
2017-03-16,9.03,9.03,8.87,9.03,5500,BTD
2017-03-17,10.19,10.19,9.66,10.19,15047,BTD
2017-03-20,10.19,10.19,10.19,10.19,0,BTD
2017-03-21,10.14,10.14,10.14,10.14,0,BTD
2017-03-22,10.19,10.19,10.14,10.14,738,BTD
2017-03-23,10.19,10.19,10.19,10.19,0,BTD
2017-03-24,10.19,10.19,10.19,10.19,1500,BTD
2017-03-27,10.19,10.19,10.19,10.19,0,BTD
2017-03-28,9.56,9.56,9.56,9.56,300,BTD
2017-03-29,9.61,9.61,9.61,9.61,200,BTD
2017-03-30,9.82,9.82,9.66,9.82,14000,BTD
2017-03-31,10.09,10.09,10.09,10.09,2000,BTD
2017-04-03,10.09,10.09,10.09,10.09,0,BTD
2017-04-04,9.93,9.93,9.93,9.93,3000,BTD
2017-04-05,9.88,9.88,9.88,9.88,100,BTD
2017-04-07,8.5,9.82,8.5,9.82,200,BTD
2017-04-10,9.24,9.56,9.24,9.56,2000,BTD
2017-04-11,9.88,9.88,9.88,9.88,1000,BTD
2017-04-12,9.88,10.35,9.88,10.19,19734,BTD
2017-04-13,10.19,10.35,10.04,10.04,9300,BTD
2017-04-14,9.93,9.93,9.93,9.93,1000,BTD
2017-04-17,10.04,10.35,10.04,10.3,19100,BTD
2017-04-18,10.14,10.14,10.14,10.14,265,BTD
2017-04-19,9.72,9.72,9.72,9.72,11100,BTD
2017-04-20,9.72,9.72,9.72,9.72,0,BTD
2017-04-21,9.61,9.72,9.61,9.72,6201,BTD
2017-04-24,9.72,9.82,9.61,9.66,3000,BTD
2017-04-25,9.56,9.56,9.56,9.56,1134,BTD
2017-04-26,9.5,9.56,9.45,9.5,11116,BTD
2017-04-27,9.34,9.4,9.34,9.4,2500,BTD
2017-04-28,9.34,9.34,9.29,9.29,1400,BTD
2017-05-03,9.34,9.34,9.34,9.34,0,BTD
2017-05-04,8.02,9.45,8.02,9.45,5300,BTD
2017-05-05,9.45,9.45,9.4,9.4,5100,BTD
2017-05-08,9.56,9.56,9.56,9.56,100,BTD
2017-05-09,8.23,9.56,8.23,9.56,3300,BTD
2017-05-10,9.82,9.82,7.59,9.4,500,BTD
2017-05-11,7.65,9.45,7.65,7.96,5400,BTD
2017-05-12,8.12,8.12,8.12,8.12,5000,BTD
2017-05-15,8.12,8.12,7.96,7.96,7000,BTD
2017-05-16,7.49,7.96,7.49,7.96,2700,BTD
2017-05-17,8.5,8.5,7.65,7.65,2400,BTD
2017-05-18,7.7,7.7,7.7,7.7,4400,BTD
2017-05-19,7.96,7.96,7.75,7.75,500,BTD
2017-05-22,7.91,7.91,7.91,7.91,5300,BTD
2017-05-23,7.75,7.81,7.65,7.75,2100,BTD
2017-05-24,7.7,7.7,7.59,7.59,8400,BTD
2017-05-25,7.7,7.75,7.7,7.75,8400,BTD
2017-05-26,7.7,7.75,7.7,7.75,7000,BTD
2017-05-29,7.7,8.81,7.7,8.81,12800,BTD
2017-05-30,8.5,8.5,8.5,8.5,2000,BTD
2017-05-31,8.5,8.5,8.5,8.5,100,BTD
2017-06-01,8.02,8.02,7.96,8.02,5500,BTD
2017-06-02,8.12,8.12,8.12,8.12,2430,BTD
2017-06-05,8.5,8.76,8.5,8.5,4500,BTD
2017-06-06,8.71,8.71,8.71,8.71,1000,BTD
2017-06-07,8.76,8.76,8.5,8.5,2700,BTD
2017-06-08,8.5,8.65,8.5,8.5,3700,BTD
2017-06-09,8.76,8.76,8.76,8.76,200,BTD
2017-06-12,9.03,9.03,8.76,8.76,5600,BTD
2017-06-13,8.87,8.87,8.87,8.87,1593,BTD
2017-06-14,8.87,9.88,9.88,9.88,24,BTD
2017-06-15,8.6,8.6,8.6,8.6,1020,BTD
2017-06-16,8.97,9.08,8.97,9.08,3100,BTD
2017-06-19,7.96,9.03,7.96,8.07,9800,BTD
2017-06-20,9.03,9.03,9.03,9.03,100,BTD
2017-06-21,9.03,9.03,9.03,9.03,100,BTD
2017-06-22,9.29,9.29,7.96,7.96,45015,BTD
2017-06-23,8.12,8.12,8.12,8.12,100,BTD
2017-06-26,8.12,8.12,8.02,8.12,7000,BTD
2017-06-27,8.23,8.23,7.96,7.96,93000,BTD
2017-06-28,7.96,8.65,7.96,8.65,26300,BTD
2017-06-29,8.28,8.44,8.28,8.44,1900,BTD
2017-06-30,8.76,9.56,8.5,8.5,400,BTD
2017-07-03,8.65,8.65,8.5,8.5,11700,BTD
2017-07-04,8.5,8.5,8.5,8.5,2600,BTD
2017-07-05,8.5,8.5,8.5,8.5,2500,BTD
2017-07-06,8.5,8.5,8.5,8.5,500,BTD
2017-07-07,8.5,8.5,8.5,8.5,17000,BTD
2017-07-10,8.23,8.23,8.02,8.02,8600,BTD
2017-07-11,8.39,8.39,8.39,8.39,100,BTD
2017-07-12,7.91,8.34,7.91,8.34,15100,BTD
2017-07-13,8.5,8.5,8.5,8.5,100,BTD
2017-07-14,8.23,8.28,8.23,8.23,1200,BTD
2017-07-17,8.23,8.28,8.23,8.28,4200,BTD
2017-07-18,7.96,8.02,7.96,8.02,19800,BTD
2017-07-19,7.96,7.96,7.96,7.96,400,BTD
