time,open,high,low,close,volume,ticker
2009-11-25,5.05,5.05,4.55,4.66,41590,BTP
2009-11-26,4.44,4.44,4.44,4.44,19560,BTP
2009-11-27,4.24,4.63,4.24,4.63,32570,BTP
2009-11-30,4.41,4.63,4.41,4.41,14250,BTP
2009-12-01,4.41,4.55,4.21,4.41,12180,BTP
2009-12-02,4.21,4.35,4.21,4.21,17480,BTP
2009-12-03,4.01,4.01,4.01,4.01,19830,BTP
2009-12-04,3.85,3.87,3.82,3.82,30690,BTP
2009-12-07,3.71,3.93,3.65,3.93,38590,BTP
2009-12-08,3.93,3.93,3.73,3.79,11460,BTP
2009-12-09,3.79,3.79,3.62,3.62,6480,BTP
2009-12-10,3.65,3.65,3.45,3.45,4810,BTP
2009-12-11,3.34,3.34,3.28,3.34,19680,BTP
2009-12-14,3.23,3.48,3.23,3.4,5310,BTP
2009-12-15,3.57,3.57,3.37,3.57,7400,BTP
2009-12-16,3.48,3.57,3.43,3.48,7930,BTP
2009-12-17,3.65,3.65,3.37,3.45,13840,BTP
2009-12-18,3.37,3.62,3.37,3.62,7390,BTP
2009-12-21,3.68,3.79,3.65,3.79,15750,BTP
2009-12-22,3.87,3.87,3.65,3.79,9740,BTP
2009-12-23,3.65,3.82,3.62,3.76,9750,BTP
2009-12-24,3.73,3.73,3.65,3.73,4860,BTP
2009-12-25,3.76,3.87,3.65,3.87,26310,BTP
2009-12-28,3.79,3.79,3.71,3.79,30340,BTP
2009-12-29,3.79,3.87,3.62,3.79,2020,BTP
2009-12-30,3.79,3.85,3.79,3.79,8090,BTP
2009-12-31,3.65,3.79,3.65,3.65,35280,BTP
2010-01-04,3.71,3.82,3.71,3.82,40540,BTP
2010-01-05,3.99,3.99,3.82,3.82,37310,BTP
2010-01-06,3.82,3.93,3.79,3.82,10380,BTP
2010-01-07,3.82,3.82,3.71,3.71,33470,BTP
2010-01-08,3.85,3.85,3.68,3.68,15300,BTP
2010-01-11,3.79,3.79,3.59,3.62,11150,BTP
2010-01-12,3.73,3.73,3.65,3.65,12300,BTP
2010-01-13,3.68,3.68,3.57,3.57,10600,BTP
2010-01-14,3.59,3.65,3.57,3.59,4220,BTP
2010-01-15,3.59,3.65,3.51,3.51,9670,BTP
2010-01-18,3.37,3.59,3.37,3.43,5910,BTP
2010-01-19,3.43,3.48,3.43,3.43,17650,BTP
2010-01-20,3.57,3.57,3.45,3.45,14040,BTP
2010-01-21,3.34,3.37,3.34,3.34,3500,BTP
2010-01-22,3.26,3.37,3.26,3.37,6160,BTP
2010-01-25,3.34,3.34,3.26,3.34,4460,BTP
2010-01-26,3.23,3.37,3.23,3.37,14510,BTP
2010-01-27,3.37,3.37,3.37,3.37,21340,BTP
2010-01-28,3.26,3.54,3.26,3.26,2030,BTP
2010-01-29,3.37,3.37,3.31,3.37,2030,BTP
2010-02-01,3.26,3.37,3.26,3.26,3530,BTP
2010-02-02,3.31,3.31,3.26,3.31,3220,BTP
2010-02-03,3.43,3.45,3.31,3.45,19400,BTP
2010-02-04,3.59,3.59,3.59,3.59,29100,BTP
2010-02-05,3.48,3.65,3.43,3.43,8840,BTP
2010-02-08,3.43,3.43,3.43,3.43,10,BTP
2010-02-09,3.37,3.51,3.37,3.37,4800,BTP
2010-02-10,3.26,3.51,3.26,3.37,5510,BTP
2010-02-11,3.37,3.51,3.37,3.37,2030,BTP
2010-02-12,3.51,3.51,3.43,3.43,1360,BTP
2010-02-22,3.4,3.57,3.4,3.4,210,BTP
2010-02-23,3.4,3.4,3.23,3.4,27220,BTP
2010-02-24,3.23,3.34,3.23,3.34,1170,BTP
2010-02-25,3.37,3.37,3.34,3.37,2630,BTP
2010-02-26,3.23,3.48,3.23,3.45,4260,BTP
2010-03-01,3.45,3.45,3.31,3.31,10280,BTP
2010-03-02,3.28,3.37,3.28,3.28,9440,BTP
2010-03-03,3.28,3.4,3.28,3.37,7410,BTP
2010-03-04,3.37,3.45,3.31,3.31,5130,BTP
2010-03-05,3.31,3.31,3.23,3.23,17070,BTP
2010-03-08,3.23,3.37,3.23,3.31,11520,BTP
2010-03-09,3.31,3.37,3.23,3.26,19150,BTP
2010-03-10,3.26,3.31,3.26,3.31,6930,BTP
2010-03-11,3.34,3.34,3.28,3.28,14790,BTP
2010-03-12,3.28,3.31,3.26,3.28,8940,BTP
2010-03-15,3.34,3.34,3.28,3.28,25050,BTP
2010-03-16,3.26,3.28,3.26,3.26,13670,BTP
2010-03-17,3.28,3.28,3.2,3.23,24450,BTP
2010-03-18,3.23,3.26,3.23,3.26,8910,BTP
2010-03-19,3.23,3.26,3.23,3.23,13820,BTP
2010-03-22,3.23,3.23,3.2,3.2,6890,BTP
2010-03-23,3.23,3.23,3.14,3.2,6530,BTP
2010-03-24,3.2,3.28,3.14,3.28,11150,BTP
2010-03-25,3.26,3.31,3.2,3.28,10200,BTP
2010-03-26,3.23,3.26,3.23,3.23,6800,BTP
2010-03-29,3.14,3.23,3.14,3.17,4050,BTP
2010-03-30,3.14,3.2,3.14,3.14,8320,BTP
2010-03-31,3.23,3.23,3.17,3.23,2820,BTP
2010-04-01,3.23,3.23,3.17,3.17,2810,BTP
2010-04-02,3.14,3.2,3.14,3.14,14740,BTP
2010-04-05,3.14,3.17,3.12,3.12,16420,BTP
2010-04-06,3.12,3.14,3.12,3.12,16140,BTP
2010-04-07,3.14,3.26,3.14,3.26,36940,BTP
2010-04-08,3.4,3.4,3.37,3.4,69700,BTP
2010-04-09,3.48,3.57,3.48,3.57,98040,BTP
2010-04-12,3.51,3.54,3.4,3.4,26920,BTP
2010-04-13,3.37,3.45,3.31,3.31,13330,BTP
2010-04-14,3.31,3.31,3.23,3.23,21720,BTP
2010-04-15,3.28,3.34,3.23,3.31,19170,BTP
2010-04-16,3.26,3.31,3.23,3.31,23230,BTP
2010-04-19,3.37,3.37,3.28,3.37,29420,BTP
2010-04-20,3.28,3.37,3.28,3.31,9180,BTP
2010-04-21,3.34,3.37,3.34,3.34,16330,BTP
2010-04-22,3.37,3.37,3.34,3.34,39350,BTP
2010-04-26,3.4,3.45,3.34,3.34,39350,BTP
2010-04-27,3.37,3.37,3.31,3.37,21290,BTP
2010-04-28,3.51,3.54,3.51,3.54,433450,BTP
2010-04-29,3.71,3.71,3.71,3.71,989320,BTP
2010-05-04,3.87,3.87,3.87,3.87,430860,BTP
2010-05-05,4.04,4.04,3.99,4.04,1552670,BTP
2010-05-06,4.24,4.24,4.24,4.24,544600,BTP
2010-05-07,4.44,4.44,4.38,4.44,915800,BTP
2010-05-10,4.63,4.63,4.24,4.24,405790,BTP
2010-05-11,4.18,4.21,4.04,4.04,644740,BTP
2010-05-12,3.85,3.93,3.85,3.85,422600,BTP
2010-05-13,3.73,3.85,3.73,3.82,400200,BTP
2010-05-14,3.9,3.99,3.9,3.99,440840,BTP
2010-05-17,3.93,3.99,3.79,3.85,136860,BTP
2010-05-18,3.71,3.85,3.68,3.68,242220,BTP
2010-05-19,3.51,3.54,3.51,3.51,155790,BTP
2010-05-20,3.37,3.54,3.34,3.54,398290,BTP
2010-05-21,3.37,3.37,3.37,3.37,85990,BTP
2010-05-24,3.23,3.34,3.2,3.28,318570,BTP
2010-05-25,3.43,3.43,3.37,3.43,575420,BTP
2010-05-26,3.59,3.59,3.57,3.59,572060,BTP
2010-05-27,3.73,3.73,3.54,3.62,203890,BTP
2010-05-28,3.79,3.79,3.65,3.76,514990,BTP
2010-05-31,3.73,3.73,3.62,3.62,293280,BTP
2010-06-01,3.51,3.59,3.48,3.59,158550,BTP
2010-06-02,3.59,3.65,3.51,3.65,166480,BTP
2010-06-03,3.76,3.76,3.59,3.59,85520,BTP
2010-06-04,3.59,3.59,3.45,3.54,107770,BTP
2010-06-07,3.37,3.43,3.37,3.37,332080,BTP
2010-06-08,3.31,3.4,3.31,3.4,212800,BTP
2010-06-09,3.45,3.45,3.37,3.37,82730,BTP
2010-06-10,3.4,3.43,3.34,3.43,113550,BTP
2010-06-11,3.48,3.48,3.43,3.45,175750,BTP
2010-06-14,3.62,3.62,3.62,3.62,130620,BTP
2010-06-15,3.79,3.79,3.79,3.79,148580,BTP
2010-06-16,3.96,3.96,3.9,3.93,1369230,BTP
2010-06-17,3.93,3.93,3.76,3.82,381610,BTP
2010-06-18,3.93,3.99,3.87,3.96,674390,BTP
2010-06-21,4.13,4.13,4.01,4.01,280430,BTP
2010-06-22,3.99,4.01,3.85,3.85,270590,BTP
2010-06-23,3.79,3.85,3.76,3.79,190010,BTP
2010-06-24,3.93,3.93,3.79,3.79,170320,BTP
2010-06-25,3.71,3.79,3.65,3.65,292090,BTP
2010-06-28,3.65,3.82,3.65,3.73,247250,BTP
2010-06-29,3.85,3.85,3.68,3.73,201240,BTP
2010-06-30,3.68,3.71,3.62,3.62,153530,BTP
2010-07-01,3.65,3.68,3.62,3.65,131920,BTP
2010-07-02,3.71,3.76,3.65,3.71,97540,BTP
2010-07-05,3.71,3.76,3.68,3.68,72150,BTP
2010-07-06,3.71,3.71,3.62,3.65,115310,BTP
2010-07-07,3.73,3.73,3.62,3.62,110100,BTP
2010-07-08,3.62,3.68,3.59,3.59,105260,BTP
2010-07-09,3.57,3.62,3.57,3.59,80940,BTP
2010-07-12,3.59,3.59,3.57,3.59,68650,BTP
2010-07-13,3.65,3.73,3.62,3.71,89300,BTP
2010-07-14,3.71,3.73,3.62,3.62,93220,BTP
2010-07-15,3.62,3.62,3.59,3.62,84710,BTP
2010-07-16,3.62,3.62,3.57,3.59,98610,BTP
2010-07-19,3.59,3.62,3.57,3.59,98280,BTP
2010-07-20,3.65,3.76,3.62,3.76,451160,BTP
2010-07-21,3.93,3.93,3.79,3.79,549400,BTP
2010-07-22,3.79,3.79,3.68,3.68,94060,BTP
2010-07-23,3.71,3.73,3.68,3.68,84940,BTP
2010-07-26,3.71,3.71,3.62,3.65,144880,BTP
2010-07-27,3.65,3.65,3.57,3.57,151720,BTP
2010-07-28,3.57,3.59,3.48,3.48,157000,BTP
2010-07-29,3.48,3.59,3.45,3.48,149200,BTP
2010-07-30,3.51,3.59,3.48,3.48,93080,BTP
2010-08-02,3.57,3.57,3.48,3.48,64980,BTP
2010-08-03,3.54,3.54,3.48,3.48,100570,BTP
2010-08-04,3.45,3.45,3.4,3.43,59180,BTP
2010-08-05,3.43,3.51,3.4,3.43,108440,BTP
2010-08-06,3.43,3.45,3.37,3.37,91860,BTP
2010-08-09,3.37,3.37,3.26,3.26,112720,BTP
2010-08-10,3.23,3.23,3.12,3.14,194530,BTP
2010-08-11,3.2,3.28,3.2,3.28,147130,BTP
2010-08-12,3.23,3.26,3.14,3.14,191770,BTP
2010-08-13,3.14,3.28,3.14,3.28,112710,BTP
2010-08-16,3.28,3.43,3.28,3.43,172230,BTP
2010-08-17,3.37,3.37,3.28,3.31,88220,BTP
2010-08-18,3.28,3.31,3.23,3.28,78150,BTP
2010-08-19,3.23,3.31,3.2,3.2,83130,BTP
2010-08-20,3.2,3.26,3.17,3.23,85020,BTP
2010-08-23,3.26,3.26,3.17,3.17,77280,BTP
2010-08-24,3.14,3.17,3.06,3.06,195190,BTP
2010-08-25,3.06,3.06,2.92,2.92,197700,BTP
2010-08-26,2.95,3.03,2.89,2.98,146610,BTP
2010-08-27,2.95,3.0,2.92,2.98,64540,BTP
2010-08-30,3.06,3.12,3.06,3.12,70310,BTP
2010-08-31,3.12,3.26,3.06,3.23,160600,BTP
2010-09-01,3.23,3.23,3.14,3.2,113490,BTP
2010-09-06,3.23,3.31,3.2,3.26,187720,BTP
2010-09-07,3.23,3.23,3.14,3.14,107190,BTP
2010-09-08,3.09,3.14,3.03,3.12,66910,BTP
2010-09-09,3.17,3.2,3.14,3.14,65990,BTP
2010-09-10,3.14,3.17,3.12,3.12,175930,BTP
2010-09-13,3.0,3.09,2.98,3.03,162050,BTP
2010-09-14,3.03,3.09,3.0,3.03,44040,BTP
2010-09-15,3.0,3.06,2.95,3.0,80450,BTP
2010-09-16,3.0,3.03,2.98,2.98,49970,BTP
2010-09-17,3.06,3.09,2.98,3.06,60530,BTP
2010-09-20,3.17,3.17,3.03,3.03,87880,BTP
2010-09-21,3.0,3.09,3.0,3.06,95380,BTP
2010-09-22,3.09,3.09,3.03,3.03,57870,BTP
2010-09-23,3.0,3.03,2.95,2.98,52920,BTP
2010-09-24,2.98,3.03,2.98,3.0,62560,BTP
2010-09-27,3.0,3.0,2.98,3.0,62060,BTP
2010-09-28,3.0,3.06,2.98,3.0,84510,BTP
2010-09-29,3.06,3.06,2.95,2.95,51050,BTP
2010-09-30,2.95,2.98,2.92,2.95,39450,BTP
2010-10-01,2.95,2.98,2.92,2.92,48200,BTP
2010-10-04,2.89,2.92,2.84,2.84,136090,BTP
2010-10-05,2.84,2.86,2.78,2.86,102010,BTP
2010-10-06,2.92,2.92,2.86,2.89,26890,BTP
2010-10-07,2.86,2.95,2.84,2.86,43990,BTP
2010-10-08,2.84,2.89,2.81,2.84,45450,BTP
2010-10-11,2.84,2.86,2.84,2.84,24050,BTP
