time,open,high,low,close,volume,ticker
2018-03-28,7.63,7.63,7.63,7.63,0,BUD
2018-03-29,7.93,7.93,7.93,7.93,200,BUD
2018-03-30,6.8,9.06,6.8,7.21,2200,BUD
2018-04-02,8.23,8.23,8.23,8.23,4600,BUD
2018-04-03,9.44,9.44,9.44,9.44,3100,BUD
2018-04-04,10.8,10.8,10.8,10.8,9600,BUD
2018-04-05,12.39,12.39,12.39,12.39,4400,BUD
2018-04-06,14.2,14.2,14.2,14.2,4400,BUD
2018-04-09,16.24,16.24,12.09,13.71,9020,BUD
2018-04-10,12.09,12.09,11.71,11.93,6200,BUD
2018-04-11,10.27,10.42,10.27,10.29,3310,BUD
2018-04-12,10.27,10.27,10.27,10.27,0,BUD
2018-04-13,8.91,9.06,8.91,8.94,3400,BUD
2018-04-16,8.91,8.91,8.91,8.91,200,BUD
2018-04-17,8.91,8.91,8.91,8.91,0,BUD
2018-04-18,8.91,8.91,8.91,8.91,0,BUD
2018-04-19,8.46,8.46,8.39,8.4,400,BUD
2018-04-20,8.99,8.99,8.99,8.99,100,BUD
2018-04-23,9.06,9.06,9.06,9.06,200,BUD
2018-04-24,7.78,8.31,7.78,8.05,200,BUD
2018-04-26,7.86,9.06,7.86,8.31,800,BUD
2018-04-27,8.31,8.31,8.31,8.31,0,BUD
2018-05-02,7.25,7.25,7.25,7.25,10900,BUD
2018-05-03,8.31,8.31,8.31,8.31,100,BUD
2018-05-04,7.18,7.18,7.18,7.18,100,BUD
2018-05-07,8.16,8.16,8.16,8.16,100,BUD
2018-05-08,7.03,7.03,7.03,7.03,100,BUD
2018-05-09,7.03,7.03,7.03,7.03,0,BUD
2018-05-10,7.03,7.03,7.03,7.03,0,BUD
2018-05-11,7.93,7.93,7.93,7.93,100,BUD
2018-05-14,6.88,6.88,6.88,6.88,100,BUD
2018-05-15,5.97,5.97,5.97,5.97,100,BUD
2018-05-16,6.8,6.8,6.8,6.8,100,BUD
2018-05-17,5.89,7.18,5.89,6.42,300,BUD
2018-05-18,6.42,6.42,6.42,6.42,0,BUD
2018-05-21,5.67,5.67,5.67,5.67,100,BUD
2018-05-22,6.5,6.5,5.89,6.35,400,BUD
2018-05-23,6.42,6.42,6.42,6.42,200,BUD
2018-05-24,6.42,6.42,6.42,6.42,0,BUD
2018-05-25,6.42,6.42,6.42,6.42,0,BUD
2018-05-28,5.52,5.52,5.52,5.52,100,BUD
2018-05-29,6.04,6.04,6.04,6.04,100,BUD
2018-05-30,6.04,6.04,6.04,6.04,0,BUD
2018-05-31,6.04,6.04,6.04,6.04,0,BUD
2018-06-01,6.04,6.04,6.04,6.04,600,BUD
2018-06-04,6.04,6.27,6.04,6.14,1900,BUD
2018-06-05,6.12,6.12,6.12,6.12,0,BUD
2018-06-06,6.95,7.03,6.95,7.01,800,BUD
2018-06-07,7.03,7.03,7.03,7.03,400,BUD
2018-06-08,7.03,7.03,7.03,7.03,0,BUD
2018-06-11,6.12,6.12,6.12,6.12,100,BUD
2018-06-12,7.03,7.03,7.03,7.03,500,BUD
2018-06-13,7.03,7.03,7.03,7.03,0,BUD
2018-06-14,7.03,7.03,7.03,7.03,0,BUD
2018-06-15,7.03,7.03,7.03,7.03,0,BUD
