time,open,high,low,close,volume,ticker
2006-12-18,169.89,169.89,122.95,133.9,40500,BVS
2006-12-19,138.59,147.27,136.36,141.01,45100,BVS
2006-12-20,138.59,138.59,131.89,131.89,19300,BVS
2006-12-21,120.71,120.71,119.19,119.19,12500,BVS
2006-12-22,107.43,107.43,107.43,107.43,1400,BVS
2006-12-25,96.7,105.06,96.7,105.06,81300,BVS
2006-12-26,96.75,105.06,88.52,100.59,20300,BVS
2006-12-27,105.06,105.06,96.12,96.12,45500,BVS
2006-12-28,98.36,98.36,96.12,96.12,47000,BVS
2006-12-29,97.24,97.24,93.89,96.12,28900,BVS
2007-01-02,103.28,103.28,89.42,96.12,29100,BVS
2007-01-03,98.36,98.36,96.12,96.52,31700,BVS
2007-01-04,97.02,98.36,96.57,98.36,38500,BVS
2007-01-05,107.12,107.12,101.93,107.12,4700,BVS
2007-01-08,116.6,116.6,112.66,115.35,31200,BVS
2007-01-09,104.35,127.51,104.35,127.51,72200,BVS
2007-01-10,131.89,137.21,130.32,131.89,87400,BVS
2007-01-11,134.12,143.07,134.12,143.07,80300,BVS
2007-01-12,153.62,153.62,141.72,145.3,124000,BVS
2007-01-15,159.61,159.61,146.19,147.54,48200,BVS
2007-01-16,151.11,151.11,133.68,138.59,36000,BVS
2007-01-17,143.07,145.3,134.12,138.59,99700,BVS
2007-01-18,131.89,141.72,131.89,141.72,67200,BVS
2007-01-19,140.83,143.07,139.04,141.28,86500,BVS
2007-01-22,152.01,156.25,140.83,141.28,133700,BVS
2007-01-23,151.11,151.11,143.11,147.54,52900,BVS
2007-01-24,149.77,150.22,147.58,147.58,29800,BVS
2007-01-25,147.09,147.58,145.3,145.75,55900,BVS
2007-01-26,141.9,143.07,140.38,140.87,30400,BVS
2007-01-29,138.59,146.19,138.59,145.75,68000,BVS
2007-01-30,147.54,154.24,145.3,149.77,119700,BVS
2007-01-31,158.71,166.49,151.11,166.49,162800,BVS
2007-02-01,178.83,178.83,156.48,166.31,35100,BVS
2007-02-02,165.42,174.36,165.42,169.89,65900,BVS
2007-02-05,158.71,167.21,151.87,164.52,14300,BVS
2007-02-06,160.95,163.18,160.9,162.69,29600,BVS
2007-02-07,162.29,164.52,162.29,162.29,46800,BVS
