time,open,high,low,close,volume,ticker
2017-11-28,7.17,7.17,7.17,7.17,500,BWS
2017-11-29,8.21,8.21,8.21,8.21,100,BWS
2017-11-30,9.43,9.43,9.43,9.43,100,BWS
2017-12-01,10.83,10.83,10.83,10.83,100,BWS
2017-12-04,12.45,12.45,12.45,12.45,110,BWS
2017-12-05,14.3,14.3,14.3,14.3,100,BWS
2017-12-06,16.42,16.42,14.3,15.79,29700,BWS
2017-12-07,14.66,16.42,12.4,14.75,6345,BWS
2017-12-08,14.75,14.75,14.43,14.43,3500,BWS
2017-12-11,14.57,14.66,14.34,14.66,6100,BWS
2017-12-12,14.39,14.39,14.34,14.39,4845,BWS
2017-12-13,14.34,14.39,14.34,14.39,9200,BWS
2017-12-14,14.34,14.43,14.34,14.43,7500,BWS
2017-12-15,14.39,15.02,14.39,15.02,5800,BWS
2017-12-18,14.61,14.88,14.61,14.7,2554,BWS
2017-12-19,14.66,14.7,14.66,14.7,4800,BWS
2017-12-20,14.84,14.84,14.79,14.79,1400,BWS
2017-12-21,14.84,14.84,14.79,14.84,4999,BWS
2017-12-22,14.84,14.88,14.79,14.79,3200,BWS
2017-12-25,14.79,14.79,14.79,14.79,2100,BWS
2017-12-26,14.07,14.07,13.98,13.98,1100,BWS
2017-12-27,13.8,13.89,13.75,13.75,3300,BWS
2017-12-28,13.75,13.98,13.75,13.8,2900,BWS
2017-12-29,13.84,15.04,13.84,15.04,6000,BWS
2018-01-02,15.04,15.04,14.99,14.99,4000,BWS
2018-01-03,14.99,14.99,14.99,14.99,1500,BWS
2018-01-04,14.99,14.99,14.99,14.99,2000,BWS
2018-01-05,14.99,14.99,13.75,14.21,4900,BWS
2018-01-08,14.21,14.21,13.89,13.89,2500,BWS
2018-01-09,14.21,14.99,14.21,14.99,10500,BWS
2018-01-10,14.21,14.21,14.21,14.21,4900,BWS
2018-01-11,14.9,14.9,14.9,14.9,200,BWS
2018-01-12,14.9,14.9,14.9,14.9,0,BWS
2018-01-15,14.62,14.62,14.21,14.21,1300,BWS
2018-01-16,14.62,14.62,13.75,13.75,5100,BWS
2018-01-17,14.44,14.44,14.35,14.35,3599,BWS
2018-01-18,14.35,14.35,14.3,14.3,2100,BWS
2018-01-19,14.3,14.3,14.3,14.3,300,BWS
2018-01-22,13.39,13.39,13.39,13.39,1000,BWS
2018-01-23,13.48,13.8,13.43,13.43,1600,BWS
2018-01-24,13.52,13.52,13.52,13.52,1000,BWS
2018-01-25,13.57,13.98,13.57,13.98,1710,BWS
2018-01-26,13.71,13.71,13.71,13.71,0,BWS
2018-01-29,13.98,13.98,13.98,13.98,4000,BWS
2018-01-30,13.98,14.17,13.98,14.03,3800,BWS
2018-01-31,14.03,14.17,13.98,13.98,4000,BWS
2018-02-01,14.17,14.17,14.17,14.17,1000,BWS
2018-02-02,14.17,14.17,14.12,14.12,600,BWS
2018-02-05,12.06,12.06,12.06,12.06,100,BWS
2018-02-06,12.06,12.06,12.06,12.06,0,BWS
2018-02-07,13.34,13.57,13.34,13.57,2100,BWS
2018-02-08,13.43,13.43,13.11,13.34,1300,BWS
2018-02-09,13.2,13.34,13.2,13.34,1900,BWS
2018-02-12,13.29,13.29,13.2,13.2,1000,BWS
2018-02-13,13.71,13.71,13.71,13.71,1000,BWS
2018-02-21,13.71,13.71,13.71,13.71,0,BWS
2018-02-22,13.71,13.71,13.71,13.71,0,BWS
2018-02-23,13.75,13.75,13.75,13.75,1100,BWS
2018-02-26,13.75,13.8,13.75,13.8,1500,BWS
2018-02-27,13.8,13.84,13.8,13.84,1900,BWS
2018-02-28,13.8,13.8,13.75,13.75,2600,BWS
2018-03-01,13.75,13.75,13.75,13.75,400,BWS
2018-03-02,11.69,11.69,11.69,11.69,110,BWS
2018-03-05,13.29,13.43,11.96,13.43,2520,BWS
2018-03-06,13.48,13.48,13.48,13.48,100,BWS
2018-03-07,13.62,13.62,13.52,13.52,2006,BWS
2018-03-08,13.57,13.57,13.57,13.57,0,BWS
2018-03-09,13.57,13.57,13.57,13.57,0,BWS
2018-03-12,13.62,13.62,13.62,13.62,200,BWS
2018-03-13,13.66,13.75,13.66,13.75,10700,BWS
2018-03-14,13.75,13.75,13.75,13.75,5400,BWS
2018-03-15,13.71,13.71,13.66,13.66,6500,BWS
2018-03-16,13.71,13.71,13.66,13.66,3200,BWS
2018-03-19,13.66,13.66,13.66,13.66,0,BWS
2018-03-20,12.42,12.42,12.42,12.42,100,BWS
2018-03-21,13.75,13.75,13.75,13.75,1000,BWS
2018-03-22,13.75,13.75,13.07,13.75,5499,BWS
2018-03-23,13.75,13.75,13.75,13.75,1900,BWS
2018-03-26,13.75,13.75,13.75,13.75,1530,BWS
2018-03-27,13.75,13.75,13.75,13.75,0,BWS
2018-03-28,13.75,13.75,13.75,13.75,5100,BWS
2018-03-29,13.75,13.75,13.75,13.75,1300,BWS
2018-03-30,13.75,13.75,13.75,13.75,4600,BWS
2018-04-02,13.75,13.75,13.75,13.75,4639,BWS
2018-04-03,11.69,11.69,11.69,11.69,100,BWS
2018-04-04,13.39,13.43,13.39,13.43,1500,BWS
2018-04-05,13.66,13.66,13.66,13.66,2500,BWS
2018-04-06,13.66,13.75,13.66,13.75,2839,BWS
2018-04-09,13.66,13.66,13.52,13.52,1000,BWS
2018-04-10,13.75,13.75,13.75,13.75,100,BWS
2018-04-11,13.75,13.75,13.75,13.75,3300,BWS
2018-04-12,12.06,12.06,12.06,12.06,100,BWS
2018-04-13,13.75,13.75,13.75,13.75,1000,BWS
2018-04-16,13.75,13.75,13.75,13.75,32000,BWS
2018-04-17,11.69,11.69,11.69,11.69,100,BWS
2018-04-18,11.69,11.69,11.69,11.69,0,BWS
2018-04-19,11.69,11.69,11.69,11.69,0,BWS
2018-04-20,13.43,13.43,13.43,13.43,100,BWS
2018-04-23,13.43,13.43,13.43,13.43,0,BWS
2018-04-24,13.62,14.9,13.62,14.9,410,BWS
2018-04-26,13.94,13.94,13.94,13.94,0,BWS
2018-04-27,13.71,13.71,13.66,13.66,200,BWS
2018-05-02,13.75,13.75,13.75,13.75,200,BWS
2018-05-03,15.59,15.59,13.57,13.75,9350,BWS
2018-05-04,13.66,13.66,13.66,13.66,1007,BWS
2018-05-07,11.96,13.75,11.96,13.75,1239,BWS
2018-05-08,13.75,13.75,13.75,13.75,500,BWS
2018-05-09,13.75,13.75,13.75,13.75,5150,BWS
2018-05-10,13.71,13.75,13.71,13.75,900,BWS
2018-05-11,13.75,13.75,13.75,13.75,0,BWS
2018-05-14,13.75,13.75,13.75,13.75,0,BWS
2018-05-15,13.29,13.29,13.29,13.29,100,BWS
2018-05-16,13.71,13.71,13.71,13.71,500,BWS
2018-05-17,13.71,13.71,13.71,13.71,0,BWS
2018-05-18,13.71,13.71,13.71,13.71,0,BWS
2018-05-21,13.75,13.75,13.75,13.75,600,BWS
2018-05-22,13.75,13.75,13.71,13.71,1800,BWS
2018-05-23,13.71,13.71,13.71,13.71,300,BWS
2018-05-24,13.75,13.75,13.75,13.75,670,BWS
2018-05-25,13.75,13.75,13.75,13.75,0,BWS
2018-05-28,13.34,13.34,13.29,13.29,700,BWS
2018-05-29,13.62,13.62,13.62,13.62,100,BWS
2018-05-30,13.62,13.62,13.62,13.62,0,BWS
2018-05-31,13.66,13.66,13.66,13.66,2600,BWS
2018-06-01,13.66,13.66,13.66,13.66,1300,BWS
2018-06-04,13.66,13.75,13.66,13.75,43100,BWS
2018-06-05,13.75,13.75,13.75,13.75,4500,BWS
2018-06-06,13.75,13.75,13.75,13.75,2000,BWS
2018-06-07,13.75,13.75,13.75,13.75,1000,BWS
2018-06-08,13.75,13.75,13.75,13.75,1700,BWS
2018-06-11,13.75,13.75,13.75,13.75,9200,BWS
2018-06-12,13.75,13.75,13.75,13.75,4200,BWS
2018-06-13,12.15,12.15,12.15,12.15,100,BWS
2018-06-14,13.75,13.75,13.75,13.75,300,BWS
2018-06-15,13.75,13.75,13.75,13.75,1300,BWS
2018-06-18,12.15,13.75,12.15,13.75,2100,BWS
2018-06-19,13.75,13.75,13.66,13.66,6700,BWS
2018-06-20,13.98,13.98,13.75,13.75,3200,BWS
2018-06-21,13.84,13.84,13.75,13.75,1600,BWS
2018-06-22,13.75,13.75,13.75,13.75,2020,BWS
2018-06-25,13.75,13.75,13.75,13.75,500,BWS
2018-06-26,13.84,13.84,13.29,13.29,4700,BWS
2018-06-27,13.66,13.75,13.66,13.75,1600,BWS
2018-06-28,13.75,13.75,13.75,13.75,1700,BWS
2018-06-29,12.06,12.06,12.06,12.06,100,BWS
2018-07-02,13.75,13.75,13.66,13.75,6500,BWS
