time,open,high,low,close,volume,ticker
2011-03-03,6.32,9.44,6.32,9.44,7720,CCL
2011-03-04,9.44,9.44,9.44,9.44,0,CCL
2011-03-07,9.44,9.44,9.0,9.2,2110,CCL
2011-03-08,8.76,8.76,8.76,8.76,30,CCL
2011-03-09,8.35,8.35,8.35,8.35,10,CCL
2011-03-10,7.93,7.93,7.93,7.93,10,CCL
2011-03-11,7.56,7.56,7.56,7.56,120,CCL
2011-03-14,7.18,7.18,7.18,7.18,10,CCL
2011-03-15,6.83,6.83,6.83,6.83,130,CCL
2011-03-16,6.53,6.53,6.53,6.53,10,CCL
2011-03-17,6.22,6.22,6.22,6.22,10,CCL
2011-03-18,5.91,5.91,5.91,5.91,180,CCL
2011-03-21,5.63,5.63,5.63,5.63,610,CCL
2011-03-22,5.36,5.36,5.36,5.36,10,CCL
2011-03-23,5.12,5.12,5.12,5.12,6720,CCL
2011-03-24,4.88,5.12,4.88,4.88,6540,CCL
2011-03-25,4.64,4.98,4.64,4.98,15260,CCL
2011-03-28,4.98,5.01,4.98,5.01,7840,CCL
2011-03-29,4.77,5.25,4.77,4.77,2320,CCL
2011-03-30,4.6,4.98,4.6,4.91,640,CCL
2011-03-31,4.81,5.05,4.81,4.98,1220,CCL
2011-04-01,4.98,4.98,4.74,4.74,1240,CCL
2011-04-04,4.74,4.74,4.74,4.74,0,CCL
2011-04-05,4.88,4.88,4.57,4.57,2180,CCL
2011-04-06,4.64,4.64,4.36,4.6,860,CCL
2011-04-07,4.4,4.4,4.4,4.4,1230,CCL
2011-04-08,4.19,4.4,4.19,4.19,960,CCL
2011-04-13,4.12,4.16,4.12,4.16,1700,CCL
2011-04-14,4.05,4.16,4.05,4.16,270,CCL
2011-04-15,4.29,4.29,4.02,4.29,1730,CCL
2011-04-18,4.36,4.36,4.29,4.36,180,CCL
2011-04-19,4.36,4.36,4.36,4.36,10,CCL
2011-04-20,4.4,4.4,4.4,4.4,10,CCL
2011-04-21,4.4,4.4,4.4,4.4,0,CCL
2011-04-22,4.4,4.4,4.4,4.4,0,CCL
2011-04-25,4.29,4.53,4.29,4.53,1320,CCL
2011-04-26,4.53,4.53,4.53,4.53,0,CCL
2011-04-27,4.53,4.53,4.53,4.53,0,CCL
2011-04-28,4.53,4.57,4.53,4.57,580,CCL
2011-04-29,4.57,4.57,4.57,4.57,100,CCL
2011-05-04,4.4,4.4,4.4,4.4,20,CCL
2011-05-05,4.6,4.6,4.46,4.46,110,CCL
2011-05-06,4.46,4.46,4.46,4.46,0,CCL
2011-05-09,4.26,4.53,4.26,4.53,20,CCL
2011-05-10,4.36,4.36,4.33,4.33,2040,CCL
2011-05-11,4.12,4.12,4.12,4.12,800,CCL
2011-05-12,4.12,4.12,4.12,4.12,0,CCL
2011-05-13,4.12,4.12,4.12,4.12,20,CCL
2011-05-16,4.12,4.12,4.12,4.12,0,CCL
2011-05-17,4.12,4.12,4.12,4.12,0,CCL
2011-05-18,4.12,4.12,4.12,4.12,0,CCL
2011-05-19,4.33,4.33,4.33,4.33,10,CCL
2011-05-20,4.53,4.53,4.53,4.53,10,CCL
2011-05-23,4.6,4.6,4.6,4.6,10,CCL
2011-05-24,4.77,4.77,4.77,4.77,10,CCL
2011-05-25,4.95,4.95,4.95,4.95,300,CCL
2011-05-26,4.77,4.77,4.77,4.77,200,CCL
2011-05-27,4.55,4.55,4.55,4.55,190,CCL
2011-05-30,4.59,4.59,4.59,4.59,100,CCL
2011-05-31,4.59,4.59,4.59,4.59,100,CCL
2011-06-01,4.59,4.59,4.44,4.44,210,CCL
2011-06-02,4.63,4.66,4.26,4.44,45610,CCL
2011-06-03,4.66,4.66,4.63,4.63,200,CCL
2011-06-06,4.81,4.81,4.81,4.81,100,CCL
2011-06-07,5.0,5.0,4.59,4.59,68310,CCL
2011-06-08,4.7,4.7,4.55,4.63,66400,CCL
2011-06-09,4.63,4.63,4.44,4.44,68200,CCL
2011-06-10,4.55,4.55,4.26,4.26,290,CCL
2011-06-13,4.44,4.44,4.07,4.07,4810,CCL
2011-06-14,4.26,4.26,3.89,4.14,5600,CCL
2011-06-15,4.26,4.33,3.96,4.14,1590,CCL
2011-06-16,4.26,4.26,3.96,4.26,280,CCL
2011-06-17,4.07,4.07,4.07,4.07,110,CCL
2011-06-20,4.22,4.22,4.14,4.22,320,CCL
2011-06-21,4.14,4.29,4.03,4.22,4100,CCL
2011-06-22,4.29,4.29,4.22,4.22,40,CCL
2011-06-23,4.22,4.22,4.22,4.22,180,CCL
2011-06-24,4.22,4.22,4.03,4.03,50,CCL
2011-06-27,4.18,4.18,3.85,3.89,1260,CCL
2011-06-28,4.03,4.03,4.03,4.03,40,CCL
2011-06-29,4.18,4.18,4.18,4.18,150,CCL
2011-06-30,4.22,4.22,4.07,4.07,400,CCL
2011-07-01,4.18,4.18,4.18,4.18,100,CCL
2011-07-04,4.18,4.18,4.18,4.18,100,CCL
2011-07-05,4.18,4.18,4.18,4.18,100,CCL
2011-07-06,4.18,4.18,4.18,4.18,100,CCL
2011-07-07,4.18,4.18,4.07,4.18,400,CCL
2011-07-08,4.18,4.18,4.18,4.18,100,CCL
2011-07-11,4.18,4.18,4.07,4.18,240,CCL
2011-07-12,4.18,4.18,4.18,4.18,30,CCL
2011-07-13,4.18,4.18,4.18,4.18,50,CCL
2011-07-14,4.18,4.18,4.18,4.18,50,CCL
2011-07-15,4.0,4.0,4.0,4.0,600,CCL
2011-07-18,4.07,4.07,4.07,4.07,400,CCL
2011-07-19,4.07,4.11,4.07,4.11,300,CCL
2011-07-20,4.11,4.11,4.11,4.11,100,CCL
2011-07-21,4.11,4.11,3.92,4.0,1700,CCL
2011-07-22,4.0,4.18,3.85,4.18,1390,CCL
2011-07-25,4.18,4.18,4.0,4.0,300,CCL
2011-07-26,4.07,4.07,4.07,4.07,120,CCL
2011-07-27,3.89,3.89,3.89,3.89,110,CCL
2011-07-28,3.7,3.7,3.7,3.7,110,CCL
2011-07-29,3.7,3.77,3.7,3.77,110,CCL
2011-08-01,3.77,3.77,3.77,3.77,0,CCL
2011-08-02,3.63,3.63,3.63,3.63,40,CCL
2011-08-03,3.74,3.74,3.74,3.74,20,CCL
2011-08-04,3.74,3.74,3.74,3.74,0,CCL
2011-08-05,3.81,3.81,3.81,3.81,10,CCL
2011-08-08,3.81,3.81,3.81,3.81,0,CCL
2011-08-09,3.81,3.81,3.81,3.81,0,CCL
2011-08-10,3.81,3.81,3.81,3.81,0,CCL
2011-08-11,3.81,3.81,3.81,3.81,0,CCL
2011-08-12,3.92,3.92,3.92,3.92,10,CCL
2011-08-15,3.92,3.92,3.92,3.92,0,CCL
2011-08-16,3.92,3.92,3.92,3.92,0,CCL
2011-08-17,3.96,3.96,3.77,3.96,4690,CCL
2011-08-18,4.03,4.03,3.77,3.77,20,CCL
2011-08-19,3.96,3.96,3.96,3.96,10,CCL
2011-08-22,3.89,3.89,3.89,3.89,10,CCL
2011-08-23,3.89,3.89,3.7,3.77,30,CCL
