time,open,high,low,close,volume,ticker
2005-01-08,0.0,0.0,0.0,0.0,0,CID
2005-02-11,7.8,7.8,7.8,0.0,100,CID
2005-02-12,0.0,0.0,0.0,0.0,0,CID
2005-03-08,11.67,0.0,0.0,0.0,0,CID
2005-03-10,10.38,0.0,0.0,0.0,0,CID
2005-04-11,0.0,0.0,0.0,0.0,0,CID
2005-05-08,12.17,0.0,0.0,0.0,0,CID
2005-05-09,0.0,0.0,0.0,0.0,0,CID
2005-05-10,9.45,0.0,0.0,0.0,0,CID
2005-05-12,0.0,0.0,0.0,0.0,0,CID
2005-07-09,0.0,0.0,0.0,0.0,0,CID
2005-07-10,0.0,0.0,0.0,0.0,0,CID
2005-07-11,8.52,8.52,8.52,0.0,100,CID
2005-07-12,0.0,0.0,0.0,0.0,0,CID
2005-07-14,10.74,11.02,11.02,11.02,0,CID
2005-07-18,11.45,11.45,11.45,11.45,0,CID
2005-07-20,12.17,12.17,12.17,12.17,0,CID
2005-07-22,11.45,11.45,11.45,11.45,0,CID
2005-07-25,11.45,11.45,11.45,11.45,0,CID
2005-07-27,11.45,11.45,11.45,11.45,0,CID
2005-07-29,11.67,12.17,12.17,12.17,0,CID
2005-08-08,12.17,12.17,12.17,12.17,0,CID
2005-08-15,12.17,12.17,12.17,12.17,0,CID
2005-08-17,12.17,12.17,12.17,12.17,0,CID
2005-08-19,12.17,12.17,12.17,12.17,0,CID
2005-08-22,12.17,12.17,12.17,12.17,0,CID
2005-08-24,12.17,12.17,12.17,12.17,0,CID
2005-08-26,12.17,12.17,12.17,12.17,0,CID
2005-08-29,12.17,12.17,12.17,12.17,0,CID
2005-08-31,12.17,12.17,12.17,12.17,0,CID
2005-09-09,13.38,0.0,0.0,0.0,0,CID
2005-09-11,13.38,13.38,13.38,13.38,0,CID
2005-09-12,13.38,13.38,13.38,13.38,0,CID
2005-09-14,13.38,13.38,13.38,13.38,0,CID
2005-09-16,13.38,13.38,13.38,13.38,0,CID
2005-09-19,14.67,14.31,14.31,14.31,0,CID
2005-09-21,12.88,12.88,12.88,12.88,0,CID
2005-09-23,11.59,11.59,11.59,11.59,0,CID
2005-09-26,10.45,10.45,10.45,10.45,0,CID
2005-09-28,9.45,9.45,9.45,9.45,0,CID
2005-09-30,0.0,0.0,0.0,0.0,0,CID
2005-10-08,12.17,9.45,9.45,9.45,0,CID
2005-10-10,8.52,8.52,8.52,8.52,0,CID
2005-10-14,7.73,7.73,7.73,7.73,0,CID
2005-10-17,7.16,7.16,7.16,7.16,0,CID
2005-10-19,7.87,7.87,7.87,7.87,0,CID
2005-10-21,7.87,7.87,7.87,7.87,0,CID
2005-10-24,7.87,7.87,7.87,7.87,0,CID
2005-10-26,7.87,7.87,7.87,7.87,0,CID
2005-10-28,8.66,8.66,8.66,8.66,0,CID
2005-10-31,8.52,8.52,8.52,8.52,0,CID
2005-11-11,8.52,8.52,8.52,8.52,0,CID
2005-11-14,8.52,8.52,8.52,8.52,0,CID
2005-11-16,8.59,8.59,8.59,8.59,200,CID
2005-11-18,8.59,8.59,8.59,8.59,0,CID
2005-11-21,8.59,8.59,8.59,8.59,0,CID
2005-11-23,8.59,8.59,8.59,8.59,3300,CID
2005-11-25,8.59,8.59,8.59,8.59,0,CID
2005-11-28,8.59,8.59,8.59,8.59,0,CID
2005-11-30,8.59,8.59,8.59,8.59,200,CID
2005-12-08,8.59,8.59,8.59,8.59,0,CID
2005-12-09,8.59,8.59,8.59,8.59,0,CID
2005-12-10,8.52,8.59,8.59,8.59,0,CID
2005-12-12,8.59,8.59,8.59,8.59,0,CID
2005-12-14,8.59,8.59,8.59,8.59,0,CID
2005-12-16,7.73,7.73,7.73,7.73,200,CID
2005-12-19,7.73,7.73,7.73,7.73,0,CID
2005-12-21,7.73,7.73,7.73,7.73,0,CID
2005-12-23,7.73,7.73,7.73,7.73,0,CID
2005-12-26,7.73,7.73,7.73,7.73,0,CID
2005-12-28,7.73,7.73,7.73,7.73,0,CID
2005-12-30,7.73,7.73,7.73,7.73,0,CID
2006-01-04,7.73,7.73,7.73,7.73,0,CID
2006-01-06,7.73,7.73,7.73,7.73,0,CID
2006-01-09,7.73,7.73,7.73,7.73,0,CID
2006-01-11,7.73,7.73,7.73,7.73,0,CID
2006-01-13,7.73,7.73,7.73,7.73,0,CID
2006-01-16,7.73,7.73,7.73,7.73,0,CID
2006-01-18,7.73,7.73,7.73,7.73,0,CID
2006-01-20,7.73,7.73,7.73,7.73,0,CID
2006-01-23,7.73,7.73,7.73,7.73,0,CID
2006-01-25,7.73,7.73,7.73,7.73,0,CID
2006-01-27,7.73,7.73,7.73,7.73,0,CID
2006-02-06,7.73,7.73,7.73,7.73,0,CID
2006-02-08,7.73,7.73,7.73,7.73,0,CID
2006-02-10,7.73,7.73,7.73,7.73,0,CID
2006-02-13,8.23,8.23,8.23,7.73,100,CID
2006-02-15,7.73,7.73,7.73,7.73,0,CID
2006-02-17,7.73,7.73,7.73,7.73,0,CID
2006-02-20,7.73,7.73,7.73,7.73,0,CID
