time,open,high,low,close,volume,ticker
2006-05-18,9.88,9.88,9.88,9.88,275600,CII
2006-05-19,9.38,9.38,9.38,9.38,443520,CII
2006-05-22,8.93,8.93,8.93,8.93,64200,CII
2006-05-23,8.5,8.5,8.5,8.5,12760,CII
2006-05-24,8.08,8.08,8.08,8.08,46460,CII
2006-05-25,7.69,7.69,7.69,7.69,156690,CII
2006-05-26,7.31,7.31,7.31,7.31,40310,CII
2006-05-29,6.95,6.95,6.95,6.95,65110,CII
2006-05-30,6.62,6.62,6.62,6.62,19540,CII
2006-05-31,6.3,6.3,6.3,6.3,31850,CII
2006-06-01,6.01,6.6,6.01,6.6,359050,CII
2006-06-02,6.92,6.92,6.92,6.92,192900,CII
2006-06-05,7.25,7.25,7.25,7.25,102280,CII
2006-06-06,7.61,7.61,7.51,7.51,304920,CII
2006-06-07,7.13,7.13,7.13,7.13,240390,CII
2006-06-08,7.31,7.39,7.31,7.39,170970,CII
2006-06-09,7.39,7.43,7.39,7.43,202770,CII
2006-06-12,7.41,7.41,7.29,7.29,66580,CII
2006-06-13,7.29,7.29,7.29,7.29,100080,CII
2006-06-14,7.29,7.29,7.21,7.15,39190,CII
2006-06-15,7.15,7.15,7.15,7.15,43000,CII
2006-06-16,7.11,7.11,7.03,7.11,31200,CII
2006-06-19,7.11,7.11,7.01,7.07,34410,CII
2006-06-20,6.92,6.92,6.74,6.74,90990,CII
2006-06-21,6.44,6.62,6.44,6.62,79820,CII
2006-06-22,6.62,6.93,6.62,6.93,52500,CII
2006-06-23,7.13,7.13,6.92,6.92,111530,CII
2006-06-26,6.82,6.82,6.58,6.58,85640,CII
2006-06-27,6.58,6.58,6.34,6.52,84870,CII
2006-06-28,6.52,6.52,6.52,6.52,54880,CII
2006-06-29,6.52,6.52,6.5,6.52,64250,CII
2006-06-30,6.52,6.78,6.52,6.78,140080,CII
2006-07-03,6.72,6.72,6.68,6.68,33510,CII
2006-07-04,6.62,6.68,6.62,6.68,55160,CII
2006-07-05,6.68,6.68,6.66,6.66,12850,CII
2006-07-06,6.62,6.72,6.62,6.7,25250,CII
2006-07-07,6.72,6.92,6.66,6.92,142240,CII
2006-07-10,6.92,6.92,6.76,6.76,8040,CII
2006-07-11,6.76,6.76,6.7,6.7,25600,CII
2006-07-12,6.72,6.72,6.7,6.7,20820,CII
2006-07-13,6.62,6.62,6.62,6.62,30550,CII
2006-07-14,6.58,6.62,6.58,6.6,57520,CII
2006-07-17,6.58,6.58,6.52,6.52,25900,CII
2006-07-18,6.36,6.5,6.36,6.5,35100,CII
2006-07-19,6.42,6.42,6.42,6.42,77200,CII
2006-07-20,6.16,6.72,6.16,6.72,53130,CII
2006-07-21,6.38,6.52,6.38,6.42,12640,CII
2006-07-24,6.32,6.38,6.12,6.12,34500,CII
2006-07-25,5.95,5.95,5.93,5.93,92690,CII
2006-07-26,5.83,5.83,5.81,5.81,53680,CII
2006-07-27,5.83,5.93,5.81,5.93,63490,CII
2006-07-28,5.93,5.93,5.81,5.81,29460,CII
2006-07-31,5.73,5.73,5.61,5.61,45400,CII
2006-08-01,5.61,5.61,5.37,5.37,20950,CII
2006-08-02,5.12,5.18,5.12,5.18,68130,CII
2006-08-03,5.39,5.43,5.39,5.43,26560,CII
2006-08-04,5.69,5.69,5.69,5.69,9100,CII
2006-08-07,5.97,5.97,5.97,5.97,82970,CII
2006-08-08,5.97,6.12,5.97,6.12,64420,CII
2006-08-09,6.12,6.12,6.12,6.12,75020,CII
2006-08-10,6.12,6.16,6.12,6.16,36950,CII
2006-08-11,6.2,6.32,6.2,6.32,100500,CII
2006-08-14,6.64,6.64,6.64,6.64,89240,CII
2006-08-15,6.86,6.86,6.64,6.64,149780,CII
2006-08-16,6.72,6.9,6.72,6.9,148440,CII
2006-08-17,7.05,7.05,6.95,6.95,211380,CII
2006-08-18,6.95,6.95,6.92,6.92,178480,CII
2006-08-21,6.92,6.92,6.82,6.82,71040,CII
2006-08-22,6.62,6.62,6.6,6.6,104740,CII
2006-08-23,6.52,6.72,6.52,6.72,81230,CII
2006-08-24,6.72,6.72,6.7,6.7,64350,CII
2006-08-25,6.62,6.64,6.62,6.64,54780,CII
2006-08-28,6.72,6.76,6.72,6.76,101680,CII
2006-08-29,6.72,6.92,6.72,6.92,140300,CII
2006-08-30,6.92,6.93,6.92,6.92,276770,CII
2006-08-31,6.82,6.88,6.82,6.86,128850,CII
2006-09-01,6.86,6.92,6.84,6.92,213620,CII
2006-09-05,6.92,7.21,6.92,7.21,195440,CII
2006-09-06,7.31,7.31,7.11,7.11,90020,CII
2006-09-07,7.11,7.11,7.05,7.09,153220,CII
2006-09-08,7.19,7.21,7.19,7.21,127720,CII
2006-09-11,7.21,7.21,7.17,7.17,52300,CII
2006-09-12,7.03,7.11,7.03,7.09,137800,CII
2006-09-13,7.05,7.17,7.05,7.13,89210,CII
2006-09-14,7.13,7.13,7.13,7.13,99260,CII
2006-09-15,7.13,7.15,7.13,7.15,60790,CII
2006-09-18,7.15,7.15,7.15,7.15,56330,CII
2006-09-19,7.15,7.15,7.15,7.15,55340,CII
2006-09-20,7.15,7.15,7.15,7.15,76570,CII
2006-09-21,7.15,7.15,7.09,7.15,67850,CII
