time,open,high,low,close,volume,ticker
2014-06-25,19.36,0.0,0.0,0.0,0,CNC
2014-06-26,19.36,0.0,0.0,0.0,0,CNC
2014-06-27,19.36,0.0,0.0,0.0,0,CNC
2014-06-30,19.36,0.0,0.0,0.0,0,CNC
2014-07-01,17.08,17.08,17.08,17.08,11000,CNC
2014-07-02,18.79,18.79,18.79,18.79,4200,CNC
2014-07-03,20.65,20.65,20.65,20.65,100,CNC
2014-07-04,22.7,22.7,18.79,18.79,1200,CNC
2014-07-07,18.79,18.79,18.79,18.79,0,CNC
2014-07-08,18.79,18.79,18.79,18.79,0,CNC
2014-07-09,14.24,14.24,14.24,14.24,100,CNC
2014-07-10,14.8,14.8,14.8,14.8,120,CNC
2014-07-11,16.29,16.29,16.29,16.29,100,CNC
2014-07-14,17.88,17.88,17.88,17.88,100,CNC
2014-07-15,19.55,19.55,19.55,19.55,120,CNC
2014-07-16,17.65,18.22,17.65,18.22,200,CNC
2014-07-17,19.55,19.55,19.55,19.55,100,CNC
2014-07-18,20.8,20.8,20.8,20.8,100,CNC
2014-07-21,18.79,22.02,18.79,22.02,400,CNC
2014-07-22,21.52,21.52,21.52,21.52,100,CNC
2014-07-23,23.54,23.54,21.26,21.26,300,CNC
2014-07-24,21.26,21.26,21.26,21.26,0,CNC
2014-07-25,22.21,22.21,20.5,20.5,200,CNC
2014-07-28,19.74,19.74,19.74,19.74,100,CNC
2014-07-29,18.6,18.6,18.6,18.6,100,CNC
2014-07-30,16.89,16.89,16.89,16.89,100,CNC
2014-07-31,15.22,15.22,15.22,15.22,100,CNC
2014-08-01,14.05,14.05,14.05,14.05,100,CNC
2014-08-04,12.64,12.64,12.64,12.64,400,CNC
2014-08-05,13.89,13.89,13.89,13.89,100,CNC
2014-08-06,13.89,13.89,12.53,12.53,1700,CNC
2014-08-07,11.65,11.65,11.65,11.65,100,CNC
2014-08-08,10.82,10.86,10.82,10.86,400,CNC
2014-08-11,11.92,11.92,11.92,11.92,100,CNC
2014-08-12,11.39,13.1,11.39,12.53,1200,CNC
2014-08-13,12.91,13.25,12.91,13.25,1000,CNC
2014-08-14,13.63,13.63,12.91,13.63,400,CNC
2014-08-15,14.24,14.24,12.72,12.72,300,CNC
2014-08-18,12.72,12.72,12.72,12.72,0,CNC
2014-08-19,14.43,14.43,12.72,12.72,400,CNC
2014-08-20,12.72,12.72,12.15,12.68,800,CNC
2014-08-21,12.68,12.68,12.68,12.68,100,CNC
2014-08-22,13.67,13.67,13.67,13.67,100,CNC
2014-08-25,14.99,14.99,12.3,12.3,1400,CNC
2014-08-26,13.51,13.51,13.51,12.53,100,CNC
2014-08-27,12.64,12.64,12.6,12.6,300,CNC
2014-08-28,12.6,12.6,12.6,12.6,0,CNC
2014-08-29,13.63,13.63,13.63,13.63,100,CNC
2014-09-03,12.34,12.34,12.3,12.3,2000,CNC
2014-09-04,13.51,13.51,11.39,12.83,1500,CNC
2014-09-05,11.39,12.49,11.39,12.11,2100,CNC
2014-09-08,12.3,12.3,12.3,12.3,100,CNC
2014-09-09,12.83,12.83,12.83,12.83,100,CNC
2014-09-10,11.58,12.3,11.58,12.3,700,CNC
2014-09-11,12.72,12.72,12.72,12.72,100,CNC
2014-09-12,11.46,11.46,11.46,11.46,500,CNC
2014-09-15,11.01,11.35,11.01,11.35,400,CNC
2014-09-16,12.15,12.15,12.15,12.15,100,CNC
2014-09-17,10.93,11.35,10.93,10.93,3600,CNC
2014-09-18,9.95,9.95,9.95,9.95,100,CNC
2014-09-19,9.07,10.93,9.07,10.93,2200,CNC
2014-09-22,9.87,9.87,9.87,9.87,100,CNC
2014-09-23,9.07,9.07,9.07,9.07,100,CNC
2014-09-24,8.54,9.95,8.2,9.95,1100,CNC
2014-09-25,10.25,10.25,10.25,10.25,100,CNC
2014-09-26,11.24,11.24,11.24,11.24,100,CNC
2014-09-29,12.19,12.19,10.25,11.24,1000,CNC
2014-09-30,11.73,11.73,9.79,9.79,1400,CNC
2014-10-01,9.34,9.34,9.34,9.34,100,CNC
2014-10-02,9.49,9.49,9.49,9.49,500,CNC
2014-10-03,10.25,10.25,10.17,10.17,2800,CNC
2014-10-06,9.3,10.25,9.3,9.91,2400,CNC
2014-10-07,9.22,10.1,9.22,10.1,600,CNC
2014-10-08,10.25,10.44,10.25,10.44,1500,CNC
2014-10-09,10.1,10.63,10.1,10.63,3200,CNC
2014-10-10,9.6,10.82,9.6,10.63,6000,CNC
2014-10-13,10.82,10.82,10.63,10.82,8900,CNC
2014-10-14,11.81,11.81,10.63,10.63,5300,CNC
2014-10-15,11.73,11.73,10.63,10.63,6200,CNC
2014-10-16,10.63,10.63,10.63,10.63,200,CNC
2014-10-17,10.25,10.25,10.25,10.25,700,CNC
2014-10-20,9.53,9.53,9.53,9.53,100,CNC
2014-10-21,10.48,10.48,10.25,10.33,3400,CNC
2014-10-22,10.44,10.44,10.44,10.44,700,CNC
2014-10-23,9.49,9.49,9.49,9.49,100,CNC
2014-10-24,10.25,10.44,10.14,10.44,2600,CNC
2014-10-27,9.22,10.21,9.22,10.21,4700,CNC
2014-10-28,10.25,10.25,10.25,10.25,1500,CNC
2014-10-29,9.22,10.25,9.22,10.25,800,CNC
2014-10-30,10.25,10.25,10.14,10.14,2300,CNC
2014-10-31,9.19,10.25,9.19,10.06,4600,CNC
2014-11-03,10.06,10.06,10.06,10.06,0,CNC
2014-11-04,10.1,10.1,10.06,10.06,5840,CNC
2014-11-05,9.87,9.87,9.87,9.87,3510,CNC
2014-11-06,10.17,10.17,10.17,10.17,100,CNC
2014-11-07,9.26,10.06,9.26,9.87,1300,CNC
2014-11-10,9.76,10.06,9.76,10.06,300,CNC
2014-11-11,9.68,10.17,9.68,10.17,4300,CNC
2014-11-12,10.21,10.21,10.21,10.21,300,CNC
2014-11-13,10.25,10.25,10.25,10.25,100,CNC
2014-11-14,10.06,10.06,10.06,10.06,1000,CNC
2014-11-17,10.21,10.21,10.06,10.06,3100,CNC
2014-11-18,10.06,10.06,10.06,10.06,1900,CNC
2014-11-19,10.06,10.06,9.07,10.06,700,CNC
2014-11-20,9.91,9.91,9.91,9.91,400,CNC
2014-11-21,9.95,10.25,9.95,10.25,4800,CNC
2014-11-24,10.17,10.17,10.17,10.17,900,CNC
2014-11-25,10.17,10.17,10.17,10.17,2100,CNC
2014-11-26,10.1,10.1,10.06,10.06,1500,CNC
2014-11-27,10.06,10.06,9.91,9.91,1100,CNC
2014-11-28,10.63,10.63,10.63,10.63,100,CNC
2014-12-01,10.1,10.1,10.1,10.1,200,CNC
2014-12-02,10.1,10.25,10.1,10.25,2500,CNC
2014-12-03,10.1,10.1,10.1,10.1,2700,CNC
2014-12-04,10.1,10.1,10.1,10.1,0,CNC
2014-12-05,10.1,10.1,10.1,10.1,500,CNC
2014-12-08,10.1,10.1,10.1,10.1,500,CNC
2014-12-09,10.1,10.1,10.06,10.06,2500,CNC
2014-12-10,10.06,10.06,10.06,10.06,0,CNC
2014-12-11,10.06,10.06,10.06,10.06,0,CNC
2014-12-12,10.06,10.06,10.06,10.06,0,CNC
2014-12-15,10.06,10.06,10.06,10.06,0,CNC
2014-12-16,10.25,10.25,10.1,10.1,500,CNC
2014-12-17,10.1,10.1,10.1,10.1,0,CNC
2014-12-18,10.1,10.1,10.1,10.1,0,CNC
2014-12-19,10.1,10.1,10.1,10.1,0,CNC
2014-12-22,10.1,10.1,10.1,10.1,0,CNC
2014-12-23,10.1,10.1,10.1,10.1,0,CNC
2014-12-24,10.1,10.1,10.1,10.1,0,CNC
2014-12-25,10.1,10.1,10.1,10.1,0,CNC
2014-12-26,10.06,10.06,10.06,10.06,500,CNC
2014-12-29,10.06,10.06,10.06,10.06,0,CNC
2014-12-30,10.06,10.06,10.06,10.06,1600,CNC
2014-12-31,10.06,10.06,10.06,10.06,0,CNC
2015-01-05,10.06,10.06,10.06,10.06,300,CNC
2015-01-06,10.06,10.06,10.06,10.06,400,CNC
2015-01-07,10.06,10.06,9.49,9.49,1200,CNC
2015-01-08,9.72,9.72,9.6,9.6,3000,CNC
2015-01-09,9.6,9.6,9.6,9.6,100,CNC
2015-01-12,9.64,9.68,9.64,9.68,400,CNC
2015-01-13,9.68,9.68,9.68,9.68,0,CNC
2015-01-14,9.64,9.87,9.64,9.87,1100,CNC
2015-01-15,9.72,9.72,9.72,9.72,400,CNC
2015-01-16,9.87,9.87,9.87,9.87,500,CNC
2015-01-19,9.87,9.87,9.87,9.87,1200,CNC
2015-01-20,9.87,9.87,9.87,9.87,0,CNC
2015-01-21,9.87,9.87,9.87,9.87,0,CNC
2015-01-22,9.87,9.87,9.87,9.87,1700,CNC
2015-01-23,9.87,9.87,9.87,9.87,0,CNC
2015-01-26,9.87,9.87,9.87,9.87,0,CNC
2015-01-27,9.87,9.87,9.87,9.87,1000,CNC
2015-01-28,9.87,9.87,9.87,9.87,3300,CNC
2015-01-29,9.87,9.87,9.87,9.87,0,CNC
2015-01-30,10.59,10.63,10.59,10.63,300,CNC
2015-02-02,10.63,10.63,10.63,10.63,100,CNC
2015-02-03,9.91,9.91,9.91,9.91,100,CNC
2015-02-04,9.91,9.91,9.91,9.91,0,CNC
2015-02-05,10.06,10.59,10.06,10.59,400,CNC
2015-02-06,10.59,10.59,10.59,10.59,0,CNC
2015-02-09,9.91,9.91,9.91,9.91,1700,CNC
2015-02-10,9.95,9.95,9.95,9.95,200,CNC
2015-02-11,10.82,10.82,9.91,9.91,600,CNC
2015-02-12,9.91,9.91,9.91,9.91,0,CNC
2015-02-13,9.91,9.91,9.91,9.91,0,CNC
2015-02-24,9.91,9.91,9.91,9.91,0,CNC
2015-02-25,9.87,9.87,9.87,9.87,2700,CNC
2015-02-26,9.87,9.87,9.87,9.87,0,CNC
2015-02-27,9.87,9.87,9.87,9.87,0,CNC
2015-03-02,9.87,9.87,9.87,9.87,1000,CNC
2015-03-03,9.87,9.87,9.87,9.87,0,CNC
2015-03-04,9.87,9.87,9.87,9.87,500,CNC
2015-03-05,9.91,9.91,9.87,9.87,2000,CNC
2015-03-06,9.87,9.87,9.87,9.87,1600,CNC
2015-03-09,9.49,9.87,9.49,9.87,1200,CNC
2015-03-10,9.87,9.87,9.87,9.87,0,CNC
2015-03-11,9.87,9.87,9.87,9.87,0,CNC
2015-03-12,9.79,9.79,9.79,9.79,1500,CNC
2015-03-13,9.79,9.79,9.79,9.79,0,CNC
2015-03-16,9.83,9.83,9.83,9.83,1600,CNC
2015-03-17,9.83,9.83,9.83,9.83,0,CNC
2015-03-18,9.79,9.79,9.79,9.79,1000,CNC
2015-03-19,9.79,9.79,9.79,9.79,0,CNC
2015-03-20,9.79,9.79,9.79,9.79,0,CNC
2015-03-23,10.06,10.06,10.06,10.06,100,CNC
2015-03-24,10.25,10.25,10.25,10.25,100,CNC
2015-03-25,10.25,10.25,10.25,10.25,0,CNC
2015-03-26,10.25,10.25,10.25,10.25,400,CNC
2015-03-27,10.25,10.25,10.25,10.25,0,CNC
2015-03-30,10.25,10.25,10.25,10.25,0,CNC
2015-03-31,10.25,10.63,10.25,10.25,1100,CNC
2015-04-01,9.87,9.87,9.87,9.87,1000,CNC
2015-04-02,9.87,9.87,9.87,9.87,200,CNC
2015-04-03,9.87,9.87,9.87,9.87,100,CNC
2015-04-06,9.87,9.87,9.87,9.87,0,CNC
2015-04-07,9.87,9.87,9.87,9.87,400,CNC
