time,open,high,low,close,volume,ticker
2021-04-26,12.09,12.09,7.28,8.91,106000,CST
2021-04-27,8.41,8.41,8.13,8.13,5000,CST
2021-04-28,9.33,9.33,8.49,8.49,19200,CST
2021-04-29,8.77,8.77,7.57,8.06,84700,CST
2021-05-04,7.71,7.71,6.79,6.79,15700,CST
2021-05-05,6.36,7.78,6.36,7.07,19700,CST
2021-05-06,7.64,7.64,6.72,6.93,50800,CST
2021-05-07,6.86,6.93,6.72,6.79,24000,CST
2021-05-10,6.79,7.14,6.79,7.07,52401,CST
2021-05-11,7.07,7.35,7.0,7.28,42800,CST
2021-05-12,7.14,7.57,7.07,7.57,70100,CST
2021-05-13,7.78,8.34,7.78,8.34,182800,CST
2021-05-14,8.34,8.41,7.85,7.92,52532,CST
2021-05-17,7.92,7.92,7.57,7.57,66800,CST
2021-05-18,7.57,7.78,7.28,7.64,24000,CST
2021-05-19,7.42,7.64,7.35,7.64,72400,CST
2021-05-20,7.64,7.64,7.42,7.42,49800,CST
2021-05-21,7.35,7.42,7.35,7.42,61800,CST
2021-05-24,7.57,7.71,7.35,7.57,56011,CST
2021-05-25,7.57,7.64,7.35,7.35,148742,CST
2021-05-26,7.42,7.5,7.35,7.42,41600,CST
2021-05-27,7.42,7.5,7.21,7.35,127900,CST
2021-05-28,7.28,7.5,7.28,7.35,91700,CST
2021-05-31,7.42,7.5,7.21,7.28,95082,CST
2021-06-01,7.35,7.5,7.28,7.42,88300,CST
2021-06-02,7.42,8.34,7.42,8.34,687299,CST
2021-06-03,8.49,8.77,8.27,8.41,356494,CST
2021-06-04,8.41,8.49,8.2,8.34,297000,CST
2021-06-07,8.27,8.7,8.06,8.63,672710,CST
2021-06-08,8.7,9.05,8.7,8.84,588000,CST
2021-06-09,8.99,9.38,8.21,8.44,309400,CST
2021-06-10,8.44,8.99,8.37,8.83,350600,CST
2021-06-11,8.83,8.83,8.44,8.6,181814,CST
2021-06-14,8.6,8.68,8.29,8.44,242300,CST
2021-06-15,8.37,8.37,7.97,8.21,207300,CST
2021-06-16,8.05,8.21,7.97,7.97,133210,CST
2021-06-17,7.97,8.13,7.82,8.13,239000,CST
2021-06-18,8.13,8.44,7.9,8.29,129600,CST
2021-06-21,8.29,8.76,8.29,8.68,345100,CST
2021-06-22,8.76,8.91,8.44,8.52,229300,CST
2021-06-23,8.52,8.6,8.29,8.37,95927,CST
2021-06-24,8.44,8.44,8.29,8.37,85100,CST
2021-06-25,8.44,8.76,8.37,8.68,222224,CST
2021-06-28,8.68,9.62,8.68,9.54,844960,CST
2021-06-29,9.54,10.55,9.46,10.55,614104,CST
2021-06-30,10.94,11.34,10.16,10.55,477394,CST
2021-07-01,10.63,10.63,9.3,9.38,492978,CST
2021-07-02,9.3,9.62,8.99,9.54,208283,CST
2021-07-05,9.54,9.62,8.91,9.07,215100,CST
2021-07-06,8.91,9.15,8.44,8.6,257300,CST
2021-07-07,8.6,8.6,7.58,8.13,232800,CST
2021-07-08,8.05,9.07,8.05,8.68,108274,CST
2021-07-09,8.76,8.76,8.29,8.52,127700,CST
2021-07-12,8.37,8.37,7.82,8.21,252000,CST
2021-07-13,8.05,8.76,8.05,8.52,96900,CST
2021-07-14,8.37,8.99,8.37,8.44,58000,CST
2021-07-15,8.44,8.6,8.37,8.6,57000,CST
2021-07-16,8.52,8.76,8.44,8.6,74600,CST
2021-07-19,8.6,8.6,7.97,8.21,106800,CST
2021-07-20,8.21,8.91,7.97,8.83,126824,CST
2021-07-21,8.83,9.07,8.44,8.68,110414,CST
2021-07-22,8.6,8.76,8.52,8.68,66700,CST
2021-07-23,8.68,8.68,8.44,8.68,96837,CST
2021-07-26,8.52,8.52,8.37,8.52,101400,CST
2021-07-27,8.44,8.52,8.44,8.52,55501,CST
2021-07-28,8.37,8.6,8.37,8.44,50150,CST
2021-07-29,8.44,8.99,8.44,8.99,254300,CST
2021-07-30,8.76,8.99,8.76,8.76,69500,CST
2021-08-02,8.68,8.76,8.6,8.68,90700,CST
2021-08-03,8.68,8.68,8.44,8.6,270317,CST
2021-08-04,8.44,8.68,8.44,8.68,104933,CST
2021-08-05,8.6,9.15,8.52,9.07,206752,CST
2021-08-06,9.07,9.69,8.99,8.99,149455,CST
2021-08-09,8.99,9.3,8.99,9.15,141200,CST
2021-08-10,9.07,10.16,9.07,10.09,667813,CST
2021-08-11,10.16,10.87,10.09,10.32,721405,CST
2021-08-12,10.48,10.48,9.69,9.85,316846,CST
2021-08-13,9.77,10.4,9.69,10.01,251368,CST
2021-08-16,10.01,11.02,10.01,10.63,374920,CST
2021-08-17,10.63,11.18,10.24,10.55,390438,CST
2021-08-18,10.63,10.94,10.4,10.71,345311,CST
2021-08-19,10.63,10.79,10.63,10.79,263360,CST
2021-08-20,10.79,11.18,10.4,10.63,811002,CST
2021-08-23,10.63,10.79,10.4,10.63,218030,CST
2021-08-24,10.55,10.71,10.55,10.55,240522,CST
2021-08-25,10.71,12.2,10.71,12.2,1030666,CST
2021-08-26,13.21,13.21,11.73,11.88,491999,CST
2021-08-27,11.8,12.12,11.57,12.12,263738,CST
2021-08-30,11.73,12.2,11.49,11.96,453610,CST
2021-08-31,11.8,12.12,11.73,11.88,305072,CST
2021-09-01,11.8,13.6,11.8,13.52,1262416,CST
2021-09-06,13.84,15.17,13.84,15.17,700269,CST
2021-09-07,15.17,15.64,14.31,14.54,649602,CST
2021-09-08,14.54,14.85,13.84,14.15,642001,CST
2021-09-09,14.07,15.01,14.07,14.46,381675,CST
2021-09-10,14.31,15.64,14.31,15.32,369790,CST
2021-09-13,15.24,15.79,15.01,15.48,384219,CST
2021-09-14,15.48,16.81,15.32,16.5,352362,CST
2021-09-15,16.42,18.45,16.34,18.45,584776,CST
2021-09-16,18.53,20.56,18.29,19.39,691617,CST
2021-09-17,19.39,19.47,17.59,17.75,536746,CST
2021-09-20,18.37,18.37,16.73,16.81,542548,CST
2021-09-21,16.73,18.76,15.24,18.22,684992,CST
2021-09-22,18.37,19.08,17.59,18.22,229119,CST
2021-09-23,18.37,18.37,17.2,17.43,290645,CST
2021-09-24,17.43,18.22,16.81,17.04,268930,CST
2021-09-27,17.2,17.36,15.64,15.64,388238,CST
2021-09-28,15.64,18.14,15.64,17.98,709073,CST
2021-09-29,18.06,18.53,17.59,17.9,323396,CST
2021-09-30,17.9,18.61,17.9,18.22,373051,CST
2021-10-01,20.8,20.8,18.14,18.76,577505,CST
2021-10-04,19.54,21.58,19.54,21.5,1029925,CST
2021-10-05,21.5,21.89,19.62,20.25,722606,CST
2021-10-06,20.25,21.5,19.47,20.48,718423,CST
2021-10-07,20.48,20.48,18.84,19.23,699875,CST
2021-10-08,19.15,19.15,18.06,18.22,757975,CST
2021-10-11,18.45,19.39,18.22,18.61,380130,CST
2021-10-12,18.61,18.84,18.37,18.37,286166,CST
2021-10-13,18.53,18.53,17.36,17.75,623508,CST
2021-10-14,17.75,18.68,17.43,18.06,376997,CST
2021-10-15,18.06,18.22,17.67,17.9,262136,CST
2021-10-18,17.9,18.22,17.36,17.59,442500,CST
2021-10-19,17.67,17.67,17.2,17.2,466169,CST
2021-10-20,16.81,16.81,15.48,16.03,1085819,CST
2021-10-21,15.87,15.95,14.46,14.54,1123575,CST
2021-10-22,14.46,16.81,13.68,16.18,1128931,CST
2021-10-25,16.1,16.1,15.4,15.56,212901,CST
2021-10-26,15.64,15.64,14.85,15.09,218868,CST
2021-10-27,15.09,15.09,14.07,14.7,429134,CST
2021-10-28,14.62,15.17,14.38,14.7,202099,CST
2021-10-29,14.7,15.01,14.54,14.93,281896,CST
2021-11-01,14.93,15.48,14.7,15.17,349390,CST
2021-11-02,15.09,15.09,14.23,14.54,598996,CST
2021-11-03,14.46,14.46,13.92,13.99,368975,CST
2021-11-04,14.23,15.4,14.23,14.54,224390,CST
2021-11-05,14.46,14.46,14.23,14.38,203416,CST
2021-11-08,14.31,14.62,14.23,14.38,280495,CST
2021-11-09,14.46,14.46,14.23,14.38,250510,CST
2021-11-10,14.46,14.46,14.23,14.46,166212,CST
2021-11-11,14.46,16.1,14.46,15.87,1108709,CST
2021-11-12,16.03,16.57,15.71,15.95,377975,CST
2021-11-15,15.95,16.03,15.17,15.48,424833,CST
2021-11-16,15.4,15.4,14.85,15.01,400983,CST
