time,open,high,low,close,volume,ticker
2017-10-31,12.64,12.64,9.94,9.94,174200,CTR
2017-11-01,10.12,10.12,9.3,9.34,45175,CTR
2017-11-02,9.3,9.41,8.34,8.34,9391,CTR
2017-11-03,7.85,7.88,7.49,7.67,59994,CTR
2017-11-06,7.67,8.81,7.63,8.81,36843,CTR
2017-11-07,8.7,9.66,8.7,9.66,53412,CTR
2017-11-08,10.65,10.9,9.59,9.76,68856,CTR
2017-11-09,9.76,10.3,9.37,9.52,21640,CTR
2017-11-10,9.41,9.59,9.41,9.59,12410,CTR
2017-11-13,9.05,9.12,8.73,8.88,15901,CTR
2017-11-14,9.23,9.23,8.88,8.95,10819,CTR
2017-11-15,8.98,8.98,8.91,8.98,27000,CTR
2017-11-16,9.02,9.23,8.98,9.02,22200,CTR
2017-11-17,9.12,9.23,9.12,9.12,22210,CTR
2017-11-20,8.95,8.98,8.88,8.88,13900,CTR
2017-11-21,9.05,9.05,8.56,8.81,40610,CTR
2017-11-22,8.81,8.81,8.45,8.45,46510,CTR
2017-11-23,8.45,8.52,8.34,8.52,16586,CTR
2017-11-24,8.52,8.7,8.45,8.52,47916,CTR
2017-11-27,8.52,8.56,8.45,8.56,22606,CTR
2017-11-28,8.52,8.66,8.49,8.52,40850,CTR
2017-11-29,8.52,9.05,8.49,8.59,80331,CTR
2017-11-30,8.7,8.95,8.63,8.7,42700,CTR
2017-12-01,9.2,9.2,8.56,8.88,26320,CTR
2017-12-04,8.88,9.05,8.66,9.05,68529,CTR
2017-12-05,9.05,9.59,8.91,9.59,38913,CTR
2017-12-06,9.55,10.23,9.55,9.87,134624,CTR
2017-12-07,9.94,10.23,8.34,9.8,94611,CTR
2017-12-08,9.94,10.12,9.3,9.3,26070,CTR
2017-12-11,9.59,9.59,8.88,9.37,10236,CTR
2017-12-12,9.59,9.87,8.88,9.55,22924,CTR
2017-12-13,9.91,9.91,9.05,9.05,28068,CTR
2017-12-14,9.05,9.37,9.02,9.37,21900,CTR
2017-12-15,9.23,9.41,9.02,9.41,27966,CTR
2017-12-18,9.16,9.87,9.16,9.59,25100,CTR
2017-12-19,9.59,10.01,9.48,9.59,77143,CTR
2017-12-20,9.83,10.05,9.23,9.23,44400,CTR
2017-12-21,9.27,9.76,9.27,9.59,4450,CTR
2017-12-22,9.55,9.69,9.55,9.55,13823,CTR
2017-12-25,9.69,9.73,9.34,9.34,2556,CTR
2017-12-26,9.05,9.2,9.02,9.2,11255,CTR
2017-12-27,8.88,9.05,8.88,8.98,11222,CTR
2017-12-28,9.23,9.23,8.91,9.16,23800,CTR
2017-12-29,8.88,9.34,8.88,9.34,9000,CTR
2018-01-02,9.3,9.59,9.12,9.16,16660,CTR
2018-01-03,9.3,9.41,9.16,9.23,20836,CTR
2018-01-04,9.23,9.41,9.23,9.37,6600,CTR
2018-01-05,9.41,9.59,9.05,9.3,4235,CTR
2018-01-08,9.09,9.23,8.95,9.23,7600,CTR
2018-01-09,9.16,9.16,8.88,9.09,10143,CTR
2018-01-10,9.37,9.94,8.91,8.98,44600,CTR
2018-01-11,9.59,9.69,8.95,9.59,8300,CTR
2018-01-12,8.98,9.3,8.91,8.95,13400,CTR
2018-01-15,8.88,9.12,8.73,9.12,10700,CTR
2018-01-16,9.3,9.3,9.09,9.09,350,CTR
2018-01-17,9.2,9.2,8.77,9.09,5733,CTR
2018-01-18,9.05,9.05,8.52,8.88,22510,CTR
2018-01-19,8.84,8.95,8.66,8.95,26300,CTR
2018-01-22,9.2,9.3,8.77,9.16,38150,CTR
2018-01-23,8.95,9.23,8.95,9.05,13600,CTR
2018-01-24,9.12,9.12,8.88,9.05,16600,CTR
2018-01-25,8.98,9.05,8.77,8.98,53700,CTR
2018-01-26,9.05,9.2,8.98,9.2,68410,CTR
2018-01-29,9.2,9.2,8.88,9.16,10281,CTR
2018-01-30,8.81,9.12,8.73,9.05,13436,CTR
2018-01-31,8.81,9.02,8.81,9.02,54100,CTR
2018-02-01,8.81,8.88,8.7,8.88,19100,CTR
2018-02-02,8.7,8.84,8.31,8.84,25100,CTR
