time,open,high,low,close,volume,ticker
2015-07-17,5.5,5.5,3.52,3.52,2400,CTT
2015-07-20,3.52,3.52,3.52,3.52,200,CTT
2015-07-21,3.52,3.52,3.52,3.52,0,CTT
2015-07-22,3.52,3.52,3.52,3.52,0,CTT
2015-07-23,3.85,3.85,3.85,3.85,100,CTT
2015-07-24,3.85,3.85,3.85,3.85,0,CTT
2015-07-27,3.85,3.85,3.85,3.85,0,CTT
2015-07-28,3.48,3.48,3.48,3.48,100,CTT
2015-07-29,3.3,3.33,3.3,3.33,1800,CTT
2015-07-30,3.33,3.33,3.33,3.33,200,CTT
2015-07-31,3.55,3.55,3.55,3.55,500,CTT
2015-08-03,3.81,3.81,3.55,3.55,600,CTT
2015-08-04,3.74,3.74,3.55,3.74,1000,CTT
2015-08-05,3.86,3.86,3.86,3.86,500,CTT
2015-08-06,4.05,4.05,4.05,4.05,300,CTT
2015-08-07,4.05,4.05,4.05,4.05,0,CTT
2015-08-10,4.33,4.33,3.66,4.29,1600,CTT
2015-08-11,4.49,4.49,3.9,3.9,1100,CTT
2015-08-12,3.9,3.9,3.9,3.9,0,CTT
2015-08-13,3.94,3.94,3.94,3.94,200,CTT
2015-08-14,3.94,3.94,3.94,3.94,0,CTT
2015-08-17,3.94,3.94,3.94,3.94,0,CTT
2015-08-18,3.94,3.94,3.62,3.86,2400,CTT
2015-08-19,3.9,3.9,3.86,3.86,1400,CTT
2015-08-20,3.86,3.86,3.86,3.86,0,CTT
2015-08-21,3.58,3.58,3.58,3.58,100,CTT
2015-08-24,3.9,3.9,3.9,3.9,200,CTT
2015-08-25,3.9,3.9,3.9,3.9,0,CTT
2015-08-26,3.9,3.9,3.9,3.9,0,CTT
2015-08-27,3.9,3.9,3.9,3.9,0,CTT
2015-08-28,3.54,3.74,3.54,3.74,300,CTT
2015-08-31,3.86,3.86,3.86,3.86,200,CTT
2015-09-01,3.86,3.86,3.86,3.86,0,CTT
2015-09-03,3.86,3.86,3.86,3.86,0,CTT
2015-09-04,3.86,3.86,3.86,3.86,0,CTT
2015-09-07,3.86,3.86,3.86,3.86,0,CTT
2015-09-08,3.86,3.86,3.86,3.86,0,CTT
2015-09-09,3.86,3.86,3.86,3.86,0,CTT
2015-09-10,3.58,3.58,3.58,3.58,400,CTT
2015-09-11,3.22,3.58,3.22,3.54,300,CTT
2015-09-14,3.58,3.58,3.22,3.22,300,CTT
2015-09-15,3.54,3.54,3.22,3.22,200,CTT
2015-09-16,2.98,3.54,2.94,2.94,2900,CTT
2015-09-17,3.14,3.14,3.14,3.14,600,CTT
2015-09-18,3.38,3.38,2.86,3.3,3800,CTT
2015-09-21,3.58,3.58,2.98,3.5,600,CTT
2015-09-22,3.58,3.58,3.18,3.58,3100,CTT
2015-09-23,3.22,3.22,3.22,3.22,100,CTT
2015-09-24,2.9,2.9,2.9,2.9,2600,CTT
2015-09-25,2.94,2.94,2.94,2.94,100,CTT
2015-09-28,2.82,2.82,2.82,2.82,100,CTT
2015-09-29,2.82,2.82,2.82,2.82,0,CTT
2015-09-30,2.62,2.9,2.62,2.9,400,CTT
2015-10-01,2.9,2.9,2.9,2.9,0,CTT
2015-10-02,2.9,2.9,2.9,2.9,0,CTT
2015-10-05,2.66,2.7,2.66,2.7,700,CTT
2015-10-06,2.78,2.78,2.78,2.78,100,CTT
2015-10-07,2.5,2.78,2.5,2.74,413,CTT
2015-10-08,2.74,2.78,2.74,2.78,1903,CTT
2015-10-09,2.74,2.78,2.74,2.78,1160,CTT
2015-10-12,2.78,2.78,2.78,2.78,2180,CTT
2015-10-13,2.78,2.78,2.78,2.78,150,CTT
2015-10-14,2.86,2.86,2.86,2.86,215,CTT
2015-10-15,2.86,2.86,2.86,2.86,0,CTT
2015-10-16,2.86,2.86,2.86,2.86,0,CTT
2015-10-19,2.66,2.9,2.66,2.9,200,CTT
2015-10-20,3.14,3.14,2.9,3.02,2700,CTT
