time,open,high,low,close,volume,ticker
2018-12-18,7.84,7.84,7.84,7.84,219600,DDG
2018-12-19,8.55,8.6,8.55,8.6,6300,DDG
2018-12-20,9.42,9.42,9.42,9.42,47700,DDG
2018-12-21,10.29,10.29,9.22,9.53,89500,DDG
2018-12-24,9.53,9.68,9.53,9.63,72800,DDG
2018-12-25,9.58,9.58,9.42,9.53,81000,DDG
2018-12-26,9.47,9.73,9.27,9.73,84500,DDG
2018-12-27,9.78,9.83,9.73,9.78,87500,DDG
2018-12-28,9.78,9.99,9.78,9.99,33300,DDG
2019-01-02,9.99,10.04,9.73,9.83,23600,DDG
2019-01-03,9.83,9.88,9.73,9.78,24700,DDG
2019-01-04,9.73,9.83,9.73,9.78,64700,DDG
2019-01-07,9.78,9.99,9.73,9.88,92900,DDG
2019-01-08,9.88,9.93,9.83,9.88,44300,DDG
2019-01-09,9.83,9.93,9.78,9.83,43100,DDG
2019-01-10,9.83,9.93,9.83,9.88,22000,DDG
2019-01-11,9.88,9.99,9.88,9.93,25300,DDG
2019-01-14,9.93,10.14,9.93,10.04,103800,DDG
2019-01-15,10.04,10.24,10.04,10.14,138400,DDG
2019-01-16,10.09,10.14,10.04,10.04,40200,DDG
2019-01-17,9.99,10.04,9.83,9.99,42000,DDG
2019-01-18,9.93,10.04,9.83,9.88,46310,DDG
2019-01-21,9.83,9.88,9.78,9.83,20600,DDG
2019-01-22,9.78,9.99,9.78,9.93,20900,DDG
2019-01-23,9.93,9.99,9.88,9.93,42400,DDG
2019-01-24,9.93,10.09,9.83,9.88,69300,DDG
2019-01-25,9.83,9.99,9.83,9.93,23700,DDG
2019-01-28,9.93,10.09,9.83,9.88,69000,DDG
2019-01-29,9.83,10.14,9.78,10.14,98400,DDG
2019-01-30,10.04,10.24,10.04,10.24,44500,DDG
2019-01-31,10.19,10.34,9.99,10.09,49600,DDG
2019-02-01,10.04,10.09,9.99,10.09,18400,DDG
2019-02-11,10.09,10.14,10.09,10.14,22800,DDG
2019-02-12,10.14,10.19,9.93,9.99,106200,DDG
2019-02-13,9.99,10.09,9.88,10.04,39200,DDG
2019-02-14,10.04,10.19,10.04,10.19,61500,DDG
2019-02-15,10.14,10.29,9.99,10.04,45500,DDG
2019-02-18,9.99,10.14,9.99,10.09,46600,DDG
2019-02-19,10.04,10.19,9.88,10.14,57500,DDG
2019-02-20,10.14,10.19,10.04,10.09,64300,DDG
2019-02-21,10.14,10.24,10.14,10.19,23300,DDG
2019-02-22,10.19,10.75,10.19,10.6,109600,DDG
2019-02-25,10.55,11.01,10.55,10.81,74900,DDG
2019-02-26,10.75,10.86,10.5,10.65,62000,DDG
2019-02-27,10.6,10.65,10.45,10.5,17100,DDG
2019-02-28,10.5,10.55,10.4,10.45,25500,DDG
2019-03-01,10.4,10.6,10.4,10.5,27000,DDG
2019-03-04,10.45,11.32,10.4,11.16,322100,DDG
2019-03-05,11.21,11.52,10.86,11.01,103200,DDG
2019-03-06,11.01,11.11,10.75,10.91,62700,DDG
2019-03-07,10.86,10.86,10.24,10.4,97400,DDG
2019-03-08,10.29,10.5,10.14,10.5,150800,DDG
2019-03-11,10.45,10.55,10.34,10.55,27409,DDG
2019-03-12,10.5,10.6,10.4,10.45,13500,DDG
2019-03-13,10.4,10.55,10.34,10.5,42200,DDG
2019-03-14,10.5,10.5,10.4,10.45,14711,DDG
2019-03-15,10.4,10.6,10.4,10.6,29720,DDG
2019-03-18,10.55,10.65,10.5,10.65,12662,DDG
2019-03-19,10.6,10.7,10.6,10.65,21700,DDG
2019-03-20,10.65,10.75,10.6,10.75,38503,DDG
2019-03-21,10.75,10.81,10.7,10.81,19300,DDG
2019-03-22,10.81,10.86,10.7,10.7,15000,DDG
2019-03-25,10.7,10.81,10.65,10.75,17006,DDG
2019-03-26,10.75,10.81,10.7,10.75,64800,DDG
2019-03-27,10.75,11.01,10.65,10.91,115850,DDG
2019-03-28,10.91,11.01,10.75,10.81,83550,DDG
2019-03-29,10.86,10.91,10.75,10.75,68203,DDG
2019-04-01,10.75,10.91,10.7,10.81,47000,DDG
2019-04-02,10.81,11.88,10.6,11.68,169500,DDG
2019-04-03,11.57,11.93,11.57,11.88,47800,DDG
2019-04-04,11.57,11.83,11.42,11.73,41000,DDG
2019-04-05,11.78,11.83,11.57,11.62,44603,DDG
2019-04-08,11.73,11.73,11.42,11.52,19700,DDG
2019-04-09,11.52,11.73,11.16,11.73,18500,DDG
2019-04-10,11.73,11.73,11.52,11.57,29700,DDG
2019-04-11,11.57,11.83,11.47,11.68,49300,DDG
2019-04-12,11.68,11.68,11.42,11.47,30200,DDG
2019-04-16,11.52,11.57,11.52,11.57,56100,DDG
2019-04-17,11.57,11.73,11.47,11.73,39130,DDG
2019-04-18,11.68,11.83,11.47,11.57,25000,DDG
2019-04-19,11.62,11.68,11.42,11.52,33200,DDG
2019-04-22,11.47,11.52,11.11,11.21,39700,DDG
2019-04-23,11.27,11.27,10.7,10.75,56400,DDG
2019-04-24,10.81,11.11,10.75,10.96,27500,DDG
2019-04-25,10.96,11.06,10.75,10.86,20000,DDG
