time,open,high,low,close,volume,ticker
2017-05-05,4.3,4.3,4.3,4.3,0,DHD
2017-05-08,6.02,6.02,6.02,6.02,100,DHD
2017-05-09,6.9,6.9,6.9,6.9,1300,DHD
2017-05-10,7.91,7.91,5.89,7.91,9200,DHD
2017-05-11,9.07,9.07,9.07,9.07,17600,DHD
2017-05-12,10.41,10.41,10.41,10.41,6500,DHD
2017-05-15,11.96,11.96,10.41,11.37,14600,DHD
2017-05-16,10.11,10.24,10.11,10.11,2900,DHD
2017-05-17,10.11,10.36,9.98,10.36,20900,DHD
2017-05-18,10.11,10.36,10.11,10.16,7100,DHD
2017-05-19,10.36,10.36,10.16,10.16,6100,DHD
2017-05-22,10.16,10.16,10.16,10.16,1200,DHD
2017-05-23,10.11,10.16,10.11,10.11,8300,DHD
2017-05-24,10.11,10.11,8.62,10.11,310,DHD
2017-05-25,11.55,11.55,10.01,10.01,310,DHD
2017-05-26,10.21,10.21,10.21,10.21,200,DHD
2017-05-29,10.01,10.01,10.01,10.01,1200,DHD
2017-05-30,9.98,10.01,9.61,10.01,6300,DHD
2017-05-31,10.01,10.01,9.98,9.98,4400,DHD
2017-06-01,9.73,9.73,9.73,9.73,800,DHD
2017-06-02,9.98,9.98,9.2,9.98,3800,DHD
2017-06-05,9.98,9.98,9.98,9.98,1200,DHD
2017-06-06,9.98,9.98,9.98,9.98,0,DHD
2017-06-07,9.98,9.98,9.98,9.98,0,DHD
2017-06-08,8.49,9.81,8.49,9.81,1200,DHD
2017-06-09,8.7,8.72,8.64,8.72,3400,DHD
2017-06-12,9.55,9.55,8.7,8.7,1400,DHD
2017-06-13,8.75,8.75,8.75,8.75,0,DHD
2017-06-14,8.75,8.75,8.75,8.75,0,DHD
2017-06-15,8.85,9.23,8.75,8.75,1000,DHD
2017-06-16,8.85,9.23,8.85,9.23,400,DHD
2017-06-19,8.97,8.97,8.64,8.64,300,DHD
2017-06-20,8.62,8.62,8.59,8.59,7700,DHD
2017-06-21,8.8,8.8,8.59,8.64,900,DHD
2017-06-22,8.64,8.7,8.64,8.7,3600,DHD
2017-06-23,8.67,8.67,8.67,8.67,100,DHD
2017-06-26,8.67,8.67,8.59,8.59,3900,DHD
2017-06-27,8.59,8.59,8.59,8.59,5710,DHD
2017-06-28,8.47,8.59,8.47,8.59,400,DHD
2017-06-29,8.54,8.54,8.54,8.54,0,DHD
2017-06-30,7.58,7.58,7.58,7.58,100,DHD
2017-07-03,8.59,8.59,8.59,8.59,100,DHD
2017-07-04,8.59,8.59,8.59,8.59,0,DHD
2017-07-05,7.36,7.36,7.36,7.36,300,DHD
2017-07-06,7.36,7.36,7.36,7.36,0,DHD
2017-07-07,7.36,7.36,6.27,7.08,8600,DHD
2017-07-10,6.6,6.6,6.09,6.09,1700,DHD
2017-07-11,7.41,7.41,6.6,6.6,1100,DHD
2017-07-12,7.66,7.66,6.72,7.66,1600,DHD
2017-07-13,8.09,8.09,8.09,8.09,300,DHD
2017-07-14,6.98,6.98,6.98,6.98,200,DHD
2017-07-17,7.03,7.03,7.03,7.03,400,DHD
2017-07-18,8.04,8.04,8.04,8.04,200,DHD
2017-07-19,6.93,6.93,6.9,6.9,1200,DHD
2017-07-20,7.58,7.58,6.65,7.58,2900,DHD
2017-07-21,7.1,7.1,7.1,7.1,0,DHD
2017-07-24,7.1,7.1,7.1,7.1,0,DHD
2017-07-25,7.18,7.18,7.13,7.13,600,DHD
2017-07-26,7.08,7.08,6.98,7.08,2200,DHD
2017-07-27,7.96,7.96,7.2,7.2,1100,DHD
2017-07-28,7.36,7.36,7.36,7.36,100,DHD
2017-07-31,7.36,7.36,7.36,7.36,0,DHD
2017-08-01,7.96,7.96,7.96,7.96,100,DHD
2017-08-02,7.96,7.96,7.96,7.96,0,DHD
2017-08-03,7.23,7.23,7.23,7.23,4800,DHD
2017-08-04,7.23,7.23,7.23,7.23,0,DHD
2017-08-07,7.96,7.96,7.58,7.71,1700,DHD
2017-08-08,7.86,7.86,7.86,7.86,0,DHD
2017-08-09,7.33,7.33,7.31,7.33,1500,DHD
2017-08-10,7.36,7.58,7.36,7.58,1500,DHD
2017-08-11,7.58,7.84,7.58,7.84,1300,DHD
2017-08-14,7.63,7.63,7.63,7.63,0,DHD
2017-08-15,7.63,7.63,7.63,7.63,9200,DHD
2017-08-16,7.63,7.63,7.63,7.63,0,DHD
2017-08-17,7.63,7.63,7.63,7.63,0,DHD
2017-08-18,7.08,7.08,7.08,7.08,200,DHD
2017-08-21,7.08,7.08,7.08,7.08,200,DHD
2017-08-22,7.96,7.96,7.96,7.96,1900,DHD
2017-08-23,7.94,7.94,7.94,7.94,300,DHD
2017-08-24,7.2,7.2,7.08,7.08,1000,DHD
2017-08-25,7.96,7.96,6.12,6.12,3300,DHD
2017-08-28,7.33,7.48,6.47,6.47,1600,DHD
2017-08-29,7.56,7.58,7.56,7.58,300,DHD
2017-08-30,6.6,7.94,6.6,7.94,1000,DHD
2017-08-31,6.75,7.84,6.75,7.84,200,DHD
2017-09-01,7.1,7.1,7.1,7.1,100,DHD
2017-09-05,7.1,7.1,7.1,7.1,0,DHD
2017-09-06,6.12,6.12,6.12,6.12,1000,DHD
2017-09-07,5.23,7.03,5.23,7.03,200,DHD
2017-09-08,5.84,5.84,5.84,5.84,200,DHD
2017-09-11,5.84,5.84,5.84,5.84,0,DHD
2017-09-12,5.84,5.84,5.84,5.84,0,DHD
2017-09-13,6.7,6.7,6.7,6.7,5900,DHD
2017-09-14,7.2,7.23,7.2,7.23,1100,DHD
2017-09-15,7.46,7.46,7.33,7.33,1800,DHD
2017-09-18,7.58,7.58,7.58,7.58,1400,DHD
2017-09-19,8.09,8.09,8.09,8.09,100,DHD
2017-09-20,8.09,8.09,8.09,8.09,0,DHD
2017-09-21,7.58,7.58,7.58,7.58,600,DHD
2017-09-22,7.58,7.58,7.58,7.58,500,DHD
2017-09-25,8.72,8.72,7.58,7.58,600,DHD
2017-09-26,7.58,7.81,7.58,7.81,3400,DHD
2017-09-27,7.58,7.58,7.58,7.58,300,DHD
2017-09-28,7.58,7.58,7.58,7.58,0,DHD
2017-09-29,7.58,7.58,7.58,7.58,0,DHD
2017-10-02,6.72,6.72,6.72,6.72,500,DHD
2017-10-03,6.72,6.72,6.72,6.72,0,DHD
2017-10-04,7.68,7.68,7.68,7.68,100,DHD
2017-10-05,6.6,6.6,6.6,6.6,100,DHD
2017-10-06,6.6,6.6,6.6,6.6,0,DHD
2017-10-09,6.6,6.6,6.6,6.6,0,DHD
2017-10-10,7.58,7.58,7.58,7.58,100,DHD
2017-10-11,7.58,7.58,7.58,7.58,0,DHD
2017-10-12,7.58,7.58,7.58,7.58,0,DHD
2017-10-13,7.58,7.58,7.58,7.58,0,DHD
2017-10-16,7.58,7.58,7.58,7.58,0,DHD
2017-10-17,7.58,7.68,7.58,7.68,1100,DHD
2017-10-18,7.66,7.66,7.66,7.66,500,DHD
2017-10-19,7.66,7.66,7.66,7.66,0,DHD
2017-10-20,7.58,7.58,7.58,7.58,4000,DHD
2017-10-23,7.58,7.58,7.58,7.58,1900,DHD
2017-10-24,7.33,7.33,7.33,7.33,1000,DHD
2017-10-25,7.33,7.33,7.33,7.33,2000,DHD
2017-10-26,7.46,7.46,7.33,7.33,1100,DHD
2017-10-27,7.81,7.81,7.81,7.81,100,DHD
2017-10-30,7.81,7.81,7.81,7.81,0,DHD
2017-10-31,8.72,8.72,8.72,8.72,100,DHD
2017-11-01,7.43,7.46,7.43,7.43,3200,DHD
2017-11-02,7.56,7.56,7.56,7.56,100,DHD
2017-11-03,7.46,7.46,7.46,7.46,2000,DHD
2017-11-06,8.57,8.57,8.57,8.57,100,DHD
2017-11-07,9.83,9.83,7.33,7.33,1400,DHD
2017-11-08,9.81,9.81,8.54,8.54,300,DHD
2017-11-09,8.09,9.58,7.79,7.91,7900,DHD
2017-11-10,8.95,8.95,8.59,8.59,900,DHD
2017-11-13,7.73,8.59,7.73,8.59,300,DHD
2017-11-14,8.01,8.01,8.01,8.01,1000,DHD
2017-11-15,8.01,8.01,8.01,8.01,0,DHD
2017-11-16,7.99,7.99,7.99,7.99,200,DHD
2017-11-17,8.82,8.82,8.82,8.82,100,DHD
2017-11-20,8.82,8.82,8.82,8.82,0,DHD
2017-11-21,9.05,9.05,9.05,9.05,100,DHD
2017-11-22,7.89,7.89,7.89,7.89,1000,DHD
2017-11-23,7.89,7.89,7.89,7.89,0,DHD
2017-11-24,7.91,7.91,7.91,7.91,100,DHD
2017-11-27,8.22,8.22,8.22,8.22,100,DHD
2017-11-28,8.22,8.22,8.22,8.22,0,DHD
2017-11-29,8.22,8.22,8.22,8.22,0,DHD
2017-11-30,8.22,8.22,8.22,8.22,0,DHD
2017-12-01,8.22,8.22,8.22,8.22,0,DHD
2017-12-04,8.47,8.47,8.47,8.47,200,DHD
2017-12-05,8.47,8.47,8.47,8.47,0,DHD
2017-12-06,8.47,8.47,8.47,8.47,0,DHD
2017-12-07,8.47,8.47,8.47,8.47,0,DHD
2017-12-08,7.48,7.48,7.46,7.46,200,DHD
2017-12-11,7.48,7.48,7.48,7.48,0,DHD
2017-12-12,7.48,7.48,7.48,7.48,0,DHD
2017-12-13,6.82,6.82,6.82,6.82,4300,DHD
2017-12-14,7.84,7.84,7.08,7.08,400,DHD
2017-12-15,7.28,7.28,7.28,7.28,0,DHD
2017-12-18,8.27,8.27,8.27,8.27,100,DHD
2017-12-19,8.27,8.27,8.27,8.27,0,DHD
2017-12-20,8.27,8.27,8.27,8.27,0,DHD
2017-12-21,8.27,8.27,8.27,8.27,0,DHD
2017-12-22,8.27,8.27,8.27,8.27,0,DHD
2017-12-25,8.27,8.27,8.27,8.27,0,DHD
2017-12-26,8.27,8.27,8.27,8.27,0,DHD
2017-12-27,8.27,8.27,8.27,8.27,200,DHD
2017-12-28,8.27,8.27,8.27,8.27,0,DHD
2017-12-29,8.19,8.19,8.19,8.19,4300,DHD
2018-01-02,8.19,8.19,8.19,8.19,0,DHD
2018-01-03,8.19,8.19,8.19,8.19,0,DHD
2018-01-04,8.19,8.19,8.19,8.19,0,DHD
2018-01-05,7.03,7.03,7.03,7.03,400,DHD
2018-01-08,7.03,7.03,7.03,7.03,0,DHD
2018-01-09,7.03,7.03,7.03,7.03,0,DHD
2018-01-10,7.46,7.46,7.46,7.46,100,DHD
2018-01-11,7.71,7.84,7.71,7.84,400,DHD
2018-01-12,7.58,7.58,7.58,7.58,14400,DHD
2018-01-15,6.57,6.57,6.57,6.57,1000,DHD
2018-01-16,6.57,6.57,6.57,6.57,0,DHD
2018-01-17,6.95,7.53,6.95,7.46,4500,DHD
2018-01-18,7.33,7.33,7.33,7.33,200,DHD
2018-01-19,7.46,7.46,7.33,7.33,600,DHD
