time,open,high,low,close,volume,ticker
2009-08-19,9.82,9.82,9.82,9.82,2100,DIG
2009-08-20,10.27,10.27,10.27,10.27,10,DIG
2009-08-21,10.71,10.71,10.71,10.71,20,DIG
2009-08-24,11.24,11.24,11.24,11.24,10,DIG
2009-08-25,11.76,11.76,11.76,11.76,20,DIG
2009-08-26,12.28,12.28,12.28,12.28,3310,DIG
2009-08-27,12.87,12.87,12.87,12.87,381720,DIG
2009-08-28,13.47,13.47,13.47,13.47,309600,DIG
2009-08-31,14.14,14.14,14.14,14.14,112000,DIG
2009-09-01,14.81,14.81,14.73,14.81,921830,DIG
2009-09-03,15.03,15.33,14.14,15.03,331850,DIG
2009-09-04,14.29,15.03,14.29,14.29,506740,DIG
2009-09-07,14.43,14.58,14.06,14.43,405040,DIG
2009-09-08,14.58,14.88,14.51,14.58,326720,DIG
2009-09-09,14.14,14.51,14.14,14.14,513680,DIG
2009-09-10,14.36,14.43,13.91,14.36,693920,DIG
2009-09-11,14.99,15.07,14.92,15.07,422220,DIG
2009-09-14,15.82,15.82,15.82,15.82,55900,DIG
2009-09-15,16.58,16.58,16.58,16.58,271220,DIG
2009-09-16,17.33,17.33,16.73,17.33,1262020,DIG
2009-09-17,17.63,17.78,16.58,17.48,733950,DIG
2009-09-18,17.48,18.23,17.48,18.23,618210,DIG
2009-09-21,19.14,19.14,19.14,19.14,315910,DIG
2009-09-22,20.04,20.04,20.04,20.04,72040,DIG
2009-09-23,20.94,20.94,20.94,20.94,98680,DIG
2009-09-24,21.25,21.85,21.1,21.85,1795070,DIG
2009-09-25,22.3,22.9,21.85,22.0,651310,DIG
2009-09-28,22.0,22.0,20.94,21.1,526570,DIG
2009-09-29,21.1,21.7,20.34,20.79,633580,DIG
2009-09-30,20.49,20.79,19.89,19.89,762150,DIG
2009-10-01,19.89,20.19,18.99,18.99,932980,DIG
2009-10-02,18.23,18.84,18.08,18.08,718960,DIG
2009-10-05,18.38,18.99,17.93,18.99,1367350,DIG
2009-10-06,19.44,19.59,18.99,18.99,720350,DIG
2009-10-07,19.14,19.59,18.84,18.84,687880,DIG
2009-10-08,18.84,18.84,18.38,18.38,835270,DIG
2009-10-09,19.14,19.29,18.99,19.29,1874400,DIG
2009-10-12,20.19,20.19,20.19,20.19,302880,DIG
2009-10-13,20.19,20.94,19.74,20.04,914910,DIG
2009-10-14,19.74,20.04,19.44,20.04,878260,DIG
2009-10-15,20.94,20.94,20.64,20.94,1794380,DIG
2009-10-16,20.94,21.25,20.19,20.19,888180,DIG
2009-10-19,20.19,20.34,19.44,19.74,778790,DIG
2009-10-20,20.04,20.19,19.74,20.19,843690,DIG
2009-10-21,19.89,20.04,19.59,19.74,388920,DIG
2009-10-22,19.74,19.74,19.29,19.29,531110,DIG
2009-10-23,19.29,19.74,18.38,18.38,777980,DIG
2009-10-26,18.99,19.29,18.08,18.38,814680,DIG
2009-10-27,18.23,19.14,18.23,19.14,826690,DIG
2009-10-28,19.44,19.44,18.84,18.99,303620,DIG
2009-10-29,18.53,18.68,18.08,18.23,522450,DIG
2009-10-30,18.68,18.84,18.23,18.53,346340,DIG
2009-11-02,17.93,18.38,17.63,17.63,507990,DIG
2009-11-03,17.33,17.63,16.88,16.88,842190,DIG
2009-11-04,17.03,17.48,16.58,16.58,463830,DIG
2009-11-05,16.88,17.33,16.58,17.33,351800,DIG
2009-11-06,18.08,18.08,17.63,17.78,728260,DIG
2009-11-09,17.33,17.63,17.03,17.03,426650,DIG
2009-11-10,16.88,17.18,16.27,16.27,559920,DIG
2009-11-11,16.58,17.03,16.27,17.03,284120,DIG
2009-11-12,17.03,17.78,17.03,17.33,402890,DIG
2009-11-13,17.18,17.78,17.18,17.48,367210,DIG
2009-11-16,17.48,17.63,17.03,17.03,410310,DIG
2009-11-17,17.03,17.78,16.42,17.78,1044500,DIG
2009-11-18,18.38,18.53,17.78,18.53,1227740,DIG
2009-11-19,18.53,18.84,17.93,17.93,692040,DIG
2009-11-20,17.78,18.53,17.63,17.78,1279060,DIG
2009-11-23,17.78,17.93,17.03,17.03,678470,DIG
2009-11-24,16.88,17.18,16.42,16.58,839030,DIG
2009-11-25,16.42,16.42,15.82,15.82,1414730,DIG
2009-11-26,15.07,15.22,15.07,15.07,441840,DIG
2009-11-27,14.31,15.82,14.31,15.67,1155690,DIG
2009-11-30,15.37,15.82,15.07,15.22,369050,DIG
2009-12-01,15.07,15.52,15.07,15.22,717830,DIG
2009-12-02,15.22,15.67,14.92,14.92,1035480,DIG
2009-12-03,14.84,15.07,14.31,14.84,410140,DIG
2009-12-04,15.07,15.52,14.99,15.52,527530,DIG
2009-12-07,15.67,15.82,15.37,15.82,314770,DIG
2009-12-08,15.82,15.97,15.37,15.67,830980,DIG
2009-12-09,15.22,15.37,14.92,14.92,469920,DIG
2009-12-10,15.07,15.07,14.62,14.62,289670,DIG
2009-12-11,14.31,14.77,13.94,13.94,416920,DIG
2009-12-14,14.47,14.62,14.01,14.62,411570,DIG
2009-12-15,14.84,14.99,14.62,14.62,240430,DIG
2009-12-16,14.47,14.47,13.94,13.94,296880,DIG
2009-12-17,13.56,13.64,13.26,13.34,799590,DIG
2009-12-18,13.71,13.94,13.64,13.94,510080,DIG
2009-12-21,14.54,14.62,14.31,14.62,445190,DIG
2009-12-22,15.26,15.26,15.26,15.26,61810,DIG
2009-12-23,15.37,15.92,15.37,15.7,1219550,DIG
2009-12-24,15.7,15.7,15.04,15.59,468900,DIG
2009-12-25,15.92,16.36,15.7,16.03,484290,DIG
2009-12-28,16.03,16.36,15.59,15.81,499500,DIG
2009-12-29,16.03,16.58,15.92,16.58,1158880,DIG
2009-12-30,16.58,16.91,16.36,16.8,600230,DIG
2009-12-31,17.24,17.24,16.58,16.58,731450,DIG
2010-01-04,16.91,17.35,16.8,17.35,405020,DIG
2010-01-05,18.11,18.11,17.78,18.11,1129250,DIG
2010-01-06,18.11,18.44,17.67,18.11,930340,DIG
2010-01-07,18.0,18.22,17.56,17.67,631690,DIG
2010-01-08,18.11,18.22,17.24,17.24,850510,DIG
2010-01-11,17.13,17.35,16.69,16.8,260140,DIG
2010-01-12,16.69,16.91,16.14,16.14,576290,DIG
2010-01-13,16.14,16.8,15.59,16.69,612760,DIG
2010-01-14,16.91,17.13,16.69,16.91,261710,DIG
2010-01-15,16.8,17.02,16.47,16.69,268010,DIG
2010-01-18,16.14,16.25,15.92,15.92,504790,DIG
2010-01-19,16.03,16.14,15.81,15.92,319620,DIG
2010-01-20,16.25,16.25,15.37,15.48,319560,DIG
2010-01-21,15.48,15.59,14.93,15.15,438440,DIG
2010-01-22,15.04,15.26,14.93,15.04,292340,DIG
2010-01-25,14.93,15.26,14.93,15.15,122370,DIG
2010-01-26,15.59,15.81,15.59,15.81,255400,DIG
2010-01-27,16.03,16.25,15.7,15.7,309610,DIG
2010-01-28,15.59,15.92,15.26,15.26,136810,DIG
2010-01-29,15.15,15.26,14.82,14.93,261910,DIG
2010-02-01,14.93,15.15,14.82,14.93,138650,DIG
2010-02-02,15.15,15.15,14.82,14.93,130920,DIG
2010-02-03,15.15,15.26,14.82,15.26,199250,DIG
2010-02-04,15.48,15.81,15.37,15.81,457760,DIG
2010-02-05,15.59,15.7,15.26,15.37,240080,DIG
2010-02-08,15.26,15.26,15.04,15.04,142140,DIG
2010-02-09,15.04,15.15,14.93,15.04,183810,DIG
2010-02-10,15.04,15.37,15.04,15.37,177610,DIG
2010-02-11,15.37,15.48,15.37,15.48,91210,DIG
2010-02-12,15.7,15.7,15.48,15.7,122200,DIG
2010-02-22,15.92,15.92,15.48,15.48,138210,DIG
2010-02-23,15.37,15.37,15.15,15.15,221780,DIG
2010-02-24,15.04,15.15,14.82,14.93,167400,DIG
2010-02-25,15.15,15.15,14.93,14.93,341620,DIG
2010-02-26,14.93,15.15,14.93,15.04,106860,DIG
2010-03-01,15.15,15.15,15.04,15.04,239360,DIG
2010-03-02,15.04,15.15,14.93,15.04,165280,DIG
2010-03-03,15.15,15.26,14.93,15.26,204990,DIG
2010-03-04,15.92,15.92,15.7,15.81,614710,DIG
2010-03-05,15.59,15.81,15.48,15.7,310120,DIG
2010-03-08,15.81,16.25,15.7,16.25,591490,DIG
2010-03-09,16.25,17.02,16.14,16.91,1537330,DIG
2010-03-10,16.91,17.24,16.8,16.91,700680,DIG
