time,open,high,low,close,volume,ticker
2009-12-23,1.53,1.54,1.53,1.54,2600,DNC
2009-12-24,1.53,1.53,1.43,1.53,1000,DNC
2009-12-25,1.48,1.48,1.48,1.48,1500,DNC
2009-12-28,1.48,1.48,1.48,1.48,0,DNC
2009-12-29,1.48,1.48,1.48,1.48,0,DNC
2009-12-30,1.48,1.48,1.48,1.48,0,DNC
2009-12-31,1.5,1.5,1.48,1.48,900,DNC
2010-01-04,1.41,1.41,1.41,1.41,1000,DNC
2010-01-05,1.41,1.41,1.32,1.32,11500,DNC
2010-01-06,1.4,1.4,1.24,1.24,3200,DNC
2010-01-07,1.24,1.24,1.24,1.24,0,DNC
2010-01-08,1.18,1.25,1.18,1.25,24300,DNC
2010-01-11,1.13,1.13,1.13,1.13,200,DNC
2010-01-12,1.21,1.21,1.17,1.17,900,DNC
2010-01-13,1.25,1.25,1.25,1.25,700,DNC
2010-01-14,1.17,1.17,1.17,1.17,1000,DNC
2010-01-15,1.1,1.11,1.1,1.1,900,DNC
2010-01-18,1.03,1.05,1.03,1.03,1500,DNC
2010-01-19,1.03,1.03,1.03,1.03,0,DNC
2010-01-20,1.05,1.05,1.04,1.04,1700,DNC
2010-01-21,1.04,1.04,1.04,1.04,0,DNC
2010-01-22,1.06,1.11,1.06,1.11,200,DNC
2010-01-25,1.11,1.11,1.11,1.11,0,DNC
2010-01-26,1.15,1.15,1.15,1.15,300,DNC
2010-01-27,1.07,1.07,1.07,1.07,1800,DNC
2010-01-28,1.07,1.07,1.07,1.07,0,DNC
2010-01-29,1.13,1.13,1.13,1.13,100,DNC
2010-02-01,1.13,1.13,1.13,1.13,0,DNC
2010-02-02,1.05,1.06,1.05,1.06,2000,DNC
2010-02-03,0.98,0.98,0.98,0.98,500,DNC
2010-02-04,0.98,0.98,0.98,0.98,0,DNC
2010-02-05,0.98,0.98,0.98,0.98,0,DNC
2010-02-08,0.92,0.93,0.92,0.92,1400,DNC
2010-02-09,0.86,0.86,0.86,0.86,6100,DNC
2010-02-10,0.92,0.92,0.92,0.92,100,DNC
2010-02-11,0.98,0.98,0.98,0.98,700,DNC
2010-02-12,0.92,1.04,0.92,1.04,300,DNC
2010-02-22,1.04,1.04,1.04,1.04,0,DNC
2010-02-23,1.04,1.04,1.04,1.04,0,DNC
2010-02-24,1.04,1.04,1.04,1.04,0,DNC
2010-02-25,1.04,1.04,1.04,1.04,0,DNC
2010-02-26,1.04,1.04,1.04,1.04,0,DNC
2010-03-01,1.04,1.04,1.04,1.04,0,DNC
2010-03-02,1.04,1.04,1.04,1.04,0,DNC
2010-03-03,1.04,1.04,1.04,1.04,0,DNC
2010-03-04,1.04,1.04,1.04,1.04,0,DNC
2010-03-05,0.97,0.97,0.97,0.97,500,DNC
