time,open,high,low,close,volume,ticker
2015-07-17,4.82,5.21,4.34,4.56,25500,DP3
2015-07-20,4.67,4.67,4.1,4.13,2500,DP3
2015-07-21,4.13,4.3,4.13,4.3,11000,DP3
2015-07-22,4.3,4.52,4.3,4.52,23950,DP3
2015-07-23,4.23,4.28,4.23,4.23,11700,DP3
2015-07-24,4.23,4.3,4.21,4.3,6300,DP3
2015-07-27,4.34,4.43,4.34,4.34,4100,DP3
2015-07-28,4.34,4.43,4.34,4.41,7600,DP3
2015-07-29,4.34,4.52,4.34,4.36,6000,DP3
2015-07-30,4.34,4.36,4.34,4.36,700,DP3
2015-07-31,4.36,4.36,4.36,4.36,1000,DP3
2015-08-03,4.36,4.45,4.36,4.45,8000,DP3
2015-08-04,4.45,4.49,4.45,4.49,2200,DP3
2015-08-05,4.54,4.56,4.54,4.56,3300,DP3
2015-08-06,4.56,4.56,4.56,4.56,0,DP3
2015-08-07,4.32,4.32,4.32,4.32,100,DP3
2015-08-10,4.34,4.34,4.34,4.34,200,DP3
2015-08-11,4.34,4.34,4.34,4.34,0,DP3
2015-08-12,4.34,4.34,4.34,4.34,200,DP3
2015-08-13,4.34,4.34,4.34,4.34,700,DP3
2015-08-14,4.34,4.34,4.34,4.34,0,DP3
2015-08-17,4.34,4.34,4.34,4.34,2000,DP3
2015-08-18,4.39,4.39,4.39,4.39,1000,DP3
2015-08-19,4.45,4.56,4.45,4.56,3800,DP3
2015-08-20,4.56,4.56,4.56,4.56,0,DP3
2015-08-21,4.56,4.56,4.56,4.56,0,DP3
2015-08-24,4.56,4.56,4.56,4.56,1100,DP3
2015-08-25,4.56,4.6,4.56,4.58,24400,DP3
2015-08-26,4.58,4.58,4.58,4.58,0,DP3
2015-08-27,4.6,4.6,4.6,4.6,5000,DP3
2015-08-28,4.63,4.78,4.63,4.78,2100,DP3
2015-08-31,4.89,4.89,4.89,4.89,800,DP3
2015-09-01,4.89,4.89,4.89,4.89,0,DP3
2015-09-03,4.78,4.78,4.78,4.78,300,DP3
2015-09-04,4.8,4.82,4.8,4.82,2000,DP3
2015-09-07,4.89,4.89,4.89,4.89,1000,DP3
2015-09-08,4.58,4.99,4.58,4.99,900,DP3
2015-09-09,4.97,4.99,4.97,4.99,1600,DP3
2015-09-10,4.89,4.89,4.89,4.89,1000,DP3
2015-09-11,4.67,5.12,4.67,5.12,5100,DP3
2015-09-14,5.12,5.12,5.12,5.12,0,DP3
2015-09-15,5.12,5.12,5.12,5.12,0,DP3
2015-09-16,5.12,5.12,5.12,5.12,0,DP3
2015-09-17,5.12,5.12,5.12,5.12,0,DP3
2015-09-18,4.89,4.95,4.89,4.95,2400,DP3
2015-09-21,4.95,4.95,4.95,4.95,0,DP3
2015-09-22,4.95,4.95,4.95,4.95,0,DP3
2015-09-23,4.95,4.95,4.95,4.95,500,DP3
2015-09-24,5.1,5.1,5.1,5.1,100,DP3
2015-09-25,5.1,5.1,5.1,5.1,0,DP3
2015-09-28,5.1,5.1,5.1,5.1,0,DP3
2015-09-29,5.1,5.1,5.1,5.1,0,DP3
2015-09-30,5.1,5.1,5.1,5.1,0,DP3
2015-10-01,5.1,5.1,5.1,5.1,0,DP3
2015-10-02,4.67,4.99,4.63,4.99,10600,DP3
2015-10-05,4.99,5.41,4.99,5.41,1100,DP3
2015-10-06,5.41,5.41,5.41,5.41,37,DP3
2015-10-07,4.95,4.97,4.95,4.97,6500,DP3
2015-10-08,5.19,5.21,5.19,5.21,300,DP3
2015-10-09,5.36,5.36,5.36,5.36,500,DP3
2015-10-12,5.36,5.36,5.36,5.36,0,DP3
2015-10-13,5.36,5.36,5.36,5.36,0,DP3
2015-10-14,4.95,4.95,4.95,4.95,4900,DP3
2015-10-15,4.95,4.95,4.95,4.95,0,DP3
2015-10-16,4.95,4.95,4.95,4.95,0,DP3
2015-10-19,4.49,5.28,4.49,5.28,200,DP3
2015-10-20,4.78,4.78,4.78,4.78,100,DP3
2015-10-21,4.78,4.78,4.78,4.78,0,DP3
2015-10-22,4.34,4.34,4.34,4.34,100,DP3
2015-10-23,4.34,4.34,4.34,4.34,0,DP3
2015-10-26,4.78,4.78,4.78,4.78,100,DP3
2015-10-27,4.78,4.78,4.78,4.78,0,DP3
2015-10-28,4.78,4.78,4.78,4.78,0,DP3
2015-10-29,4.78,4.78,4.78,4.78,0,DP3
2015-10-30,4.78,4.78,4.78,4.78,0,DP3
2015-11-02,4.78,4.78,4.78,4.78,0,DP3
2015-11-03,5.21,5.21,5.21,5.21,100,DP3
2015-11-04,5.21,5.21,5.21,5.21,0,DP3
2015-11-05,4.76,4.76,4.76,4.76,500,DP3
2015-11-06,4.76,4.76,4.76,4.76,0,DP3
2015-11-09,4.76,4.76,4.76,4.76,0,DP3
2015-11-10,4.76,4.76,4.76,4.76,0,DP3
2015-11-11,4.89,4.89,4.89,4.89,100,DP3
2015-11-12,4.89,4.89,4.89,4.89,0,DP3
2015-11-13,4.99,4.99,4.99,4.99,100,DP3
2015-11-16,4.99,4.99,4.99,4.99,25600,DP3
2015-11-17,4.99,4.99,4.99,4.99,400,DP3
2015-11-18,4.99,4.99,4.99,4.99,100,DP3
2015-11-19,4.99,4.99,4.99,4.99,0,DP3
2015-11-20,5.49,5.49,5.49,5.49,400,DP3
2015-11-23,5.49,5.49,5.49,5.49,0,DP3
2015-11-24,4.95,4.95,4.95,4.95,100,DP3
2015-11-25,4.52,4.99,4.52,4.99,500,DP3
2015-11-26,5.49,5.49,5.49,5.49,100,DP3
2015-11-27,5.49,5.49,5.49,5.49,0,DP3
2015-11-30,4.99,4.99,4.99,4.99,600,DP3
2015-12-01,4.63,4.63,4.63,4.63,100,DP3
2015-12-02,4.63,4.63,4.63,4.63,0,DP3
2015-12-03,4.17,5.06,4.17,5.06,600,DP3
2015-12-04,5.06,5.06,5.06,5.06,0,DP3
2015-12-07,5.19,5.19,5.19,5.19,200,DP3
2015-12-08,4.73,4.73,4.73,4.73,600,DP3
2015-12-09,4.78,4.78,4.78,4.78,11000,DP3
2015-12-10,4.86,4.86,4.78,4.78,18200,DP3
2015-12-11,4.3,4.97,4.3,4.97,600,DP3
2015-12-14,4.97,4.97,4.97,4.97,0,DP3
2015-12-15,4.99,5.41,4.99,5.21,600,DP3
2015-12-16,5.21,5.21,5.21,5.21,500,DP3
2015-12-17,5.21,5.21,5.21,5.21,0,DP3
2015-12-18,5.21,5.21,5.21,5.21,0,DP3
2015-12-21,4.69,5.19,4.69,5.19,600,DP3
2015-12-22,5.19,5.19,5.19,5.19,0,DP3
2015-12-23,4.99,5.08,4.99,5.08,2400,DP3
2015-12-24,5.41,5.41,5.41,5.41,500,DP3
2015-12-25,5.21,5.21,5.17,5.17,2900,DP3
2015-12-28,5.15,5.15,5.12,5.12,1600,DP3
2015-12-29,5.15,5.15,5.08,5.08,2100,DP3
2015-12-30,5.08,5.43,5.06,5.43,4900,DP3
2015-12-31,4.78,4.78,4.06,4.06,12300,DP3
2016-01-04,3.69,3.69,3.69,3.69,100,DP3
2016-01-05,3.69,3.69,3.69,3.69,0,DP3
2016-01-06,3.67,3.67,3.54,3.54,3800,DP3
2016-01-07,3.54,3.54,3.54,3.54,0,DP3
2016-01-08,3.89,3.89,3.89,3.89,100,DP3
2016-01-11,3.89,3.89,3.89,3.89,0,DP3
2016-01-12,3.89,3.89,3.89,3.89,0,DP3
2016-01-13,3.54,3.58,3.54,3.58,700,DP3
2016-01-14,3.24,3.37,3.24,3.26,2000,DP3
2016-01-15,3.26,3.26,3.26,3.26,0,DP3
2016-01-18,3.26,3.26,3.26,3.26,0,DP3
2016-01-19,3.26,3.26,3.26,3.26,0,DP3
2016-01-20,3.26,3.26,3.26,3.26,1000,DP3
2016-01-21,3.28,3.45,3.26,3.45,3500,DP3
2016-01-22,3.3,3.76,3.3,3.76,400,DP3
2016-01-25,3.41,3.41,3.39,3.41,1300,DP3
2016-01-26,3.47,3.67,3.21,3.21,1500,DP3
2016-01-27,3.52,3.52,3.52,3.52,300,DP3
2016-01-28,3.52,3.52,3.52,3.52,0,DP3
2016-01-29,3.54,3.54,3.54,3.54,7000,DP3
2016-02-01,3.54,3.54,3.54,3.54,33,DP3
2016-02-02,3.19,3.39,3.19,3.39,200,DP3
2016-02-03,3.15,3.39,3.15,3.26,2600,DP3
2016-02-04,3.26,3.26,3.26,3.26,0,DP3
2016-02-05,3.26,3.26,3.26,3.26,0,DP3
2016-02-15,3.26,3.26,3.26,3.26,0,DP3
2016-02-16,3.26,3.26,3.26,3.26,0,DP3
2016-02-17,3.26,3.26,3.26,3.26,0,DP3
2016-02-18,3.26,3.26,3.26,3.26,0,DP3
2016-02-19,3.26,3.26,3.26,3.26,2000,DP3
2016-02-22,3.26,3.26,3.26,3.26,0,DP3
2016-02-23,3.26,3.26,3.26,3.26,0,DP3
2016-02-24,3.26,3.26,3.26,3.26,0,DP3
2016-02-25,3.15,3.15,3.15,3.15,500,DP3
2016-02-26,3.15,3.15,3.15,3.15,0,DP3
2016-02-29,3.26,3.26,3.26,3.26,2000,DP3
2016-03-01,3.37,3.39,3.37,3.39,1900,DP3
2016-03-02,3.43,3.69,3.43,3.69,4100,DP3
2016-03-03,3.65,3.8,3.65,3.8,3100,DP3
2016-03-04,3.8,3.8,3.8,3.8,400,DP3
2016-03-07,3.89,3.89,3.8,3.89,1000,DP3
2016-03-08,3.89,3.89,3.89,3.89,0,DP3
2016-03-09,3.73,3.8,3.69,3.8,2800,DP3
2016-03-10,3.82,3.82,3.8,3.8,1600,DP3
2016-03-11,3.69,3.69,3.69,3.69,3000,DP3
2016-03-14,3.69,3.69,3.69,3.69,0,DP3
2016-03-15,3.8,3.8,3.8,3.8,500,DP3
2016-03-16,3.8,3.8,3.8,3.8,0,DP3
2016-03-17,3.8,3.8,3.8,3.8,2100,DP3
2016-03-18,3.82,3.82,3.82,3.82,800,DP3
2016-03-21,3.87,4.02,3.87,4.02,300,DP3
2016-03-22,4.02,4.02,4.02,4.02,0,DP3
2016-03-23,4.02,4.02,3.69,3.69,2500,DP3
2016-03-24,3.58,3.58,3.58,3.58,1000,DP3
2016-03-25,3.58,3.58,3.58,3.58,0,DP3
2016-03-28,3.58,3.58,3.58,3.58,0,DP3
2016-03-29,3.91,3.91,3.91,3.91,200,DP3
2016-03-30,3.69,3.8,3.69,3.8,1700,DP3
2016-03-31,3.82,3.91,3.82,3.82,5700,DP3
2016-04-01,3.91,3.95,3.58,3.58,400,DP3
2016-04-04,3.69,3.69,3.69,3.69,200,DP3
2016-04-05,3.8,3.97,3.8,3.93,6000,DP3
2016-04-06,3.97,4.32,3.97,4.32,5500,DP3
2016-04-07,4.02,4.34,4.02,4.34,5900,DP3
2016-04-08,4.34,4.34,4.34,4.34,0,DP3
2016-04-11,4.23,4.34,4.13,4.13,2900,DP3
2016-04-12,3.8,4.13,3.8,4.1,2950,DP3
2016-04-13,4.02,4.02,4.02,4.02,100,DP3
2016-04-14,4.04,4.34,4.04,4.34,4900,DP3
2016-04-15,4.32,4.32,4.32,4.32,1000,DP3
2016-04-19,4.32,4.32,4.32,4.32,0,DP3
2016-04-20,4.34,4.47,4.28,4.34,13617,DP3
2016-04-21,4.67,4.67,4.67,4.67,100,DP3
2016-04-22,4.34,4.34,4.34,4.34,6000,DP3
2016-04-25,4.34,4.78,4.34,4.78,23100,DP3
2016-04-26,5.17,5.25,5.06,5.21,26899,DP3
2016-04-27,5.25,5.25,5.21,5.21,30500,DP3
2016-04-28,5.12,5.73,4.69,5.73,18663,DP3
2016-04-29,5.17,5.17,5.17,5.17,23000,DP3
2016-05-04,5.21,5.54,5.21,5.54,13900,DP3
2016-05-05,5.43,5.54,5.21,5.32,58499,DP3
2016-05-06,5.32,5.43,5.32,5.43,10900,DP3
2016-05-09,5.43,5.43,5.21,5.43,32100,DP3
2016-05-10,5.41,5.41,5.41,5.41,100,DP3
2016-05-11,5.3,5.36,5.12,5.36,300,DP3
2016-05-12,5.32,5.32,5.1,5.3,26200,DP3
2016-05-13,5.3,5.39,5.19,5.3,14300,DP3
2016-05-16,5.21,5.21,5.19,5.19,6500,DP3
2016-05-17,5.19,5.32,5.19,5.21,58600,DP3
2016-05-18,5.23,5.23,5.21,5.21,47700,DP3
2016-05-19,5.23,5.3,5.21,5.3,37400,DP3
2016-05-20,5.21,5.21,5.21,5.21,4500,DP3
2016-05-23,5.28,5.32,5.1,5.17,24850,DP3
2016-05-24,5.17,5.43,5.17,5.21,45400,DP3
2016-05-25,5.3,5.54,5.21,5.54,15611,DP3
2016-05-26,5.65,5.65,5.45,5.54,2400,DP3
2016-05-27,5.43,5.62,5.43,5.6,18300,DP3
2016-05-30,5.43,5.56,5.43,5.56,11400,DP3
2016-05-31,5.43,5.54,5.43,5.49,7600,DP3
2016-06-01,5.54,6.04,5.54,6.04,64000,DP3
2016-06-02,5.97,6.62,5.86,6.62,12566,DP3
2016-06-03,6.58,6.77,6.41,6.73,12300,DP3
2016-06-06,6.3,6.64,6.3,6.49,24200,DP3
2016-06-07,6.3,6.49,6.12,6.12,38400,DP3
2016-06-08,6.12,6.23,6.06,6.15,38000,DP3
2016-06-09,6.41,6.75,6.19,6.73,93566,DP3
2016-06-10,6.73,6.95,6.73,6.95,44300,DP3
2016-06-13,6.58,7.17,6.49,6.73,30840,DP3
2016-06-14,6.71,6.71,6.62,6.71,17600,DP3
2016-06-15,6.62,7.32,6.51,7.3,92700,DP3
2016-06-16,7.32,7.82,7.3,7.49,66600,DP3
2016-06-17,7.49,8.03,7.49,8.01,47361,DP3
2016-06-20,8.14,8.14,7.71,7.93,19300,DP3
2016-06-21,7.73,7.9,7.49,7.56,57066,DP3
2016-06-22,7.56,7.93,7.56,7.82,55300,DP3
2016-06-23,7.82,8.25,7.82,8.23,54100,DP3
2016-06-24,8.23,8.36,7.43,7.82,84500,DP3
2016-06-27,7.77,7.86,7.6,7.82,24499,DP3
2016-06-28,7.6,7.71,7.6,7.62,71300,DP3
2016-06-29,7.62,7.84,7.62,7.71,167300,DP3
2016-06-30,7.82,7.82,7.62,7.62,39700,DP3
2016-07-01,7.82,7.82,7.6,7.8,75627,DP3
2016-07-04,7.82,7.84,7.69,7.75,126100,DP3
2016-07-05,7.75,7.75,7.69,7.71,67150,DP3
2016-07-06,7.6,7.69,7.53,7.58,48298,DP3
2016-07-07,7.53,7.71,7.38,7.69,78659,DP3
2016-07-08,7.73,8.06,7.71,7.99,120030,DP3
2016-07-11,7.93,8.06,7.84,7.88,178400,DP3
2016-07-12,7.82,7.86,7.67,7.75,21800,DP3
2016-07-13,7.93,7.95,7.71,7.86,43087,DP3
2016-07-14,7.86,7.9,7.71,7.71,58500,DP3
2016-07-15,7.69,7.69,7.4,7.4,57000,DP3
2016-07-18,7.58,7.58,7.4,7.43,17300,DP3
2016-07-19,7.47,7.6,7.38,7.58,14720,DP3
2016-07-20,7.56,7.56,7.32,7.4,48100,DP3
2016-07-21,7.43,7.43,7.12,7.17,24920,DP3
2016-07-22,7.17,7.17,6.51,6.58,35800,DP3
2016-07-25,6.58,6.58,6.51,6.51,29600,DP3
2016-07-26,6.51,6.51,6.47,6.49,9900,DP3
2016-07-27,6.49,6.64,6.49,6.62,14205,DP3
2016-07-28,6.6,6.6,6.49,6.54,26800,DP3
2016-07-29,6.51,6.56,6.51,6.56,6800,DP3
2016-08-01,6.51,6.51,6.47,6.47,12300,DP3
2016-08-02,6.43,6.43,5.86,5.91,13000,DP3
2016-08-03,5.91,5.99,5.86,5.97,81405,DP3
2016-08-04,5.97,6.01,5.97,5.99,12000,DP3
2016-08-05,5.97,5.97,5.88,5.97,27300,DP3
2016-08-08,5.93,5.93,5.78,5.86,7967,DP3
2016-08-09,5.86,5.86,5.86,5.86,15400,DP3
2016-08-10,5.88,6.45,5.88,6.19,49100,DP3
2016-08-11,6.15,6.36,6.15,6.34,27702,DP3
2016-08-12,6.3,6.41,6.25,6.41,19300,DP3
2016-08-15,6.36,6.36,6.15,6.19,31500,DP3
2016-08-16,6.19,6.62,6.19,6.47,67400,DP3
2016-08-17,6.49,6.58,6.41,6.58,34900,DP3
2016-08-18,6.56,6.6,6.43,6.43,23500,DP3
2016-08-19,6.41,6.45,6.3,6.3,16000,DP3
2016-08-22,6.36,6.36,6.21,6.3,4400,DP3
2016-08-23,6.3,6.34,6.21,6.3,28568,DP3
2016-08-24,6.32,6.32,6.21,6.23,13000,DP3
2016-08-25,6.3,6.3,6.19,6.3,12200,DP3
2016-08-26,6.19,6.49,6.19,6.43,22852,DP3
2016-08-29,6.45,6.47,6.25,6.3,13900,DP3
2016-08-30,6.3,6.47,6.3,6.47,9800,DP3
2016-08-31,6.34,6.36,6.3,6.3,15000,DP3
2016-09-01,6.3,6.41,6.28,6.36,16700,DP3
2016-09-05,6.36,6.36,6.34,6.36,2900,DP3
2016-09-06,6.36,6.84,6.36,6.73,33800,DP3
2016-09-07,6.6,6.64,6.56,6.64,10400,DP3
2016-09-08,6.62,6.73,6.54,6.73,29000,DP3
2016-09-09,6.69,6.95,6.69,6.8,18102,DP3
2016-09-12,6.62,6.64,6.54,6.64,4500,DP3
2016-09-13,6.62,6.69,6.51,6.69,7800,DP3
2016-09-14,6.62,6.62,6.54,6.54,7500,DP3
2016-09-15,6.54,6.6,6.54,6.56,6600,DP3
2016-09-16,6.56,6.6,6.54,6.6,12800,DP3
2016-09-19,6.56,6.64,6.54,6.64,13300,DP3
2016-09-20,6.6,6.62,6.54,6.56,12000,DP3
2016-09-21,6.56,6.73,6.56,6.73,8900,DP3
2016-09-22,6.69,6.75,6.58,6.71,1100,DP3
2016-09-23,6.56,6.6,6.54,6.54,6500,DP3
2016-09-26,6.56,6.71,6.51,6.58,28000,DP3
2016-09-27,6.58,6.69,6.58,6.69,14400,DP3
2016-09-28,6.64,6.75,6.64,6.67,12700,DP3
2016-09-29,6.69,6.69,6.62,6.64,8600,DP3
2016-09-30,6.64,7.3,6.64,7.17,41802,DP3
2016-10-03,7.17,7.19,6.95,7.06,16108,DP3
2016-10-04,7.06,7.06,6.67,6.69,4510,DP3
2016-10-05,6.69,6.77,6.62,6.71,6932,DP3
2016-10-06,6.69,7.17,6.69,6.95,12600,DP3
2016-10-07,6.73,6.95,6.71,6.95,16500,DP3
2016-10-10,6.73,7.06,6.73,6.95,20600,DP3
2016-10-11,6.95,7.01,6.95,6.99,24400,DP3
2016-10-12,6.99,7.49,6.99,7.49,53610,DP3
2016-10-13,7.17,7.49,7.17,7.38,5640,DP3
2016-10-14,7.27,7.51,7.27,7.36,17800,DP3
2016-10-17,6.99,7.36,6.99,7.17,11800,DP3
2016-10-18,7.17,7.34,7.08,7.27,19220,DP3
2016-10-19,7.27,7.38,7.19,7.36,11800,DP3
2016-10-20,7.06,7.27,6.73,7.06,80500,DP3
2016-10-21,7.08,7.08,6.36,6.36,48010,DP3
2016-10-24,5.78,6.69,5.75,6.69,7500,DP3
2016-10-25,6.32,6.51,6.3,6.49,800,DP3
2016-10-26,6.45,6.45,6.21,6.21,11000,DP3
2016-10-27,6.19,6.6,6.1,6.49,7500,DP3
