time,open,high,low,close,volume,ticker
2015-05-06,14.2,14.2,14.2,14.2,30400,DPS
2015-05-07,15.62,15.62,15.43,15.62,325500,DPS
2015-05-08,17.14,17.14,16.29,17.14,565100,DPS
2015-05-11,17.14,17.61,16.85,17.33,748400,DPS
2015-05-12,17.23,17.23,16.48,16.85,652400,DPS
2015-05-13,16.85,17.14,16.57,16.85,764300,DPS
2015-05-14,16.85,17.04,16.48,16.85,534400,DPS
2015-05-15,16.85,16.85,16.57,16.67,357400,DPS
2015-05-18,16.57,16.67,16.19,16.29,562800,DPS
2015-05-19,16.29,16.76,16.29,16.76,544200,DPS
2015-05-20,16.67,17.14,16.57,17.14,509100,DPS
2015-05-21,17.04,17.04,16.67,16.85,563500,DPS
2015-05-22,16.85,16.85,16.57,16.85,497400,DPS
2015-05-25,16.85,16.95,15.43,15.81,881000,DPS
2015-05-26,15.72,15.81,15.43,15.53,334800,DPS
2015-05-27,15.43,15.62,15.34,15.53,351900,DPS
2015-05-28,15.53,15.62,15.43,15.53,320400,DPS
2015-05-29,15.53,15.53,15.25,15.53,349100,DPS
2015-06-01,15.53,15.72,15.34,15.34,310800,DPS
2015-06-02,15.34,15.34,14.68,14.87,400800,DPS
2015-06-03,14.87,14.87,14.49,14.68,416900,DPS
2015-06-04,14.68,14.87,14.49,14.77,268900,DPS
2015-06-05,14.77,14.87,14.58,14.87,286300,DPS
2015-06-08,14.87,14.96,14.68,14.87,330200,DPS
2015-06-09,14.87,14.87,14.58,14.68,384000,DPS
2015-06-10,14.68,14.96,14.58,14.77,418000,DPS
2015-06-11,14.77,15.06,14.77,14.96,297600,DPS
2015-06-12,14.96,15.06,14.87,14.96,259100,DPS
2015-06-15,14.96,15.25,14.96,15.06,322900,DPS
2015-06-16,15.06,15.25,15.06,15.15,284300,DPS
2015-06-17,15.15,15.34,15.06,15.25,236200,DPS
2015-06-18,15.25,15.43,15.15,15.34,302200,DPS
2015-06-19,15.34,15.62,15.34,15.43,430900,DPS
2015-06-22,15.43,15.53,15.25,15.43,314000,DPS
2015-06-23,15.34,15.53,15.25,15.25,324400,DPS
2015-06-24,15.15,15.25,15.06,15.15,316600,DPS
2015-06-25,15.15,15.34,15.06,15.25,473300,DPS
2015-06-26,15.25,15.43,15.15,15.34,271300,DPS
2015-06-29,15.25,15.25,14.77,14.87,237400,DPS
2015-06-30,14.87,14.96,14.68,14.87,167800,DPS
2015-07-01,14.87,15.25,14.68,15.25,317200,DPS
2015-07-02,15.25,15.34,15.15,15.25,156100,DPS
2015-07-03,15.25,15.34,14.96,15.25,176300,DPS
