time,open,high,low,close,volume,ticker
2020-06-18,17.18,17.18,17.18,17.18,0,DTP
2020-06-19,17.18,17.18,17.18,17.18,0,DTP
2020-06-22,17.18,17.18,17.18,17.18,0,DTP
2020-06-23,17.18,17.18,17.18,17.18,0,DTP
2020-06-24,17.18,17.18,17.18,17.18,0,DTP
2020-06-25,17.18,17.18,17.18,17.18,0,DTP
2020-06-26,17.18,17.18,17.18,17.18,0,DTP
2020-06-29,17.18,17.18,17.18,17.18,0,DTP
2020-06-30,17.18,17.18,17.18,17.18,0,DTP
2020-07-01,17.18,17.18,17.18,17.18,0,DTP
2020-07-02,17.18,17.18,17.18,17.18,0,DTP
2020-07-03,17.18,17.18,17.18,17.18,0,DTP
2020-07-06,17.18,17.18,17.18,17.18,0,DTP
2020-07-07,17.18,17.18,17.18,17.18,0,DTP
2020-07-08,17.18,17.18,17.18,17.18,0,DTP
2020-07-09,23.97,24.05,23.9,23.9,6000,DTP
2020-07-10,24.42,25.54,24.42,25.54,1100,DTP
2020-07-13,28.15,28.15,28.15,28.15,100,DTP
2020-07-14,32.34,32.34,32.34,32.34,3500,DTP
2020-07-15,36.59,36.67,36.44,36.44,1815,DTP
2020-07-16,36.67,36.67,36.67,36.67,900,DTP
2020-07-17,36.67,36.67,36.67,36.67,0,DTP
2020-07-20,31.22,31.22,31.22,31.22,100,DTP
2020-07-21,31.22,31.22,31.22,31.22,100,DTP
2020-07-22,31.22,31.22,31.22,31.22,0,DTP
2020-07-23,30.62,30.99,30.62,30.99,200,DTP
2020-07-24,26.89,26.89,26.29,26.51,1600,DTP
2020-07-27,26.66,26.51,26.51,26.51,0,DTP
2020-07-28,26.89,26.89,26.89,26.89,900,DTP
2020-07-29,29.87,29.87,29.87,29.87,100,DTP
2020-07-30,29.87,29.87,29.87,29.87,0,DTP
2020-07-31,29.8,29.8,29.8,29.8,200,DTP
2020-08-03,29.72,29.72,29.72,29.72,300,DTP
2020-08-04,29.72,29.72,29.72,29.72,0,DTP
2020-08-05,29.5,29.5,29.5,29.5,200,DTP
2020-08-06,29.5,29.5,29.5,29.5,0,DTP
2020-08-07,25.39,25.84,25.39,25.84,200,DTP
2020-08-10,25.62,25.62,25.62,25.62,100,DTP
2020-08-11,25.62,25.62,25.62,25.62,0,DTP
2020-08-12,25.62,25.62,25.62,25.62,0,DTP
2020-08-13,25.62,25.62,25.62,25.62,0,DTP
2020-08-14,23.9,24.64,23.9,24.64,200,DTP
2020-08-17,22.26,22.26,22.26,22.26,100,DTP
2020-08-18,22.7,22.7,22.7,22.7,100,DTP
2020-08-19,23.23,23.9,23.23,23.9,200,DTP
2020-08-20,22.55,22.55,22.55,22.55,100,DTP
2020-08-21,22.55,22.55,22.55,22.55,0,DTP
2020-08-24,22.55,22.55,22.55,22.55,0,DTP
2020-08-25,23.0,23.08,23.0,23.08,1400,DTP
2020-08-26,23.3,23.9,23.3,23.9,200,DTP
2020-08-27,20.09,27.11,20.09,22.85,700,DTP
2020-08-28,22.18,26.14,22.18,26.14,900,DTP
2020-08-31,26.14,26.14,26.14,26.14,200,DTP
2020-09-01,26.89,26.89,26.81,26.81,200,DTP
2020-09-03,26.89,26.89,26.81,26.81,200,DTP
2020-09-04,26.89,26.89,26.81,26.89,500,DTP
2020-09-07,24.64,25.02,24.64,24.64,2300,DTP
2020-09-08,24.64,24.64,24.64,24.64,200,DTP
2020-09-09,24.72,24.72,24.72,24.72,100,DTP
2020-09-10,25.02,25.39,24.79,25.39,3700,DTP
2020-09-11,24.87,25.39,24.87,25.39,2000,DTP
2020-09-14,25.47,25.47,25.47,25.47,100,DTP
2020-09-15,25.54,25.54,25.47,25.47,400,DTP
2020-09-16,25.54,25.54,25.47,25.47,900,DTP
2020-09-17,25.39,25.39,25.39,25.39,500,DTP
2020-09-18,25.39,25.39,25.32,25.32,1400,DTP
2020-09-21,25.02,25.32,24.87,25.32,3000,DTP
2020-09-22,25.24,25.39,25.24,25.39,3300,DTP
2020-09-23,25.09,25.09,25.09,25.09,200,DTP
2020-09-24,25.09,25.17,25.09,25.09,700,DTP
2020-09-25,25.09,25.09,25.09,25.09,0,DTP
2020-09-28,25.02,25.02,24.94,24.94,200,DTP
2020-09-29,25.02,24.94,24.94,24.94,0,DTP
2020-09-30,25.02,24.94,24.94,24.94,0,DTP
2020-10-01,24.64,24.64,24.27,24.27,900,DTP
2020-10-02,24.27,24.27,23.9,23.9,400,DTP
2020-10-05,23.9,23.9,23.9,23.9,100,DTP
2020-10-06,23.9,23.9,23.9,23.9,0,DTP
2020-10-07,23.9,23.9,23.9,23.9,0,DTP
2020-10-08,23.9,23.9,23.9,23.9,0,DTP
2020-10-09,23.9,23.9,23.9,23.9,0,DTP
2020-10-12,23.9,23.9,23.9,23.9,0,DTP
2020-10-13,23.9,23.9,23.9,23.9,0,DTP
2020-10-14,23.9,23.9,23.9,23.9,300,DTP
2020-10-15,23.9,23.9,23.9,23.9,0,DTP
2020-10-16,23.9,23.9,23.9,23.9,0,DTP
2020-10-19,23.9,23.9,23.9,23.9,1800,DTP
2020-10-20,24.72,24.72,24.72,24.72,100,DTP
2020-10-21,24.57,24.64,24.57,24.64,300,DTP
2020-10-22,24.64,24.72,24.64,24.72,400,DTP
2020-10-23,23.9,25.77,23.9,25.77,1200,DTP
2020-10-26,25.47,25.77,25.77,25.77,0,DTP
2020-10-27,25.47,25.77,25.77,25.77,0,DTP
2020-10-28,25.47,25.77,25.77,25.77,0,DTP
2020-10-29,25.47,25.77,25.77,25.77,0,DTP
2020-10-30,25.47,25.77,25.77,25.77,0,DTP
2020-11-02,25.47,25.77,25.77,25.77,0,DTP
2020-11-03,25.47,25.77,25.77,25.77,0,DTP
2020-11-04,25.77,25.77,25.77,25.77,1100,DTP
2020-11-05,25.39,25.39,25.39,25.39,500,DTP
2020-11-06,25.39,25.39,25.39,25.39,0,DTP
2020-11-09,25.39,25.39,25.39,25.39,0,DTP
2020-11-10,25.39,25.39,25.39,25.39,100,DTP
2020-11-11,25.77,25.77,25.77,25.77,200,DTP
2020-11-12,25.77,25.77,25.77,25.77,0,DTP
2020-11-13,25.77,25.77,25.77,25.77,0,DTP
2020-11-16,26.14,26.14,26.14,26.14,500,DTP
2020-11-17,25.99,26.14,25.99,26.14,1600,DTP
2020-11-18,26.06,26.14,26.14,26.14,0,DTP
2020-11-19,26.14,26.14,26.14,26.14,100,DTP
2020-11-20,26.14,26.14,26.14,26.14,0,DTP
2020-11-23,26.14,26.14,26.14,26.14,0,DTP
2020-11-24,26.14,26.14,26.14,26.14,200,DTP
2020-11-25,26.14,26.14,24.64,24.64,300,DTP
2020-11-26,25.62,24.64,24.64,24.64,0,DTP
2020-11-27,23.9,23.9,23.9,23.9,300,DTP
2020-11-30,23.9,23.9,23.9,23.9,0,DTP
2020-12-01,23.9,23.9,23.9,23.9,0,DTP
2020-12-02,25.99,25.99,25.39,25.39,700,DTP
2020-12-03,25.77,25.77,25.77,25.77,700,DTP
2020-12-04,26.06,26.14,25.99,26.14,2200,DTP
2020-12-07,26.14,28.75,26.14,28.75,2800,DTP
2020-12-08,29.87,32.34,29.87,32.34,7900,DTP
2020-12-09,29.87,30.62,29.87,30.62,2900,DTP
2020-12-10,32.86,32.86,30.62,30.62,200,DTP
2020-12-11,33.61,33.61,32.86,32.86,4600,DTP
2020-12-14,33.61,33.61,33.61,33.61,600,DTP
2020-12-15,33.61,33.61,33.61,33.61,0,DTP
2020-12-16,29.2,31.37,28.68,31.37,3400,DTP
2020-12-17,33.61,34.35,33.61,34.35,6800,DTP
2020-12-18,34.35,34.35,34.35,34.35,300,DTP
2020-12-21,35.85,35.85,35.85,35.85,100,DTP
2020-12-22,35.85,38.83,35.85,38.83,5000,DTP
2020-12-23,38.83,38.83,37.34,37.34,3300,DTP
2020-12-24,34.35,34.35,32.11,32.11,400,DTP
2020-12-25,37.34,37.34,35.85,35.85,1200,DTP
2020-12-28,33.68,35.85,33.61,33.61,3000,DTP
2020-12-29,32.11,39.21,32.11,39.21,1000,DTP
2020-12-30,35.1,35.92,33.61,35.85,4000,DTP
2020-12-31,33.61,37.34,33.61,37.19,300,DTP
2021-01-04,35.85,36.97,35.85,36.97,2100,DTP
2021-01-05,36.97,36.97,36.59,36.59,800,DTP
2021-01-06,36.97,36.97,36.97,36.97,100,DTP
2021-01-07,37.04,37.19,37.04,37.19,800,DTP
2021-01-08,37.12,37.12,36.22,36.22,200,DTP
2021-01-11,36.67,37.19,36.67,37.19,1500,DTP
2021-01-12,37.19,37.34,37.19,37.34,700,DTP
2021-01-13,36.97,36.97,36.97,36.97,100,DTP
