time,open,high,low,close,volume,ticker
2017-05-19,12.32,12.32,12.32,12.32,10000,DVN
2017-05-22,14.1,14.1,10.53,14.1,100,DVN
2017-05-23,16.14,16.14,16.05,16.14,2729600,DVN
2017-05-24,18.52,18.52,13.76,18.52,490600,DVN
2017-05-25,21.15,21.15,21.07,21.15,490600,DVN
2017-05-26,24.29,24.29,22.93,24.29,4170072,DVN
2017-05-29,27.69,27.69,23.36,24.12,1580735,DVN
2017-05-30,27.69,27.69,22.0,22.76,1694000,DVN
2017-05-31,22.09,23.36,21.32,21.58,849050,DVN
2017-06-01,22.09,22.09,19.11,19.62,1023485,DVN
2017-06-02,19.71,21.75,18.35,19.96,658300,DVN
2017-06-05,19.88,22.09,19.88,21.07,615430,DVN
2017-06-06,21.24,21.24,19.88,20.13,1029930,DVN
2017-06-07,20.22,20.73,20.13,20.22,692700,DVN
2017-06-08,20.22,20.47,20.05,20.13,543860,DVN
2017-06-09,20.13,20.22,19.37,19.45,775813,DVN
2017-06-12,19.54,19.54,18.6,18.6,700297,DVN
2017-06-13,18.69,18.86,17.5,18.09,755860,DVN
2017-06-14,17.84,20.64,17.84,20.39,1356785,DVN
2017-06-15,20.39,21.32,20.13,20.3,975070,DVN
2017-06-16,20.64,20.64,19.37,19.79,1103783,DVN
2017-06-19,19.62,19.96,19.2,19.54,511900,DVN
2017-06-20,19.45,21.07,19.45,20.22,783980,DVN
2017-06-21,20.81,20.98,20.3,20.56,885339,DVN
2017-06-22,20.56,20.56,19.54,19.79,857710,DVN
2017-06-23,19.71,19.71,19.2,19.2,678130,DVN
2017-06-26,19.28,19.37,18.52,18.6,776470,DVN
2017-06-27,18.86,18.86,18.43,18.6,406000,DVN
2017-06-28,18.69,19.28,18.43,18.86,290010,DVN
2017-06-29,18.86,19.28,18.69,18.69,197390,DVN
2017-06-30,18.86,20.81,18.69,19.03,704280,DVN
2017-07-03,19.79,19.79,18.69,18.86,687160,DVN
2017-07-04,18.86,18.86,18.09,18.52,769800,DVN
2017-07-05,18.43,18.69,18.26,18.43,165650,DVN
2017-07-06,18.26,18.43,18.26,18.35,269530,DVN
2017-07-07,18.35,18.77,18.26,18.43,395750,DVN
2017-07-10,18.26,18.52,17.92,18.18,271210,DVN
2017-07-11,17.84,18.09,16.99,17.41,528731,DVN
2017-07-12,17.41,17.5,16.99,17.16,269180,DVN
2017-07-13,17.16,18.01,17.16,17.58,146500,DVN
2017-07-14,17.67,17.67,17.33,17.41,176650,DVN
2017-07-17,17.33,17.33,16.65,16.82,405200,DVN
2017-07-18,16.82,16.82,15.88,15.97,400923,DVN
2017-07-19,15.8,16.05,15.71,15.88,444900,DVN
2017-07-20,15.88,15.88,14.44,15.03,599660,DVN
2017-07-21,15.03,16.31,15.03,15.8,219300,DVN
2017-07-24,15.63,15.71,15.37,15.54,125790,DVN
2017-07-25,15.63,15.63,15.12,15.46,144200,DVN
2017-07-26,15.37,15.54,15.2,15.29,276520,DVN
2017-07-27,15.54,16.14,15.29,15.54,128809,DVN
2017-07-28,15.63,15.63,15.29,15.29,200080,DVN
2017-07-31,15.46,15.46,14.44,14.44,1122139,DVN
2017-08-01,14.53,14.53,13.76,13.93,1047940,DVN
2017-08-02,14.02,15.29,13.85,14.78,557618,DVN
2017-08-03,14.95,15.63,14.87,15.37,498380,DVN
2017-08-04,15.29,15.54,15.03,15.2,323301,DVN
2017-08-07,15.2,15.2,14.7,14.87,313710,DVN
2017-08-08,14.44,15.03,14.44,14.7,172735,DVN
2017-08-09,14.61,14.78,14.36,14.53,370270,DVN
2017-08-10,14.61,14.78,14.44,14.7,182410,DVN
2017-08-11,14.7,14.78,14.53,14.61,130550,DVN
2017-08-14,14.44,14.61,14.19,14.19,878410,DVN
2017-08-15,14.44,14.44,13.93,14.02,674504,DVN
2017-08-16,14.27,14.61,14.19,14.19,431920,DVN
2017-08-17,14.36,14.36,13.93,13.93,333706,DVN
2017-08-18,13.93,14.1,13.93,13.93,253913,DVN
2017-08-21,14.02,14.19,13.93,14.1,135045,DVN
2017-08-22,14.19,15.29,14.19,14.61,1150450,DVN
2017-08-23,14.78,14.78,14.19,14.44,360330,DVN
2017-08-24,14.27,14.44,14.19,14.36,153919,DVN
2017-08-25,14.36,14.36,14.1,14.1,310297,DVN
2017-08-28,14.19,14.36,14.02,14.19,261100,DVN
2017-08-29,14.19,14.27,14.1,14.1,242600,DVN
2017-08-30,14.1,14.19,14.02,14.1,179600,DVN
2017-08-31,14.1,14.19,14.02,14.1,194910,DVN
2017-09-01,14.02,14.1,13.93,14.02,88900,DVN
2017-09-05,14.1,14.1,13.93,14.02,130110,DVN
2017-09-06,14.02,14.02,13.85,14.02,204470,DVN
2017-09-07,13.93,14.02,13.85,14.02,134800,DVN
2017-09-08,13.93,14.02,13.93,13.93,135050,DVN
2017-09-11,13.93,13.93,13.76,13.85,257300,DVN
2017-09-12,13.85,13.93,13.76,13.76,157931,DVN
2017-09-13,13.85,13.85,13.59,13.59,243500,DVN
2017-09-14,13.59,13.76,13.51,13.68,242910,DVN
2017-09-15,13.68,14.19,13.59,14.02,319100,DVN
2017-09-18,14.02,14.02,13.68,13.85,118740,DVN
2017-09-19,13.85,13.93,13.76,13.85,89830,DVN
2017-09-20,13.85,13.85,13.76,13.76,117700,DVN
2017-09-21,13.76,13.85,13.68,13.76,127300,DVN
2017-09-22,13.76,13.76,13.59,13.59,142360,DVN
2017-09-25,13.68,13.93,13.68,13.85,216943,DVN
2017-09-26,13.85,13.93,13.68,13.68,161700,DVN
2017-09-27,13.76,13.85,13.68,13.68,112900,DVN
2017-09-28,13.76,13.76,13.59,13.76,199820,DVN
2017-09-29,13.76,13.76,13.51,13.51,105240,DVN
2017-10-02,13.59,13.59,13.0,13.17,464390,DVN
2017-10-03,13.25,13.25,12.66,12.74,405800,DVN
2017-10-04,12.83,12.83,12.57,12.66,346800,DVN
2017-10-05,12.66,13.08,12.66,12.74,114510,DVN
2017-10-06,12.91,13.08,12.74,12.83,95200,DVN
2017-10-09,13.0,13.0,12.66,12.83,88100,DVN
2017-10-10,12.74,12.74,12.57,12.66,141520,DVN
2017-10-11,12.66,12.66,12.4,12.49,206510,DVN
2017-10-12,12.49,12.57,12.4,12.49,221100,DVN
2017-10-13,12.49,12.57,12.4,12.4,221300,DVN
2017-10-16,12.49,12.49,12.32,12.32,214320,DVN
2017-10-17,12.32,13.17,12.32,13.0,436110,DVN
2017-10-18,13.08,14.02,13.08,13.93,1002569,DVN
2017-10-19,13.93,14.61,13.85,14.02,632000,DVN
2017-10-20,14.02,14.02,13.51,13.51,402330,DVN
2017-10-23,13.51,13.59,13.17,13.59,505919,DVN
2017-10-24,13.42,13.59,13.17,13.59,288510,DVN
2017-10-25,13.59,14.36,13.59,14.1,572390,DVN
2017-10-26,14.02,14.36,13.68,13.85,405100,DVN
2017-10-27,13.85,14.19,13.76,14.1,379820,DVN
2017-10-30,14.19,14.87,14.19,14.61,1472219,DVN
2017-10-31,14.61,14.87,14.1,14.27,502760,DVN
2017-11-01,14.27,14.44,13.93,13.93,229200,DVN
2017-11-02,13.93,13.93,13.42,13.42,576830,DVN
2017-11-03,13.42,13.42,12.91,13.25,448070,DVN
2017-11-06,13.08,13.76,13.08,13.59,300400,DVN
2017-11-07,13.59,14.44,13.51,13.68,184355,DVN
2017-11-08,13.51,13.68,13.42,13.51,118099,DVN
2017-11-09,13.51,13.93,13.51,13.76,190410,DVN
2017-11-10,13.85,13.85,13.51,13.68,178725,DVN
