time,open,high,low,close,volume,ticker
2009-06-08,3.19,3.19,3.19,3.19,7500,DXP
2009-06-09,3.41,3.41,3.41,3.41,16600,DXP
2009-06-10,3.65,3.65,3.65,3.65,36000,DXP
2009-06-11,3.9,3.9,3.9,3.9,17200,DXP
2009-06-15,4.45,4.45,4.16,4.41,188500,DXP
2009-06-16,4.03,4.03,4.02,4.02,69400,DXP
2009-06-17,3.75,4.24,3.75,4.02,85500,DXP
2009-06-18,4.08,4.08,3.93,3.99,107700,DXP
2009-06-19,4.12,4.28,3.78,3.9,31700,DXP
2009-06-22,3.8,3.91,3.54,3.54,48400,DXP
2009-06-23,3.35,3.36,3.35,3.35,83100,DXP
2009-06-24,3.13,3.58,3.13,3.58,70700,DXP
2009-06-25,3.57,3.68,3.33,3.36,31200,DXP
2009-06-26,3.71,3.71,3.48,3.53,36400,DXP
2009-06-29,3.8,3.8,3.56,3.68,53000,DXP
2009-06-30,3.86,3.95,3.54,3.65,28500,DXP
2009-07-01,3.46,3.49,3.45,3.45,48800,DXP
2009-07-02,3.32,3.6,3.32,3.53,34900,DXP
2009-07-03,3.28,3.49,3.24,3.48,73700,DXP
2009-07-06,3.53,3.65,3.53,3.65,18900,DXP
2009-07-07,3.63,3.7,3.6,3.61,17700,DXP
2009-07-08,3.57,3.63,3.57,3.62,20500,DXP
2009-07-09,3.61,3.61,3.58,3.6,19300,DXP
2009-07-10,3.6,3.6,3.49,3.58,8200,DXP
2009-07-13,3.44,3.49,3.37,3.39,11800,DXP
2009-07-14,3.4,3.4,3.28,3.32,12800,DXP
2009-07-15,3.36,3.4,3.32,3.39,24200,DXP
2009-07-16,3.49,3.53,3.45,3.49,3600,DXP
2009-07-17,3.44,3.57,3.44,3.45,10900,DXP
2009-07-20,3.36,3.36,3.26,3.31,21300,DXP
2009-07-21,3.29,3.33,3.29,3.32,6200,DXP
2009-07-22,3.55,3.55,3.49,3.55,81700,DXP
2009-07-23,3.7,3.78,3.57,3.78,66700,DXP
2009-07-24,3.96,3.96,3.96,3.96,53200,DXP
2009-07-27,4.23,4.23,3.95,4.1,60000,DXP
2009-07-28,4.2,4.37,3.86,3.86,47500,DXP
2009-07-29,3.78,3.91,3.71,3.71,36600,DXP
2009-07-30,3.7,3.7,3.61,3.61,36600,DXP
2009-07-31,3.78,3.81,3.74,3.8,28100,DXP
2009-08-03,3.86,3.91,3.78,3.86,49200,DXP
2009-08-04,3.95,3.95,3.89,3.92,23900,DXP
2009-08-05,3.95,3.95,3.89,3.93,44800,DXP
2009-08-06,3.8,3.97,3.8,3.93,31900,DXP
2009-08-07,3.91,3.92,3.88,3.88,10100,DXP
2009-08-10,3.95,4.03,3.95,4.03,30200,DXP
2009-08-11,3.99,4.05,3.99,4.03,42700,DXP
2009-08-12,4.04,4.08,4.04,4.07,48900,DXP
2009-08-13,4.12,4.2,4.12,4.15,45500,DXP
2009-08-14,4.16,4.16,4.07,4.11,40700,DXP
2009-08-17,4.12,4.18,4.07,4.12,44300,DXP
2009-08-18,4.2,4.41,4.12,4.41,98500,DXP
2009-08-19,4.55,4.55,4.55,4.55,18400,DXP
2009-08-20,4.86,4.86,4.86,4.86,10300,DXP
2009-08-21,5.2,5.2,4.91,5.0,219900,DXP
2009-08-24,5.29,5.29,4.92,4.97,116100,DXP
2009-08-25,4.99,5.04,4.98,5.01,63900,DXP
2009-08-26,5.01,5.01,5.01,5.01,0,DXP
