time,open,high,low,close,volume,ticker
2009-10-27,9.12,9.74,9.12,9.45,14130980,EIB
2009-10-28,9.68,9.71,9.45,9.55,6561020,EIB
2009-10-29,9.29,9.45,9.09,9.19,3970860,EIB
2009-10-30,9.29,9.32,9.12,9.19,3723990,EIB
2009-11-02,8.96,9.02,8.73,8.93,5989710,EIB
2009-11-03,8.83,8.96,8.6,8.63,3297810,EIB
2009-11-04,8.8,8.83,8.57,8.63,2791880,EIB
2009-11-05,8.8,8.96,8.67,8.89,2980370,EIB
2009-11-06,9.09,9.09,8.8,8.8,3057730,EIB
2009-11-09,8.63,8.76,8.54,8.6,3593740,EIB
2009-11-10,8.63,8.7,8.41,8.44,2749910,EIB
2009-11-11,8.47,8.63,8.41,8.63,2148090,EIB
2009-11-12,8.63,8.73,8.6,8.63,1890050,EIB
2009-11-13,8.57,8.63,8.54,8.63,1842920,EIB
2009-11-16,8.54,8.63,8.44,8.44,1965290,EIB
2009-11-17,8.44,8.44,8.24,8.24,2059480,EIB
2009-11-18,8.15,8.18,8.08,8.15,2541330,EIB
2009-11-19,8.15,8.34,8.15,8.28,1896910,EIB
2009-11-20,8.24,8.28,8.15,8.15,1462170,EIB
2009-11-23,8.08,8.11,7.92,7.92,1601490,EIB
2009-11-24,7.82,7.92,7.62,7.62,2915180,EIB
2009-11-25,7.49,7.49,7.27,7.27,4320240,EIB
2009-11-26,7.0,7.14,6.91,6.91,4072270,EIB
2009-11-27,6.58,7.23,6.58,7.23,2414700,EIB
2009-11-30,7.59,7.59,7.59,7.59,960250,EIB
2009-12-01,7.95,7.95,7.95,7.95,509260,EIB
2009-12-02,7.66,8.31,7.66,7.92,9790490,EIB
2009-12-03,7.98,8.15,7.82,8.11,4989260,EIB
2009-12-04,8.21,8.21,8.05,8.11,1836220,EIB
2009-12-07,8.11,8.11,7.98,8.01,1524840,EIB
2009-12-08,7.88,7.95,7.72,7.75,2401440,EIB
2009-12-09,7.49,7.56,7.4,7.46,3143570,EIB
2009-12-10,7.59,7.59,7.36,7.43,2183660,EIB
2009-12-11,7.43,7.46,7.2,7.2,2898380,EIB
2009-12-14,7.56,7.56,7.43,7.56,4458950,EIB
2009-12-15,7.75,7.85,7.59,7.75,2988620,EIB
2009-12-16,7.75,7.75,7.43,7.46,2577780,EIB
2009-12-17,7.43,7.69,7.3,7.66,2894350,EIB
2009-12-18,7.69,7.92,7.69,7.75,3820150,EIB
2009-12-21,7.85,7.95,7.75,7.95,3973490,EIB
2009-12-22,7.92,7.95,7.75,7.82,3874370,EIB
2009-12-23,7.82,7.88,7.72,7.79,3508950,EIB
2009-12-24,7.75,7.88,7.72,7.85,4181060,EIB
2009-12-25,8.01,8.08,7.88,8.05,3364470,EIB
2009-12-28,7.85,8.01,7.85,7.92,2973170,EIB
2009-12-29,7.82,7.92,7.79,7.79,2220070,EIB
2009-12-30,7.82,7.92,7.75,7.79,1656460,EIB
2009-12-31,7.88,7.92,7.79,7.82,6441730,EIB
2010-01-04,7.82,8.21,7.82,8.21,3521350,EIB
2010-01-05,8.57,8.6,8.44,8.5,4561690,EIB
2010-01-06,8.47,8.47,8.28,8.31,2756100,EIB
2010-01-07,8.31,8.34,8.15,8.15,2586670,EIB
2010-01-08,8.37,8.44,8.08,8.08,3831940,EIB
2010-01-11,8.08,8.15,7.98,8.05,1292100,EIB
2010-01-12,7.98,8.08,7.69,7.69,1951010,EIB
2010-01-13,7.69,7.85,7.62,7.79,2102770,EIB
2010-01-14,7.82,7.85,7.72,7.75,1124370,EIB
2010-01-15,7.75,7.82,7.69,7.75,1396510,EIB
2010-01-18,7.75,7.75,7.59,7.59,1991690,EIB
2010-01-19,7.69,7.79,7.59,7.69,1376290,EIB
