time,open,high,low,close,volume,ticker
2010-10-13,13.77,13.77,13.02,13.77,366930,ELC
2010-10-14,13.77,14.02,13.64,13.77,102890,ELC
2010-10-15,13.14,13.77,13.14,13.14,79650,ELC
2010-10-18,13.14,13.27,12.64,12.89,67420,ELC
2010-10-19,13.02,13.39,12.52,13.02,64120,ELC
2010-10-20,13.02,13.02,12.42,13.02,11000,ELC
2010-10-21,13.02,13.02,12.52,13.02,20500,ELC
2010-10-22,13.02,13.02,12.89,13.02,26000,ELC
2010-10-25,12.52,13.02,12.52,13.02,26200,ELC
2010-10-26,13.14,13.39,12.89,13.14,17310,ELC
2010-10-27,13.14,13.39,12.52,13.14,20750,ELC
2010-10-28,12.52,12.89,12.49,12.52,16160,ELC
2010-10-29,12.77,12.77,12.02,12.77,18000,ELC
2010-11-01,12.89,13.02,12.77,12.89,710,ELC
2010-11-02,12.39,13.02,12.27,12.39,5200,ELC
2010-11-03,11.79,12.77,11.79,12.52,6680,ELC
2010-11-04,11.9,12.75,11.9,12.75,9630,ELC
2010-11-05,12.75,12.75,12.75,12.75,3000,ELC
2010-11-08,12.75,12.75,12.36,12.75,29730,ELC
2010-11-09,12.7,12.75,12.11,12.7,11060,ELC
2010-11-10,12.7,12.7,12.08,12.67,3500,ELC
2010-11-11,12.13,12.62,12.08,12.62,2310,ELC
2010-11-12,12.47,12.47,12.01,12.47,6310,ELC
2010-11-15,12.47,12.47,12.47,12.47,1000,ELC
2010-11-16,11.9,12.44,11.9,11.9,3740,ELC
2010-11-17,11.9,12.49,11.9,12.24,14590,ELC
2010-11-18,12.24,12.49,12.24,12.24,1100,ELC
2010-11-19,12.24,12.24,12.24,12.24,2100,ELC
2010-11-22,12.11,12.11,12.11,12.11,2000,ELC
2010-11-23,12.19,12.24,12.03,12.19,3600,ELC
2010-11-24,12.19,12.19,12.19,12.19,200,ELC
2010-11-25,12.19,12.21,12.16,12.19,3280,ELC
2010-11-26,12.49,12.49,11.6,12.19,6420,ELC
2010-11-29,12.03,12.08,11.6,12.03,4620,ELC
2010-11-30,12.47,12.47,11.98,12.03,12820,ELC
2010-12-01,11.98,12.03,11.47,11.98,14600,ELC
2010-12-02,11.98,11.98,11.73,11.98,26600,ELC
2010-12-03,11.98,12.57,11.98,12.49,36300,ELC
2010-12-06,12.75,12.75,11.88,12.62,12700,ELC
2010-12-07,12.41,12.57,12.01,12.41,46600,ELC
2010-12-08,12.11,12.11,12.06,12.11,18690,ELC
2010-12-09,12.52,12.57,11.52,12.52,6530,ELC
2010-12-10,12.49,12.59,11.98,12.49,70010,ELC
2010-12-13,12.49,12.52,12.49,12.49,96000,ELC
2010-12-14,12.49,12.49,11.88,12.49,49060,ELC
2010-12-15,12.49,12.49,11.98,11.98,99100,ELC
2010-12-16,11.98,12.49,11.39,12.49,237200,ELC
2010-12-17,12.52,12.52,11.98,12.52,134500,ELC
2010-12-20,12.49,12.75,12.19,12.49,109500,ELC
2010-12-21,12.44,12.49,12.19,12.44,230970,ELC
2010-12-22,12.34,12.49,12.13,12.34,152630,ELC
2010-12-23,11.98,12.7,11.78,11.98,150740,ELC
2010-12-24,11.52,12.01,11.52,11.96,92000,ELC
2010-12-27,11.96,12.34,11.93,12.08,93000,ELC
2010-12-28,12.08,12.19,11.5,11.57,145870,ELC
2010-12-29,11.24,11.73,11.09,11.73,129100,ELC
2010-12-30,11.73,11.47,11.14,11.17,162090,ELC
2010-12-31,11.17,11.7,11.19,11.7,61080,ELC
2011-01-04,11.7,12.26,11.68,12.26,74550,ELC
2011-01-05,12.26,12.47,12.24,12.24,56050,ELC
2011-01-06,12.24,12.24,11.62,11.62,108300,ELC
2011-01-07,11.62,11.62,11.06,11.11,113030,ELC
2011-01-10,10.91,11.22,10.86,11.14,48200,ELC
2011-01-11,11.14,11.34,10.76,11.22,58900,ELC
2011-01-12,10.96,11.34,10.96,11.14,65330,ELC
2011-01-13,11.14,11.47,11.14,11.47,55380,ELC
2011-01-14,11.47,11.6,11.34,11.55,43120,ELC
