time,open,high,low,close,volume,ticker
2010-12-17,7.65,8.35,7.65,7.83,77600,EVE
2010-12-20,8.21,8.21,7.83,8.21,39180,EVE
2010-12-21,8.61,8.61,8.09,8.09,21000,EVE
2010-12-22,8.09,8.42,8.07,8.09,18310,EVE
2010-12-23,7.91,8.07,7.88,7.91,40070,EVE
2010-12-24,8.03,8.03,7.96,8.03,21130,EVE
2010-12-27,8.03,8.03,7.98,8.03,11930,EVE
2010-12-28,7.63,7.83,7.63,7.63,15430,EVE
2010-12-29,7.63,7.65,7.27,7.65,20600,EVE
2010-12-30,7.65,7.98,7.65,7.83,12020,EVE
2010-12-31,8.17,8.17,7.83,7.83,510,EVE
2011-01-04,7.83,7.65,7.65,7.65,150,EVE
2011-01-05,7.65,7.48,7.48,7.48,3000,EVE
2011-01-06,7.16,7.48,7.16,7.39,15510,EVE
2011-01-07,7.39,7.74,7.56,7.56,1800,EVE
2011-01-10,7.81,7.83,7.2,7.2,64850,EVE
2011-01-11,7.39,7.55,7.39,7.55,92610,EVE
2011-01-12,7.56,7.83,7.56,7.63,89510,EVE
2011-01-13,7.65,7.74,7.62,7.74,96700,EVE
2011-01-14,7.79,7.79,7.72,7.76,104310,EVE
2011-01-17,7.76,7.91,7.74,7.76,101910,EVE
2011-01-18,7.83,7.89,7.76,7.88,89600,EVE
2011-01-19,7.86,7.86,7.79,7.79,75430,EVE
2011-01-20,7.46,7.84,7.46,7.79,92530,EVE
2011-01-21,7.86,7.86,7.81,7.86,55100,EVE
2011-01-24,7.91,7.91,7.76,7.83,74000,EVE
2011-01-25,7.83,8.21,7.67,7.74,68000,EVE
2011-01-26,7.74,7.83,7.56,7.69,82050,EVE
2011-01-27,7.69,7.88,7.56,7.84,135810,EVE
2011-01-28,7.83,8.0,7.74,7.93,138020,EVE
2011-02-08,7.93,7.95,7.83,7.95,28790,EVE
2011-02-09,7.62,7.98,7.62,7.96,67910,EVE
2011-02-10,7.65,7.95,7.62,7.95,41010,EVE
2011-02-11,7.67,7.95,7.67,7.95,89710,EVE
2011-02-14,8.0,8.0,7.74,7.74,70900,EVE
2011-02-15,7.76,7.83,7.56,7.76,64930,EVE
2011-02-16,7.96,7.98,7.74,7.79,71480,EVE
2011-02-17,7.83,7.83,7.56,7.7,48400,EVE
2011-02-18,7.7,7.77,7.69,7.69,41150,EVE
2011-02-21,7.69,7.74,7.3,7.3,40060,EVE
2011-02-22,6.96,7.04,6.94,6.94,3080,EVE
2011-02-23,7.13,7.18,7.13,7.18,1000,EVE
2011-02-24,7.36,7.36,7.36,7.36,500,EVE
2011-02-25,7.51,7.51,7.51,7.51,500,EVE
2011-02-28,7.51,7.51,7.51,7.51,0,EVE
2011-03-01,7.51,7.51,7.51,7.51,0,EVE
2011-03-02,7.51,7.51,7.51,7.51,0,EVE
2011-03-03,7.51,7.51,7.51,7.51,0,EVE
2011-03-04,7.51,7.51,7.51,7.51,10,EVE
2011-03-07,7.15,7.15,7.15,7.15,2000,EVE
2011-03-08,7.15,7.15,6.8,7.15,1030,EVE
2011-03-09,7.15,7.15,7.15,7.15,0,EVE
2011-03-10,7.13,7.49,7.13,7.49,910,EVE
2011-03-11,7.53,7.53,7.53,7.53,4000,EVE
2011-03-14,7.18,7.18,7.16,7.16,110,EVE
2011-03-15,7.18,7.18,6.83,6.83,40,EVE
2011-03-16,6.52,7.16,6.5,6.5,1230,EVE
2011-03-17,6.82,6.82,6.5,6.5,1020,EVE
2011-03-18,6.82,6.82,6.82,6.82,1520,EVE
2011-03-21,7.11,7.11,7.11,7.11,4810,EVE
2011-03-22,6.76,6.76,6.76,6.76,1500,EVE
2011-03-23,6.76,6.76,6.76,6.76,0,EVE
2011-03-24,6.76,6.76,6.76,6.76,0,EVE
2011-03-25,6.96,6.96,6.96,6.96,10,EVE
2011-03-28,7.13,7.13,7.13,7.13,4000,EVE
2011-03-29,7.13,7.13,7.13,7.13,100,EVE
2011-03-30,7.41,7.41,7.41,7.41,90,EVE
2011-03-31,7.41,7.41,7.41,7.41,0,EVE
2011-04-01,7.41,7.41,7.41,7.41,0,EVE
2011-04-04,7.13,7.13,7.13,7.13,1100,EVE
2011-04-05,6.96,6.96,6.96,6.96,150,EVE
2011-04-06,6.78,6.96,6.78,6.96,2750,EVE
2011-04-07,6.96,6.96,6.96,6.96,50,EVE
2011-04-08,6.96,6.96,6.96,6.96,100,EVE
2011-04-13,6.96,6.96,6.96,6.96,0,EVE
2011-04-14,7.13,7.13,7.13,7.13,10,EVE
2011-04-15,7.13,7.13,7.13,7.13,0,EVE
2011-04-18,6.96,7.13,6.96,6.96,1500,EVE
2011-04-19,6.61,6.61,6.61,6.61,900,EVE
2011-04-20,6.92,6.92,6.92,6.92,100,EVE
2011-04-21,6.59,6.59,6.59,6.59,10,EVE
2011-04-22,6.89,6.89,6.89,6.89,10,EVE
2011-04-25,6.61,6.96,6.61,6.96,500,EVE
2011-04-26,6.96,6.96,6.96,6.96,0,EVE
2011-04-27,6.96,7.13,6.96,7.13,100,EVE
2011-04-28,7.13,7.13,7.13,7.13,0,EVE
2011-04-29,7.3,7.3,7.3,7.3,10,EVE
2011-05-04,6.94,7.3,6.94,7.3,400,EVE
2011-05-05,7.3,7.3,7.3,7.3,0,EVE
2011-05-06,7.3,7.3,7.3,7.3,0,EVE
2011-05-09,7.13,7.13,7.13,7.13,2400,EVE
2011-05-10,7.13,7.13,7.13,7.13,50,EVE
2011-05-11,7.3,7.3,7.13,7.13,5610,EVE
2011-05-12,7.11,7.11,7.11,7.11,160,EVE
2011-05-13,6.96,7.11,6.96,7.11,2700,EVE
2011-05-16,6.78,6.78,6.78,6.78,2100,EVE
2011-05-17,6.61,6.61,6.61,6.61,1000,EVE
2011-05-18,6.78,6.78,6.61,6.61,8020,EVE
2011-05-19,6.94,6.94,6.94,6.94,20,EVE
2011-05-20,6.94,6.94,6.94,6.94,0,EVE
2011-05-23,7.14,7.28,7.14,7.14,6380,EVE
2011-05-24,6.78,6.78,6.78,6.78,100,EVE
2011-05-25,6.45,6.45,6.45,6.45,10,EVE
2011-05-26,6.15,6.29,6.15,6.29,70,EVE
2011-05-27,5.99,6.29,5.99,6.29,3280,EVE
2011-05-30,6.04,6.04,6.04,6.04,5550,EVE
2011-05-31,6.04,6.32,5.77,6.32,4370,EVE
2011-06-01,6.45,6.45,6.45,6.45,10,EVE
2011-06-02,6.45,6.45,6.45,6.45,30,EVE
2011-06-03,6.45,6.45,6.45,6.45,0,EVE
2011-06-06,6.56,6.56,6.56,6.56,20,EVE
2011-06-07,6.32,6.32,6.26,6.32,6430,EVE
2011-06-08,6.26,6.45,6.26,6.45,7560,EVE
2011-06-09,6.45,6.59,6.45,6.59,19100,EVE
2011-06-10,6.92,6.92,6.92,6.92,9880,EVE
2011-06-13,7.25,7.25,7.25,7.25,26330,EVE
2011-06-14,7.61,7.61,7.61,7.61,18060,EVE
2011-06-15,7.61,7.96,7.61,7.96,29000,EVE
2011-06-16,8.1,8.24,8.1,8.24,6010,EVE
2011-06-17,8.24,8.24,7.96,7.96,32340,EVE
2011-06-20,7.96,7.96,7.69,7.96,30600,EVE
2011-06-21,7.96,8.1,7.96,8.1,21200,EVE
2011-06-22,8.05,8.24,8.02,8.24,22230,EVE
2011-06-23,8.24,8.24,8.21,8.24,15470,EVE
2011-06-24,8.24,8.24,8.24,8.24,19430,EVE
2011-06-27,8.1,8.1,8.1,8.1,1300,EVE
