time,open,high,low,close,volume,ticker
2018-08-07,6.22,6.47,4.97,5.41,465100,EVF
2018-08-08,5.41,6.53,5.41,5.91,452721,EVF
2018-08-09,6.16,6.28,5.35,6.16,256811,EVF
2018-08-10,5.78,6.16,5.41,5.47,213435,EVF
2018-08-13,5.91,6.16,5.29,6.16,608321,EVF
2018-08-14,5.97,6.03,5.35,5.6,215585,EVF
2018-08-15,5.84,5.91,5.35,5.53,310054,EVF
2018-08-16,5.6,5.84,5.47,5.6,254405,EVF
2018-08-17,5.6,5.84,5.47,5.66,232938,EVF
2018-08-20,5.72,5.78,5.53,5.53,312731,EVF
2018-08-21,5.72,5.78,5.35,5.53,286640,EVF
2018-08-22,5.47,5.66,5.29,5.47,414933,EVF
2018-08-23,5.6,5.72,5.41,5.47,170328,EVF
2018-08-24,5.6,6.47,5.6,5.72,680649,EVF
2018-08-27,5.72,6.34,5.6,5.6,403722,EVF
2018-08-28,5.84,5.97,5.47,5.6,280578,EVF
2018-08-29,5.53,5.6,5.47,5.47,68360,EVF
2018-08-30,5.47,5.6,5.41,5.6,92124,EVF
2018-08-31,5.41,5.72,5.41,5.47,181696,EVF
2018-09-04,5.47,5.47,5.29,5.47,60537,EVF
2018-09-05,5.47,5.53,5.16,5.35,168869,EVF
2018-09-06,5.1,5.41,5.1,5.22,185740,EVF
2018-09-07,5.29,5.29,5.04,5.16,164266,EVF
2018-09-10,5.16,5.16,4.91,4.97,185593,EVF
2018-09-11,4.91,5.41,4.66,5.41,370275,EVF
2018-09-12,5.04,5.22,4.91,4.97,176225,EVF
2018-09-13,5.04,5.1,4.97,5.04,198076,EVF
2018-09-14,5.1,5.35,4.97,5.16,181152,EVF
2018-09-17,5.29,5.29,5.04,5.1,151610,EVF
2018-09-18,5.1,5.1,4.97,5.04,134994,EVF
2018-09-19,4.97,5.04,4.91,4.97,196527,EVF
2018-09-20,4.97,4.97,4.91,4.97,193494,EVF
2018-09-21,5.04,5.41,4.97,5.16,360098,EVF
2018-09-24,5.29,5.6,5.1,5.16,248609,EVF
2018-09-25,5.29,5.97,5.29,5.53,493247,EVF
2018-09-26,5.78,5.91,5.41,5.6,435407,EVF
2018-09-27,5.84,6.22,5.6,5.84,728675,EVF
2018-09-28,5.91,6.22,5.78,5.91,804080,EVF
2018-10-01,5.91,5.91,5.47,5.47,40106,EVF
2018-10-02,5.35,5.47,4.97,5.35,25267,EVF
2018-10-03,5.35,5.35,5.22,5.22,29002,EVF
2018-10-04,5.29,5.41,5.29,5.29,43844,EVF
2018-10-05,5.35,5.47,5.29,5.29,91532,EVF
2018-10-08,5.35,5.41,5.29,5.35,38167,EVF
2018-10-09,5.29,5.29,5.16,5.22,50331,EVF
2018-10-10,5.22,5.22,5.04,5.04,39090,EVF
2018-10-11,5.04,5.04,4.85,4.85,77606,EVF
2018-10-12,4.91,4.91,4.73,4.91,45531,EVF
2018-10-15,4.91,4.97,4.85,4.85,20080,EVF
2018-10-16,4.85,4.97,4.79,4.97,10972,EVF
2018-10-17,4.97,4.97,4.79,4.91,19577,EVF
2018-10-18,4.97,4.97,4.73,4.73,33983,EVF
2018-10-19,4.66,4.73,4.6,4.6,13602,EVF
2018-10-22,4.85,4.85,4.66,4.66,14386,EVF
2018-10-23,4.54,4.73,4.54,4.73,29305,EVF
2018-10-24,4.6,4.6,4.54,4.54,23053,EVF
2018-10-25,4.23,4.54,4.23,4.54,8221,EVF
2018-10-26,4.17,4.41,4.17,4.29,15270,EVF
2018-10-29,4.29,4.29,4.1,4.17,24790,EVF
2018-10-30,4.04,4.23,4.04,4.23,25566,EVF
2018-10-31,4.23,4.29,3.86,4.29,45128,EVF
