time,open,high,low,close,volume,ticker
2018-12-10,76.42,76.42,70.96,76.42,27500,FOC
2018-12-11,87.53,87.53,87.53,87.53,15251,FOC
2018-12-12,89.32,94.28,87.33,87.33,2353,FOC
2018-12-13,78.9,80.88,77.9,78.4,11384,FOC
2018-12-14,78.25,78.25,68.72,70.11,7892,FOC
2018-12-17,69.47,70.11,68.38,68.38,5749,FOC
2018-12-18,70.31,70.46,69.47,69.47,560,FOC
2018-12-19,70.02,71.9,68.77,71.9,2000,FOC
2018-12-20,74.43,74.43,71.95,71.95,200,FOC
2018-12-21,69.77,69.77,69.47,69.52,2705,FOC
2018-12-24,69.47,69.97,69.47,69.47,1835,FOC
2018-12-25,69.47,69.47,67.98,69.47,3600,FOC
2018-12-26,79.59,79.59,69.22,69.47,710,FOC
2018-12-27,70.96,70.96,70.96,70.96,100,FOC
2018-12-28,68.13,68.13,68.13,68.13,200,FOC
2019-01-02,68.48,68.48,68.48,68.48,710,FOC
2019-01-03,68.48,68.48,68.48,68.48,0,FOC
2019-01-04,68.48,68.48,68.48,68.48,110,FOC
2019-01-07,68.97,69.47,68.72,69.47,943,FOC
2019-01-08,68.97,69.02,68.97,68.97,2703,FOC
2019-01-09,69.47,69.47,68.97,69.47,2000,FOC
2019-01-10,69.47,69.47,69.27,69.47,816,FOC
2019-01-11,74.38,74.38,72.94,72.94,2837,FOC
2019-01-14,71.87,76.9,70.33,70.33,800,FOC
2019-01-15,74.13,74.13,73.92,73.92,800,FOC
2019-01-16,76.44,76.44,76.44,76.44,328,FOC
2019-01-17,65.81,73.82,65.81,73.82,958,FOC
2019-01-18,74.18,74.18,72.33,72.33,500,FOC
2019-01-21,71.87,71.87,71.87,71.87,140,FOC
2019-01-22,69.3,69.3,69.25,69.25,605,FOC
2019-01-23,72.23,72.23,66.74,67.51,628,FOC
2019-01-24,68.28,68.28,67.81,67.81,1500,FOC
2019-01-25,69.3,69.3,69.3,69.3,800,FOC
