time,open,high,low,close,volume,ticker
2023-01-06,17.23,17.23,7.38,7.38,307500,GPC
2023-01-09,6.62,7.62,6.54,6.92,24000,GPC
2023-01-10,7.69,7.77,7.69,7.77,325400,GPC
2023-01-11,8.62,8.92,8.62,8.92,117100,GPC
2023-01-12,10.0,10.23,7.85,8.77,205600,GPC
2023-01-13,9.08,9.15,7.85,7.85,151308,GPC
2023-01-16,7.69,7.69,6.85,7.31,75120,GPC
2023-01-17,7.54,7.69,7.23,7.54,51147,GPC
2023-01-18,7.54,7.62,7.15,7.54,25600,GPC
2023-01-19,7.38,7.54,6.92,7.46,58310,GPC
2023-01-27,7.46,7.46,7.08,7.31,21320,GPC
2023-01-30,6.92,7.23,6.69,6.85,54000,GPC
2023-01-31,6.92,7.08,6.69,6.92,29800,GPC
2023-02-01,7.0,7.0,6.69,6.69,67200,GPC
2023-02-02,6.85,6.85,6.54,6.54,74900,GPC
2023-02-03,6.54,6.85,6.46,6.85,38600,GPC
2023-02-06,6.54,6.54,6.38,6.54,41600,GPC
2023-02-07,6.77,6.92,6.46,6.77,82600,GPC
2023-02-08,6.85,7.0,6.77,6.85,61800,GPC
2023-02-09,7.0,7.23,6.92,7.15,53610,GPC
2023-02-10,7.23,7.92,7.08,7.08,215437,GPC
2023-02-13,7.31,7.31,7.0,7.0,3615,GPC
2023-02-14,7.15,7.15,6.69,6.69,12700,GPC
2023-02-15,6.77,6.92,6.54,6.62,34400,GPC
2023-02-16,6.62,6.92,6.62,6.92,2700,GPC
2023-02-17,6.85,6.85,6.62,6.62,31000,GPC
2023-02-20,6.85,6.85,6.38,6.69,34200,GPC
2023-02-21,6.62,6.77,6.46,6.54,12800,GPC
2023-02-22,6.46,6.69,6.38,6.38,35800,GPC
2023-02-23,6.38,6.46,6.31,6.31,19200,GPC
2023-02-24,6.46,6.46,5.62,6.31,60500,GPC
2023-02-27,6.31,6.46,6.0,6.38,4900,GPC
2023-02-28,6.23,6.23,5.38,5.69,76200,GPC
2023-03-01,5.69,5.69,5.31,5.54,23800,GPC
2023-03-02,5.54,6.23,5.54,6.0,16100,GPC
2023-03-03,6.0,6.08,5.31,5.85,14400,GPC
2023-03-06,5.85,5.85,5.38,5.46,9800,GPC
2023-03-07,5.46,5.46,5.15,5.23,16700,GPC
2023-03-08,5.31,5.54,5.15,5.46,25100,GPC
2023-03-09,5.31,5.46,5.23,5.38,12800,GPC
2023-03-10,5.31,5.38,5.31,5.31,7300,GPC
2023-03-13,5.31,5.31,5.15,5.23,28800,GPC
2023-03-14,5.23,5.23,4.92,5.15,17200,GPC
2023-03-15,5.46,5.46,5.15,5.38,12500,GPC
2023-03-16,5.15,5.23,5.08,5.23,3400,GPC
2023-03-17,5.31,5.38,5.15,5.23,1600,GPC
2023-03-20,5.31,5.38,5.08,5.08,7100,GPC
2023-03-21,5.23,5.31,5.08,5.08,7100,GPC
2023-03-22,5.23,5.23,5.15,5.23,3000,GPC
2023-03-23,5.15,5.15,4.92,5.15,7900,GPC
2023-03-24,5.23,5.23,5.0,5.08,2100,GPC
2023-03-27,5.08,5.08,5.0,5.0,16300,GPC
2023-03-28,5.08,5.08,5.0,5.08,5300,GPC
2023-03-29,5.15,5.15,5.08,5.08,33300,GPC
2023-03-30,5.08,5.23,5.08,5.23,7900,GPC
2023-03-31,5.15,5.31,5.15,5.23,14700,GPC
2023-04-03,5.15,5.31,5.15,5.31,10500,GPC
2023-04-04,5.31,5.31,5.23,5.23,31700,GPC
2023-04-05,5.15,5.31,5.15,5.31,6000,GPC
2023-04-06,5.31,5.62,5.31,5.46,31500,GPC
2023-04-07,5.46,6.0,5.46,5.77,14400,GPC
2023-04-10,6.08,6.15,5.69,6.08,38900,GPC
2023-04-11,6.15,6.15,5.69,6.0,10100,GPC
2023-04-12,6.08,6.08,5.38,5.85,46700,GPC
2023-04-13,5.54,5.69,5.08,5.15,7100,GPC
2023-04-14,5.54,5.54,5.31,5.31,16000,GPC
2023-04-17,5.62,5.62,5.38,5.54,800,GPC
2023-04-18,5.15,5.62,5.15,5.46,9600,GPC
2023-04-19,5.46,5.46,5.23,5.31,4500,GPC
2023-04-20,5.23,5.23,5.23,5.23,3700,GPC
2023-04-21,5.23,5.31,5.15,5.31,7800,GPC
2023-04-24,5.69,5.69,5.23,5.23,6800,GPC
2023-04-25,5.54,5.54,5.23,5.23,1100,GPC
2023-04-26,5.31,5.31,5.15,5.23,6500,GPC
2023-04-27,5.54,5.54,5.46,5.46,11000,GPC
2023-04-28,5.23,5.46,5.23,5.23,12300,GPC
2023-05-04,5.54,5.54,5.23,5.23,1400,GPC
2023-05-05,5.23,5.23,5.0,5.0,21800,GPC
2023-05-08,5.23,5.23,5.15,5.15,200,GPC
2023-05-09,5.15,5.15,5.0,5.0,4000,GPC
2023-05-10,5.08,5.08,5.08,5.08,36300,GPC
2023-05-11,5.08,5.08,5.08,5.08,4100,GPC
2023-05-12,5.08,5.31,5.08,5.08,43800,GPC
2023-05-15,5.08,5.15,5.0,5.08,26800,GPC
2023-05-16,5.31,5.46,5.15,5.15,18100,GPC
