time,open,high,low,close,volume,ticker
2009-05-19,1.67,1.67,1.67,1.67,40,HCM
2009-05-20,1.76,1.76,1.76,1.76,20,HCM
2009-05-21,1.84,1.84,1.84,1.84,10,HCM
2009-05-22,1.93,1.93,1.93,1.93,500,HCM
2009-05-25,2.02,2.02,2.02,2.02,10,HCM
2009-05-26,2.12,2.12,2.12,2.12,10,HCM
2009-05-27,2.22,2.22,2.22,2.22,16040,HCM
2009-05-28,2.33,2.33,2.33,2.33,21900,HCM
2009-05-29,2.45,2.45,2.45,2.45,25850,HCM
2009-06-01,2.57,2.57,2.57,2.57,61090,HCM
2009-06-02,2.68,2.68,2.68,2.68,16350,HCM
2009-06-03,2.81,2.81,2.81,2.81,41500,HCM
2009-06-04,2.94,2.94,2.94,2.94,161220,HCM
2009-06-05,3.07,3.07,3.07,3.07,500,HCM
2009-06-08,3.2,3.2,3.2,3.2,55600,HCM
2009-06-09,3.36,3.36,3.36,3.36,166030,HCM
2009-06-10,3.51,3.51,3.51,3.51,333800,HCM
2009-06-11,3.66,3.66,3.64,3.66,909580,HCM
2009-06-12,3.85,3.85,3.85,3.85,15670,HCM
2009-06-15,4.03,4.03,3.97,4.03,858330,HCM
2009-06-16,3.92,4.03,3.85,3.85,192300,HCM
2009-06-17,3.66,3.66,3.66,3.66,87640,HCM
2009-06-18,3.82,3.82,3.48,3.51,870410,HCM
2009-06-19,3.56,3.56,3.36,3.43,387420,HCM
2009-06-22,3.28,3.3,3.28,3.28,331730,HCM
2009-06-23,3.12,3.12,3.12,3.12,193580,HCM
2009-06-24,3.28,3.28,3.25,3.28,694930,HCM
2009-06-25,3.38,3.38,3.12,3.12,337330,HCM
2009-06-26,2.99,3.2,2.99,3.1,330390,HCM
2009-06-29,3.15,3.25,3.12,3.25,297910,HCM
2009-06-30,3.25,3.25,3.1,3.1,250170,HCM
2009-07-01,2.94,2.94,2.94,2.94,261330,HCM
2009-07-02,2.89,2.99,2.81,2.92,347590,HCM
2009-07-03,2.81,2.89,2.79,2.84,329670,HCM
2009-07-06,2.89,2.97,2.89,2.97,218360,HCM
2009-07-07,2.94,3.02,2.89,2.97,153750,HCM
