time,open,high,low,close,volume,ticker
2016-05-16,3.23,3.23,3.23,3.23,3000,HD2
2016-05-17,3.23,3.23,3.23,3.23,0,HD2
2016-05-18,3.71,3.71,3.71,3.71,3000,HD2
2016-05-19,3.71,3.71,3.71,3.71,0,HD2
2016-05-20,3.71,3.71,3.71,3.71,0,HD2
2016-05-23,3.35,3.35,3.35,3.35,200,HD2
2016-05-24,3.35,3.35,3.35,3.35,0,HD2
2016-05-25,2.91,2.91,2.91,2.91,800,HD2
2016-05-26,3.31,3.31,2.95,2.95,4000,HD2
2016-05-27,2.95,2.95,2.95,2.95,0,HD2
2016-05-30,2.95,2.95,2.95,2.95,0,HD2
2016-05-31,3.59,3.59,3.59,3.59,3000,HD2
2016-06-01,3.07,3.71,3.07,3.71,2800,HD2
2016-06-02,3.71,3.71,3.71,3.71,0,HD2
2016-06-03,3.84,4.04,3.84,4.04,4100,HD2
2016-06-06,4.04,4.04,4.04,4.04,0,HD2
2016-06-07,4.4,4.4,4.36,4.36,6000,HD2
2016-06-08,4.24,4.64,4.24,4.64,8200,HD2
2016-06-09,4.85,5.17,4.81,5.17,20200,HD2
2016-06-10,5.17,5.69,5.17,5.69,28000,HD2
2016-06-13,5.94,6.14,5.65,5.81,21100,HD2
2016-06-14,5.81,5.81,5.25,5.25,12700,HD2
2016-06-15,5.25,5.25,5.09,5.13,8800,HD2
2016-06-16,4.97,5.05,4.89,5.05,11400,HD2
2016-06-17,4.97,5.01,4.78,4.78,12600,HD2
2016-06-20,5.7,5.7,5.47,5.52,23255,HD2
2016-06-21,6.16,6.16,4.92,5.47,9201,HD2
2016-06-22,5.43,5.43,5.06,5.06,6900,HD2
2016-06-23,5.06,5.15,5.06,5.1,5700,HD2
2016-06-24,5.06,5.06,4.6,4.69,17300,HD2
2016-06-27,4.64,4.64,4.14,4.18,23000,HD2
2016-06-28,4.51,4.78,4.51,4.6,12200,HD2
2016-06-29,4.87,4.87,4.64,4.83,8300,HD2
2016-06-30,4.87,4.87,4.78,4.83,1400,HD2
2016-07-01,4.78,4.78,4.69,4.74,3200,HD2
2016-07-04,4.74,4.78,4.69,4.78,19100,HD2
2016-07-05,4.78,4.78,4.69,4.69,14100,HD2
2016-07-06,4.64,5.2,4.6,5.2,87400,HD2
2016-07-07,5.24,5.52,5.24,5.52,26500,HD2
2016-07-08,5.98,6.21,5.75,5.75,32700,HD2
