time,open,high,low,close,volume,ticker
2007-10-08,4.45,4.45,4.45,4.45,13500,HDC
2007-10-09,4.66,4.66,4.66,4.66,1900,HDC
2007-10-10,4.87,4.87,4.87,4.87,2000,HDC
2007-10-11,5.11,5.11,5.11,5.11,11200,HDC
2007-10-12,5.35,5.35,5.35,5.35,123080,HDC
2007-10-15,5.61,5.61,5.61,5.61,67920,HDC
2007-10-16,5.88,5.88,5.88,5.88,55400,HDC
2007-10-17,6.14,6.14,6.14,6.14,14250,HDC
2007-10-18,6.41,6.41,5.93,6.36,734430,HDC
2007-10-19,6.46,6.67,6.36,6.67,412180,HDC
2007-10-22,6.99,6.99,6.99,6.99,65150,HDC
2007-10-23,7.31,7.31,7.31,7.31,74690,HDC
2007-10-24,7.63,7.63,7.63,7.63,141200,HDC
2007-10-25,7.94,7.94,7.47,7.84,414740,HDC
2007-10-26,7.52,7.52,7.47,7.47,62400,HDC
2007-10-29,7.1,7.1,7.1,7.1,26940,HDC
2007-10-30,6.78,6.78,6.78,6.78,29390,HDC
2007-10-31,6.46,6.99,6.46,6.78,318140,HDC
2007-11-01,6.73,6.94,6.73,6.83,64970,HDC
2007-11-02,6.83,6.83,6.57,6.57,42500,HDC
2007-11-05,6.36,6.57,6.3,6.36,72010,HDC
2007-11-06,6.36,6.36,6.09,6.09,45410,HDC
2007-11-07,5.93,6.04,5.83,5.88,86230,HDC
2007-11-08,6.14,6.14,6.14,6.14,19020,HDC
2007-11-09,6.3,6.36,6.14,6.36,127250,HDC
2007-11-12,6.36,6.36,6.04,6.04,52120,HDC
2007-11-13,6.04,6.04,5.77,5.77,47880,HDC
2007-11-14,5.77,6.04,5.77,6.04,45010,HDC
2007-11-15,5.93,6.04,5.88,5.88,43770,HDC
2007-11-16,5.83,5.93,5.83,5.83,17160,HDC
2007-11-19,5.67,5.77,5.67,5.77,14490,HDC
2007-11-20,5.72,5.77,5.61,5.67,20300,HDC
2007-11-21,5.46,5.51,5.4,5.4,64510,HDC
2007-11-22,5.35,5.51,5.35,5.46,42590,HDC
2007-11-23,5.3,5.4,5.3,5.4,32000,HDC
2007-11-26,5.67,5.67,5.67,5.67,70190,HDC
2007-11-27,5.93,5.93,5.93,5.93,48620,HDC
2007-11-28,5.67,6.04,5.67,5.93,131370,HDC
2007-11-29,5.93,5.93,5.83,5.93,67090,HDC
2007-11-30,5.88,5.88,5.77,5.83,64330,HDC
2007-12-03,5.83,5.88,5.83,5.83,101750,HDC
2007-12-04,6.04,6.09,5.98,6.09,174120,HDC
2007-12-05,6.09,6.09,5.98,5.98,82200,HDC
2007-12-06,6.09,6.14,5.98,6.14,75320,HDC
2007-12-07,6.14,6.14,6.04,6.09,30080,HDC
2007-12-10,6.04,6.04,5.93,5.93,19740,HDC
2007-12-11,5.83,5.93,5.77,5.77,16140,HDC
2007-12-12,5.67,5.83,5.67,5.77,31840,HDC
2007-12-13,5.77,5.77,5.61,5.61,30110,HDC
2007-12-14,5.46,5.67,5.46,5.51,17730,HDC
2007-12-17,5.61,5.61,5.4,5.4,33880,HDC
2007-12-18,5.4,5.56,5.4,5.56,8160,HDC
2007-12-19,5.83,5.83,5.83,5.83,52670,HDC
2007-12-20,5.93,5.93,5.67,5.72,29070,HDC
2007-12-21,5.77,5.77,5.67,5.77,15900,HDC
2007-12-24,5.67,5.77,5.61,5.67,12950,HDC
2007-12-25,5.67,5.67,5.56,5.61,22480,HDC
2007-12-26,5.61,5.67,5.56,5.67,26270,HDC
2007-12-27,5.72,5.77,5.61,5.67,51430,HDC
