time,open,high,low,close,volume,ticker
2009-12-21,12.29,12.46,11.75,12.29,37300,HGM
2009-12-22,12.11,12.11,11.93,11.93,5800,HGM
2009-12-23,11.84,11.84,11.75,11.75,6100,HGM
2009-12-24,11.13,11.13,11.02,11.02,16200,HGM
2009-12-25,10.33,11.8,10.33,11.04,28700,HGM
2009-12-28,11.48,11.48,10.68,10.68,17000,HGM
2009-12-29,11.66,11.66,11.4,11.4,12100,HGM
2009-12-30,11.29,11.29,10.61,10.61,1200,HGM
2009-12-31,11.04,11.22,10.84,10.84,19100,HGM
2010-01-04,11.4,11.4,11.04,11.38,33400,HGM
2010-01-05,12.0,12.04,10.7,10.7,18800,HGM
2010-01-06,10.95,11.04,10.54,10.54,10800,HGM
2010-01-07,11.22,11.22,10.72,10.72,19600,HGM
2010-01-08,11.02,11.73,11.02,11.73,104900,HGM
2010-01-11,12.41,12.41,12.37,12.41,133800,HGM
2010-01-12,12.46,13.05,12.37,12.37,7500,HGM
2010-01-13,11.95,12.37,11.79,12.37,8700,HGM
2010-01-14,11.73,11.73,11.2,11.2,10900,HGM
2010-01-15,11.66,11.66,10.52,10.58,32200,HGM
2010-01-18,10.15,10.15,9.9,9.9,17000,HGM
2010-01-19,9.9,10.58,9.9,10.58,6400,HGM
2010-01-20,10.15,10.33,9.88,9.88,15400,HGM
2010-01-21,10.51,10.59,9.7,9.83,10700,HGM
2010-01-22,9.81,10.42,9.81,10.4,18600,HGM
2010-01-25,10.33,10.4,10.33,10.4,5600,HGM
2010-01-26,10.86,10.86,10.68,10.77,9200,HGM
2010-01-27,10.56,10.58,10.42,10.58,16700,HGM
2010-01-28,10.15,10.42,9.88,9.92,15100,HGM
2010-01-29,9.53,10.06,9.45,9.88,5400,HGM
2010-02-01,10.15,10.36,10.15,10.36,14000,HGM
2010-02-02,10.33,10.33,10.31,10.31,5900,HGM
2010-02-03,10.31,10.33,10.31,10.33,2300,HGM
2010-02-04,10.33,10.67,10.33,10.67,9100,HGM
2010-02-05,9.61,9.79,9.61,9.79,1200,HGM
2010-02-08,9.88,9.88,9.79,9.79,22000,HGM
2010-02-09,9.61,9.79,9.61,9.61,8200,HGM
2010-02-10,10.06,10.15,9.79,10.15,3300,HGM
2010-02-11,9.7,10.24,9.7,10.24,1300,HGM
2010-02-12,10.1,10.49,9.7,9.7,1700,HGM
2010-02-22,9.61,9.88,9.61,9.88,500,HGM
2010-02-23,10.13,10.13,9.61,9.61,1300,HGM
2010-02-24,10.15,10.33,10.15,10.24,5100,HGM
2010-02-25,10.59,10.59,9.88,9.88,2700,HGM
2010-02-26,9.88,9.88,9.88,9.88,0,HGM
2010-03-01,10.33,10.33,10.33,10.33,300,HGM
2010-03-02,10.15,10.15,10.15,10.15,100,HGM
2010-03-03,10.24,10.37,10.24,10.33,3400,HGM
2010-03-04,10.69,10.69,10.69,10.69,100,HGM
2010-03-05,10.51,10.6,10.51,10.55,1200,HGM
2010-03-08,10.69,10.87,10.69,10.87,5900,HGM
2010-03-09,10.87,10.87,10.87,10.87,700,HGM
2010-03-10,10.87,10.87,10.33,10.51,5100,HGM
2010-03-11,10.33,10.69,10.33,10.51,15400,HGM
2010-03-12,10.24,10.51,10.24,10.51,2400,HGM
2010-03-15,10.78,10.89,10.51,10.69,12300,HGM
2010-03-16,10.78,10.78,10.15,10.15,3200,HGM
2010-03-17,10.33,10.33,10.11,10.15,1800,HGM
2010-03-18,10.6,10.84,10.33,10.84,13000,HGM
2010-03-19,10.73,11.44,10.73,11.44,29700,HGM
2010-03-22,11.96,12.05,11.94,11.96,21900,HGM
2010-03-23,11.24,11.24,11.13,11.24,13700,HGM
2010-03-24,11.18,11.24,11.05,11.18,9400,HGM
2010-03-25,10.55,10.6,10.55,10.6,1500,HGM
2010-03-26,11.24,11.29,10.96,11.29,29800,HGM
2010-03-29,11.96,12.0,11.33,11.33,7400,HGM
2010-03-30,11.78,11.78,11.51,11.51,3800,HGM
2010-03-31,11.15,11.51,11.15,11.18,3600,HGM
2010-04-01,10.78,10.87,10.73,10.87,1100,HGM
2010-04-02,11.33,11.53,11.33,11.53,14100,HGM
2010-04-05,11.53,11.6,11.42,11.6,4700,HGM
2010-04-06,11.42,11.42,11.42,11.42,2000,HGM
2010-04-07,12.12,12.12,10.87,10.87,3100,HGM
2010-04-08,11.6,11.6,11.05,11.24,10000,HGM
2010-04-09,11.33,11.6,11.24,11.42,19600,HGM
2010-04-12,11.25,11.67,11.25,11.67,200,HGM
2010-04-13,11.09,11.24,11.09,11.24,18900,HGM
2010-04-14,11.51,11.51,11.51,11.51,1600,HGM
