time,open,high,low,close,volume,ticker
2010-07-28,5.11,5.11,3.92,4.23,42000,HMH
2010-07-29,4.33,4.33,4.1,4.1,7700,HMH
2010-07-30,3.93,4.01,3.87,4.0,15000,HMH
2010-08-02,4.13,4.13,3.8,3.93,13300,HMH
2010-08-03,4.17,4.17,3.93,3.97,15300,HMH
2010-08-04,3.96,4.0,3.82,4.0,10200,HMH
2010-08-05,4.06,4.22,4.06,4.13,16500,HMH
2010-08-06,4.2,4.2,3.93,3.93,9300,HMH
2010-08-09,3.76,3.96,3.74,3.96,18800,HMH
2010-08-10,3.8,3.8,3.8,3.8,1000,HMH
2010-08-11,3.67,3.91,3.67,3.8,29100,HMH
2010-08-12,3.55,3.89,3.55,3.8,7900,HMH
2010-08-13,3.67,3.8,3.67,3.8,6600,HMH
2010-08-16,4.03,4.03,3.8,3.8,12200,HMH
2010-08-17,3.66,4.01,3.66,3.67,66000,HMH
2010-08-18,3.67,3.67,3.5,3.5,9400,HMH
2010-08-19,3.58,3.58,3.36,3.36,4800,HMH
2010-08-20,3.34,3.5,3.34,3.47,41500,HMH
2010-08-23,3.29,3.41,3.28,3.34,14900,HMH
2010-08-24,3.08,3.2,3.08,3.09,33100,HMH
2010-08-25,2.96,2.96,2.92,2.92,40700,HMH
2010-08-26,2.94,3.13,2.77,3.13,27100,HMH
2010-08-27,2.94,3.23,2.94,3.23,9900,HMH
2010-08-30,3.28,3.37,3.07,3.37,20300,HMH
2010-08-31,3.29,3.51,3.29,3.51,21900,HMH
2010-09-01,3.49,3.49,3.36,3.42,20600,HMH
2010-09-06,3.54,3.59,3.54,3.58,30700,HMH
2010-09-07,3.54,3.55,3.54,3.54,8000,HMH
2010-09-08,3.49,3.54,3.49,3.51,8000,HMH
2010-09-09,3.67,3.67,3.49,3.51,11900,HMH
2010-09-10,3.34,3.51,3.34,3.34,18100,HMH
2010-09-13,3.41,3.41,3.23,3.28,22400,HMH
2010-09-14,3.29,3.41,3.29,3.41,5000,HMH
2010-09-15,3.29,3.34,3.29,3.33,17200,HMH
2010-09-16,3.34,3.34,3.34,3.34,5500,HMH
2010-09-17,3.41,3.54,3.4,3.51,12200,HMH
2010-09-20,3.4,3.47,3.34,3.34,17500,HMH
2010-09-21,3.21,3.32,3.15,3.3,15300,HMH
2010-09-22,3.32,3.33,3.3,3.3,6500,HMH
2010-09-23,3.34,3.55,3.34,3.55,6100,HMH
2010-09-24,3.15,3.34,3.15,3.34,1500,HMH
2010-09-27,3.14,3.45,3.14,3.45,6100,HMH
2010-09-28,3.36,3.36,3.36,3.36,3400,HMH
2010-09-29,3.28,3.41,3.28,3.3,4500,HMH
2010-09-30,3.22,3.22,3.22,3.22,2000,HMH
2010-10-01,3.43,3.44,3.32,3.32,9600,HMH
2010-10-04,3.54,3.54,3.24,3.25,7400,HMH
2010-10-05,3.28,3.34,3.26,3.34,15900,HMH
2010-10-06,3.15,3.4,3.15,3.32,13000,HMH
2010-10-07,3.24,3.28,3.22,3.22,19200,HMH
2010-10-08,3.04,3.22,3.04,3.22,12400,HMH
2010-10-11,2.95,3.21,2.93,3.14,7000,HMH
2010-10-12,3.02,3.08,3.0,3.07,18000,HMH
2010-10-13,2.93,3.14,2.93,2.96,13600,HMH
2010-10-14,3.14,3.14,3.07,3.11,40700,HMH
2010-10-15,3.28,3.3,3.14,3.29,18300,HMH
2010-10-18,3.07,3.48,3.07,3.41,32000,HMH
2010-10-19,3.41,3.48,3.28,3.34,16400,HMH
2010-10-20,3.39,3.39,3.17,3.19,5200,HMH
2010-10-21,3.28,3.39,3.25,3.28,26200,HMH
2010-10-22,3.28,3.34,3.18,3.34,14600,HMH
2010-10-25,3.4,3.4,3.21,3.37,20900,HMH
2010-10-26,3.32,3.43,3.08,3.43,59800,HMH
2010-10-27,3.15,3.21,3.15,3.21,18600,HMH
2010-10-28,3.08,3.33,3.08,3.24,10700,HMH
2010-10-29,3.08,3.29,3.06,3.29,6000,HMH
2010-11-01,3.14,3.14,2.95,3.07,17000,HMH
2010-11-02,3.06,3.18,3.03,3.04,19500,HMH
2010-11-03,3.14,3.17,3.14,3.14,29000,HMH
2010-11-04,3.24,3.24,3.14,3.15,14300,HMH
2010-11-05,3.33,3.33,3.14,3.14,15900,HMH
2010-11-08,3.32,3.32,3.1,3.24,27000,HMH
2010-11-09,3.37,3.37,3.0,3.0,26100,HMH
2010-11-10,3.25,3.25,3.02,3.02,28800,HMH
2010-11-11,2.95,2.95,2.95,2.95,28400,HMH
2010-11-12,2.77,2.8,2.74,2.8,5100,HMH
2010-11-15,2.98,2.98,2.62,2.62,13300,HMH
2010-11-16,2.73,2.76,2.73,2.73,19600,HMH
2010-11-17,2.73,2.8,2.73,2.73,10600,HMH
2010-11-18,2.54,2.8,2.54,2.74,7700,HMH
2010-11-19,2.78,2.78,2.78,2.78,3000,HMH
2010-11-22,2.72,2.73,2.66,2.66,1600,HMH
2010-11-23,2.78,2.78,2.76,2.76,5800,HMH
2010-11-24,2.78,2.98,2.78,2.98,76400,HMH
2010-11-25,3.0,3.11,3.0,3.11,31500,HMH
2010-11-26,3.1,3.1,3.06,3.06,19300,HMH
2010-11-29,2.98,3.1,2.93,3.1,18400,HMH
2010-11-30,3.14,3.21,3.13,3.21,4100,HMH
2010-12-01,3.11,3.11,3.02,3.02,3000,HMH
2010-12-02,2.84,3.0,2.84,3.0,30400,HMH
2010-12-03,3.11,3.11,2.98,3.1,44600,HMH
2010-12-06,3.21,3.21,3.06,3.13,95000,HMH
2010-12-07,3.14,3.14,3.0,3.0,15200,HMH
2010-12-08,3.07,3.08,2.91,2.91,32500,HMH
2010-12-09,3.08,3.08,3.0,3.08,17800,HMH
2010-12-10,3.14,3.14,3.07,3.11,16400,HMH
2010-12-13,3.14,3.15,3.06,3.14,19200,HMH
2010-12-14,3.13,3.13,3.0,3.04,24700,HMH
2010-12-15,2.87,2.91,2.84,2.84,21500,HMH
2010-12-16,2.87,3.04,2.87,2.87,20500,HMH
2010-12-17,3.08,3.08,3.0,3.0,4300,HMH
2010-12-20,3.06,3.06,3.06,3.06,4000,HMH
2010-12-21,2.87,2.87,2.87,2.87,14100,HMH
2010-12-22,2.98,2.98,2.83,2.83,5400,HMH
2010-12-23,2.77,2.8,2.77,2.78,2500,HMH
2010-12-24,2.85,2.85,2.85,2.85,4300,HMH
2010-12-27,2.84,2.87,2.74,2.87,4200,HMH
2010-12-28,2.83,2.95,2.73,2.91,22200,HMH
2010-12-29,2.93,2.93,2.74,2.77,1700,HMH
2010-12-30,2.93,2.93,2.93,2.93,1000,HMH
2010-12-31,2.76,2.76,2.76,2.76,10500,HMH
2011-01-04,2.85,2.85,2.84,2.84,4000,HMH
2011-01-05,2.8,2.8,2.8,2.8,5000,HMH
2011-01-06,2.92,2.92,2.89,2.89,10000,HMH
