time,open,high,low,close,volume,ticker
2006-12-26,60.41,60.41,60.41,60.41,14150,HRC
2006-12-27,60.41,63.39,60.41,63.39,550,HRC
2006-12-28,63.39,66.37,63.39,66.37,1100,HRC
2006-12-29,69.35,69.35,69.35,69.35,100,HRC
2007-01-02,69.35,72.75,69.35,72.75,6650,HRC
2007-01-03,76.15,76.15,72.75,72.75,71300,HRC
2007-01-04,74.45,76.15,74.45,76.15,55360,HRC
2007-01-05,79.56,79.56,79.56,79.56,42440,HRC
2007-01-08,83.39,83.39,83.39,83.39,41830,HRC
2007-01-09,83.39,83.39,83.39,83.39,20650,HRC
2007-01-10,83.39,84.24,83.39,84.24,30380,HRC
2007-01-11,84.24,84.24,80.83,80.83,36470,HRC
2007-01-12,78.71,80.83,78.71,80.83,34650,HRC
2007-01-15,84.66,84.66,83.81,83.81,78100,HRC
2007-01-16,83.81,83.81,83.81,83.81,41890,HRC
2007-01-17,83.81,84.24,83.81,83.81,39220,HRC
2007-01-18,83.81,83.81,82.96,82.96,36620,HRC
2007-01-19,84.66,85.09,84.66,85.09,51560,HRC
2007-01-22,82.96,84.66,82.96,84.66,31810,HRC
2007-01-23,84.66,84.66,84.24,84.24,24780,HRC
2007-01-24,87.22,87.22,85.09,85.09,28660,HRC
2007-01-25,84.24,85.09,84.24,85.09,13010,HRC
2007-01-26,89.34,89.34,89.34,89.34,7460,HRC
2007-01-29,93.6,93.6,93.6,93.6,3440,HRC
2007-01-30,98.28,98.28,98.28,98.28,1060,HRC
2007-01-31,98.28,102.96,98.28,102.96,1060,HRC
2007-02-01,108.06,108.06,108.06,108.06,2670,HRC
2007-02-02,113.17,113.17,113.17,113.17,1300,HRC
2007-02-05,114.87,118.7,114.87,118.7,7080,HRC
2007-02-06,118.7,124.23,118.7,124.23,320,HRC
2007-02-07,130.19,130.19,130.19,130.19,16600,HRC
2007-02-08,136.57,136.57,136.57,136.57,134660,HRC
2007-02-09,136.57,136.57,130.19,136.57,43650,HRC
2007-02-12,140.4,143.38,140.4,143.38,31670,HRC
2007-02-13,146.35,146.78,144.65,146.78,17080,HRC
2007-02-14,154.01,154.01,154.01,154.01,32230,HRC
2007-02-15,161.67,161.67,161.67,161.67,9300,HRC
2007-02-26,161.67,169.75,161.67,169.75,8900,HRC
2007-02-27,177.84,177.84,177.84,177.84,15070,HRC
2007-02-28,174.43,174.43,169.33,169.33,32530,HRC
2007-03-01,170.18,170.18,169.33,169.33,49730,HRC
2007-03-02,161.24,169.33,161.24,166.35,38570,HRC
2007-03-05,166.35,166.35,163.8,163.8,24350,HRC
2007-03-06,161.67,161.67,155.71,155.71,14030,HRC
2007-03-07,148.91,148.91,148.91,148.91,34800,HRC
2007-03-08,152.31,152.31,146.78,148.91,30470,HRC
2007-03-09,151.03,153.16,151.03,153.16,32970,HRC
2007-03-12,159.54,160.82,159.54,160.39,28530,HRC
2007-03-13,159.97,159.97,152.73,152.73,24570,HRC
