time,open,high,low,close,volume,ticker
2010-05-07,5.5,6.88,5.5,6.79,25200,HTC
2010-05-10,6.79,6.79,6.79,6.79,0,HTC
2010-05-11,5.6,5.6,5.6,5.6,1400,HTC
2010-05-12,5.22,5.22,5.22,5.22,200,HTC
2010-05-13,4.86,4.86,4.86,4.86,4000,HTC
2010-05-14,4.52,4.98,4.52,4.98,50200,HTC
2010-05-17,4.85,4.85,4.31,4.52,31700,HTC
2010-05-18,4.48,4.56,4.35,4.35,9300,HTC
2010-05-19,4.48,4.56,4.48,4.56,14500,HTC
2010-05-20,4.53,4.57,4.53,4.56,33600,HTC
2010-05-21,4.25,4.56,4.25,4.56,44100,HTC
2010-05-24,4.53,4.61,4.53,4.61,32000,HTC
2010-05-25,4.58,4.61,4.56,4.61,18000,HTC
2010-05-26,4.44,4.6,4.44,4.6,3100,HTC
2010-05-27,4.48,4.61,4.44,4.61,17500,HTC
2010-05-28,4.72,4.85,4.45,4.62,16100,HTC
2010-05-31,4.58,4.58,4.53,4.53,4000,HTC
2010-06-01,4.45,4.46,4.44,4.44,5900,HTC
2010-06-02,4.44,4.48,4.44,4.48,12200,HTC
2010-06-03,4.46,4.48,4.44,4.44,6200,HTC
2010-06-04,4.42,4.51,4.39,4.44,10600,HTC
2010-06-07,4.44,4.62,4.44,4.62,8000,HTC
2010-06-08,4.62,4.62,4.62,4.62,0,HTC
2010-06-09,4.44,4.55,4.44,4.55,8400,HTC
2010-06-10,4.44,4.48,4.44,4.47,30800,HTC
2010-06-11,4.75,4.77,4.44,4.61,57700,HTC
2010-06-14,4.58,4.61,4.58,4.61,6000,HTC
2010-06-15,4.61,4.61,4.61,4.61,200,HTC
2010-06-16,4.53,4.65,4.53,4.63,69100,HTC
2010-06-17,4.61,4.62,4.61,4.62,22400,HTC
2010-06-18,4.62,4.81,4.62,4.77,89000,HTC
2010-06-21,4.81,5.03,4.81,5.03,49100,HTC
2010-06-22,5.35,5.35,5.09,5.09,52800,HTC
2010-06-23,5.04,5.04,4.95,4.95,40100,HTC
2010-06-24,4.95,4.95,4.68,4.79,30100,HTC
2010-06-25,4.46,4.77,4.46,4.62,8600,HTC
2010-06-28,4.62,4.72,4.61,4.62,8900,HTC
2010-06-29,4.61,4.62,4.61,4.62,16000,HTC
2010-06-30,4.58,4.63,4.58,4.61,11700,HTC
2010-07-01,4.54,4.62,4.54,4.61,9800,HTC
2010-07-02,4.72,4.72,4.59,4.59,3000,HTC
2010-07-05,4.63,4.72,4.62,4.63,5900,HTC
2010-07-06,4.64,4.64,4.36,4.56,21200,HTC
2010-07-07,4.62,4.62,4.59,4.61,7800,HTC
2010-07-08,4.61,4.63,4.61,4.62,34200,HTC
2010-07-09,4.61,4.67,4.61,4.67,39000,HTC
2010-07-12,4.81,4.95,4.72,4.95,110000,HTC
2010-07-13,5.19,5.19,5.17,5.18,173800,HTC
2010-07-14,5.55,5.55,4.83,5.18,119500,HTC
2010-07-15,5.34,5.58,5.26,5.41,118000,HTC
2010-07-16,5.27,5.32,5.07,5.07,97700,HTC
2010-07-19,4.77,5.08,4.76,4.85,40200,HTC
2010-07-20,4.9,4.99,4.81,4.85,24700,HTC
2010-07-21,4.89,4.89,4.72,4.81,54500,HTC
2010-07-22,4.62,4.85,4.62,4.85,58400,HTC
2010-07-23,4.83,4.87,4.82,4.84,37400,HTC
2010-07-26,4.81,4.9,4.81,4.81,45900,HTC
2010-07-27,4.85,4.85,4.8,4.84,39500,HTC
2010-07-28,4.81,4.82,4.78,4.81,76500,HTC
2010-07-29,4.81,4.85,4.8,4.84,34400,HTC
2010-07-30,4.81,4.85,4.81,4.81,40900,HTC
2010-08-02,4.82,4.83,4.79,4.83,41000,HTC
2010-08-03,4.78,4.81,4.78,4.81,15500,HTC
2010-08-04,4.85,4.85,4.79,4.81,19300,HTC
2010-08-05,4.81,4.84,4.8,4.8,15400,HTC
2010-08-06,4.81,4.81,4.8,4.8,16400,HTC
2010-08-09,4.81,4.81,4.78,4.79,44300,HTC
2010-08-10,4.85,4.85,4.79,4.8,23100,HTC
2010-08-11,4.81,4.85,4.81,4.81,9300,HTC
2010-08-12,4.81,4.81,4.48,4.76,29300,HTC
2010-08-13,4.76,4.76,4.75,4.76,1600,HTC
2010-08-16,4.81,4.81,4.81,4.81,10100,HTC
2010-08-17,4.72,4.72,4.72,4.72,1400,HTC
2010-08-18,4.7,4.72,4.7,4.7,1400,HTC
2010-08-19,4.74,4.74,4.7,4.7,800,HTC
2010-08-20,4.51,4.51,4.38,4.38,9600,HTC
2010-08-23,4.62,4.63,4.1,4.32,5900,HTC
2010-08-24,4.17,4.18,4.02,4.18,4700,HTC
2010-08-25,3.8,3.95,3.8,3.95,4900,HTC
2010-08-26,3.76,3.77,3.71,3.71,5200,HTC
2010-08-27,3.78,3.78,3.71,3.71,5100,HTC
2010-08-30,3.95,3.99,3.74,3.74,11200,HTC
2010-08-31,3.67,3.67,3.66,3.66,17000,HTC
2010-09-01,3.57,3.66,3.57,3.63,5900,HTC
2010-09-06,3.76,3.86,3.76,3.86,5400,HTC
2010-09-07,3.95,3.95,3.8,3.84,6500,HTC
2010-09-08,3.85,3.85,3.76,3.8,4200,HTC
2010-09-09,3.81,3.85,3.81,3.85,3000,HTC
2010-09-10,3.8,3.83,3.66,3.66,21300,HTC
2010-09-13,3.57,3.57,3.52,3.52,2100,HTC
2010-09-14,3.76,3.76,3.76,3.76,3100,HTC
2010-09-15,3.76,3.76,3.76,3.76,0,HTC
2010-09-16,3.62,3.63,3.62,3.63,300,HTC
2010-09-17,3.66,3.88,3.66,3.88,17000,HTC
2010-09-20,3.79,3.79,3.78,3.78,1000,HTC
