time,open,high,low,close,volume,ticker
2017-06-14,14.09,14.09,8.76,8.76,62300,HTG
2017-06-15,8.57,8.57,8.39,8.39,28360,HTG
2017-06-16,8.2,8.2,7.16,7.19,53650,HTG
2017-06-19,7.23,7.38,7.23,7.38,17497,HTG
2017-06-20,7.34,7.42,7.34,7.42,7811,HTG
2017-06-21,7.42,7.79,7.42,7.46,10550,HTG
2017-06-22,7.53,7.83,7.31,7.83,11710,HTG
2017-06-23,7.46,7.64,7.46,7.53,48400,HTG
2017-06-26,7.64,7.64,7.53,7.64,37100,HTG
2017-06-27,7.68,7.87,7.68,7.87,20203,HTG
2017-06-28,7.9,7.9,7.38,7.83,29058,HTG
2017-06-29,7.87,7.94,7.87,7.9,25900,HTG
2017-06-30,7.53,7.94,6.75,7.9,26500,HTG
2017-07-03,7.53,7.83,7.53,7.79,13360,HTG
2017-07-04,7.68,7.72,7.68,7.72,3300,HTG
2017-07-05,7.64,7.83,7.64,7.64,3400,HTG
2017-07-06,7.75,7.75,7.68,7.75,13800,HTG
2017-07-07,7.64,7.64,7.64,7.64,2082,HTG
2017-07-10,7.64,7.64,7.46,7.46,4600,HTG
2017-07-11,7.27,7.42,7.27,7.34,9700,HTG
2017-07-12,7.38,7.38,7.38,7.38,1000,HTG
2017-07-13,7.34,7.46,7.34,7.38,6300,HTG
2017-07-14,7.34,7.38,7.19,7.27,8566,HTG
2017-07-17,7.27,7.38,7.27,7.38,7000,HTG
2017-07-18,7.23,7.6,7.23,7.6,967,HTG
2017-07-19,7.27,7.38,7.08,7.38,5349,HTG
2017-07-20,7.31,7.31,7.31,7.31,0,HTG
2017-07-21,7.27,7.34,7.27,7.34,2227,HTG
2017-07-24,7.34,7.34,7.08,7.12,4043,HTG
2017-07-25,7.12,7.12,7.01,7.01,4200,HTG
2017-07-26,6.93,7.05,6.93,7.01,11600,HTG
2017-07-27,6.97,6.97,6.86,6.86,9109,HTG
2017-07-28,6.82,6.9,6.82,6.82,6300,HTG
2017-07-31,6.78,6.86,6.78,6.86,3815,HTG
2017-08-01,6.86,6.9,6.82,6.9,1961,HTG
2017-08-02,6.71,6.71,6.71,6.71,200,HTG
2017-08-03,6.71,6.71,6.71,6.71,1227,HTG
2017-08-04,6.9,6.9,6.34,6.86,13301,HTG
2017-08-07,6.52,6.67,6.49,6.67,7500,HTG
2017-08-08,6.49,6.56,6.37,6.56,12696,HTG
2017-08-09,6.37,6.49,6.37,6.49,13651,HTG
2017-08-10,6.34,6.41,6.15,6.41,17199,HTG
2017-08-11,6.08,6.26,5.96,6.26,27482,HTG
2017-08-14,6.15,6.26,6.15,6.26,16500,HTG
2017-08-15,6.19,6.19,6.19,6.19,0,HTG
2017-08-16,6.0,6.0,6.0,6.0,2000,HTG
2017-08-17,6.0,6.0,6.0,6.0,0,HTG
2017-08-18,6.04,6.08,6.04,6.08,7100,HTG
2017-08-21,6.04,6.08,6.04,6.08,40,HTG
2017-08-22,6.04,6.08,6.04,6.08,400,HTG
2017-08-23,6.08,6.08,6.08,6.08,0,HTG
2017-08-24,6.08,6.08,6.04,6.08,4000,HTG
2017-08-25,6.11,6.15,6.11,6.15,6000,HTG
2017-08-28,6.19,6.19,6.19,6.19,5200,HTG
2017-08-29,6.26,6.26,6.22,6.22,200,HTG
2017-08-30,6.22,6.34,6.19,6.34,6732,HTG
2017-08-31,6.22,6.3,6.22,6.3,1100,HTG
2017-09-01,6.26,6.3,6.26,6.3,5200,HTG
2017-09-05,6.26,6.3,6.26,6.26,14400,HTG
2017-09-06,6.26,6.26,6.26,6.26,2627,HTG
2017-09-07,6.52,6.52,6.3,6.3,2100,HTG
2017-09-08,6.34,6.34,6.34,6.34,110,HTG
2017-09-11,6.34,6.34,6.34,6.34,3000,HTG
2017-09-12,6.41,6.41,6.41,6.41,248,HTG
2017-09-13,6.41,6.41,6.41,6.41,0,HTG
2017-09-14,6.41,6.41,6.41,6.41,0,HTG
2017-09-15,6.34,6.34,6.3,6.34,5600,HTG
2017-09-18,6.11,6.3,6.11,6.3,4000,HTG
2017-09-19,6.22,6.22,6.22,6.22,5000,HTG
2017-09-20,6.22,6.22,6.22,6.22,74,HTG
2017-09-21,6.26,6.26,6.26,6.26,4900,HTG
2017-09-22,6.34,6.45,6.3,6.34,4700,HTG
2017-09-25,6.37,6.37,6.37,6.37,6500,HTG
2017-09-26,6.45,6.49,6.45,6.45,2300,HTG
2017-09-27,6.52,6.52,6.52,6.52,100,HTG
2017-09-28,6.52,6.52,6.52,6.52,1000,HTG
2017-09-29,6.34,6.34,6.11,6.19,6933,HTG
2017-10-02,6.22,6.3,6.22,6.3,8200,HTG
2017-10-03,6.3,6.3,6.3,6.3,0,HTG
2017-10-04,6.34,6.34,6.34,6.34,1000,HTG
2017-10-05,6.37,6.37,6.26,6.26,23100,HTG
2017-10-06,6.34,6.34,6.34,6.34,0,HTG
2017-10-09,6.34,6.34,6.34,6.34,0,HTG
2017-10-10,6.34,6.34,6.26,6.26,17300,HTG
2017-10-11,6.34,6.52,6.34,6.52,3200,HTG
2017-10-12,6.45,6.52,6.37,6.52,10500,HTG
2017-10-13,6.49,6.67,6.49,6.52,8100,HTG
2017-10-16,6.52,6.71,6.52,6.71,2500,HTG
2017-10-17,6.67,6.67,6.67,6.67,300,HTG
2017-10-18,6.71,6.78,6.71,6.71,5900,HTG
2017-10-19,6.71,6.71,6.71,6.71,1000,HTG
2017-10-20,6.75,7.05,6.75,7.05,200,HTG
2017-10-23,6.71,6.71,6.71,6.71,1400,HTG
2017-10-24,6.64,6.64,6.64,6.64,500,HTG
2017-10-25,6.71,6.71,6.71,6.71,10700,HTG
2017-10-26,6.71,6.71,6.71,6.71,7000,HTG
2017-10-27,6.71,6.71,6.71,6.71,11951,HTG
2017-10-30,6.71,6.71,6.71,6.71,10700,HTG
2017-10-31,6.71,6.71,6.71,6.71,0,HTG
