time,open,high,low,close,volume,ticker
2019-02-26,10.73,11.16,8.58,8.58,65860,HUB
2019-02-27,8.03,8.15,7.98,7.98,19140,HUB
2019-02-28,7.42,7.42,7.42,7.42,1390,HUB
2019-03-01,6.91,7.3,6.91,6.91,26370,HUB
2019-03-04,6.52,7.08,6.52,6.61,5050,HUB
2019-03-05,6.87,7.06,6.57,7.06,17170,HUB
2019-03-06,7.47,7.55,7.47,7.55,6980,HUB
2019-03-07,7.7,8.07,7.7,7.94,6820,HUB
2019-03-08,8.03,8.03,7.51,7.92,2770,HUB
2019-03-11,7.85,7.85,7.38,7.85,6880,HUB
2019-03-12,7.73,7.81,7.73,7.81,4000,HUB
2019-03-13,7.32,7.73,7.3,7.42,8170,HUB
2019-03-14,7.51,7.64,7.38,7.38,17860,HUB
2019-03-15,7.3,7.55,7.3,7.49,2790,HUB
2019-03-18,7.3,8.0,7.3,7.81,17230,HUB
2019-03-19,7.81,7.81,7.6,7.79,1730,HUB
2019-03-20,7.83,8.33,7.73,8.15,3200,HUB
2019-03-21,8.15,8.33,8.15,8.15,4070,HUB
2019-03-22,8.15,8.58,8.15,8.2,5650,HUB
2019-03-25,7.77,8.2,7.68,7.73,2900,HUB
2019-03-26,8.15,8.15,7.94,8.07,940,HUB
2019-03-27,7.73,8.07,7.73,7.94,410,HUB
2019-03-28,8.15,8.15,7.73,7.73,1550,HUB
2019-03-29,8.07,8.07,8.07,8.07,10,HUB
2019-04-01,7.85,8.07,7.73,7.85,10340,HUB
2019-04-02,7.85,7.85,7.85,7.85,150,HUB
2019-04-03,7.94,7.94,7.32,7.85,8530,HUB
2019-04-04,7.94,7.98,7.34,7.45,8710,HUB
2019-04-05,7.85,7.85,7.85,7.85,840,HUB
2019-04-08,7.38,7.85,7.38,7.85,2130,HUB
2019-04-09,7.73,7.73,7.64,7.64,1230,HUB
2019-04-10,7.64,7.64,7.64,7.64,10,HUB
2019-04-11,7.62,7.79,7.55,7.79,8040,HUB
2019-04-12,7.79,7.79,7.79,7.79,0,HUB
2019-04-16,7.53,7.53,7.53,7.53,3930,HUB
2019-04-17,7.53,7.53,7.53,7.53,0,HUB
2019-04-18,7.7,7.7,7.7,7.7,10,HUB
2019-04-19,7.51,7.7,7.51,7.7,3970,HUB
2019-04-22,7.51,7.7,7.51,7.7,30,HUB
2019-04-23,7.7,7.7,7.7,7.7,0,HUB
2019-04-24,7.7,7.7,7.7,7.7,0,HUB
2019-04-25,7.32,7.51,7.17,7.51,3030,HUB
2019-04-26,7.55,7.55,7.55,7.55,3550,HUB
2019-05-02,7.34,7.55,7.3,7.55,2320,HUB
2019-05-03,7.15,7.66,7.15,7.47,520,HUB
2019-05-06,7.3,7.34,7.21,7.34,2310,HUB
2019-05-07,7.68,7.73,7.25,7.6,40,HUB
2019-05-08,7.3,7.3,7.3,7.3,1500,HUB
2019-05-09,7.25,7.68,7.25,7.68,40,HUB
2019-05-10,7.68,7.68,7.68,7.68,0,HUB
2019-05-13,8.15,8.15,7.94,7.94,1010,HUB
2019-05-14,7.94,7.94,7.94,7.94,10,HUB
2019-05-15,7.94,7.94,7.94,7.94,0,HUB
2019-05-16,7.73,7.73,7.4,7.73,4390,HUB
2019-05-17,7.73,7.73,7.51,7.73,2840,HUB
2019-05-20,7.68,7.68,7.32,7.32,11120,HUB
2019-05-21,7.64,7.64,7.34,7.62,1230,HUB
2019-05-22,7.71,7.74,7.5,7.5,4330,HUB
2019-05-23,7.5,7.5,7.5,7.5,10,HUB
2019-05-24,7.69,7.69,7.31,7.66,770,HUB
2019-05-27,7.15,7.5,7.15,7.5,4850,HUB
2019-05-28,7.99,7.99,7.99,7.99,10,HUB
2019-05-29,7.45,7.5,7.45,7.45,2190,HUB
2019-05-30,7.13,7.5,7.13,7.15,5070,HUB
2019-05-31,7.5,7.5,7.5,7.5,10,HUB
2019-06-03,7.5,7.59,7.5,7.59,20,HUB
2019-06-04,7.57,7.57,7.57,7.57,10,HUB
2019-06-05,7.57,7.57,7.57,7.57,10,HUB
2019-06-06,7.55,7.55,7.55,7.55,10,HUB
2019-06-07,7.5,7.5,7.5,7.5,580,HUB
2019-06-10,7.5,7.5,7.5,7.5,10,HUB
2019-06-11,7.31,7.48,7.31,7.48,1010,HUB
2019-06-12,7.64,7.64,7.27,7.36,22940,HUB
2019-06-13,7.71,7.71,7.71,7.71,10,HUB
2019-06-14,7.71,7.71,7.71,7.71,0,HUB
2019-06-17,7.55,7.55,7.5,7.55,6900,HUB
2019-06-18,7.5,7.59,7.5,7.5,7010,HUB
2019-06-19,7.64,7.64,7.52,7.62,120,HUB
2019-06-20,7.52,7.57,7.52,7.52,3490,HUB
2019-06-21,7.55,7.55,7.5,7.52,4310,HUB
2019-06-24,7.97,7.97,7.5,7.69,4540,HUB
2019-06-25,7.66,7.74,7.66,7.74,11490,HUB
2019-06-26,7.74,8.25,7.74,7.97,10060,HUB
2019-06-27,8.2,8.49,7.99,8.04,21310,HUB
2019-06-28,8.04,8.53,8.04,8.34,9750,HUB
2019-07-01,8.39,8.91,8.2,8.91,75660,HUB
2019-07-02,8.95,9.28,8.91,9.28,118720,HUB
2019-07-03,9.19,9.19,9.14,9.19,19640,HUB
2019-07-04,9.0,9.19,8.95,9.19,18140,HUB
2019-07-05,9.02,9.19,9.02,9.19,10040,HUB
2019-07-08,9.24,9.82,9.24,9.82,66830,HUB
2019-07-09,10.08,10.5,10.03,10.5,84140,HUB
2019-07-10,11.16,11.23,10.78,10.78,46790,HUB
2019-07-11,10.59,11.25,10.55,11.02,38940,HUB
2019-07-12,11.02,11.72,11.02,11.72,25110,HUB
2019-07-15,11.49,11.72,11.16,11.16,37090,HUB
2019-07-16,11.44,11.91,11.39,11.39,55540,HUB
2019-07-17,10.83,11.58,10.83,10.88,23190,HUB
2019-07-18,10.64,11.02,10.64,11.02,7280,HUB
2019-07-19,10.78,11.11,10.76,11.06,790,HUB
2019-07-22,11.11,11.11,10.29,10.29,36260,HUB
2019-07-23,10.29,10.31,9.59,10.17,74690,HUB
2019-07-24,10.13,10.13,9.47,9.47,33270,HUB
2019-07-25,9.47,10.1,9.38,10.08,18610,HUB
2019-07-26,10.1,10.1,9.38,9.38,16980,HUB
2019-07-29,8.86,8.86,8.72,8.72,79350,HUB
2019-07-30,9.12,9.12,8.44,8.67,23830,HUB
2019-07-31,8.67,8.72,8.34,8.39,59510,HUB
2019-08-01,8.39,8.86,8.34,8.86,17300,HUB
2019-08-02,8.86,8.86,8.44,8.77,16300,HUB
2019-08-05,8.46,9.38,8.46,9.38,18210,HUB
2019-08-06,9.61,10.03,9.52,10.03,97720,HUB
2019-08-07,10.03,10.27,9.63,9.8,14090,HUB
2019-08-08,10.01,10.01,9.45,9.8,4540,HUB
2019-08-09,9.47,9.75,9.38,9.75,23140,HUB
2019-08-12,9.92,9.92,9.52,9.52,9370,HUB
2019-08-13,9.52,9.61,9.14,9.24,25570,HUB
2019-08-14,9.28,9.61,9.24,9.47,9800,HUB
