time,open,high,low,close,volume,ticker
2018-11-30,13.32,13.32,13.32,13.32,40000,HVH
2018-12-03,14.25,14.25,14.25,14.25,5000,HVH
2018-12-04,15.25,15.25,15.25,15.25,5010,HVH
2018-12-05,16.28,16.28,16.28,16.28,6010,HVH
2018-12-06,17.39,17.39,17.35,17.39,873940,HVH
2018-12-07,18.46,18.6,18.21,18.21,538490,HVH
2018-12-10,18.21,18.42,17.81,17.81,287480,HVH
2018-12-11,16.57,16.57,16.57,16.57,107180,HVH
2018-12-12,15.43,15.43,15.43,15.43,167420,HVH
2018-12-13,14.36,15.46,14.36,15.46,737670,HVH
2018-12-14,14.96,15.14,14.43,14.5,243280,HVH
2018-12-17,14.25,14.57,14.25,14.57,362200,HVH
2018-12-18,14.39,14.46,14.32,14.46,72290,HVH
2018-12-19,14.46,14.46,14.22,14.32,130760,HVH
2018-12-20,14.29,14.36,14.18,14.36,76100,HVH
2018-12-21,14.36,14.43,13.82,14.43,151320,HVH
2018-12-24,14.25,14.43,14.25,14.43,106900,HVH
2018-12-25,14.36,14.36,14.18,14.25,92760,HVH
2018-12-26,14.25,14.57,14.25,14.57,155870,HVH
2018-12-27,14.54,14.64,14.54,14.54,90770,HVH
2018-12-28,14.54,15.46,14.43,15.43,528250,HVH
2019-01-02,15.43,15.93,15.43,15.93,359700,HVH
2019-01-03,15.93,16.17,15.25,15.25,494820,HVH
2019-01-04,14.22,14.46,14.22,14.22,356920,HVH
2019-01-07,14.22,14.32,14.04,14.32,175560,HVH
2019-01-08,14.32,14.32,14.18,14.29,71340,HVH
2019-01-09,14.25,14.32,14.18,14.32,95960,HVH
2019-01-10,14.32,14.32,14.14,14.25,116970,HVH
2019-01-11,14.25,14.29,14.18,14.29,91830,HVH
2019-01-14,14.29,14.32,14.22,14.32,79970,HVH
2019-01-15,14.32,14.32,14.25,14.25,92630,HVH
2019-01-16,14.25,14.32,14.25,14.29,113690,HVH
2019-01-17,14.25,14.39,14.25,14.32,108310,HVH
2019-01-18,14.32,14.32,14.25,14.25,87600,HVH
2019-01-21,14.25,14.32,14.25,14.32,81960,HVH
2019-01-22,14.32,14.32,14.22,14.25,91060,HVH
2019-01-23,14.29,14.32,14.25,14.25,74450,HVH
2019-01-24,14.25,14.29,14.25,14.29,97190,HVH
2019-01-25,14.29,14.36,14.25,14.25,96640,HVH
2019-01-28,14.25,14.32,14.22,14.25,101100,HVH
2019-01-29,14.25,14.32,14.22,14.25,113240,HVH
2019-01-30,14.25,14.25,14.22,14.25,91390,HVH
2019-01-31,14.25,14.39,14.25,14.39,88830,HVH
2019-02-01,14.43,14.46,14.36,14.43,97110,HVH
2019-02-11,14.43,14.61,14.43,14.54,79750,HVH
2019-02-12,14.5,14.61,14.5,14.54,108880,HVH
2019-02-13,14.54,14.54,14.43,14.46,128020,HVH
2019-02-14,14.5,14.54,14.46,14.5,77760,HVH
2019-02-15,14.5,14.57,14.43,14.54,85070,HVH
2019-02-18,14.54,14.54,14.46,14.5,80850,HVH
2019-02-19,14.5,15.11,14.5,14.96,560270,HVH
2019-02-20,14.96,15.5,14.93,15.32,520800,HVH
2019-02-21,15.32,15.43,15.11,15.11,211220,HVH
2019-02-22,15.11,15.18,15.03,15.14,129320,HVH
2019-02-25,15.14,15.14,14.96,15.03,155420,HVH
2019-02-26,15.03,15.14,14.93,14.96,118450,HVH
2019-02-27,14.96,15.0,14.93,14.96,108070,HVH
2019-02-28,14.96,15.11,14.96,15.07,180790,HVH
2019-03-01,15.07,15.21,15.03,15.18,130720,HVH
2019-03-04,15.21,16.21,15.21,16.21,527870,HVH
2019-03-05,16.25,16.67,16.21,16.32,617940,HVH
2019-03-06,16.32,16.5,15.71,15.96,386870,HVH
2019-03-07,15.93,15.96,15.53,15.71,294770,HVH
2019-03-08,15.71,15.93,15.6,15.82,179310,HVH
2019-03-11,15.82,16.1,15.78,16.1,168410,HVH
2019-03-12,16.14,16.21,16.0,16.0,154680,HVH
2019-03-13,16.07,16.1,15.93,16.0,103150,HVH
2019-03-14,16.03,16.03,15.93,16.03,96810,HVH
2019-03-15,16.03,17.14,16.03,17.14,862500,HVH
2019-03-18,17.81,17.81,17.1,17.51,339100,HVH
2019-03-19,17.47,17.51,17.17,17.17,156010,HVH
2019-03-20,17.17,17.17,16.88,17.03,200360,HVH
2019-03-21,17.03,17.77,17.03,17.58,436240,HVH
2019-03-22,17.62,18.03,17.51,18.03,372430,HVH
2019-03-25,17.99,17.99,17.55,17.55,281320,HVH
2019-03-26,17.55,17.55,17.25,17.36,127770,HVH
2019-03-27,17.36,17.88,17.36,17.81,232990,HVH
2019-03-28,17.77,17.99,17.77,17.96,131910,HVH
2019-03-29,17.96,18.03,17.92,17.99,147180,HVH
2019-04-01,17.88,17.92,17.81,17.84,92920,HVH
2019-04-02,17.81,17.88,17.81,17.81,134620,HVH
2019-04-03,17.81,17.96,17.81,17.96,165300,HVH
2019-04-04,17.96,18.33,17.96,18.22,242710,HVH
2019-04-05,18.22,18.55,18.22,18.55,417930,HVH
2019-04-08,18.55,18.62,18.22,18.22,136510,HVH
2019-04-09,18.22,18.22,17.84,18.03,149350,HVH
2019-04-10,17.99,18.07,17.84,17.84,191540,HVH
2019-04-11,17.84,18.14,17.84,18.07,215970,HVH
2019-04-12,18.07,18.14,18.07,18.1,129560,HVH
2019-04-16,18.07,18.07,17.92,17.99,143780,HVH
2019-04-17,17.99,18.07,17.73,17.81,526480,HVH
2019-04-18,17.81,17.84,17.77,17.81,145820,HVH
2019-04-19,17.81,17.99,17.81,17.92,153970,HVH
2019-04-22,17.92,17.92,17.81,17.92,129470,HVH
2019-04-23,17.88,17.92,17.84,17.92,103600,HVH
2019-04-24,17.92,19.14,17.92,19.14,860770,HVH
2019-04-25,19.18,19.7,19.18,19.33,540210,HVH
2019-04-26,19.33,19.52,18.59,18.74,291370,HVH
2019-05-02,18.74,19.37,18.74,19.37,406090,HVH
2019-05-03,19.37,20.26,19.37,19.96,601720,HVH
2019-05-06,19.93,19.93,19.4,19.59,225880,HVH
2019-05-07,19.55,19.96,19.29,19.63,303400,HVH
2019-05-08,19.48,19.7,19.44,19.63,203580,HVH
2019-05-09,19.63,20.45,19.63,20.07,304800,HVH
2019-05-10,20.07,20.22,19.74,20.04,178600,HVH
2019-05-13,20.04,20.19,19.89,20.15,173710,HVH
2019-05-14,20.11,20.15,19.63,19.93,190100,HVH
2019-05-15,19.93,20.85,19.93,20.41,410250,HVH
2019-05-16,20.37,20.45,20.19,20.3,129010,HVH
2019-05-17,20.3,20.33,19.85,19.85,174890,HVH
2019-05-20,19.81,19.85,18.7,19.33,353170,HVH
2019-05-21,19.33,19.44,19.07,19.44,177160,HVH
2019-05-22,19.37,19.55,19.29,19.44,163220,HVH
2019-05-23,19.37,19.44,19.11,19.29,137080,HVH
2019-05-24,19.29,19.37,19.11,19.37,184760,HVH
2019-05-27,19.33,19.4,19.26,19.4,105280,HVH
2019-05-28,19.37,20.11,19.37,20.07,303980,HVH
2019-05-29,20.07,20.22,19.96,20.19,189700,HVH
2019-05-30,20.15,20.26,20.0,20.26,190440,HVH
2019-05-31,20.22,20.3,19.59,19.96,169190,HVH
2019-06-03,19.93,20.15,19.78,20.07,204240,HVH
2019-06-04,20.07,20.48,20.0,20.48,200400,HVH
2019-06-05,20.48,20.63,20.41,20.48,175390,HVH
2019-06-06,20.45,20.48,20.19,20.3,119240,HVH
2019-06-07,20.3,20.33,18.88,18.88,457640,HVH
2019-06-10,18.85,18.85,17.58,18.59,467890,HVH
2019-06-11,18.59,18.74,18.51,18.66,160880,HVH
2019-06-12,18.66,18.7,18.48,18.55,150510,HVH
