time,open,high,low,close,volume,ticker
2010-02-01,9.8,9.8,9.8,9.8,26580,KDH
2010-02-02,10.21,10.21,10.21,10.21,12200,KDH
2010-02-03,10.62,10.62,10.21,10.21,102450,KDH
2010-02-04,10.21,10.21,10.01,10.21,56210,KDH
2010-02-05,9.8,9.82,9.7,9.7,18600,KDH
2010-02-08,10.11,10.11,9.29,10.11,70990,KDH
2010-02-09,10.11,10.11,9.64,10.01,11870,KDH
2010-02-10,10.01,10.01,9.99,10.01,8220,KDH
2010-02-11,9.7,10.01,9.7,9.8,9350,KDH
2010-02-12,9.6,9.8,9.5,9.8,22660,KDH
2010-02-22,9.54,9.7,9.42,9.64,17500,KDH
2010-02-23,9.17,9.56,9.17,9.17,28090,KDH
2010-02-24,9.17,9.17,8.72,8.74,19610,KDH
2010-02-25,8.68,9.13,8.68,8.99,8700,KDH
2010-02-26,9.15,9.15,8.99,9.13,18410,KDH
2010-03-01,9.19,9.19,9.09,9.19,24900,KDH
2010-03-02,9.07,9.15,8.82,9.07,5560,KDH
2010-03-03,8.78,8.99,8.76,8.78,7850,KDH
2010-03-04,9.05,9.19,9.05,9.09,7700,KDH
2010-03-05,8.64,8.95,8.64,8.64,10450,KDH
2010-03-08,9.07,9.07,8.8,9.07,129570,KDH
2010-03-09,9.52,9.52,9.19,9.52,85600,KDH
2010-03-10,9.52,9.84,9.4,9.52,43550,KDH
2010-03-11,9.31,9.78,9.19,9.19,67670,KDH
2010-03-12,9.19,9.4,9.19,9.4,7940,KDH
2010-03-15,9.7,9.7,9.35,9.4,69650,KDH
2010-03-16,9.01,9.29,9.01,9.01,61450,KDH
2010-03-17,8.78,9.03,8.68,8.78,46310,KDH
2010-03-18,9.09,9.09,8.78,9.09,15510,KDH
2010-03-19,9.11,9.17,8.99,9.11,50590,KDH
2010-03-22,9.37,9.37,9.19,9.19,18200,KDH
2010-03-23,9.19,9.19,9.11,9.19,49500,KDH
2010-03-24,9.29,9.29,9.19,9.29,13920,KDH
2010-03-25,9.29,9.29,9.19,9.27,8120,KDH
2010-03-26,9.7,9.7,9.09,9.7,131440,KDH
2010-03-29,10.01,10.01,9.42,9.42,63430,KDH
2010-03-30,9.4,9.46,9.19,9.4,7190,KDH
2010-03-31,8.99,9.4,8.99,8.99,108900,KDH
2010-04-01,8.99,9.4,8.99,9.4,111250,KDH
2010-04-02,9.48,9.48,9.23,9.4,68990,KDH
2010-04-05,9.5,9.5,9.31,9.5,91760,KDH
2010-04-06,9.54,9.6,9.5,9.54,72100,KDH
2010-04-07,9.56,9.7,9.5,9.7,126820,KDH
2010-04-08,9.6,10.17,9.6,10.17,145510,KDH
2010-04-09,10.42,10.52,10.17,10.31,44460,KDH
2010-04-12,10.31,10.42,10.21,10.31,83300,KDH
2010-04-13,10.31,10.31,10.01,10.01,41460,KDH
2010-04-14,9.91,10.03,9.8,9.91,24000,KDH
2010-04-15,10.21,10.21,9.91,10.21,87190,KDH
2010-04-16,10.01,10.31,10.01,10.31,75610,KDH
2010-04-19,10.83,10.83,10.72,10.72,164050,KDH
2010-04-20,10.72,11.23,10.72,11.23,156670,KDH
2010-04-21,11.64,11.74,11.54,11.74,118500,KDH
2010-04-22,11.23,11.74,11.23,11.23,174970,KDH
2010-04-26,11.64,11.74,11.23,11.54,102940,KDH
2010-04-27,11.64,11.74,11.13,11.54,147630,KDH
2010-04-28,11.44,11.54,11.13,11.44,103770,KDH
2010-04-29,11.44,11.44,10.93,11.23,165780,KDH
2010-05-04,11.44,11.54,11.23,11.44,125360,KDH
2010-05-05,11.03,11.13,10.93,11.03,96700,KDH
2010-05-06,10.93,10.93,10.62,10.62,62800,KDH
2010-05-07,10.42,10.72,10.21,10.72,110870,KDH
2010-05-10,10.72,10.72,10.19,10.19,77230,KDH
2010-05-11,10.42,10.62,10.07,10.62,51470,KDH
2010-05-12,10.31,10.42,10.11,10.11,46550,KDH
2010-05-13,10.21,10.52,10.21,10.52,36720,KDH
2010-05-14,10.83,10.83,10.52,10.72,58210,KDH
2010-05-17,10.83,10.83,10.31,10.62,84520,KDH
2010-05-18,10.42,10.52,10.21,10.52,114950,KDH
2010-05-19,10.52,10.52,10.01,10.31,155080,KDH
2010-05-20,9.8,10.42,9.8,10.42,95120,KDH
2010-05-21,10.21,10.31,10.07,10.21,109150,KDH
2010-05-24,10.21,10.31,10.21,10.31,60650,KDH
2010-05-25,10.21,10.42,10.01,10.42,57590,KDH
2010-05-26,10.42,10.42,10.21,10.42,96110,KDH
2010-05-27,10.07,10.42,10.07,10.42,61380,KDH
2010-05-28,10.62,10.62,10.31,10.62,84200,KDH
2010-05-31,10.42,10.52,10.31,10.52,57600,KDH
2010-06-01,10.62,10.62,10.31,10.62,47960,KDH
2010-06-02,10.31,10.72,10.31,10.72,87300,KDH
2010-06-03,10.72,10.72,10.62,10.72,52510,KDH
2010-06-04,10.72,10.72,10.31,10.52,58150,KDH
2010-06-07,10.52,10.52,10.05,10.31,83850,KDH
2010-06-08,10.21,10.21,10.11,10.21,70270,KDH
2010-06-09,10.21,10.42,10.15,10.21,33780,KDH
2010-06-10,10.42,10.42,10.21,10.42,70750,KDH
2010-06-11,10.31,10.42,10.21,10.42,82800,KDH
2010-06-14,10.42,10.42,10.21,10.42,116030,KDH
2010-06-15,10.21,10.42,10.21,10.42,221420,KDH
2010-06-16,10.42,10.62,10.31,10.62,292870,KDH
