time,open,high,low,close,volume,ticker
2010-12-15,4.97,5.5,4.97,5.15,6500,KMT
2010-12-16,4.97,4.97,4.97,4.97,200,KMT
2010-12-17,5.15,5.15,5.15,5.15,200,KMT
2010-12-20,5.15,5.15,5.15,5.15,0,KMT
2010-12-21,5.04,5.04,5.04,5.04,200,KMT
2010-12-22,5.04,5.04,5.04,5.04,0,KMT
2010-12-23,5.04,5.04,5.04,5.04,0,KMT
2010-12-24,4.79,4.79,4.72,4.72,300,KMT
2010-12-27,4.72,4.72,4.72,4.72,0,KMT
2010-12-28,4.44,4.44,4.44,4.44,1300,KMT
2010-12-29,4.26,4.26,4.26,4.26,100,KMT
2010-12-30,4.53,4.53,4.53,4.53,0,KMT
2010-12-31,4.34,4.34,4.34,4.34,100,KMT
2011-01-04,4.64,4.64,4.64,4.64,100,KMT
2011-01-05,4.95,4.95,4.95,4.95,1500,KMT
2011-01-06,5.29,5.29,5.29,5.29,4300,KMT
2011-01-07,5.29,5.29,5.02,5.02,200,KMT
2011-01-10,5.02,5.02,5.02,5.02,0,KMT
2011-01-11,5.25,5.25,5.25,5.25,200,KMT
2011-01-12,5.29,5.29,4.91,4.91,200,KMT
2011-01-13,4.91,4.91,4.91,4.91,0,KMT
2011-01-14,5.1,5.1,5.1,5.1,100,KMT
2011-01-17,5.1,5.1,5.1,5.1,0,KMT
2011-01-18,4.76,4.76,4.76,4.76,100,KMT
2011-01-19,4.76,4.76,4.76,4.76,0,KMT
2011-01-20,4.91,4.91,4.91,4.91,100,KMT
2011-01-21,4.91,4.91,4.91,4.91,0,KMT
2011-01-24,5.1,5.1,4.61,4.61,200,KMT
2011-01-25,4.57,4.57,4.57,4.57,200,KMT
2011-01-26,4.53,4.53,4.53,4.53,300,KMT
2011-01-27,4.53,4.53,4.53,4.53,0,KMT
2011-01-28,4.53,4.53,4.53,4.53,0,KMT
2011-02-08,4.53,4.53,4.53,4.53,0,KMT
2011-02-09,4.53,4.53,4.53,4.53,0,KMT
2011-02-10,4.83,4.83,4.83,4.83,100,KMT
2011-02-11,4.83,4.83,4.83,4.83,0,KMT
2011-02-14,4.53,4.53,4.53,4.53,100,KMT
2011-02-15,4.53,4.53,4.53,4.53,0,KMT
2011-02-16,4.53,4.53,4.53,4.53,0,KMT
2011-02-17,4.83,4.83,4.83,4.83,200,KMT
2011-02-18,5.13,5.13,5.06,5.13,1200,KMT
2011-02-21,5.13,5.13,5.13,5.13,0,KMT
2011-02-22,5.1,5.21,5.1,5.21,300,KMT
2011-02-23,5.21,5.21,5.21,5.21,0,KMT
2011-02-24,5.21,5.21,5.21,5.21,0,KMT
2011-02-25,5.1,5.1,5.1,5.1,100,KMT
2011-02-28,5.1,5.1,5.1,5.1,0,KMT
2011-03-01,4.76,4.76,4.76,4.76,100,KMT
2011-03-02,4.49,5.06,4.49,5.06,200,KMT
2011-03-03,4.91,4.91,4.91,4.91,1700,KMT
2011-03-04,4.91,4.91,4.91,4.91,0,KMT
2011-03-07,4.87,4.87,4.87,4.87,200,KMT
2011-03-08,4.87,4.87,4.87,4.87,0,KMT
2011-03-09,4.87,4.87,4.87,4.87,100,KMT
2011-03-10,4.87,4.87,4.87,4.87,0,KMT
2011-03-11,4.87,4.87,4.87,4.87,0,KMT
2011-03-14,4.83,4.83,4.83,4.83,200,KMT
2011-03-15,4.72,4.72,4.72,4.72,100,KMT
2011-03-16,4.72,4.72,4.72,4.72,0,KMT
2011-03-17,4.72,4.72,4.72,4.72,0,KMT
2011-03-18,4.42,4.42,4.42,4.42,100,KMT
2011-03-21,4.42,4.42,4.42,4.42,0,KMT
2011-03-22,4.15,4.15,4.11,4.11,400,KMT
2011-03-23,4.11,4.11,4.11,4.11,0,KMT
2011-03-24,3.85,3.85,3.85,3.85,400,KMT
2011-03-25,3.78,3.78,3.74,3.74,6000,KMT
2011-03-28,3.96,3.96,3.59,3.59,200,KMT
2011-03-29,3.59,3.59,3.59,3.59,0,KMT
2011-03-30,3.59,3.59,3.59,3.59,0,KMT
2011-03-31,3.93,3.93,3.93,3.93,100,KMT
2011-04-01,3.93,3.93,3.93,3.93,0,KMT
2011-04-04,3.93,3.93,3.93,3.93,0,KMT
2011-04-05,3.93,3.93,3.93,3.93,0,KMT
2011-04-06,3.66,3.66,3.66,3.66,100,KMT
2011-04-07,3.66,3.66,3.66,3.66,0,KMT
2011-04-08,3.66,3.66,3.66,3.66,0,KMT
2011-04-13,3.66,3.66,3.66,3.66,0,KMT
2011-04-14,3.66,3.66,3.66,3.66,0,KMT
2011-04-15,3.47,3.89,3.47,3.89,200,KMT
2011-04-18,3.85,3.85,3.85,3.85,300,KMT
2011-04-19,3.85,3.85,3.85,3.85,0,KMT
2011-04-20,3.89,3.89,3.89,3.89,100,KMT
2011-04-21,3.89,3.89,3.89,3.89,0,KMT
2011-04-22,3.78,4.15,3.78,4.15,300,KMT
2011-04-25,4.15,4.15,4.15,4.15,0,KMT
2011-04-26,4.15,4.15,4.15,4.15,0,KMT
2011-04-27,4.11,4.11,4.11,4.11,1100,KMT
2011-04-28,4.36,4.36,4.36,4.36,100,KMT
2011-04-29,4.66,4.66,4.66,4.66,100,KMT
2011-05-04,4.36,4.36,4.36,4.36,100,KMT
2011-05-05,4.36,4.36,4.36,4.36,0,KMT
2011-05-06,4.36,4.36,4.36,4.36,0,KMT
2011-05-09,4.36,4.36,4.36,4.36,0,KMT
2011-05-10,4.07,4.07,4.07,4.07,100,KMT
2011-05-11,3.82,3.82,3.82,3.82,100,KMT
2011-05-12,4.07,4.07,3.78,3.78,1300,KMT
2011-05-13,3.65,3.65,3.65,3.65,100,KMT
2011-05-16,3.4,3.4,3.4,3.4,900,KMT
2011-05-17,3.4,3.4,3.4,3.4,0,KMT
2011-05-18,3.4,3.4,3.4,3.4,2900,KMT
2011-05-19,3.4,3.4,3.4,3.4,0,KMT
2011-05-20,3.44,3.44,3.44,3.44,2200,KMT
2011-05-23,3.44,3.44,3.44,3.44,0,KMT
2011-05-24,3.44,3.44,3.44,3.44,500,KMT
2011-05-25,3.23,3.23,3.23,3.23,400,KMT
2011-05-26,3.27,3.27,3.27,3.27,700,KMT
2011-05-27,3.27,3.27,3.27,3.27,0,KMT
2011-05-30,3.27,3.27,3.27,3.27,0,KMT
2011-05-31,3.27,3.27,3.27,3.27,0,KMT
2011-06-01,3.48,3.48,3.44,3.44,2200,KMT
2011-06-02,3.36,3.36,3.27,3.27,200,KMT
2011-06-03,3.27,3.27,3.27,3.27,0,KMT
2011-06-06,3.27,3.27,3.27,3.27,0,KMT
2011-06-07,3.1,3.1,3.1,3.1,100,KMT
2011-06-08,3.31,3.31,3.1,3.1,1200,KMT
2011-06-09,2.89,3.31,2.89,3.31,7300,KMT
2011-06-10,3.23,3.23,3.23,3.23,100,KMT
2011-06-13,3.44,3.44,3.44,3.44,3000,KMT
2011-06-14,3.65,3.65,3.44,3.44,4700,KMT
2011-06-15,3.52,3.52,3.48,3.48,4100,KMT
2011-06-16,3.48,3.48,3.48,3.48,1400,KMT
2011-06-17,3.48,3.69,3.48,3.48,1700,KMT
