time,open,high,low,close,volume,ticker
2010-01-20,2.99,2.99,2.99,2.99,20,KSB
2010-01-21,3.14,3.14,3.14,3.14,20,KSB
2010-01-22,3.3,3.3,3.3,3.3,10,KSB
2010-01-25,3.46,3.46,3.46,3.46,20,KSB
2010-01-26,3.64,3.64,3.64,3.64,20,KSB
2010-01-27,3.81,3.81,3.81,3.81,20,KSB
2010-01-28,3.99,3.99,3.99,3.99,8000,KSB
2010-01-29,4.17,4.17,4.17,4.17,1020,KSB
2010-02-01,4.31,4.35,4.28,4.35,205650,KSB
2010-02-02,4.53,4.53,4.24,4.24,87660,KSB
2010-02-03,4.28,4.28,4.21,4.24,15730,KSB
2010-02-04,4.24,4.35,4.1,4.24,32360,KSB
2010-02-05,4.21,4.24,4.06,4.06,99420,KSB
2010-02-08,3.99,4.03,3.88,3.88,86260,KSB
2010-02-09,3.81,3.99,3.81,3.99,21980,KSB
2010-02-10,4.13,4.13,3.99,4.03,46980,KSB
2010-02-11,4.06,4.06,3.92,4.06,29860,KSB
2010-02-12,4.13,4.13,4.03,4.03,16200,KSB
2010-02-22,4.06,4.06,3.92,3.99,24430,KSB
2010-02-23,3.88,3.92,3.81,3.81,52540,KSB
2010-02-24,3.81,3.99,3.78,3.99,45540,KSB
2010-02-25,4.1,4.13,3.99,4.06,49370,KSB
2010-02-26,4.03,4.06,3.96,3.99,26660,KSB
2010-03-01,3.99,4.17,3.99,4.06,82290,KSB
2010-03-02,4.1,4.1,3.99,3.99,59240,KSB
2010-03-03,4.1,4.1,3.99,3.99,11990,KSB
2010-03-04,4.06,4.1,3.99,4.03,67340,KSB
2010-03-05,4.03,4.21,4.03,4.21,118420,KSB
2010-03-08,4.24,4.35,4.13,4.13,68000,KSB
2010-03-09,4.24,4.31,4.21,4.31,121310,KSB
2010-03-10,4.49,4.53,4.38,4.53,100670,KSB
2010-03-11,4.7,4.74,4.7,4.74,110820,KSB
2010-03-12,4.95,4.95,4.78,4.92,204770,KSB
2010-03-15,4.99,4.99,4.7,4.78,69650,KSB
2010-03-16,4.63,4.81,4.6,4.63,136220,KSB
2010-03-17,4.67,4.78,4.56,4.7,87110,KSB
2010-03-18,4.85,4.85,4.67,4.85,54740,KSB
2010-03-19,4.74,4.78,4.7,4.7,25480,KSB
2010-03-22,4.63,4.7,4.56,4.63,25430,KSB
2010-03-23,4.45,4.59,4.45,4.45,36220,KSB
2010-03-24,4.59,4.67,4.59,4.67,43340,KSB
2010-03-25,4.56,4.81,4.45,4.67,64560,KSB
2010-03-26,4.67,4.7,4.59,4.67,23370,KSB
2010-03-29,4.63,4.89,4.63,4.89,113090,KSB
2010-03-30,4.96,4.96,4.78,4.78,44400,KSB
2010-03-31,4.7,4.89,4.7,4.85,44990,KSB
2010-04-01,4.85,4.85,4.74,4.85,25860,KSB
2010-04-02,4.78,4.78,4.63,4.7,55130,KSB
2010-04-05,4.7,4.81,4.7,4.7,59890,KSB
2010-04-06,4.89,4.93,4.89,4.89,160090,KSB
2010-04-07,5.0,5.07,4.89,5.0,69570,KSB
2010-04-08,4.85,5.04,4.85,4.96,26360,KSB
2010-04-09,4.96,4.96,4.78,4.81,72800,KSB
