time,open,high,low,close,volume,ticker
2010-12-31,8.05,9.43,8.05,9.43,31400,KTS
2011-01-04,8.14,8.14,8.14,8.14,11900,KTS
2011-01-05,7.71,8.28,7.71,8.28,8800,KTS
2011-01-06,7.96,8.51,7.96,8.51,17500,KTS
2011-01-07,8.51,8.51,8.51,8.51,3300,KTS
2011-01-10,8.51,8.97,8.51,8.97,19300,KTS
2011-01-11,9.48,9.48,9.48,9.48,100,KTS
2011-01-12,8.86,8.86,8.83,8.83,3000,KTS
2011-01-13,8.97,8.97,8.97,8.97,100,KTS
2011-01-14,8.97,8.97,8.97,8.97,7500,KTS
2011-01-17,8.74,8.97,8.74,8.97,7700,KTS
2011-01-18,8.97,8.97,8.97,8.97,1000,KTS
2011-01-19,8.97,8.97,8.97,8.97,1500,KTS
2011-01-20,8.97,8.97,8.97,8.97,0,KTS
2011-01-21,8.97,8.97,8.97,8.97,0,KTS
2011-01-24,8.97,8.97,8.97,8.97,0,KTS
2011-01-25,8.97,8.97,8.97,8.97,42000,KTS
2011-01-26,8.97,8.97,8.97,8.97,0,KTS
2011-01-27,8.97,8.97,8.97,8.97,3000,KTS
2011-01-28,8.97,8.97,8.97,8.97,0,KTS
2011-02-08,9.59,9.59,9.59,9.59,100,KTS
2011-02-09,9.59,9.59,9.59,9.59,0,KTS
2011-02-10,10.24,10.24,10.24,10.24,100,KTS
2011-02-11,10.24,10.24,10.24,10.24,0,KTS
2011-02-14,9.55,9.55,9.55,9.55,200,KTS
2011-02-15,8.97,8.97,8.97,8.97,200,KTS
2011-02-16,9.57,9.57,9.57,9.57,100,KTS
2011-02-17,8.97,10.24,8.97,10.24,300,KTS
2011-02-18,8.74,8.74,8.74,8.74,100,KTS
2011-02-21,8.74,8.74,8.74,8.74,0,KTS
2011-02-22,8.74,8.74,8.74,8.74,0,KTS
2011-02-23,8.14,8.14,8.14,8.14,200,KTS
2011-02-24,7.59,7.59,7.59,7.59,200,KTS
2011-02-25,7.06,7.06,7.06,7.06,100,KTS
2011-02-28,7.06,7.06,7.06,7.06,0,KTS
2011-03-01,6.67,6.67,6.67,6.67,200,KTS
2011-03-02,6.21,6.21,6.21,6.21,100,KTS
2011-03-03,5.87,5.87,5.87,5.87,200,KTS
2011-03-04,5.87,5.87,5.87,5.87,0,KTS
2011-03-07,5.52,5.52,5.52,5.52,500,KTS
2011-03-08,5.24,5.24,5.24,5.24,100,KTS
2011-03-09,5.24,5.24,5.24,5.24,0,KTS
2011-03-10,5.24,5.24,5.24,5.24,0,KTS
2011-03-11,5.24,5.24,5.24,5.24,0,KTS
2011-03-14,4.97,4.97,4.97,4.97,300,KTS
2011-03-15,4.97,4.97,4.97,4.97,0,KTS
2011-03-16,4.97,4.97,4.97,4.97,0,KTS
2011-03-17,4.97,4.97,4.97,4.97,0,KTS
2011-03-18,4.62,4.62,4.62,4.62,100,KTS
2011-03-21,4.35,4.35,4.35,4.35,100,KTS
2011-03-22,4.35,4.35,4.35,4.35,0,KTS
2011-03-23,4.35,4.35,4.35,4.35,0,KTS
2011-03-24,4.35,4.35,4.35,4.35,0,KTS
2011-03-25,4.35,4.35,4.35,4.35,0,KTS
2011-03-28,4.35,4.35,4.35,4.35,0,KTS
2011-03-29,4.35,4.35,4.35,4.35,0,KTS
2011-03-30,4.35,4.35,4.35,4.35,0,KTS
2011-03-31,4.35,4.35,4.35,4.35,0,KTS
2011-04-01,4.35,4.35,4.35,4.35,0,KTS
2011-04-04,4.65,4.65,4.65,4.65,200,KTS
2011-04-05,4.65,4.65,4.65,4.65,0,KTS
2011-04-06,4.65,4.65,4.65,4.65,0,KTS
2011-04-07,4.65,4.65,4.65,4.65,0,KTS
2011-04-08,4.65,4.65,4.65,4.65,0,KTS
2011-04-13,4.65,4.65,4.65,4.65,0,KTS
2011-04-14,4.65,4.65,4.65,4.65,0,KTS
2011-04-15,4.65,4.65,4.65,4.65,0,KTS
2011-04-18,4.65,4.65,4.65,4.65,0,KTS
2011-04-19,4.65,4.65,4.65,4.65,0,KTS
2011-04-20,4.65,4.65,4.65,4.65,0,KTS
2011-04-21,4.65,4.65,4.65,4.65,0,KTS
2011-04-22,4.65,4.65,4.65,4.65,0,KTS
2011-04-25,4.65,4.65,4.65,4.65,0,KTS
2011-04-26,4.32,4.32,4.32,4.32,100,KTS
2011-04-27,4.32,4.32,4.32,4.32,0,KTS
2011-04-28,4.32,4.32,4.32,4.32,0,KTS
2011-04-29,4.32,4.32,4.32,4.32,0,KTS
2011-05-04,4.03,4.03,4.03,4.03,100,KTS
2011-05-05,4.03,4.03,4.03,4.03,0,KTS
2011-05-06,4.03,4.03,4.03,4.03,0,KTS
2011-05-09,4.03,4.03,4.03,4.03,0,KTS
2011-05-10,4.03,4.03,4.03,4.03,0,KTS
2011-05-11,4.03,4.03,4.03,4.03,0,KTS
2011-05-12,4.03,4.03,4.03,4.03,0,KTS
2011-05-13,4.03,4.03,4.03,4.03,0,KTS
2011-05-16,4.86,4.86,4.86,4.86,0,KTS
2011-05-17,4.86,4.86,4.86,4.86,0,KTS
2011-05-18,4.86,4.86,4.86,4.86,0,KTS
2011-05-19,4.86,4.86,4.86,4.86,0,KTS
2011-05-20,4.86,4.86,4.86,4.86,0,KTS
2011-05-23,3.78,3.78,3.78,3.78,100,KTS
2011-05-24,3.78,3.78,3.78,3.78,0,KTS
2011-05-25,3.78,3.78,3.78,3.78,0,KTS
2011-05-26,3.78,3.78,3.78,3.78,0,KTS
2011-05-27,3.78,3.78,3.78,3.78,0,KTS
2011-05-30,3.78,3.78,3.78,3.78,0,KTS
2011-05-31,3.78,3.78,3.78,3.78,0,KTS
2011-06-01,3.78,3.78,3.78,3.78,0,KTS
2011-06-02,3.78,3.78,3.78,3.78,0,KTS
