time,open,high,low,close,volume,ticker
2006-12-20,3.04,3.04,3.04,3.04,14410,LBM
2006-12-21,3.04,3.04,2.89,2.89,5560,LBM
2006-12-22,2.89,2.89,2.75,2.75,10,LBM
2006-12-25,2.61,2.61,2.61,2.61,2860,LBM
2006-12-26,2.48,2.48,2.48,2.48,10060,LBM
2006-12-27,2.36,2.36,2.36,2.36,12900,LBM
2006-12-28,2.25,2.25,2.25,2.25,1500,LBM
2006-12-29,2.25,2.25,2.14,2.14,550,LBM
2007-01-02,2.14,2.14,2.03,2.03,10,LBM
2007-01-03,2.03,2.03,1.93,1.93,510,LBM
2007-01-04,1.84,1.84,1.84,1.84,10,LBM
2007-01-05,1.84,1.84,1.76,1.76,71290,LBM
2007-01-08,1.84,1.84,1.84,1.84,39040,LBM
2007-01-09,1.93,1.93,1.93,1.93,79720,LBM
2007-01-10,1.93,1.93,1.9,1.9,50820,LBM
2007-01-11,1.9,1.9,1.9,1.9,3740,LBM
2007-01-12,1.82,1.82,1.81,1.81,5300,LBM
2007-01-15,1.81,1.81,1.74,1.74,3310,LBM
2007-01-16,1.65,1.65,1.65,1.65,18700,LBM
2007-01-17,1.68,1.68,1.58,1.68,5400,LBM
2007-01-18,1.68,1.68,1.67,1.68,6600,LBM
2007-01-19,1.6,1.68,1.6,1.68,14600,LBM
2007-01-22,1.68,1.68,1.59,1.59,4100,LBM
2007-01-23,1.59,1.59,1.52,1.52,10210,LBM
2007-01-24,1.52,1.52,1.52,1.52,18100,LBM
2007-01-25,1.58,1.58,1.58,1.58,4900,LBM
2007-01-26,1.58,1.66,1.58,1.66,20450,LBM
2007-01-29,1.66,1.66,1.6,1.6,12710,LBM
2007-01-30,1.6,1.6,1.6,1.6,4860,LBM
2007-01-31,1.6,1.6,1.56,1.56,7370,LBM
2007-02-01,1.56,1.58,1.56,1.56,6490,LBM
2007-02-02,1.56,1.56,1.56,1.56,4590,LBM
2007-02-05,1.6,1.64,1.5,1.64,10030,LBM
2007-02-06,1.71,1.71,1.68,1.71,29430,LBM
2007-02-07,1.75,1.79,1.75,1.79,22850,LBM
2007-02-08,1.87,1.87,1.87,1.87,29810,LBM
2007-02-09,1.96,1.96,1.96,1.96,29840,LBM
2007-02-12,2.06,2.06,2.06,2.06,33190,LBM
2007-02-13,2.06,2.06,2.02,2.02,17260,LBM
2007-02-14,2.02,2.02,1.92,1.97,10400,LBM
