time,open,high,low,close,volume,ticker
2017-08-16,18.41,18.41,15.78,18.41,1000,LLM
2017-08-17,16.83,16.83,16.83,16.83,0,LLM
2017-08-18,19.29,19.29,19.29,19.29,300,LLM
2017-08-21,19.29,19.29,19.29,19.29,300,LLM
2017-08-22,19.29,19.29,19.29,19.29,0,LLM
2017-08-23,18.41,18.41,18.41,18.41,400,LLM
2017-08-24,15.69,15.69,15.69,15.69,100,LLM
2017-08-25,13.41,13.41,13.41,13.41,600,LLM
2017-08-28,11.49,11.49,11.49,11.49,100,LLM
2017-08-29,9.82,9.82,9.82,9.82,100,LLM
2017-08-30,8.77,8.77,8.42,8.42,1100,LLM
2017-08-31,7.54,9.64,7.45,7.54,14900,LLM
2017-09-01,7.01,8.59,6.49,8.59,400,LLM
2017-09-05,8.77,8.77,8.77,8.77,2200,LLM
2017-09-06,7.45,8.77,7.45,8.77,300,LLM
2017-09-07,8.77,8.77,8.77,8.77,100,LLM
2017-09-08,8.77,8.77,7.45,7.45,2500,LLM
2017-09-11,7.89,7.89,7.45,7.89,3000,LLM
2017-09-12,8.77,8.77,8.33,8.33,800,LLM
2017-09-13,7.45,8.5,7.45,8.5,200,LLM
2017-09-14,7.19,8.33,7.19,8.33,200,LLM
2017-09-15,8.77,8.77,7.89,7.89,400,LLM
2017-09-18,8.33,8.33,8.33,8.33,400,LLM
2017-09-19,7.54,8.77,7.54,8.77,300,LLM
2017-09-20,8.77,8.77,8.59,8.59,500,LLM
2017-09-21,8.77,8.77,8.77,8.77,9000,LLM
2017-09-22,8.68,8.85,8.68,8.77,5800,LLM
2017-09-25,8.68,8.77,8.68,8.77,3800,LLM
2017-09-26,8.77,9.21,8.77,9.21,3100,LLM
2017-09-27,9.64,9.64,9.64,9.64,500,LLM
2017-09-28,9.64,9.64,9.64,9.64,0,LLM
2017-09-29,9.64,9.64,9.64,9.64,0,LLM
2017-10-02,9.64,9.64,9.64,9.64,1000,LLM
2017-10-03,9.64,9.64,9.64,9.64,0,LLM
2017-10-04,9.64,9.64,9.64,9.64,0,LLM
2017-10-05,9.64,9.64,9.64,9.64,0,LLM
2017-10-06,9.64,9.64,9.64,9.64,0,LLM
2017-10-09,9.64,9.64,9.64,9.64,0,LLM
2017-10-10,9.64,9.64,9.64,9.64,0,LLM
2017-10-11,9.64,9.64,9.64,9.64,0,LLM
2017-10-12,9.64,9.64,9.64,9.64,0,LLM
2017-10-13,9.64,9.64,9.64,9.64,1300,LLM
2017-10-16,9.64,9.64,9.64,9.64,0,LLM
2017-10-17,9.64,9.64,9.64,9.64,0,LLM
2017-10-18,9.64,9.64,9.64,9.64,1300,LLM
2017-10-19,9.64,9.64,9.64,9.64,0,LLM
2017-10-20,8.68,8.68,8.68,8.68,100,LLM
2017-10-23,8.68,8.68,8.68,8.68,0,LLM
2017-10-24,9.64,9.64,9.64,9.64,100,LLM
2017-10-25,9.64,9.64,9.64,9.64,0,LLM
2017-10-26,9.64,9.64,9.64,9.64,0,LLM
2017-10-27,9.64,9.64,9.64,9.64,0,LLM
2017-10-30,9.67,9.67,9.67,9.67,0,LLM
2017-10-31,10.74,10.74,10.74,10.74,1000,LLM
2017-11-01,9.13,9.13,9.13,9.13,100,LLM
2017-11-02,10.47,10.47,8.86,8.86,3100,LLM
2017-11-03,10.38,10.38,10.38,10.38,0,LLM
2017-11-06,9.49,9.49,9.49,9.49,100,LLM
2017-11-07,10.29,10.65,10.29,10.65,7000,LLM
2017-11-08,9.04,9.04,9.04,9.04,100,LLM
2017-11-09,10.29,10.29,10.29,10.29,1000,LLM
2017-11-10,11.55,11.55,11.55,11.55,100,LLM
2017-11-13,9.85,9.85,9.85,9.85,100,LLM
2017-11-14,9.4,9.4,9.4,9.4,100,LLM
2017-11-15,10.74,10.74,10.74,10.74,200,LLM
2017-11-16,9.85,9.85,9.85,9.85,100,LLM
2017-11-17,9.4,9.4,9.4,9.4,100,LLM
2017-11-20,9.04,9.04,9.04,9.04,100,LLM
2017-11-21,9.4,9.4,8.95,8.95,2200,LLM
2017-11-22,8.95,8.95,8.95,8.95,0,LLM
2017-11-23,8.95,8.95,8.95,8.95,0,LLM
2017-11-24,9.4,9.4,9.4,9.4,100,LLM
2017-11-27,9.04,9.04,9.04,9.04,100,LLM
2017-11-28,9.04,9.04,9.04,9.04,0,LLM
2017-11-29,9.04,9.04,9.04,9.04,0,LLM
2017-11-30,9.04,9.04,9.04,9.04,0,LLM
2017-12-01,10.38,10.38,8.95,8.95,15100,LLM
2017-12-04,11.9,11.9,9.85,11.9,13400,LLM
